x_acc,y_acc,z_acc,Lat,Lng,Time
-2.892,10.223,-0.599,16.8556,73.547186,2024-02-28 16:51:26:686
-6.694,10.792,-0.235,16.8556,73.547186,2024-02-28 16:51:26:695
-0.555,9.389,-1.092,16.8556,73.547186,2024-02-28 16:51:26:732
5.819,8.116,-2.605,16.8556,73.547186,2024-02-28 16:51:26:732
2.203,9.854,-1.599,16.8556,73.547186,2024-02-28 16:51:26:732
-5.487,11.003,-1.456,16.8556,73.547186,2024-02-28 16:51:26:732
-5.396,10.721,-1.125,16.8556,73.547186,2024-02-28 16:51:26:736
2.117,8.935,-1.671,16.8556,73.547186,2024-02-28 16:51:26:756
5.986,8.168,-2.025,16.8556,73.547186,2024-02-28 16:51:26:757
-0.009,9.806,-1.24,16.8556,73.547186,2024-02-28 16:51:26:766
-6.962,11.233,-1.01,16.8556,73.547186,2024-02-28 16:51:26:779
-3.902,10.639,-1.456,16.8556,73.547186,2024-02-28 16:51:26:792
4.631,8.346,-2.581,16.8556,73.547186,2024-02-28 16:51:26:794
5.239,8.456,-1.077,16.8556,73.547186,2024-02-28 16:51:26:804
-3.117,10.218,-0.45,16.8556,73.547186,2024-02-28 16:51:26:818
-7.254,11.185,-1.432,16.8556,73.547186,2024-02-28 16:51:26:824
-0.9,10.122,-2.097,16.8556,73.547186,2024-02-28 16:51:26:850
6.326,8.264,-2.662,16.8556,73.547186,2024-02-28 16:51:26:854
3.161,9.064,-1.465,16.8556,73.547186,2024-02-28 16:51:26:855
-5.674,10.649,-0.436,16.8556,73.547186,2024-02-28 16:51:26:870
-6.339,10.759,-0.503,16.8556,73.547186,2024-02-28 16:51:26:900
2.136,9.14,-2.308,16.8556,73.547186,2024-02-28 16:51:26:900
6.609,8.523,-2.543,16.8556,73.547186,2024-02-28 16:51:26:900
0.125,9.792,-0.9,16.8556,73.547186,2024-02-28 16:51:26:905
-7.134,10.855,-0.733,16.8556,73.547186,2024-02-28 16:51:26:919
-4.122,10.524,-1.326,16.8556,73.547186,2024-02-28 16:51:26:925
4.736,8.652,-2.38,16.8556,73.547186,2024-02-28 16:51:26:934
5.795,8.571,-2.298,16.8556,73.547186,2024-02-28 16:51:26:949
-3.011,10.467,-1.183,16.8556,73.547186,2024-02-28 16:51:26:955
-7.771,11.199,-0.536,16.8556,73.547186,2024-02-28 16:51:26:966
-1.034,9.576,-1.322,16.8556,73.547186,2024-02-28 16:51:26:976
6.508,8.111,-2.318,16.8556,73.547186,2024-02-28 16:51:26:985
3.094,9.265,-1.307,16.8556,73.547186,2024-02-28 16:51:26:997
-5.698,10.797,-1.135,16.8556,73.547186,2024-02-28 16:51:27:005
-6.363,11.027,-1.369,16.8556,73.547186,2024-02-28 16:51:27:015
2.155,9.198,-2.011,16.8556,73.547186,2024-02-28 16:51:27:026
6.843,8.116,-2.207,16.8556,73.547186,2024-02-28 16:51:27:037
0.058,9.677,-1.279,16.8556,73.547186,2024-02-28 16:51:27:049
-7.589,11.228,-0.622,16.8556,73.547186,2024-02-28 16:51:27:054
-4.003,10.395,-1.159,16.8556,73.547186,2024-02-28 16:51:27:070
5.105,8.336,-2.509,16.8556,73.547186,2024-02-28 16:51:27:076
5.321,8.777,-1.422,16.8556,73.547186,2024-02-28 16:51:27:085
-3.514,10.261,-1.053,16.8556,73.547186,2024-02-28 16:51:27:097
-7.536,11.128,-1.14,16.8556,73.547186,2024-02-28 16:51:27:105
-0.473,9.825,-1.714,16.8556,73.547186,2024-02-28 16:51:27:115
6.872,8.212,-2.48,16.8556,73.547186,2024-02-28 16:51:27:125
2.615,9.279,-1.877,16.8556,73.547186,2024-02-28 16:51:27:135
-6.603,11.089,-0.876,16.8556,73.547186,2024-02-28 16:51:27:148
-5.99,10.735,-0.694,16.8556,73.547186,2024-02-28 16:51:27:155
3.405,8.48,-2.116,16.8556,73.547186,2024-02-28 16:51:27:168
6.527,8.566,-1.556,16.8556,73.547186,2024-02-28 16:51:27:176
-1.455,10.017,-1.585,16.8556,73.547186,2024-02-28 16:51:27:185
-7.843,11.401,-1.35,16.8556,73.547186,2024-02-28 16:51:27:198
-2.475,10.237,-1.379,16.8556,73.547186,2024-02-28 16:51:27:206
6.326,7.972,-2.212,16.8556,73.547186,2024-02-28 16:51:27:216
4.262,8.891,-1.604,16.8556,73.547186,2024-02-28 16:51:27:226
-5.41,10.888,-1.302,16.8556,73.547186,2024-02-28 16:51:27:236
-6.99,11.195,-0.881,16.8556,73.547186,2024-02-28 16:51:27:248
1.949,8.786,-2.107,16.8556,73.547186,2024-02-28 16:51:27:256
6.848,8.302,-1.508,16.8556,73.547186,2024-02-28 16:51:27:266
0.044,9.677,-1.441,16.8556,73.547186,2024-02-28 16:51:27:281
-7.431,11.314,-1.298,16.8556,73.547186,2024-02-28 16:51:27:287
-3.71,10.476,-1.369,16.8556,73.547186,2024-02-28 16:51:27:299
