x_acc,y_acc,z_acc,Lat,Lng,Time
-1.862,10.39,-1.93,16.8983206,73.5852181,2024-02-28 17:27:37:783
-2.37,10.208,-1.973,16.8983206,73.5852181,2024-02-28 17:27:37:791
0.872,8.963,-1.772,16.8983206,73.5852181,2024-02-28 17:27:37:802
1.945,8.925,-1.398,16.8983206,73.5852181,2024-02-28 17:27:37:815
-1.326,10.05,-1.958,16.8983206,73.5852181,2024-02-28 17:27:37:821
-3.179,10.946,-2.26,16.8983206,73.5852181,2024-02-28 17:27:37:832
0.116,9.567,-2.409,16.8983206,73.5852181,2024-02-28 17:27:37:841
2.701,8.446,-1.824,16.8983206,73.5852181,2024-02-28 17:27:37:851
-0.234,9.447,-1.097,16.8983206,73.5852181,2024-02-28 17:27:37:862
-3.5,10.74,-1.508,16.8983206,73.5852181,2024-02-28 17:27:37:872
-1.311,9.964,-2.591,16.8983206,73.5852181,2024-02-28 17:27:37:883
2.443,8.882,-2.399,16.8983206,73.5852181,2024-02-28 17:27:37:892
1.337,9.385,-1.456,16.8983206,73.5852181,2024-02-28 17:27:37:901
-2.734,10.218,-1.681,16.8983206,73.5852181,2024-02-28 17:27:37:916
-3.03,10.256,-1.815,16.8983206,73.5852181,2024-02-28 17:27:37:923
1.538,9.083,-2.069,16.8983206,73.5852181,2024-02-28 17:27:37:933
3.108,8.815,-2.356,16.8983206,73.5852181,2024-02-28 17:27:37:942
-1.589,10.323,-1.738,16.8983206,73.5852181,2024-02-28 17:27:37:952
-4.486,10.883,-1.451,16.8983206,73.5852181,2024-02-28 17:27:37:967
-0.248,9.16,-2.107,16.8983206,73.5852181,2024-02-28 17:27:37:973
3.927,8.489,-1.575,16.8983206,73.5852181,2024-02-28 17:27:37:984
0.752,9.471,-1.714,16.8983206,73.5852181,2024-02-28 17:27:37:992
-4.606,10.994,-2.054,16.8983206,73.5852181,2024-02-28 17:27:38:002
-2.839,10.515,-2.212,16.8983206,73.5852181,2024-02-28 17:27:38:018
3.539,8.489,-2.452,16.8983206,73.5852181,2024-02-28 17:27:38:022
3.281,8.662,-1.7,16.8983206,73.5852181,2024-02-28 17:27:38:033
-3.409,10.462,-1.211,16.8983206,73.5852181,2024-02-28 17:27:38:043
-4.922,10.73,-1.59,16.8983206,73.5852181,2024-02-28 17:27:38:052
1.317,8.992,-2.423,16.8983206,73.5852181,2024-02-28 17:27:38:066
4.597,8.71,-1.753,16.8983206,73.5852181,2024-02-28 17:27:38:073
-0.703,9.83,-2.193,16.8983206,73.5852181,2024-02-28 17:27:38:084
-5.506,11.185,-1.729,16.8983206,73.5852181,2024-02-28 17:27:38:092
-1.225,9.715,-1.863,16.8983206,73.5852181,2024-02-28 17:27:38:102
4.363,8.346,-1.958,16.8983206,73.5852181,2024-02-28 17:27:38:117
1.442,9.356,-2.251,16.8983206,73.5852181,2024-02-28 17:27:38:123
-4.328,10.998,-1.681,16.8983206,73.5852181,2024-02-28 17:27:38:137
-2.935,9.758,-1.662,16.8983206,73.5852181,2024-02-28 17:27:38:144
2.438,8.82,-1.192,16.8983206,73.5852181,2024-02-28 17:27:38:155
2.447,9.126,-2.476,16.8983206,73.5852181,2024-02-28 17:27:38:169
-2.231,10.649,-2.557,16.8983206,73.5852181,2024-02-28 17:27:38:173
-3.112,10.376,-1.652,16.8983206,73.5852181,2024-02-28 17:27:38:187
0.676,8.901,-1.542,16.8983206,73.5852181,2024-02-28 17:27:38:205
2.045,9.006,-1.882,16.8983206,73.5852181,2024-02-28 17:27:38:205
-0.833,10.323,-2.131,16.8983206,73.5852181,2024-02-28 17:27:38:220
-2.446,10.194,-2.174,16.8983206,73.5852181,2024-02-28 17:27:38:223
-0.416,9.294,-1.547,16.8983206,73.5852181,2024-02-28 17:27:38:234
1.222,9.198,-1.346,16.8983206,73.5852181,2024-02-28 17:27:38:242
-0.229,9.83,-2.112,16.8983206,73.5852181,2024-02-28 17:27:38:254
-1.862,10.237,-2.322,16.8983206,73.5852181,2024-02-28 17:27:38:270
-0.354,9.538,-1.848,16.8983206,73.5852181,2024-02-28 17:27:38:273
1.121,9.184,-1.82,16.8983206,73.5852181,2024-02-28 17:27:38:286
-0.608,10.012,-2.011,16.8983206,73.5852181,2024-02-28 17:27:38:308
-2.049,10.347,-1.911,16.8983206,73.5852181,2024-02-28 17:27:38:309
-0.157,9.14,-1.844,16.8983206,73.5852181,2024-02-28 17:27:38:319
1.485,8.959,-1.25,16.8983206,73.5852181,2024-02-28 17:27:38:324
-0.387,9.749,-1.767,16.8983206,73.5852181,2024-02-28 17:27:38:339
-2.623,10.654,-2.284,16.8983206,73.5852181,2024-02-28 17:27:38:344
-0.804,9.969,-2.318,16.8983206,73.5852181,2024-02-28 17:27:38:353
2.232,8.719,-2.145,16.8983206,73.5852181,2024-02-28 17:27:38:368
0.614,9.366,-1.322,16.8983206,73.5852181,2024-02-28 17:27:38:374
-3.074,10.496,-1.638,16.8983206,73.5852181,2024-02-28 17:27:38:387
-2.034,10.055,-2.093,16.8983206,73.5852181,2024-02-28 17:27:38:394
2.04,8.901,-2.011,16.8983206,73.5852181,2024-02-28 17:27:38:403
1.897,9.121,-1.7,16.8983206,73.5852181,2024-02-28 17:27:38:421
-2.427,10.342,-1.982,16.8983206,73.5852181,2024-02-28 17:27:38:423
-3.289,10.658,-1.858,16.8983206,73.5852181,2024-02-28 17:27:38:441
1.145,9.035,-2.112,16.8983206,73.5852181,2024-02-28 17:27:38:451
2.902,8.743,-1.729,16.8983206,73.5852181,2024-02-28 17:27:38:453
-1.187,9.998,-1.954,16.8983206,73.5852181,2024-02-28 17:27:38:470
-3.773,10.85,-1.733,16.8983206,73.5852181,2024-02-28 17:27:38:474
-0.373,9.342,-2.035,16.8983206,73.5852181,2024-02-28 17:27:38:485
2.859,8.8,-1.508,16.8983206,73.5852181,2024-02-28 17:27:38:495
0.384,9.442,-2.164,16.8983206,73.5852181,2024-02-28 17:27:38:509
-3.447,10.692,-1.997,16.8983206,73.5852181,2024-02-28 17:27:38:518
-1.694,10.012,-1.671,16.8983206,73.5852181,2024-02-28 17:27:38:525
2.457,8.719,-1.997,16.8983206,73.5852181,2024-02-28 17:27:38:540
1.361,9.284,-2.14,16.8983206,73.5852181,2024-02-28 17:27:38:545
-2.877,10.706,-1.781,16.8983206,73.5852181,2024-02-28 17:27:38:554
-2.523,10.012,-1.863,16.8983206,73.5852181,2024-02-28 17:27:38:574
1.59,8.987,-1.408,16.8983206,73.5852181,2024-02-28 17:27:38:574
2.036,8.954,-1.944,16.8983206,73.5852181,2024-02-28 17:27:38:586
-1.934,10.318,-2.274,16.8983206,73.5852181,2024-02-28 17:27:38:594
-3.002,10.649,-2.03,16.8983206,73.5852181,2024-02-28 17:27:38:606
0.853,9.16,-1.954,16.8983206,73.5852181,2024-02-28 17:27:38:621
2.333,8.863,-1.686,16.8983206,73.5852181,2024-02-28 17:27:38:625
-1.211,9.974,-1.944,16.8983206,73.5852181,2024-02-28 17:27:38:640
-3.026,10.395,-1.805,16.8983206,73.5852181,2024-02-28 17:27:38:645
-0.028,9.332,-1.585,16.8983206,73.5852181,2024-02-28 17:27:38:654
2.098,9.054,-1.652,16.8983206,73.5852181,2024-02-28 17:27:38:673
-0.339,9.83,-2.485,16.8983206,73.5852181,2024-02-28 17:27:38:675
-2.748,10.615,-2.203,16.8983206,73.5852181,2024-02-28 17:27:38:685
-0.598,9.6,-1.652,16.8983206,73.5852181,2024-02-28 17:27:38:695
1.839,8.805,-1.513,16.8983206,73.5852181,2024-02-28 17:27:38:706
-0.033,9.557,-1.992,16.8983206,73.5852181,2024-02-28 17:27:38:718
-2.48,10.625,-2.049,16.8983206,73.5852181,2024-02-28 17:27:38:725
-0.904,9.543,-2.121,16.8983206,73.5852181,2024-02-28 17:27:38:738
1.451,9.088,-1.116,16.8983206,73.5852181,2024-02-28 17:27:38:745
0.245,9.447,-1.992,16.8983206,73.5852181,2024-02-28 17:27:38:754
-2.169,10.543,-2.332,16.8983206,73.5852181,2024-02-28 17:27:38:772
-1.082,9.964,-2.112,16.8983206,73.5852181,2024-02-28 17:27:38:775
1.437,8.848,-1.781,16.8983206,73.5852181,2024-02-28 17:27:38:788
0.446,9.337,-1.556,16.8983206,73.5852181,2024-02-28 17:27:38:805
-2.192,10.443,-1.805,16.8983206,73.5852181,2024-02-28 17:27:38:805
-1.493,10.055,-2.212,16.8983206,73.5852181,2024-02-28 17:27:38:819
1.217,9.002,-1.997,16.8983206,73.5852181,2024-02-28 17:27:38:826
1.03,9.193,-1.408,16.8983206,73.5852181,2024-02-28 17:27:38:841
-1.69,10.146,-1.671,16.8983206,73.5852181,2024-02-28 17:27:38:845
-2.322,10.443,-2.227,16.8983206,73.5852181,2024-02-28 17:27:38:854
0.542,9.452,-2.318,16.8983206,73.5852181,2024-02-28 17:27:38:873
2.107,8.791,-2.064,16.8983206,73.5852181,2024-02-28 17:27:38:875
-0.785,9.811,-1.384,16.8983206,73.5852181,2024-02-28 17:27:38:894
-3.241,10.668,-1.441,16.8983206,73.5852181,2024-02-28 17:27:38:895
-0.818,9.739,-2.399,16.8983206,73.5852181,2024-02-28 17:27:38:905
2.524,8.686,-2.365,16.8983206,73.5852181,2024-02-28 17:27:38:924
0.968,9.366,-1.106,16.8983206,73.5852181,2024-02-28 17:27:38:925
-2.992,10.362,-1.384,16.8983206,73.5852181,2024-02-28 17:27:38:936
-2.935,10.409,-2.26,16.8983206,73.5852181,2024-02-28 17:27:38:956
1.691,9.212,-2.638,16.8983206,73.5852181,2024-02-28 17:27:38:957
3.376,8.666,-2.274,16.8983206,73.5852181,2024-02-28 17:27:38:968
-1.469,10.055,-1.202,16.8983206,73.5852181,2024-02-28 17:27:38:975
-4.908,10.941,-1.164,16.8983206,73.5852181,2024-02-28 17:27:38:989
-0.689,9.423,-2.567,16.8983206,73.5852181,2024-02-28 17:27:38:995
4.339,8.417,-2.145,16.8983206,73.5852181,2024-02-28 17:27:39:007
1.519,9.303,-1.322,16.8983206,73.5852181,2024-02-28 17:27:39:018
-4.845,10.883,-1.537,16.8983206,73.5852181,2024-02-28 17:27:39:026
-4.026,10.759,-2.203,16.8983206,73.5852181,2024-02-28 17:27:39:040
3.338,8.604,-2.725,16.8983206,73.5852181,2024-02-28 17:27:39:053
4.669,8.403,-1.92,16.8983206,73.5852181,2024-02-28 17:27:39:055
-2.743,10.328,-1.389,16.8983206,73.5852181,2024-02-28 17:27:39:071
