"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.174968719E-3,1.686379669E1,7.354949979E1,1.411316833E2,NaN,NaN,1.414000000E3,3.433669281E1
4.938807845E0,1.686488971E1,7.355027664E1,1.477215881E2,4.300000191E0,9.667968750E1,4.163113181E1,2.400000000E1
5.939567924E0,1.686489113E1,7.355014212E1,1.406483459E2,1.800000072E-1,9.667968750E1,1.999845375E1,3.000000000E0
6.934481025E0,1.686491594E1,7.354999853E1,1.403020935E2,2.599999905E-1,9.667968750E1,1.001297902E1,3.000000000E0
7.212458968E0,1.686483749E1,7.355000868E1,1.403155212E2,2.599999905E-1,1.209375000E2,8.273547666E0,3.000000000E0
8.215459943E0,1.686477592E1,7.355010716E1,1.408838806E2,1.960000038E0,1.103906250E2,3.902691648E0,3.000000000E0
9.215885043E0,1.686475384E1,7.355013667E1,1.403423157E2,3.089999914E0,1.117968750E2,3.535533906E0,3.000000000E0
1.019263756E1,1.686472492E1,7.355018528E1,1.401229553E2,3.960000038E0,1.117968750E2,3.535533906E0,3.000000000E0
1.119242299E1,1.686469596E1,7.355024328E1,1.396260071E2,3.960000038E0,1.107421875E2,3.535533906E0,3.000000000E0
1.219218361E1,1.686467639E1,7.355029609E1,1.393540955E2,5.849999905E0,1.082812500E2,3.535533906E0,3.000000000E0
1.319193208E1,1.686466168E1,7.355034471E1,1.389107971E2,6.340000153E0,1.079296875E2,3.535533906E0,3.000000000E0
1.419168282E1,1.686464097E1,7.355041084E1,1.385303040E2,7.429999828E0,1.086328125E2,3.535533906E0,3.000000000E0
1.519144416E1,1.686461885E1,7.355047974E1,1.385599060E2,7.860000134E0,1.068750000E2,3.535533906E0,3.000000000E0
1.619121146E1,1.686460087E1,7.355055174E1,1.387217712E2,7.860000134E0,1.054687500E2,3.535533906E0,3.000000000E0
1.719099975E1,1.686458192E1,7.355062283E1,1.387217760E2,7.860000134E0,1.054687706E2,4.667494495E0,3.469730850E0
1.819079459E1,1.686456384E1,7.355069681E1,1.391039783E2,7.989999771E0,1.040625211E2,4.667494858E0,3.469730362E0
1.919059908E1,1.686455227E1,7.355077671E1,1.391498160E2,8.260000229E0,1.012500221E2,4.667495218E0,3.469729878E0
2.019042182E1,1.686454586E1,7.355085279E1,1.391061760E2,8.329999924E0,9.878908491E1,4.667495546E0,3.469729436E0
2.119025087E1,1.686452962E1,7.355093573E1,1.392481444E2,8.779999733E0,1.008984610E2,4.667495923E0,3.469728930E0
2.219009042E1,1.686450428E1,7.355101400E1,1.391305907E2,8.779999733E0,1.051172106E2,4.667496323E0,3.469728391E0
2.318994546E1,1.686448801E1,7.355109199E1,1.388138184E2,8.920000076E0,1.054687734E2,4.667496690E0,3.469727897E0
2.418980432E1,1.686447215E1,7.355117766E1,1.387937989E2,8.970000267E0,1.030078363E2,4.667497094E0,3.469727354E0
2.518967605E1,1.686447362E1,7.355126973E1,1.388066776E2,9.140000343E0,9.527346228E1,4.667497465E0,3.469726855E0
2.618955612E1,1.686446039E1,7.355136106E1,1.386468268E2,9.300000191E0,9.597658768E1,4.667497872E0,3.469726308E0
2.718944383E1,1.686447253E1,7.355143810E1,1.394117191E2,9.140000343E0,8.683596234E1,4.667498155E0,3.469725926E0
2.818933809E1,1.686448779E1,7.355152300E1,1.394098268E2,8.979999542E0,8.015627409E1,4.667498452E0,3.469725527E0
2.918923879E1,1.686450522E1,7.355160337E1,1.395215211E2,8.960000038E0,7.699221127E1,4.667498710E0,3.469725180E0
3.018914545E1,1.686453268E1,7.355167990E1,1.398417723E2,8.789999962E0,7.347658544E1,4.667498916E0,3.469724903E0
3.118905759E1,1.686454769E1,7.355176167E1,1.400109007E2,8.789999962E0,7.628908575E1,4.667499168E0,3.469724564E0
3.218897545E1,1.686456835E1,7.355183988E1,1.402124997E2,8.689999580E0,7.628908548E1,4.667499395E0,3.469724258E0
3.318889892E1,1.686459010E1,7.355192270E1,1.401993772E2,8.689999580E0,7.628908548E1,4.667499634E0,3.469723937E0
3.418882549E1,1.686460159E1,7.355200692E1,1.401711793E2,8.960000038E0,7.910158645E1,4.667499907E0,3.469723570E0
