"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.232374983E-3,9.792187042E0,1.731898499E-1,-1.059646454E0
2.113337500E-2,9.769584045E0,1.841171265E-1,-1.085692291E0
4.103537500E-2,9.773925018E0,1.589694214E-1,-1.082848206E0
6.093737500E-2,9.776469727E0,1.645079041E-1,-1.072070618E0
8.083837500E-2,9.786049805E0,1.826202393E-1,-1.086141357E0
1.007403750E-1,9.751322021E0,1.701960754E-1,-1.131047974E0
1.206423750E-1,9.778116302E0,1.773811340E-1,-1.104702759E0
1.405443750E-1,9.795929260E0,1.652563477E-1,-1.082548828E0
1.604453750E-1,9.765991516E0,1.787283325E-1,-1.089135132E0
1.803473750E-1,9.769284668E0,1.790277100E-1,-1.096619568E0
2.002493750E-1,9.751322021E0,1.886077881E-1,-1.109941864E0
2.201503750E-1,9.782906342E0,2.011816406E-1,-1.130449219E0
2.400523750E-1,9.771529999E0,2.025288391E-1,-1.097218323E0
2.599543750E-1,9.755363617E0,2.035766602E-1,-1.102158051E0
2.798563750E-1,9.779463501E0,2.089654541E-1,-1.093326416E0
2.997573750E-1,9.785451050E0,2.022294617E-1,-1.109043732E0
3.196593750E-1,9.807754669E0,2.173480225E-1,-1.093925171E0
3.395613750E-1,9.825118561E0,1.960922241E-1,-1.068178711E0
3.594623750E-1,9.781708832E0,1.865121460E-1,-1.099313965E0
3.793643750E-1,9.774823151E0,1.743873596E-1,-1.073567505E0
3.992663750E-1,9.738748169E0,1.841171265E-1,-1.080004120E0
4.191683750E-1,9.749226379E0,1.558259583E-1,-1.101559296E0
4.390693750E-1,9.818532257E0,1.496887207E-1,-1.064436493E0
4.589713750E-1,9.763746185E0,1.637594604E-1,-1.109043732E0
4.788733750E-1,9.809850311E0,1.389111328E-1,-1.058149567E0
4.987753750E-1,9.808802490E0,1.666035461E-1,-1.093625793E0
5.186763750E-1,9.783804474E0,1.793270874E-1,-1.089883575E0
5.385783750E-1,9.774823151E0,1.884580994E-1,-1.076261902E0
5.584803750E-1,9.746531982E0,2.034269714E-1,-1.116977234E0
5.783813750E-1,9.758207703E0,2.056723022E-1,-1.090781708E0
5.982833750E-1,9.773326263E0,1.916015625E-1,-1.092877350E0
6.181853750E-1,9.772278442E0,1.972897339E-1,-1.102457428E0
6.380873750E-1,9.741292877E0,1.933978271E-1,-1.036893768E0
6.579883750E-1,9.763446808E0,1.911524963E-1,-1.107247467E0
6.778903750E-1,9.760752411E0,1.824705505E-1,-1.117725677E0
6.977916250E-1,9.763895874E0,1.833686829E-1,-1.094224548E0
7.176926250E-1,9.787846069E0,1.785786438E-1,-1.068478088E0
7.375946250E-1,9.779762878E0,1.875599670E-1,-1.094673615E0
7.574966250E-1,9.781259766E0,1.941462708E-1,-1.077459412E0
7.773986250E-1,9.775122528E0,2.035766602E-1,-1.087189178E0
7.972996250E-1,9.780661011E0,2.098635864E-1,-1.109492798E0
8.172016250E-1,9.783804474E0,1.984872437E-1,-1.100212097E0
8.371036250E-1,9.782307587E0,2.017803955E-1,-1.129401398E0
8.570056250E-1,9.770631866E0,1.887574768E-1,-1.107995911E0
8.769066250E-1,9.765991516E0,1.851649475E-1,-1.081351318E0
8.968086250E-1,9.764943695E0,1.844165039E-1,-1.105900269E0
9.167106250E-1,9.755812683E0,1.706451416E-1,-1.084195404E0
9.366116250E-1,9.789642334E0,1.896556091E-1,-1.078207855E0
9.565136250E-1,9.763746185E0,1.808239746E-1,-1.082099762E0
9.764156250E-1,9.756860504E0,1.904040527E-1,-1.080752563E0
9.963176250E-1,9.751920776E0,1.847158813E-1,-1.075812836E0
1.016218625E0,9.769584045E0,1.893562317E-1,-1.050964508E0
1.036120625E0,9.784403229E0,1.763333130E-1,-1.079704742E0
1.056022625E0,9.773326263E0,1.874102783E-1,-1.070424042E0
1.075924625E0,9.789193268E0,1.865121460E-1,-1.091230774E0
1.095825625E0,9.808054047E0,1.805245972E-1,-1.100661163E0
1.115727625E0,9.795031128E0,1.877096558E-1,-1.100062408E0
1.135629625E0,9.774074707E0,1.830693054E-1,-1.158590698E0
1.155531625E0,9.782008209E0,2.005828857E-1,-1.102457428E0
1.175432625E0,9.772727509E0,1.851649475E-1,-1.094972992E0
1.195334625E0,9.770931244E0,1.971400452E-1,-1.106499023E0
1.215236625E0,9.809101868E0,2.664459229E-1,-1.091081085E0
1.235137625E0,9.723779297E0,8.650511169E-1,-1.107995911E0
1.255039625E0,9.846224670E0,3.665876770E-1,-1.123862915E0
1.274941625E0,9.843679962E0,4.237687683E-1,-1.177900543E0
1.294843625E0,9.739346924E0,5.054988098E-1,-1.152004395E0
1.314744625E0,9.774374084E0,4.984634399E-1,-1.166374512E0
1.334646625E0,9.759255524E0,2.014810181E-1,-1.159638519E0
1.354548625E0,9.630074158E0,6.842271423E-1,-1.216520233E0
1.374450625E0,9.776918793E0,7.008425903E-1,-1.050964508E0
1.394351625E0,9.774823151E0,6.216572571E-1,-1.007554779E0
1.414253625E0,9.734856262E0,6.382727051E-1,-1.162781982E0
1.434155625E0,9.743687897E0,6.258485413E-1,-1.167422333E0
1.454057625E0,9.756561127E0,5.971083069E-1,-1.116228790E0
1.473958625E0,9.733059998E0,5.665718079E-1,-1.067579956E0
1.493860625E0,9.742340698E0,6.033952332E-1,-1.178648987E0
1.513762625E0,9.740843811E0,5.641767883E-1,-1.158441010E0
1.533663625E0,9.763746185E0,5.962101746E-1,-1.017583923E0
1.553565625E0,9.777218170E0,4.414320374E-1,-1.085991669E0
1.573467625E0,9.742939453E0,6.762936401E-1,-1.120719452E0
1.593369625E0,9.777517548E0,6.688092041E-1,-1.111738129E0
1.613270625E0,9.743687897E0,5.761518860E-1,-1.160536652E0
1.633172625E0,9.688752136E0,1.591191101E-1,-1.078956299E0
1.653074625E0,9.711055756E0,5.586383057E-1,-1.177451477E0
1.672976625E0,9.810748444E0,6.971003723E-1,-1.076710968E0
1.692877625E0,9.806108093E0,6.439608765E-1,-1.120420074E0
1.712779542E0,9.771979065E0,5.504054260E-1,-1.123862915E0
1.732681542E0,9.780211945E0,4.995112610E-1,-1.117276611E0
1.752583542E0,9.765841827E0,4.890330505E-1,-1.096469879E0
1.772484542E0,9.765991516E0,5.122348022E-1,-1.029109955E0
1.792386542E0,9.769434357E0,4.989125061E-1,-1.131946106E0
1.812288542E0,9.749675446E0,4.981640625E-1,-1.155297546E0
1.832189542E0,9.774074707E0,4.911286926E-1,-1.076112213E0
1.852091542E0,9.762997742E0,4.658312988E-1,-1.065334625E0
1.871993542E0,9.766739960E0,4.601431274E-1,-1.108594666E0
1.891895542E0,9.760902100E0,4.605921936E-1,-1.144220581E0
1.911796542E0,9.780511322E0,4.477189636E-1,-1.103804626E0
1.931698542E0,9.776320038E0,4.643344116E-1,-1.089434509E0
1.951600542E0,9.743987274E0,4.572990417E-1,-1.095721436E0
1.971502542E0,9.754764862E0,4.677772522E-1,-1.098565521E0
1.991403542E0,9.754166107E0,4.828958130E-1,-1.112336884E0
2.011305542E0,9.767039337E0,4.755610657E-1,-1.132993927E0
2.031207542E0,9.775122528E0,4.796026611E-1,-1.136586456E0
2.051108542E0,9.772877197E0,4.800517273E-1,-1.101708984E0
2.071010542E0,9.772128754E0,4.875361633E-1,-1.115330658E0
2.090912542E0,9.725425873E0,5.071453857E-1,-1.125958557E0
2.110814542E0,9.736502838E0,4.749623108E-1,-1.101858673E0
2.130715542E0,9.927954712E0,5.195695496E-1,-1.049168243E0
2.150617542E0,9.943821716E0,4.598437500E-1,-1.407223663E0
2.170519542E0,9.211245117E0,6.328839111E-1,-8.357121277E-1
2.190421542E0,1.003183868E1,2.673440552E-1,-1.803449707E0
2.210322542E0,9.623188477E0,7.575746155E-1,-1.079255676E0
2.230224542E0,1.012644196E1,4.079017639E-1,-1.238524475E0
2.250126542E0,9.759405212E0,4.064048767E-1,-1.076411591E0
2.270027542E0,9.671537933E0,6.430627441E-1,-1.022673340E0
2.289929542E0,9.784552917E0,3.899391174E-1,-1.234632568E0
2.309831542E0,9.627529449E0,5.405259705E-1,-1.171314240E0
2.329733542E0,1.001941452E1,4.212240601E-1,-1.085542603E0
2.349634542E0,9.399403839E0,5.481600952E-1,-1.030606842E0
2.369536542E0,1.011970596E1,3.152444458E-1,-1.303788757E0
2.389438542E0,9.358838196E0,6.888674927E-1,-8.894503784E-1
2.409340542E0,9.931247864E0,2.279759216E-1,-1.230740662E0
2.429241542E0,9.754166107E0,6.221063232E-1,-8.994795227E-1
2.449143542E0,9.841135254E0,4.411326599E-1,-1.388662262E0
2.469045542E0,9.720186768E0,3.362008667E-1,-1.130449219E0
2.488946542E0,9.550140381E0,6.227050781E-1,-8.274792480E-1
2.508848542E0,1.023960663E1,3.686833191E-1,-1.143621826E0
2.528750542E0,9.547445984E0,5.448669434E-1,-1.099613342E0
2.548652542E0,1.000309845E1,3.641926575E-1,-1.286873932E0
2.568553542E0,9.481732635E0,5.511538696E-1,-1.019679565E0
2.588455542E0,1.013751892E1,5.075944519E-1,-1.186881866E0
2.608357542E0,9.108558655E0,2.615061951E-1,-8.777746582E-1
2.628258542E0,1.008827133E1,5.749543762E-1,-1.083896027E0
2.648160542E0,9.911638641E0,6.477030945E-1,-1.536704407E0
2.668062542E0,9.406738586E0,2.420466614E-1,-8.436456299E-1
2.687964542E0,9.996512146E0,8.571176147E-1,-1.013692017E0
2.707865625E0,9.335187378E0,3.691323853E-1,-9.223818970E-1
2.727767625E0,1.095212494E1,7.512876892E-1,-1.621577911E0
2.747669625E0,8.658294983E0,1.170565796E-1,-8.174501038E-1
2.767570625E0,1.052895493E1,8.000862122E-1,-1.569037170E0
2.787472625E0,9.113199005E0,2.118095398E-1,-7.888595581E-1
