"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711704226458227E9,"2024-03-29 14:53:46.458 UTC+05:30"
"PAUSE",2.187019977500022E2,1.711704445160911E9,"2024-03-29 14:57:25.161 UTC+05:30"
"START",2.187019977500022E2,1.711704470671138E9,"2024-03-29 14:57:50.671 UTC+05:30"
"PAUSE",7.094302743750159E2,1.711704961402980E9,"2024-03-29 15:06:01.403 UTC+05:30"
"START",7.094302743750159E2,1.711705018233153E9,"2024-03-29 15:06:58.233 UTC+05:30"
"PAUSE",9.381101379583415E2,1.711705246915559E9,"2024-03-29 15:10:46.916 UTC+05:30"
"START",9.381101379583415E2,1.711705281631762E9,"2024-03-29 15:11:21.632 UTC+05:30"
"PAUSE",1.248745023249998E3,1.711705592273475E9,"2024-03-29 15:16:32.273 UTC+05:30"
"START",1.248745023249998E3,1.711705914266251E9,"2024-03-29 15:21:54.266 UTC+05:30"
"PAUSE",1.252437769458338E3,1.711705917959067E9,"2024-03-29 15:21:57.959 UTC+05:30"
