"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.502158000E-2,2.422134638E0,1.730908036E0,1.503679657E1
5.469111200E-2,1.964507341E0,1.127318621E0,1.333131218E1
7.443189300E-2,2.180160522E0,8.303094506E-1,1.130219841E1
1.777938720E-1,3.576671600E0,2.986242771E0,5.589035511E0
1.974781950E-1,3.189931631E0,3.252145052E0,5.672784328E0
2.171911640E-1,3.019742250E0,3.329911709E0,6.349654198E0
2.368882990E-1,2.912065268E0,3.189632654E0,6.538686752E0
2.565930390E-1,2.957528830E0,2.807678223E0,6.383153439E0
2.763368930E-1,2.504687071E0,2.304587364E0,6.136393547E0
2.960069450E-1,1.392024517E0,1.689033628E0,6.044270039E0
3.157201220E-1,5.174478889E-2,1.213460207E0,6.457331181E0
3.354245490E-1,-1.119541883E0,1.341775298E0,7.257431030E0
3.551365280E-1,-1.616650820E0,2.373979092E0,9.777372360E0
3.748624660E-1,-2.572284341E-1,3.132204771E0,1.516152287E1
3.945471010E-1,3.203092098E0,3.054438114E0,2.116212273E1
4.142391320E-1,5.799902916E0,2.505883455E0,2.273361015E1
4.339521530E-1,3.958925009E0,2.363211393E0,1.773769569E1
4.536366850E-1,1.709372640E0,1.520040631E0,1.082183933E1
4.733423620E-1,4.854438901E-1,8.012964725E-1,5.890830040E0
4.930875700E-1,-8.464609832E-2,6.756733060E-1,3.620938778E0
5.127918930E-1,2.662015148E-2,6.445665956E-1,3.562314749E0
5.324857990E-1,1.254437327E0,-7.178467698E-3,4.454837322E0
5.521895490E-1,2.864208698E0,1.083051324E0,6.967600346E0
5.719086120E-1,3.008974552E0,1.996810555E0,8.134101868E0
5.916206950E-1,2.827120066E0,2.347658157E0,9.623035431E0
6.112821010E-1,1.878365755E0,1.962114573E0,1.020628548E1
6.309887680E-1,1.492822170E0,1.992024899E0,9.557232857E0
6.507075700E-1,1.218544960E0,1.795514345E0,8.634799957E0
6.704007470E-1,6.891329288E-1,1.672283888E0,7.736593723E0
6.901046530E-1,2.111666054E-1,1.781157374E0,7.410871029E0
7.098420490E-1,-1.097707376E-1,2.253141642E0,7.413263798E0
7.295417890E-1,-1.842473447E-1,2.509472847E0,7.983353615E0
7.492220490E-1,-5.745765567E-1,2.553740025E0,9.147461891E0
7.689397570E-1,-1.113559842E0,2.176571369E0,1.111406326E1
7.886251740E-1,-1.205982566E0,1.543968797E0,1.260778236E1
8.083317370E-1,-1.485045552E0,1.006181955E0,1.259342575E1
8.280348620E-1,-1.447657704E0,8.410771489E-1,1.164347458E1
8.477518930E-1,-1.092024446E0,7.055835724E-1,1.052483082E1
