"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
9.053476500E-2,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
2.569389634E0,1.687455630E1,7.362787391E1,2.194616793E2,5.670000076E0,6.190000153E1,6.280658722E0,4.877933025E0
2.624768176E0,1.687457003E1,7.362790058E1,2.197022496E2,5.670000076E0,6.190000153E1,6.301894188E0,4.888649464E0
3.626588071E0,1.687460346E1,7.362796497E1,2.208719145E2,5.739999771E0,6.209999847E1,3.979825020E0,3.749184608E0
4.627644373E0,1.687463364E1,7.362800275E1,2.185438346E2,6.260000229E0,6.590000153E1,3.790092468E0,3.452470303E0
5.626563591E0,1.687465307E1,7.362806751E1,2.191888249E2,6.250000000E0,6.830000305E1,3.790092468E0,3.300730705E0
6.626604789E0,1.687466000E1,7.362812377E1,2.218028448E2,5.820000172E0,7.409999847E1,3.790092468E0,3.193509340E0
7.627503018E0,1.687468130E1,7.362817322E1,2.206960515E2,5.769999981E0,7.900000000E1,3.790092468E0,3.016994476E0
8.627179371E0,1.687468758E1,7.362822291E1,2.213583490E2,6.070000172E0,8.430000305E1,3.790092468E0,3.035043955E0
9.626721558E0,1.687469817E1,7.362828020E1,2.232400579E2,6.250000000E0,8.790000153E1,3.790092468E0,2.793014050E0
1.062756781E1,1.687470116E1,7.362833327E1,2.243017206E2,6.239999771E0,9.159999847E1,3.790092468E0,2.707043171E0
1.162732770E1,1.687469661E1,7.362839125E1,2.249663150E2,6.329999924E0,9.519999695E1,3.790092468E0,2.749150515E0
1.262683619E1,1.687468809E1,7.362845098E1,2.265849634E2,6.300000191E0,9.869999695E1,3.790092468E0,2.507838011E0
1.362758468E1,1.687467823E1,7.362850662E1,2.272645881E2,6.380000114E0,1.046999969E2,3.790092468E0,2.500000000E0
1.462719697E1,1.687465571E1,7.362856623E1,2.278896897E2,6.300000191E0,1.101999969E2,3.790092468E0,2.500000000E0
1.562692104E1,1.687463603E1,7.362862163E1,2.285476170E2,6.110000134E0,1.126999969E2,3.790092468E0,2.500000000E0
1.662731411E1,1.687461667E1,7.362867286E1,2.298514763E2,6.269999981E0,1.130000000E2,3.790092468E0,2.500000000E0
1.762640937E1,1.687459531E1,7.362872852E1,2.305753270E2,6.460000038E0,1.140999985E2,3.790092468E0,2.500000000E0
1.862748098E1,1.687457023E1,7.362878889E1,2.307213721E2,6.739999771E0,1.173000031E2,3.790092468E0,2.500000000E0
1.962719973E1,1.687454040E1,7.362884625E1,2.310637199E2,7.050000191E0,1.208000031E2,3.790092468E0,2.500000000E0
2.062563385E1,1.687450034E1,7.362890832E1,2.306722769E2,7.519999981E0,1.255000000E2,3.790092468E0,2.500000000E0
2.162583937E1,1.687445566E1,7.362896743E1,2.301240477E2,8.260000229E0,1.303000031E2,3.790092468E0,2.500000000E0
2.262699353E1,1.687440081E1,7.362902498E1,2.294142290E2,8.630000114E0,1.333999939E2,3.790092468E0,2.500000000E0
2.362699874E1,1.687434769E1,7.362908449E1,2.288886710E2,8.270000458E0,1.315000000E2,3.790092468E0,2.500000000E0
2.462947963E1,1.687430387E1,7.362913654E1,2.283682065E2,7.920000076E0,1.281000061E2,3.790092468E0,2.500000000E0
2.562715077E1,1.687426869E1,7.362919793E1,2.277552511E2,7.429999828E0,1.149000015E2,3.790092468E0,2.500000000E0
2.662697072E1,1.687424653E1,7.362926133E1,2.278752264E2,6.880000114E0,9.900000000E1,3.790092468E0,2.500000000E0
2.762813291E1,1.687424310E1,7.362932884E1,2.280420193E2,7.070000172E0,8.280000305E1,3.790092468E0,2.500000000E0
2.862606801E1,1.687425312E1,7.362939431E1,2.276369911E2,7.300000191E0,6.880000305E1,3.790092468E0,2.500000000E0
2.962680442E1,1.687427583E1,7.362946121E1,2.280430804E2,7.550000191E0,6.329999924E1,3.790092468E0,2.500000000E0
3.062778249E1,1.687430465E1,7.362953075E1,2.281815125E2,7.619999886E0,6.140000153E1,3.790092468E0,2.500000000E0
3.162698535E1,1.687432700E1,7.362959697E1,2.284313527E2,7.659999847E0,6.459999847E1,3.790092468E0,2.500000000E0
3.262611410E1,1.687434584E1,7.362966369E1,2.289683136E2,7.639999866E0,6.780000305E1,3.790092468E0,2.500000000E0
3.362742520E1,1.687436487E1,7.362973673E1,2.296938758E2,7.780000210E0,7.009999847E1,3.790092468E0,2.500000000E0
3.462792801E1,1.687437724E1,7.362980989E1,2.302717541E2,7.619999886E0,7.250000000E1,3.790092468E0,2.500000000E0
3.562725311E1,1.687439101E1,7.362988233E1,2.304601622E2,7.829999924E0,7.659999847E1,3.790092468E0,2.500000000E0
3.662708858E1,1.687439583E1,7.362996104E1,2.314726987E2,8.069999695E0,8.009999847E1,3.790092468E0,2.500000000E0
3.762716077E1,1.687440060E1,7.363003796E1,2.318978320E2,8.420000076E0,8.090000153E1,3.790092468E0,2.500000000E0
3.862691394E1,1.687441314E1,7.363012413E1,2.316941612E2,9.039999962E0,8.059999847E1,3.790092468E0,2.500000000E0
3.962894160E1,1.687442327E1,7.363021404E1,2.317085784E2,9.630000114E0,7.690000153E1,3.790092468E0,2.500000000E0
4.062631967E1,1.687443598E1,7.363030757E1,2.322837193E2,1.010000038E1,7.280000305E1,3.790092468E0,2.500000000E0
4.162586420E1,1.687446163E1,7.363040002E1,2.326527638E2,1.034000015E1,6.850000000E1,3.790092468E0,2.500000000E0
4.262586378E1,1.687449212E1,7.363049130E1,2.331701688E2,1.030000019E1,6.630000305E1,3.790092468E0,2.500000000E0
4.362725842E1,1.687452052E1,7.363057638E1,2.341615153E2,9.890000343E0,6.509999847E1,3.790092468E0,2.500000000E0
4.462733384E1,1.687454810E1,7.363065871E1,2.346629949E2,9.340000153E0,6.590000153E1,3.790092468E0,2.500000000E0
4.562679003E1,1.687457453E1,7.363073770E1,2.348154164E2,8.930000305E0,6.819999695E1,3.790092468E0,2.500000000E0
4.662724696E1,1.687459282E1,7.363081941E1,2.358562929E2,8.579999924E0,6.859999847E1,3.790092468E0,2.500000000E0
4.762705592E1,1.687461461E1,7.363089444E1,2.360823966E2,8.449999809E0,6.769999695E1,3.790092468E0,2.500000000E0
4.862799514E1,1.687463541E1,7.363096376E1,2.362417281E2,8.130000114E0,6.600000000E1,3.790092468E0,2.500000000E0
4.962779050E1,1.687466469E1,7.363103331E1,2.365804151E2,8.229999542E0,6.350000000E1,3.790092468E0,2.500000000E0
5.062741498E1,1.687468883E1,7.363109918E1,2.371083866E2,7.480000019E0,5.959999847E1,3.790092468E0,2.500000000E0
5.162765373E1,1.687471517E1,7.363115147E1,2.375627359E2,6.960000038E0,5.959999847E1,3.790092468E0,2.527331114E0
5.262754962E1,1.687474095E1,7.363121081E1,2.378805548E2,6.590000153E0,6.309999847E1,3.790092468E0,2.618986845E0
5.362742597E1,1.687475352E1,7.363126297E1,2.382181875E2,5.849999905E0,6.709999847E1,3.790092468E0,2.544597149E0
5.462743800E1,1.687476517E1,7.363130908E1,2.392849461E2,4.840000153E0,6.959999847E1,3.790092468E0,2.500000000E0
5.562776607E1,1.687477438E1,7.363134611E1,2.389006581E2,4.309999943E0,7.619999695E1,3.790092468E0,2.500000000E0
5.662835425E1,1.687478347E1,7.363138727E1,2.399408721E2,4.309999943E0,8.509999847E1,3.790092468E0,2.500000000E0
5.762788847E1,1.687478014E1,7.363143249E1,2.404392574E2,4.199999809E0,9.209999847E1,3.790092468E0,2.500000000E0
5.862802649E1,1.687477343E1,7.363147344E1,2.402869556E2,4.150000095E0,9.759999847E1,3.790092468E0,2.500000000E0
5.962770227E1,1.687476174E1,7.363151451E1,2.407126726E2,4.079999924E0,1.029000015E2,3.790092468E0,2.500000000E0
6.062593159E1,1.687475466E1,7.363155154E1,2.414518494E2,4.059999943E0,1.051999969E2,3.790092468E0,2.500000000E0
6.162650857E1,1.687474432E1,7.363158966E1,2.418081026E2,4.110000134E0,1.045000000E2,3.790092468E0,2.500000000E0
6.262883914E1,1.687473192E1,7.363162951E1,2.418598589E2,4.219999790E0,1.073000031E2,3.790092468E0,2.500000000E0
6.362792513E1,1.687471849E1,7.363166908E1,2.419395113E2,4.300000191E0,1.125000000E2,3.790092468E0,2.500000000E0
6.462757852E1,1.687470280E1,7.363170753E1,2.428219047E2,4.389999866E0,1.160999985E2,3.790092468E0,2.500000000E0
6.562800258E1,1.687468458E1,7.363174822E1,2.434211652E2,4.519999981E0,1.145000000E2,3.790092468E0,2.500000000E0
6.662802883E1,1.687466589E1,7.363179071E1,2.439122128E2,4.630000114E0,1.150999985E2,3.790092468E0,2.500000000E0
6.762728492E1,1.687464675E1,7.363183200E1,2.436395283E2,4.699999809E0,1.179000015E2,3.790092468E0,2.500000000E0
6.862723711E1,1.687462383E1,7.363187429E1,2.437176253E2,4.750000000E0,1.185999985E2,3.790092468E0,2.500000000E0
6.962722055E1,1.687459966E1,7.363191585E1,2.447401229E2,4.949999809E0,1.190999985E2,3.790092468E0,2.500000000E0
7.062811445E1,1.687456724E1,7.363195576E1,2.453630488E2,5.250000000E0,1.210000000E2,3.790092468E0,2.500000000E0
7.162765362E1,1.687453679E1,7.363200113E1,2.461355073E2,5.579999924E0,1.221999969E2,3.790092468E0,2.500000000E0
7.262703315E1,1.687450474E1,7.363204506E1,2.469810292E2,5.739999771E0,1.226999969E2,3.790092468E0,2.500000000E0
7.362725856E1,1.687447515E1,7.363208662E1,2.478850748E2,5.860000134E0,1.260999985E2,3.790092468E0,2.500000000E0
7.462712820E1,1.687443617E1,7.363212851E1,2.483296778E2,5.980000019E0,1.306999969E2,3.790092468E0,2.500000000E0
7.562845810E1,1.687439784E1,7.363216980E1,2.491986558E2,6.139999866E0,1.341000061E2,3.790092468E0,2.500000000E0
7.662854731E1,1.687435741E1,7.363220466E1,2.498358258E2,6.380000114E0,1.356000061E2,3.790092468E0,2.500000000E0
7.762784856E1,1.687431408E1,7.363224844E1,2.502186149E2,6.719999790E0,1.373999939E2,3.790092468E0,2.500000000E0
7.862743023E1,1.687426730E1,7.363229262E1,2.508991448E2,6.820000172E0,1.380000000E2,3.790092468E0,2.500000000E0
7.962736778E1,1.687422321E1,7.363233608E1,2.509739528E2,6.500000000E0,1.378999939E2,3.790092468E0,2.500000000E0
8.062588216E1,1.687417471E1,7.363238039E1,2.510101400E2,6.699999809E0,1.398000031E2,3.790092468E0,2.500000000E0
8.162600288E1,1.687412340E1,7.363241964E1,2.511817706E2,7.000000000E0,1.415000000E2,3.790092468E0,2.500000000E0
