"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.261084000E-2,4.962115884E-1,8.704191208E0,-7.256234884E-1
6.228740300E-2,-4.516452923E-2,8.979664803E0,-1.080060363E0
9.562073600E-2,1.007976532E-1,8.031209946E0,-4.357928336E-1
1.289540690E-1,1.103689447E-1,9.137890816E0,-8.165507317E-1
1.622874020E-1,3.427718580E-1,9.712766647E0,-6.056832075E-1
1.956207350E-1,-2.751746178E-1,8.747262001E0,-4.477569461E-1
2.289540680E-1,-1.579262912E-1,8.888737679E0,-3.541377485E-1
2.622874010E-1,-1.483550072E-1,9.362815857E0,-3.206382394E-1
2.956207340E-1,1.079761237E-1,7.487142086E0,-3.661018610E-1
3.289540670E-1,-5.171487927E-1,9.492327690E0,-1.087238789E0
3.622874000E-1,-4.525425732E-1,9.516255379E0,-2.656033039E-1
3.956207330E-1,-2.847459018E-1,9.487542152E0,-4.549354017E-1
4.289540660E-1,-4.573282301E-1,8.720941544E0,-3.062812984E-1
4.622873990E-1,-4.573282301E-1,8.720941544E0,-3.062812984E-1
4.956207320E-1,-2.841476910E-2,8.927022934E0,-1.139880896E0
5.289540650E-1,5.054837838E-2,8.455039024E0,-4.597210586E-1
5.622873980E-1,-2.656033039E-1,8.368897438E0,-6.248258352E-1
5.956207310E-1,6.879364848E-1,8.457431793E0,3.475574851E-1
6.289540640E-1,-9.675976634E-1,7.357929707E0,-9.652048349E-1
6.622873970E-1,-1.531406492E-1,9.178568840E0,-1.918445587E0
6.956207300E-1,-9.604191780E-1,1.051047325E1,-6.873382926E-1
7.289540630E-1,1.097408295E0,1.186630630E1,-9.795617461E-1
7.622873960E-1,8.386843204E-1,1.282672596E1,-7.998009920E-1
7.956207290E-1,2.398804724E-1,9.945169449E0,-1.223928809E0
8.289540620E-1,-5.267201066E-1,9.700801849E0,1.438684613E-1
8.622873950E-1,3.044866920E-1,8.450253487E0,-3.110669553E-1
8.956207280E-1,-4.238287210E-1,5.491827011E0,-8.739784956E-1
9.289540610E-1,-3.349951804E-1,7.901698589E0,-1.278963685E0
9.622873940E-1,-5.985047817E-1,4.648656368E0,4.097708687E-2
9.956207270E-1,4.576273263E-2,1.219920826E1,1.392024517E0
1.028954060E0,-1.564008713E0,7.412964344E0,2.089233160E0
1.062287393E0,8.458628058E-1,1.127946663E1,-1.331605792E0
1.095620726E0,-9.098708034E-1,6.411568165E0,-1.209571838E0
1.128954059E0,-5.075774789E-1,7.578368187E0,-1.089631557E0
1.162287392E0,9.128618240E-1,1.252253819E1,-5.769693851E-1
1.195620725E0,3.140579537E-2,7.056134701E0,-9.675976634E-1
1.228954058E0,-3.541377485E-1,1.014616585E1,-2.129312992E0
1.262287391E0,-4.429712892E-1,5.994917870E0,2.183450572E-2
1.295620724E0,-9.098708034E-1,8.811868668E0,-2.057827413E-1
1.328954057E0,1.811366796E0,1.255603790E1,-6.897311211E-1
1.362287390E0,-8.333004713E-1,8.977272034E0,8.410771489E-1
1.395620723E0,5.679962635E-1,9.794121742E0,-6.873382926E-1
1.428954056E0,-2.464607358E-1,1.185912800E1,-3.541377485E-1
1.462287389E0,1.382453322E0,1.034267712E1,-7.710871100E-1
1.495620722E0,-5.793621540E-1,8.124529839E0,-9.747761488E-1
1.528954055E0,1.674676776E0,1.095344448E1,-2.105384827E0
1.562287388E0,5.129613280E-1,8.390432358E0,-1.755733609E0
1.595620721E0,1.008873820E0,7.135097980E0,1.465603895E-2
1.628954054E0,-1.986042857E-1,9.504291534E0,3.332005441E-1
1.662287387E0,-3.206382394E-1,8.917451859E0,8.985049129E-1
1.695620720E0,3.308077157E-1,1.082183933E1,-6.487540603E-1
1.728954053E0,-2.249253243E-1,9.058628082E0,-4.238287210E-1
1.762287386E0,9.969097376E-1,9.403793335E0,-1.547258973E0
1.795620719E0,-3.182454109E-1,8.816654205E0,7.956135273E-1
1.828954052E0,1.564606905E0,9.410971642E0,-3.828516304E-1
1.862287385E0,3.379862010E-2,8.862417221E0,-5.458626747E-1
1.895620718E0,-7.064808607E-1,6.428617001E0,2.685943544E-1
1.928954051E0,1.154836059E0,7.479963779E0,6.903293133E-1
1.962287384E0,4.237987995E0,1.278604794E1,-1.444068432E0
1.995620717E0,4.237987995E0,1.278604794E1,-1.444068432E0
2.028954050E0,2.496312141E0,8.193922043E0,-1.623829246E0
2.062287383E0,-2.024028778E0,9.556933403E0,5.536393523E-1
2.095620716E0,8.721838593E-1,1.153101254E1,2.231307179E-1
2.128954049E0,8.721838593E-1,1.153101254E1,2.231307179E-1
2.162287382E0,8.721838593E-1,1.153101254E1,2.231307179E-1
2.195620715E0,9.370891452E-1,8.253742218E0,-1.638186216E0
2.228954048E0,5.009972453E-1,8.610871315E0,-4.381856322E-1
2.262287381E0,1.028016448E0,1.308784294E1,-5.315057039E-1
2.295620714E0,1.238883972E0,6.823731899E0,2.829512656E-1
2.328954047E0,-5.386841893E-1,1.011984539E1,4.097708687E-2
2.362287380E0,-2.919243574E-1,7.676474094E0,-3.326023519E-1
2.395620713E0,-2.012064695E0,5.041378021E0,-6.176473498E-1
2.428954046E0,3.762713671E-1,1.324128246E1,-2.201097727E0
2.462287379E0,2.802892685E0,9.489934921E0,2.058126688E0
2.495620712E0,1.835294962E0,9.267103195E0,9.969097376E-1
2.528954045E0,-3.804588020E-1,1.159322548E1,-2.280359983E0
2.562287378E0,1.631605983E0,1.144935703E1,6.278168559E-1
2.595620711E0,6.421737671E-1,1.048893833E1,5.895316601E-1
2.628954044E0,7.812566161E-1,1.213938713E1,-1.420140266E0
2.662287377E0,-8.584251255E-2,1.193809128E1,-3.038884699E-1
2.695620710E0,-3.349951804E-1,8.768797874E0,1.770688772E0
2.728954043E0,1.507179141E0,1.089362431E1,7.405785918E-1
2.762287376E0,1.543071508E0,1.192612743E1,8.404789865E-2
2.795620709E0,2.901297510E-1,6.864409924E0,3.475574851E-1
2.828954042E0,1.914258122E0,7.762914658E0,-7.782655358E-1
2.862287375E0,-1.866401732E-1,1.085773182E1,-9.532406926E-1
2.895620708E0,-1.386640668E0,4.057030678E0,8.171489239E-1
2.928954041E0,8.434699774E-1,7.803592682E0,-5.578267574E-1
2.962287374E0,5.536393523E-1,1.026610661E1,-6.080760360E-1
2.995620707E0,1.489532143E-1,1.235743332E1,-4.070789516E-1
3.028954040E0,5.392823815E-1,1.039771175E1,5.823532343E-1
3.062287373E0,1.770688772E0,1.474098396E1,-1.650150299E0
3.095620706E0,-5.985047817E-1,8.864809990E0,1.044766188E0
3.128954039E0,3.509672642E0,1.126271725E1,-8.859425783E-1
3.162287372E0,7.166503668E-1,1.009113121E1,-2.919243574E-1
3.195620705E0,-3.320041299E-2,8.335397720E0,1.489532143E-1
3.228954038E0,9.514461160E-1,9.058628082E0,-8.500502706E-1
3.262287371E0,1.344168067E0,1.052004433E1,-1.899302959E0
3.295620704E0,-1.473081470E0,7.039385319E0,-1.698904037E-1
3.328954037E0,1.092622638E0,9.238389015E0,-1.269392371E0
3.362287370E0,-6.921239495E-1,8.531609535E0,-7.256234884E-1
3.395620703E0,5.344967842E-1,9.401400566E0,-4.429712892E-1
3.428954036E0,-5.865406394E-1,9.418149948E0,-3.637090325E-1
3.462287369E0,5.344967842E-1,7.537690639E0,-1.159023523E0
3.495620702E0,-1.944766641E0,8.831010818E0,-4.525425732E-1
3.528954035E0,9.729815125E-1,8.742476463E0,1.968096644E-1
3.562287368E0,1.068694472E0,9.916455269E0,-5.434698462E-1
3.595620701E0,6.038886309E-1,1.023021412E1,1.944168359E-1
3.628954034E0,-4.740779996E-1,6.620042801E0,1.813759565E0
3.662287367E0,3.810569942E-1,1.049611664E1,-2.110170364E0
3.695620700E0,-3.804588020E-1,8.083851814E0,-1.056132078E0
3.728954033E0,-6.296114326E-1,6.842874527E0,5.057829022E-1
3.762287366E0,6.014958024E-1,9.623932838E0,-1.333998680E0
3.795620699E0,-4.716851711E-1,7.724330425E0,-1.013061285E0
3.828954032E0,-1.025922745E-1,8.241778374E0,-3.397808075E-1
3.862287365E0,2.662015259E-1,9.461220741E0,-1.411765367E-1
3.895620698E0,1.133300662E0,9.779765129E0,-2.033899277E-1
3.928954031E0,6.927221417E-1,8.649156570E0,-4.788636267E-1
3.962287364E0,3.212364316E-1,9.643374443E0,-1.070489049E0
3.995620697E0,7.166503668E-1,9.434899330E0,-8.572286963E-1
4.028954030E0,1.151545867E-1,9.334101677E0,-4.836492836E-1
4.062287363E0,7.980063558E-1,1.062293625E1,-3.708875179E-1
4.095620696E0,7.262216806E-1,8.773583412E0,-5.952146277E-2
4.128954029E0,1.585244983E-1,1.032831955E1,6.445665956E-1
4.162287362E0,1.698604941E0,9.025128365E0,-3.559323773E-2
4.195620695E0,1.896311939E-1,9.145069122E0,-8.835497499E-1
4.228954028E0,4.459623098E-1,8.903095245E0,-4.238287210E-1
4.262287361E0,-1.698904037E-1,7.786843300E0,6.807580590E-1
4.295620694E0,1.981257200E0,1.053918743E1,-7.950153351E-1
4.328954027E0,-3.062812984E-1,8.086244583E0,2.662015259E-1
4.362287360E0,1.820937991E0,8.134101868E0,-3.278166950E-1
4.395620693E0,1.944168471E-2,9.267103195E0,-9.532406926E-1
4.428954026E0,1.394417405E0,1.129621696E1,-1.417747378E0
4.462287359E0,-1.962114573E-1,9.466006279E0,-9.723833203E-1
4.495620692E0,1.262812138E0,9.173783302E0,-1.339980662E-1
4.528954025E0,1.262812138E0,9.173783302E0,-1.339980662E-1
4.562287358E0,5.488536954E-1,8.002197266E0,-5.362913609E-1
4.595620691E0,1.680957973E-1,7.920841217E0,-4.142574072E-1
4.628954024E0,1.183549881E0,1.026849937E1,-3.565305769E-1
4.662287357E0,6.565307379E-1,8.831010818E0,-5.195416212E-1
4.695620690E0,1.585244983E-1,7.686045647E0,-3.804588020E-1
4.728954023E0,1.585244983E-1,7.686045647E0,-3.804588020E-1
4.762287356E0,-2.943171859E-1,8.811868668E0,1.465603895E-2
4.795620689E0,5.919244885E-1,1.007438183E1,-6.320042610E-1
4.828954022E0,1.207777262E0,8.799904823E0,-4.070789516E-1
4.862287355E0,5.512465239E-1,9.669695854E0,-6.487540603E-1
