"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,1.686402290E1,7.356879870E1,NaN,NaN,NaN,6.999990234E2,0.000000000E0
8.735290400E-2,1.687649420E1,7.356401380E1,NaN,NaN,NaN,2.500000000E3,0.000000000E0
3.127162968E0,1.686514197E1,7.356858471E1,1.456634842E2,0.000000000E0,NaN,1.393600082E1,2.400000000E1
4.122288540E0,1.686514952E1,7.356858908E1,1.478498639E2,0.000000000E0,NaN,8.576000214E0,1.600000000E1
5.117551457E0,1.686514313E1,7.356858505E1,1.479370403E2,0.000000000E0,NaN,7.504000187E0,1.600000000E1
6.115531300E0,1.686513076E1,7.356859051E1,1.470855809E2,0.000000000E0,NaN,5.360000134E0,1.200000000E1
7.115164737E0,1.686512278E1,7.356858597E1,1.464886801E2,0.000000000E0,NaN,5.360000134E0,1.200000000E1
8.116058643E0,1.686512071E1,7.356858319E1,1.468311535E2,0.000000000E0,NaN,4.288000107E0,8.000000000E0
9.125625257E0,1.686510830E1,7.356858074E1,1.487973782E2,0.000000000E0,NaN,3.216000080E0,8.000000000E0
1.012028146E1,1.686510683E1,7.356858306E1,1.479915368E2,1.800000072E-1,4.840000153E1,3.216000080E0,6.000000000E0
1.111702234E1,1.686511563E1,7.356858405E1,1.482562189E2,7.500000000E-1,3.290000153E1,3.216000080E0,6.000000000E0
1.211925135E1,1.686512646E1,7.356859283E1,1.486283203E2,1.460000038E0,2.450000000E1,3.216000080E0,6.000000000E0
1.312391875E1,1.686514174E1,7.356860501E1,1.488926212E2,2.440000057E0,3.250000000E1,3.216000080E0,6.000000000E0
1.411623880E1,1.686516189E1,7.356862213E1,1.488254882E2,3.279999971E0,3.429999924E1,3.216000080E0,6.000000000E0
1.512161015E1,1.686518856E1,7.356864609E1,1.494404059E2,4.110000134E0,3.750000000E1,3.216000080E0,6.000000000E0
1.611528020E1,1.686521829E1,7.356867691E1,1.499942210E2,4.800000191E0,4.940000153E1,3.216000080E0,4.000000000E0
1.711990551E1,1.686524266E1,7.356872528E1,1.502406280E2,5.179999828E0,4.909999847E1,3.216000080E0,4.000000000E0
1.811576197E1,1.686527506E1,7.356876215E1,1.509590496E2,5.570000172E0,5.179999924E1,3.216000080E0,4.000000000E0
1.911562874E1,1.686530747E1,7.356879938E1,1.512686579E2,5.519999981E0,5.300000000E1,3.216000080E0,4.000000000E0
2.011588843E1,1.686533956E1,7.356884044E1,1.524008399E2,5.789999962E0,5.100000000E1,3.216000080E0,4.000000000E0
2.111633103E1,1.686536676E1,7.356888120E1,1.517566090E2,5.679999828E0,5.020000076E1,3.216000080E0,4.000000000E0
2.212504859E1,1.686539372E1,7.356891543E1,1.517539772E2,5.110000134E0,5.129999924E1,3.216000080E0,4.000000000E0
2.312535004E1,1.686542991E1,7.356896230E1,1.531647136E2,5.409999847E0,5.190000153E1,3.216000080E0,4.000000000E0
2.411619942E1,1.686545658E1,7.356899846E1,1.534043932E2,5.340000153E0,5.209999847E1,3.216000080E0,4.000000000E0
2.513055129E1,1.686548727E1,7.356902988E1,1.529621729E2,5.079999924E0,5.059999847E1,3.216000080E0,4.000000000E0
2.612347588E1,1.686551572E1,7.356907096E1,1.530310731E2,5.079999924E0,5.129999924E1,3.216000080E0,4.000000000E0
2.711925103E1,1.686554600E1,7.356911239E1,1.530405193E2,5.269999981E0,5.109999847E1,3.216000080E0,4.000000000E0
