"event","experiment time","system time","system time text"
"START",0.000000000E0,1711704221.983,"2024-03-29 14:53:41.983 UTC+05:30"
"PAUSE",2.149421262E2,1711704436.925,"2024-03-29 14:57:16.925 UTC+05:30"
"START",2.149421262E2,1711704461.060,"2024-03-29 14:57:41.060 UTC+05:30"
"PAUSE",7.956034055E2,1711705041.721,"2024-03-29 15:07:21.721 UTC+05:30"
"START",7.956034055E2,1711705085.517,"2024-03-29 15:08:05.517 UTC+05:30"
"PAUSE",9.312316389E2,1711705221.145,"2024-03-29 15:10:21.145 UTC+05:30"
"START",9.312316389E2,1711705280.849,"2024-03-29 15:11:20.849 UTC+05:30"
"PAUSE",1.840538027E3,1711706190.155,"2024-03-29 15:26:30.155 UTC+05:30"
"START",1.840538027E3,1711706194.634,"2024-03-29 15:26:34.634 UTC+05:30"
"PAUSE",1.845310104E3,1711706199.406,"2024-03-29 15:26:39.406 UTC+05:30"
