"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.017001700E-2,-2.551048040E0,-8.180462122E-1,1.031785107E1
4.986579800E-2,-2.673082113E0,-5.617151260E-1,9.247062683E0
6.956923600E-2,-2.735295296E0,-3.939184248E-1,9.515357971E0
8.930855900E-2,-2.807080030E0,-3.101696372E-1,9.776176453E0
1.089917880E-1,-2.821736097E0,-2.476571500E-1,9.122337341E0
2.123648090E-1,-2.646760941E0,-8.180462122E-1,9.157032967E0
2.320562670E-1,-2.510071039E0,-7.986045480E-1,9.152247429E0
2.517549650E-1,-2.444268227E0,-8.371888399E-1,9.571589470E0
2.714614230E-1,-2.445464849E0,-9.352945685E-1,9.811170578E0
2.911637150E-1,-2.513660192E0,-9.113663435E-1,9.482755661E0
3.108668400E-1,-2.504088879E0,-8.132606149E-1,9.752247810E0
3.306061110E-1,-2.584547520E0,-7.316055298E-1,9.879366875E0
3.502627250E-1,-2.560619354E0,-1.019043326E0,9.127122879E0
3.699872050E-1,-2.532802820E0,-8.395816684E-1,9.510273933E0
3.897139750E-1,-2.625225544E0,-5.171487927E-1,9.485149384E0
4.093869960E-1,-2.637189627E0,-6.418746710E-1,9.281759262E0
4.290992880E-1,-2.730509758E0,-5.916253924E-1,9.444471359E0
4.487961110E-1,-2.944966555E0,-4.728815854E-1,9.865009308E0
4.685103820E-1,-2.764009237E0,-2.934198678E-1,9.711569786E0
4.882289750E-1,-2.762812853E0,-1.818545163E-1,9.533304214E0
5.079053820E-1,-2.679064035E0,-1.998006850E-1,9.470791817E0
5.276093920E-1,-2.604886532E0,-2.596212626E-1,9.577571869E0
5.473110590E-1,-2.475374937E0,-3.711866140E-1,9.742676735E0
5.670168400E-1,-2.451446772E0,-4.393820465E-1,9.536893845E0
5.867341320E-1,-2.447857618E0,-5.147559643E-1,9.491130829E0
6.064237670E-1,-2.457428932E0,-5.350949764E-1,9.387042999E0
6.261353300E-1,-2.440679073E0,-4.357928336E-1,9.272188187E0
6.458302780E-1,-2.366501570E0,-5.988038778E-1,8.727222443E0
6.655313190E-1,-2.612065077E0,-6.071787477E-1,9.093623161E0
6.852491320E-1,-2.533999205E0,-2.153540403E-1,9.668498993E0
7.049612150E-1,-2.681456804E0,-4.226323068E-1,9.832706451E0
7.246485590E-1,-2.674278498E0,-8.359923959E-1,9.654142380E0
7.443507980E-1,-2.531606436E0,-7.232306600E-1,9.930811882E0
7.640913710E-1,-2.499303341E0,-8.973085135E-2,9.845867157E0
7.837634030E-1,-2.437089920E0,-6.221338734E-2,9.403793335E0
8.034737150E-1,-2.588136673E0,-2.632104978E-2,9.298508644E0
8.231833500E-1,-2.683849812E0,-2.093719840E-1,9.597910881E0
8.428713710E-1,-2.762812853E0,-3.687937856E-1,9.620642662E0
8.625740280E-1,-2.927020311E0,-2.632105052E-1,9.527322769E0
8.822900170E-1,-2.843271494E0,-5.982056633E-2,9.369096756E0
9.020159030E-1,-2.809472799E0,5.054837838E-2,9.427721024E0
9.217049650E-1,-2.752045155E0,1.704886183E-2,9.493523598E0
9.413891840E-1,-2.781955481E0,1.944168471E-2,9.382257462E0
9.611258500E-1,-2.682653189E0,-8.494520187E-2,9.446864128E0
9.807971530E-1,-2.670689106E0,-9.810572863E-2,9.499505997E0
1.000525850E0,-2.640778780E0,-9.690931439E-2,9.462417603E0
1.020228246E0,-2.631207705E0,-1.615155339E-1,9.419346809E0
1.039919600E0,-2.614457846E0,-2.129612118E-1,9.494720459E0
1.059609496E0,-2.626421928E0,-1.950150430E-1,9.407382011E0
1.079315017E0,-2.467000246E0,-1.579262912E-1,9.694820404E0
1.099017257E0,-2.516052961E0,-1.543370634E-1,9.379864693E0
1.118746944E0,-2.665903568E0,-1.196411322E-3,9.703194618E0
1.138444028E0,-2.549851656E0,1.465603895E-2,9.422935486E0
1.158134184E0,-2.577368975E0,2.901297435E-2,9.471988678E0
1.177838611E0,-2.655135870E0,8.285148442E-2,9.521340370E0
1.197538767E0,-2.627618313E0,1.345962752E-2,9.436096191E0
1.217248298E0,-2.662314177E0,2.991028305E-4,9.424132347E0
1.236949392E0,-2.726920605E0,3.858426586E-2,9.505488396E0
1.256671371E0,-2.695813894E0,-1.052841991E-1,9.504291534E0
1.276353142E0,-2.663510799E0,-1.280160099E-1,9.517750740E0
1.296057882E0,-2.582154751E0,-1.674975902E-1,9.509077072E0
1.315791215E0,-2.542673111E0,-2.910270393E-1,9.551250458E0
1.335467778E0,-2.518445730E0,-2.273181528E-1,9.497113228E0
1.355166059E0,-2.520838737E0,-3.005983531E-1,9.565608025E0
1.374883090E0,-2.499303341E0,-3.915255964E-1,9.488738060E0
1.394578403E0,-2.481357098E0,-6.933203340E-1,9.208478928E0
1.414290642E0,-2.451446772E0,-3.903291821E-1,9.686445236E0
1.433988715E0,-2.487339020E0,-2.850449979E-1,9.317651749E0
1.453687673E0,-2.533999205E0,-2.742772996E-1,8.065905571E0
1.473406944E0,-2.649153709E0,-4.944169819E-1,1.038843918E1
1.493127725E0,-2.390429735E0,-2.285145670E-1,9.376275063E0
1.512801580E0,-2.167598248E0,3.140579760E-1,7.736593723E0
1.532509548E0,-2.341377020E0,8.291130662E-1,9.663713455E0
1.552208715E0,-2.680260420E0,1.257727385E0,1.052961636E1
1.571908871E0,-3.245564699E0,1.569093466E0,1.050329494E1
1.591626267E0,-3.131905794E0,1.156032443E0,1.072253704E1
1.611330955E0,-3.578466177E0,5.859424472E-1,1.055234814E1
1.631034965E0,-3.553341627E0,7.929216027E-1,1.008066273E1
1.650766267E0,-3.265903711E0,1.018146038E0,1.070219803E1
1.670451267E0,-3.023929596E0,1.105783105E0,1.054875851E1
1.690166840E0,-3.133102179E0,1.301994562E0,8.911469460E0
1.709848142E0,-3.224029303E0,7.139584422E-1,8.307880402E0
1.729542830E0,-3.226422310E0,-1.734796464E-1,8.716454506E0
1.749249913E0,-2.952144861E0,-7.268198729E-1,8.350951195E0
1.768951007E0,-3.136691332E0,-1.094716311E0,7.801199913E0
1.788661475E0,-3.300599813E0,-1.499402523E0,7.709076405E0
1.808361007E0,-2.952144861E0,-2.242074728E0,8.597710609E0
1.828065278E0,-2.837289333E0,-2.596511602E0,8.086244583E0
1.847799392E0,-3.430111170E0,-2.681756020E0,8.777471542E0
1.867482361E0,-2.864806890E0,-2.518744946E0,9.063713074E0
1.887185746E0,-1.633400559E0,-2.341377020E0,9.937990189E0
1.906880225E0,-8.859425783E-1,-2.293520451E0,1.100399303E1
1.926610694E0,1.347757339E0,-3.046960592E0,1.142333508E1
1.946300017E0,-9.110672474E-1,-1.602293849E0,1.006750202E1
1.966024913E0,-1.464407444E0,-1.050150037E0,1.074526882E1
1.985724757E0,-1.126720309E0,-7.208378315E-1,1.039920712E1
2.005393819E0,-6.789634377E-2,-9.209375978E-1,9.831509590E0
2.025086684E0,-1.834696770E0,-2.165504545E-1,9.946365356E0
2.044818246E0,-2.240579367E0,2.793620527E-1,9.902098656E0
2.064539548E0,-9.735797048E-1,-5.982056726E-3,9.480362892E0
2.084213246E0,-2.343769789E0,-6.658028960E-1,8.464909554E0
2.103954913E0,-3.687638760E0,-3.652045429E-1,1.171675491E1
2.123626423E0,-8.991031051E-1,-7.519445419E-1,8.472087860E0
2.143343715E0,-4.130609989E0,1.283151209E-1,9.495916367E0
2.163033559E0,-3.252743244E0,-4.022932947E-1,8.537890434E0
2.182765850E0,-3.767798424E0,-7.411768436E-1,1.020269680E1
2.202469653E0,-1.980658889E0,-1.168893814E0,9.172586441E0
2.222140225E0,-2.828914642E0,-1.274178028E0,9.049356461E0
2.241844600E0,-2.458625317E0,-1.524527073E0,9.676874161E0
2.261560017E0,-1.737488389E0,-1.542473316E0,9.497113228E0
2.281285434E0,-2.397608280E0,-1.433599830E0,8.919844627E0
2.300956319E0,-3.172583818E0,-9.149555564E-1,9.542876244E0
2.320656684E0,-3.657728434E0,-6.143572330E-1,9.862616539E0
2.340365225E0,-2.511267424E0,-5.964110494E-1,8.959325790E0
2.360067986E0,-2.590529680E0,-3.999004960E-1,1.005314541E1
2.379778559E0,-2.333002090E0,-4.034897089E-1,9.778569221E0
2.399512413E0,-2.482553482E0,-2.153540403E-1,9.717552185E0
2.419189392E0,-2.489732027E0,-2.368894368E-1,9.754640579E0
2.438882257E0,-2.317448616E0,-1.483550072E-1,9.023035049E0
2.458584757E0,-2.700599432E0,-2.886342406E-1,9.743872643E0
2.478288871E0,-2.641975403E0,-3.987040818E-1,9.786046028E0
2.498006059E0,-2.845664263E0,-2.440679073E-1,9.182157516E0
2.517696840E0,-2.659921408E0,-2.596212626E-1,9.608678818E0
2.537401371E0,-2.805883646E0,-3.197409213E-1,9.334401131E0
2.557108507E0,-2.779562712E0,-3.891327679E-1,9.282955170E0
2.576845278E0,-2.756830692E0,-4.824528694E-1,9.606286049E0
2.596513559E0,-2.830111027E0,-5.784648657E-1,9.613464355E0
2.616240955E0,-2.652743101E0,-5.916253924E-1,9.240781784E0
2.635929548E0,-2.614457846E0,-6.131607890E-1,9.794421196E0
2.655628559E0,-2.560619354E0,-5.952146053E-1,9.308079720E0
2.675330538E0,-2.618046999E0,-5.665007830E-1,9.715159416E0
2.695068246E0,-2.855235577E0,-5.964110494E-1,8.821739197E0
2.714737778E0,-2.334198475E0,-2.682952285E-1,1.042074299E1
2.734452048E0,-2.730509758E0,-3.556332588E-1,9.723533630E0
2.754143923E0,-2.282752752E0,-3.520440459E-1,8.691030502E0
2.773855642E0,-3.355933666E0,-2.213360965E-1,9.506684303E0
2.793588975E0,-2.061117649E0,-2.730808854E-1,9.662516594E0
2.813279861E0,-2.845664263E0,-3.281157911E-1,9.625428200E0
2.832978455E0,-3.107977629E0,-3.592225015E-1,9.265008926E0
2.852701580E0,-2.055135489E0,-3.209373355E-1,9.599106789E0
2.872395694E0,-2.580958366E0,-3.999004960E-1,9.536893845E0
2.892075642E0,-3.160619497E0,-3.340978622E-1,9.657731056E0
2.911777205E0,-2.376072884E0,-4.226323068E-1,9.250652313E0
2.931494809E0,-2.353341103E0,-4.788636267E-1,9.626625061E0
2.951218819E0,-3.037090063E0,-2.404786795E-1,9.662516594E0
2.970919340E0,-2.449054003E0,-3.221337497E-1,9.395418167E0
2.990591475E0,-2.258525372E0,-3.532404304E-1,9.533304214E0
3.010296371E0,-3.093620539E0,-1.136590764E-1,9.625428200E0
3.030034705E0,-2.246561289E0,-2.778665423E-1,9.056534767E0
3.049714809E0,-2.667099953E0,-3.245265782E-1,1.003489971E1
3.069406267E0,-2.918645382E0,-1.663011760E-1,9.216854095E0
3.089113038E0,-2.165205479E0,-3.113660514E-1,9.262616158E0
3.108816059E0,-2.976073265E0,1.226321608E-2,9.910472870E0
3.128535746E0,-2.234597206E0,-7.896314561E-2,8.836095810E0
3.148221111E0,-2.869592667E0,-1.328016520E-1,1.023619652E1
3.167939080E0,-2.257328987E0,-2.213360965E-1,8.989535332E0
3.187628663E0,-2.766402006E0,-1.040877849E-1,1.013210869E1
3.207337100E0,-2.298306227E0,-1.890329868E-1,9.037391663E0
3.227058038E0,-2.785544634E0,-3.939184248E-1,9.905687332E0
3.246777934E0,-2.122134686E0,-3.747758567E-1,9.296115875E0
3.266444913E0,-2.650350094E0,-3.113660514E-1,9.747462273E0
3.286161996E0,-2.136491537E0,-3.807578981E-1,9.194122314E0
3.305848350E0,-2.725723982E0,-4.668995142E-1,9.958329201E0
3.325557517E0,-2.269293070E0,-4.046861231E-1,9.248259544E0
3.345265330E0,-2.588136673E0,-1.674975902E-1,9.678070068E0
3.364967100E0,-2.546262503E0,-2.464607358E-1,9.379864693E0
3.384677465E0,-2.349751949E0,-2.632104978E-2,9.571589470E0
3.404389705E0,-2.946162939E0,-1.064806059E-1,9.745069504E0
3.424104653E0,-2.341377020E0,6.969095767E-2,9.371489525E0
3.443786163E0,-2.936591625E0,-3.828516230E-2,9.751050949E0
3.463523090E0,-2.731706142E0,-1.052841991E-1,9.125926018E0
3.483214809E0,-2.760420084E0,-7.417750359E-2,9.589535713E0
3.502919236E0,-3.039483070E0,-2.117647976E-1,9.818349838E0
3.522588767E0,-2.643171787E0,-9.212367237E-2,9.399007797E0
3.542339132E0,-2.830111027E0,-1.507478207E-1,9.624231339E0
3.562009444E0,-2.824128866E0,-2.177468538E-1,9.657731056E0
3.581744288E0,-2.819343328E0,-1.710868180E-1,9.115159035E0
3.601422205E0,-2.889931440E0,-2.440679073E-1,9.432506561E0
3.621107725E0,-3.198904753E0,-2.117647976E-1,8.833703041E0
3.640829288E0,-2.679064035E0,-1.710868180E-1,1.022423172E1
3.660528611E0,-3.100799084E0,-1.914258152E-1,9.180961609E0
3.680237673E0,-2.432304144E0,-3.412763178E-1,9.128319740E0
3.699969600E0,-3.101995468E0,-1.950150430E-1,9.875777245E0
3.719630903E0,-2.058724880E0,-1.519442350E-1,8.954540253E0
3.739341788E0,-3.128316402E0,-9.810572863E-2,9.874580383E0
3.759042621E0,-2.463410854E0,-2.189432681E-1,9.086444855E0
3.778748819E0,-3.057429075E0,-2.129612118E-1,9.591928482E0
3.798455798E0,-3.273082256E0,-1.902294010E-1,9.709177017E0
3.818159132E0,-2.474178553E0,-1.794617027E-1,9.068498611E0
3.837849340E0,-3.238386393E0,-2.404786795E-1,9.649356842E0
3.857554496E0,-3.381058455E0,-8.733802289E-2,9.660123825E0
3.877256267E0,-2.640778780E0,-1.543370634E-1,9.287740707E0
3.897010330E0,-2.201097727E0,-2.946162820E-1,9.583553314E0
3.916714444E0,-2.697010279E0,-2.464607358E-1,9.278169632E0
3.936386944E0,-3.208476067E0,-1.375873089E-1,9.619445801E0
3.956099288E0,-2.653939486E0,-1.232303679E-1,9.845867157E0
3.975825486E0,-2.502892494E0,-2.718844712E-1,9.276973724E0
3.995501059E0,-2.416750908E0,-2.356930375E-1,9.545269012E0
4.015207205E0,-2.596511602E0,-3.089732230E-1,9.273384094E0
4.034935382E0,-2.910270452E0,-3.041875660E-1,9.316454887E0
4.054608455E0,-2.901895761E0,-2.682952285E-1,9.596714020E0
4.074322048E0,-3.065804005E0,-3.293122053E-1,9.366703987E0
4.094047413E0,-2.639582396E0,-3.340978622E-1,9.833903313E0
4.113753194E0,-2.905484915E0,-3.699901998E-1,9.365508080E0
4.133437986E0,-2.554637194E0,-4.202394783E-1,9.820742607E0
4.153162100E0,-2.759223700E0,-4.513461590E-1,9.163015366E0
4.172829913E0,-2.590529680E0,-4.920241535E-1,9.798010826E0
4.192549184E0,-2.631207705E0,-5.183451772E-1,9.191729546E0
4.212267465E0,-2.483749866E0,-5.255236626E-1,9.906884193E0
4.231928455E0,-2.537588358E0,-6.406782866E-1,9.288937569E0
4.251645850E0,-2.475374937E0,-6.921239495E-1,1.005194855E1
4.271390121E0,-2.478964329E0,-7.423732281E-1,9.195318222E0
4.291108246E0,-2.300698996E0,-6.765705943E-1,1.000139999E1
4.310766163E0,-2.344966173E0,-6.957131624E-1,9.337990761E0
4.330464653E0,-2.226222277E0,-6.191428304E-1,9.994221687E0
4.350204653E0,-2.209472656E0,-6.047859192E-1,9.329615593E0
