"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,1.689008950E1,7.361222610E1,NaN,NaN,NaN,3.900000000E3,0.000000000E0
0.000000000E0,1.687042950E1,7.360781020E1,NaN,NaN,NaN,3.200000000E3,0.000000000E0
0.000000000E0,1.686520890E1,7.359640190E1,NaN,NaN,NaN,3.099999023E3,0.000000000E0
0.000000000E0,1.686520890E1,7.359640190E1,NaN,NaN,NaN,3.099999023E3,0.000000000E0
8.847410600E-2,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
4.678015884E0,1.687488897E1,7.362397660E1,1.957620691E2,2.300000042E-1,9.780000305E1,1.169445038E1,1.452939415E1
5.015622759E0,1.687491987E1,7.362397273E1,1.978591369E2,0.000000000E0,NaN,5.839912891E0,8.715489388E0
6.015566300E0,1.687492095E1,7.362396571E1,1.976917105E2,0.000000000E0,NaN,4.785743713E0,7.128712654E0
7.015827497E0,1.687489986E1,7.362394850E1,1.926624110E2,0.000000000E0,NaN,4.308058262E0,6.088425159E0
8.015651976E0,1.687487033E1,7.362391216E1,1.875286365E2,4.489999771E0,2.236000061E2,3.919189930E0,5.171172619E0
9.015349320E0,1.687483826E1,7.362386841E1,1.852662653E2,4.510000229E0,2.216999969E2,3.790092468E0,4.353815556E0
1.001648468E1,1.687479877E1,7.362383120E1,1.807252954E2,4.400000095E0,2.186000061E2,3.790092468E0,3.840742111E0
1.101545562E1,1.687478873E1,7.362382072E1,1.805956224E2,3.500000000E0,2.273999939E2,3.790092468E0,4.007602215E0
1.201594046E1,1.687477377E1,7.362379712E1,1.826405189E2,3.700000048E0,2.268000031E2,3.790092468E0,4.247229099E0
1.301589968E1,1.687475364E1,7.362376748E1,1.835097086E2,3.990000010E0,2.330000000E2,3.790092468E0,3.972726107E0
1.401467359E1,1.687473627E1,7.362374334E1,1.836307234E2,3.150000095E0,2.311999969E2,3.790092468E0,3.936814308E0
1.501537062E1,1.687472354E1,7.362372228E1,1.826933753E2,2.640000105E0,2.301000061E2,3.790092468E0,3.830813646E0
1.601647093E1,1.687470898E1,7.362370004E1,1.821127219E2,2.819999933E0,2.345000000E2,3.790092468E0,3.676359892E0
1.701934926E1,1.687469361E1,7.362367613E1,1.816007959E2,3.119999886E0,2.351999969E2,3.790092468E0,3.742621660E0
1.801512301E1,1.687467932E1,7.362364912E1,1.810393653E2,2.980000019E0,2.353999939E2,3.790092468E0,3.656891823E0
1.901553015E1,1.687466041E1,7.362362072E1,1.818102852E2,3.549999952E0,2.325000000E2,3.790092468E0,3.463566780E0
2.001397806E1,1.687463667E1,7.362359127E1,1.826197330E2,3.759999990E0,2.296000061E2,3.790092468E0,3.468253851E0
2.101497307E1,1.687461390E1,7.362356390E1,1.821587931E2,3.750000000E0,2.281000061E2,3.790092468E0,3.473475218E0
2.201645608E1,1.687459075E1,7.362353918E1,1.818896892E2,3.599999905E0,2.221000061E2,3.790092468E0,3.547713757E0
2.301696260E1,1.687456613E1,7.362351539E1,1.809543918E2,3.440000057E0,2.205000000E2,3.916001797E0,3.659627914E0
2.401530879E1,1.687453727E1,7.362349036E1,1.812271150E2,3.880000114E0,2.186000061E2,4.296205997E0,3.757287979E0
2.501583645E1,1.687450851E1,7.362346866E1,1.810988996E2,3.859999895E0,2.158999939E2,4.307364941E0,3.882660151E0
2.601558994E1,1.687447884E1,7.362344748E1,1.794926600E2,3.849999905E0,2.148999939E2,4.058970928E0,3.808541059E0
2.701584744E1,1.687444833E1,7.362342475E1,1.782116786E2,4.300000191E0,2.173999939E2,4.088068485E0,3.805042267E0
2.801647478E1,1.687441643E1,7.362339558E1,1.778343240E2,4.500000000E0,2.203999939E2,4.174762726E0,3.794882536E0
2.901481546E1,1.687438515E1,7.362335827E1,1.767020804E2,4.750000000E0,2.280000000E2,3.790092468E0,3.550847292E0
3.001603061E1,1.687435968E1,7.362332370E1,1.775748247E2,4.590000153E0,2.355000000E2,3.790092468E0,3.353966713E0
3.101520837E1,1.687433428E1,7.362328112E1,1.775099426E2,4.809999943E0,2.321000061E2,3.790092468E0,3.198340178E0
3.201704718E1,1.687430758E1,7.362324671E1,1.773293461E2,4.590000153E0,2.316000061E2,3.790092468E0,3.147089481E0
3.301645566E1,1.687428127E1,7.362321512E1,1.783122630E2,4.360000134E0,2.236999969E2,3.790092468E0,3.190225124E0
3.401720957E1,1.687425660E1,7.362318578E1,1.788924658E2,4.110000134E0,2.273000031E2,3.790092468E0,3.277920246E0
3.501682514E1,1.687423294E1,7.362316113E1,1.799478264E2,3.630000114E0,2.246000061E2,3.790092468E0,3.189635277E0
3.601773139E1,1.687421231E1,7.362314510E1,1.796217121E2,3.009999990E0,2.080000000E2,3.790092468E0,3.201038599E0
3.701628223E1,1.687419527E1,7.362313796E1,1.795267309E2,2.460000038E0,2.108000031E2,3.790092468E0,3.275113344E0
3.801709931E1,1.687417191E1,7.362313363E1,1.788794031E2,2.869999886E0,2.021000061E2,3.790092468E0,3.284647465E0
3.901671868E1,1.687414653E1,7.362313045E1,1.789236106E2,2.859999895E0,1.911999969E2,3.790092468E0,3.360674858E0
4.001703415E1,1.687411971E1,7.362312726E1,1.786521488E2,2.799999952E0,1.836000061E2,3.790092468E0,3.281661272E0
4.101810400E1,1.687409102E1,7.362312611E1,1.794244562E2,2.819999933E0,1.808999939E2,3.790092468E0,3.069831848E0
4.201533926E1,1.687406260E1,7.362312600E1,1.791888287E2,3.150000095E0,1.765000000E2,3.790092468E0,2.814952135E0
4.301656217E1,1.687403461E1,7.362312779E1,1.777447047E2,2.750000000E0,1.751000061E2,3.790092468E0,2.654304504E0
4.401754952E1,1.687400411E1,7.362313293E1,1.790492476E2,3.230000019E0,1.700000000E2,3.790092468E0,2.595637560E0
4.501788654E1,1.687397084E1,7.362314411E1,1.783989073E2,3.950000048E0,1.616000061E2,3.790092468E0,2.503700018E0
4.601652222E1,1.687393117E1,7.362315898E1,1.771948782E2,4.679999828E0,1.635000000E2,3.790092468E0,2.519987583E0
