"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.240963000E-2,1.213161111E0,7.161718369E0,6.278766632E0
3.325313600E-2,1.076770186E0,7.077969551E0,6.439085960E0
5.409664200E-2,1.103091240E0,7.137789726E0,6.257231236E0
7.497066600E-2,1.079162955E0,7.094718933E0,6.431907177E0
9.578365400E-2,1.134197950E0,7.130611420E0,6.348158360E0
1.166271600E-1,1.150947690E0,7.140182972E0,6.376872540E0
1.374706660E-1,1.134197950E0,7.128218651E0,6.381658077E0
1.583158560E-1,1.134197950E0,7.118647575E0,6.338587284E0
1.791898800E-1,1.153340459E0,7.128218651E0,6.321837425E0
2.000028680E-1,1.189232826E0,7.137789726E0,6.300302029E0
2.208463740E-1,1.213161111E0,7.128218651E0,6.300302029E0
2.416898800E-1,1.186840057E0,7.130611420E0,6.290730953E0
2.625028680E-1,1.261017561E0,7.101897717E0,6.297909260E0
2.833463740E-1,1.177268744E0,7.094718933E0,6.338587284E0
3.041898800E-1,1.220339537E0,7.123433113E0,6.324230194E0
3.250028680E-1,1.117448211E0,7.142575741E0,6.340980053E0
3.458463740E-1,1.167697430E0,7.147361279E0,6.309873104E0
3.666898800E-1,1.115055323E0,7.140182972E0,6.350551128E0
3.875028680E-1,1.119840980E0,7.152146816E0,6.326622963E0
4.083158560E-1,1.115055323E0,7.142575741E0,6.372086525E0
4.291593620E-1,1.136590719E0,7.161718369E0,6.326622963E0
4.499723510E-1,1.153340459E0,7.166503906E0,6.307480335E0
4.708158560E-1,1.136590719E0,7.161718369E0,6.305087566E0
4.916593620E-1,1.153340459E0,7.142575741E0,6.307480335E0
5.124723510E-1,1.229910851E0,7.125825882E0,6.307480335E0
5.332853390E-1,1.203589797E0,7.089933395E0,6.338587284E0
5.541288450E-1,1.143769264E0,7.082755089E0,6.379265308E0
5.749723510E-1,1.232303619E0,7.063612461E0,6.369693756E0
5.958463740E-1,1.131805062E0,7.116254330E0,6.343372822E0
6.166898800E-1,1.179661512E0,7.092326164E0,6.336194515E0
6.375028680E-1,1.110269666E0,7.149754047E0,6.331408501E0
6.583463740E-1,1.086341500E0,7.164111137E0,6.338587284E0
6.791898800E-1,1.060020447E0,7.200003147E0,6.317051888E0
7.000028680E-1,1.095912814E0,7.200003147E0,6.300302029E0
7.208463740E-1,1.076770186E0,7.183253765E0,6.324230194E0
7.416593620E-1,1.021735311E0,7.178467751E0,6.348158360E0
7.625333860E-1,1.036092162E0,7.168896675E0,6.364908218E0
7.833463740E-1,9.978070259E-1,7.137789726E0,6.407979012E0
8.041898800E-1,1.040877819E0,7.121040344E0,6.388836384E0
8.250028680E-1,1.040877819E0,7.111468792E0,6.388836384E0
8.458158560E-1,1.040877819E0,7.125825882E0,6.369693756E0
8.666593620E-1,9.738788009E-1,7.176074982E0,6.281159401E0
8.874723510E-1,1.031306505E0,7.080362320E0,6.436692715E0
9.083158560E-1,9.714859724E-1,7.092326164E0,6.448657036E0
9.291593620E-1,1.000199914E0,7.180860519E0,6.326622963E0
9.500028680E-1,9.690931439E-1,7.149754047E0,6.396014690E0
9.708158560E-1,9.643075466E-1,7.142575741E0,6.405586243E0
9.916593620E-1,9.978070259E-1,7.142575741E0,6.317051888E0
1.012472351E0,9.690931439E-1,7.135396957E0,6.369693756E0
1.033315856E0,1.052842021E0,7.128218651E0,6.362515450E0
1.054128845E0,1.007378340E0,7.142575741E0,6.329015732E0
1.074972351E0,1.074377418E0,7.094718933E0,6.393621922E0
1.095785339E0,1.060020447E0,7.089933395E0,6.355337143E0
1.116628845E0,1.098305583E0,7.116254330E0,6.324230194E0
1.137472351E0,1.100698471E0,7.075576782E0,6.364908218E0
1.158315856E0,1.110269666E0,7.073183537E0,6.362515450E0
1.179159362E0,1.148554921E0,7.106683254E0,6.355337143E0
1.200002868E0,1.110269666E0,7.111468792E0,6.374479294E0
1.220846374E0,1.165304661E0,7.123433113E0,6.360122681E0
1.241689880E0,1.160519004E0,7.104290485E0,6.309873104E0
1.262533386E0,1.182054400E0,7.123433113E0,6.338587284E0
1.283376892E0,1.158126116E0,7.152146816E0,6.336194515E0
1.304220397E0,1.153340459E0,7.133004189E0,6.345765591E0
1.325094421E0,1.153340459E0,7.101897717E0,6.338587284E0
1.345937927E0,1.179661512E0,7.113861561E0,6.348158360E0
1.366781433E0,1.153340459E0,7.116254330E0,6.379265308E0
1.387624938E0,1.146162033E0,7.063612461E0,6.400800705E0
1.408468444E0,1.143769264E0,7.044469833E0,6.372086525E0
1.429311950E0,1.155733347E0,7.056434155E0,6.396014690E0
1.450155456E0,1.170090318E0,7.073183537E0,6.403193474E0
1.470998962E0,1.141376376E0,7.082755089E0,6.364908218E0
1.491842468E0,1.162911773E0,7.080362320E0,6.367300987E0
1.512685974E0,1.143769264E0,7.087540627E0,6.364908218E0
1.533498962E0,1.117448211E0,7.128218651E0,6.343372822E0
1.554342468E0,1.134197950E0,7.147361279E0,6.312266350E0
1.575185974E0,1.146162033E0,7.130611420E0,6.352943897E0
1.596029479E0,1.153340459E0,7.142575741E0,6.333801746E0
1.616903503E0,1.170090318E0,7.166503906E0,6.362515450E0
1.637747009E0,1.201196909E0,7.137789726E0,6.393621922E0
1.658590515E0,1.241874933E0,7.121040344E0,6.324230194E0
1.679434020E0,1.237089276E0,7.111468792E0,6.329015732E0
