"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
0.000000000E0,1.687042950E1,7.360781020E1,NaN,NaN,NaN,3.200000000E3,0.000000000E0
2.054625630E-1,1.687042950E1,7.360781020E1,NaN,NaN,NaN,3.200000000E3,0.000000000E0
3.777755676E0,1.687487346E1,7.362391856E1,1.872667279E2,0.000000000E0,NaN,1.500800037E1,1.600000000E1
4.810521509E0,1.687487567E1,7.362392616E1,1.869179698E2,0.000000000E0,NaN,1.072000027E1,1.600000000E1
5.782403019E0,1.687488022E1,7.362393035E1,1.878012582E2,0.000000000E0,NaN,8.576000214E0,1.200000000E1
6.778047341E0,1.687488727E1,7.362393244E1,1.883039835E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
7.788981507E0,1.687488976E1,7.362393217E1,1.879370931E2,0.000000000E0,NaN,5.360000134E0,8.000000000E0
8.792881090E0,1.687489015E1,7.362392969E1,1.878100154E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
9.776161715E0,1.687488712E1,7.362392780E1,1.869942282E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.078319442E1,1.687488423E1,7.362392807E1,1.874744011E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.178447541E1,1.687488230E1,7.362393052E1,1.866821111E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.277338494E1,1.687488219E1,7.362392938E1,1.861679507E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.641078192E1,1.687487546E1,7.362392465E1,1.857348032E2,0.000000000E0,NaN,9.648000717E0,1.200000000E1
1.742571484E1,1.687487578E1,7.362392401E1,1.861030880E2,0.000000000E0,NaN,8.576000214E0,8.000000000E0
1.841932088E1,1.687487398E1,7.362392344E1,1.863353322E2,0.000000000E0,NaN,7.504000187E0,8.000000000E0
1.941178796E1,1.687487634E1,7.362392325E1,1.856887792E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
2.041692817E1,1.687487861E1,7.362392301E1,1.858604638E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
2.141035562E1,1.687488018E1,7.362392070E1,1.845188439E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
2.241062015E1,1.687485985E1,7.362389953E1,1.832037733E2,2.569999933E0,2.180000000E2,6.432000160E0,6.000000000E0
2.341621056E1,1.687482717E1,7.362385962E1,1.832000730E2,3.769999981E0,2.263999939E2,6.432000160E0,8.000000000E0
2.442483134E1,1.687479927E1,7.362382332E1,1.800293670E2,3.880000114E0,2.236999969E2,6.432000160E0,8.000000000E0
2.541657598E1,1.687477172E1,7.362379103E1,1.787894481E2,3.589999914E0,2.265000000E2,5.360000134E0,6.000000000E0
2.641590744E1,1.687474489E1,7.362375600E1,1.781873430E2,3.609999895E0,2.273999939E2,5.360000134E0,6.000000000E0
2.742051978E1,1.687471947E1,7.362372317E1,1.789746997E2,3.009999990E0,2.285000000E2,4.288000107E0,6.000000000E0
2.841348525E1,1.687470034E1,7.362369261E1,1.797518448E2,2.799999952E0,2.306999969E2,5.360000134E0,6.000000000E0
2.941612546E1,1.687468318E1,7.362365589E1,1.813418467E2,3.279999971E0,2.351999969E2,4.288000107E0,6.000000000E0
3.041223431E1,1.687466745E1,7.362361781E1,1.824994093E2,3.150000095E0,2.400000000E2,4.288000107E0,6.000000000E0
