"property","value"
"version","1.1.13"
"build","1011300"
"fileFormat","1.17"
"deviceModel","V2033"
"deviceBrand","vivo"
"deviceBoard","QC_Reference_Phone"
"deviceManufacturer","vivo"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","11"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","LIS2HH Accelerometer"
"accelerometer Vendor","STMicroelectronics"
"accelerometer Range","78.45318"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.18"
"accelerometer Version","1"
"linear_acceleration Name","AK09918-linear-acceleration"
"linear_acceleration Vendor","akm"
"linear_acceleration Range","78.4"
"linear_acceleration Resolution","0.1"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","20000"
"linear_acceleration Power","1.0"
"linear_acceleration Version","2"
"gravity Name","AK09918-gravity"
"gravity Vendor","akm"
"gravity Range","10.0"
"gravity Resolution","0.1"
"gravity MinDelay","10000"
"gravity MaxDelay","20000"
"gravity Power","1.0"
"gravity Version","2"
"gyroscope Name","AK09918-pseudo-gyro"
"gyroscope Vendor","akm"
"gyroscope Range","2000.0"
"gyroscope Resolution","0.1"
"gyroscope MinDelay","10000"
"gyroscope MaxDelay","20000"
"gyroscope Power","1.0"
"gyroscope Version","2"
"magnetic_field Name","AK09918 Magnetometer"
"magnetic_field Vendor","AKM"
"magnetic_field Range","4900.0"
"magnetic_field Resolution","0.1"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","20000"
"magnetic_field Power","1.1"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","stk3x3x light"
"light Vendor","Sensortek"
"light Range","26725.01"
"light Resolution","0.5399933"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.09"
"light Version","1"
"proximity Name","stk3x3x proximty"
"proximity Vendor","Sensortek"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.1"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","AK09918-ratation-vector"
"attitude Vendor","akm"
"attitude Range","360.0"
"attitude Resolution","0.1"
"attitude MinDelay","10000"
"attitude MaxDelay","20000"
"attitude Power","1.0"
"attitude Version","2"
