"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.383588300E-2,2.703889608E0,7.063612461E0,5.639883041E0
3.470727800E-2,1.081555843E0,7.590033531E0,7.010970116E0
5.555078400E-2,3.948157310E0,6.544369698E0,5.891129494E0
7.639429000E-2,1.150947690E0,8.085348129E0,5.970092297E0
9.723779500E-2,2.840280533E0,6.728617191E0,5.551348686E0
1.181118190E-1,1.801795483E0,7.929814339E0,6.250052929E0
1.389553250E-1,1.978864312E0,6.862615108E0,5.182853699E0
1.597988310E-1,2.421536446E0,8.030312538E0,5.288137913E0
1.806728540E-1,1.488335729E0,6.752545357E0,5.118247509E0
2.015163600E-1,2.708675146E0,7.788637638E0,5.661418438E0
2.223598660E-1,1.332802176E0,7.147361279E0,5.149354458E0
2.432033720E-1,2.758924484E0,7.613961697E0,5.146961689E0
2.640773950E-1,1.459621787E0,6.920042992E0,5.280959606E0
2.849209010E-1,2.586641312E0,7.544569969E0,5.584847927E0
3.057644070E-1,1.682154298E0,7.420143127E0,5.343173027E0
3.266384300E-1,2.380858421E0,7.276573658E0,5.242674351E0
3.474819360E-1,1.907079697E0,7.269395351E0,5.594419479E0
3.683254420E-1,2.258824587E0,7.386643410E0,5.625525951E0
3.891994650E-1,2.062613010E0,7.381857872E0,5.749952793E0
4.100429710E-1,2.230110645E0,7.137789726E0,5.692524910E0
4.309169950E-1,2.136790514E0,7.341179848E0,6.020341873E0
4.517605000E-1,2.340180635E0,7.025327206E0,5.771488190E0
4.726040060E-1,2.222932339E0,7.341179848E0,6.230910301E0
4.934475120E-1,2.029113531E0,7.652246952E0,5.946164131E0
5.143215360E-1,2.258824587E0,8.726624489E0,7.140182972E0
5.351650420E-1,2.266003132E0,7.027719975E0,6.094519138E0
5.560390650E-1,2.143969059E0,8.042277336E0,6.422336102E0
5.768825710E-1,2.366501570E0,7.037291527E0,5.644668579E0
5.977260770E-1,2.230110645E0,7.781459332E0,6.273981094E0
6.185695830E-1,2.282752752E0,6.611369133E0,5.391029358E0
6.394436060E-1,2.285145521E0,7.932207108E0,5.903093338E0
6.602871120E-1,2.129612207E0,6.774080753E0,5.111069202E0
6.811306180E-1,2.407179594E0,8.116454124E0,5.584847927E0
7.020046410E-1,2.419143677E0,6.209374905E0,4.295116425E0
7.228481470E-1,1.473978758E0,7.936992645E0,5.369493961E0
7.436916530E-1,2.414358139E0,7.322037220E0,5.221138954E0
7.645656760E-1,1.648654819E0,7.300501823E0,5.982056618E0
7.854091820E-1,2.445464849E0,6.501298904E0,5.218746185E0
8.062526880E-1,2.366501570E0,7.551748276E0,6.104090691E0
8.270961940E-1,2.545963287E0,6.238088608E0,5.166104317E0
8.479702170E-1,2.550748825E0,7.707281590E0,5.929414749E0
8.688137230E-1,2.024327993E0,7.073183537E0,5.496313572E0
8.896572290E-1,2.333002090E0,7.956135273E0,5.840879917E0
9.105007350E-1,1.737189293E0,7.338787079E0,5.424529076E0
9.313442410E-1,2.072184324E0,8.075776100E0,6.068198204E0
9.522182640E-1,1.703689694E0,7.044469833E0,5.644668579E0
9.730617700E-1,1.976471543E0,8.030312538E0,6.178267956E0
9.939052760E-1,1.966900229E0,7.056434155E0,5.613562107E0
1.014748782E0,2.146361828E0,7.992027760E0,6.427121639E0
1.035622805E0,2.244467735E0,6.826723099E0,5.742774487E0
1.056466311E0,2.120040894E0,7.972885132E0,6.151947021E0
1.077309817E0,2.196611166E0,7.022934437E0,5.608776093E0
1.098153323E0,2.165504456E0,7.716853142E0,6.477370739E0
1.118996829E0,2.134397745E0,6.735795975E0,5.836094379E0
1.139870852E0,2.189432621E0,7.853243828E0,6.273981094E0
1.160714358E0,2.132004976E0,6.824330330E0,5.680561066E0
1.181557864E0,2.301895380E0,7.781459332E0,6.455835342E0
1.202431887E0,2.093719721E0,6.790830612E0,5.824130535E0
1.223275393E0,2.258824587E0,7.932207108E0,6.128018856E0
1.244118899E0,2.041077614E0,7.180860519E0,5.680561066E0
1.264962405E0,2.275574446E0,8.032705307E0,6.563512325E0
1.285805911E0,2.026720762E0,6.812366009E0,5.879165173E0
1.306679934E0,2.213361025E0,8.102097511E0,6.604190350E0
1.327523440E0,1.935793519E0,7.393822193E0,5.603990555E0
1.348366946E0,1.957328916E0,8.109275818E0,5.536991596E0
