x_acc,y_acc,z_acc,Lat,Lng,Time
1.6,9.303,1.878,16.8569392,73.5483279,2024-02-07 13:27:48:106
-0.988,9.959,2.752,16.8569392,73.5483279,2024-02-07 13:27:48:106
1.849,8.997,2.412,16.8569392,73.5483279,2024-02-07 13:27:48:106
-0.502,9.48,3.262,16.8569392,73.5483279,2024-02-07 13:27:48:118
0.879,9.097,2.222,16.8569392,73.5483279,2024-02-07 13:27:48:131
0.245,9.947,2.457,16.8569392,73.5483279,2024-02-07 13:27:48:151
0.551,9.224,2.479,16.8569392,73.5483279,2024-02-07 13:27:48:171
0.213,9.14,3.492,16.8569392,73.5483279,2024-02-07 13:27:48:191
1.207,9.313,1.961,16.8569392,73.5483279,2024-02-07 13:27:48:211
-0.945,9.842,2.785,16.8569392,73.5483279,2024-02-07 13:27:48:231
2.01,9.251,2.179,16.8569392,73.5483279,2024-02-07 13:27:48:252
-0.736,9.241,3.485,16.8569392,73.5483279,2024-02-07 13:27:48:272
1.14,9.109,2.316,16.8569392,73.5483279,2024-02-07 13:27:48:291
0.185,10.012,2.297,16.8569392,73.5483279,2024-02-07 13:27:48:317
0.4,9.265,2.562,16.8569392,73.5483279,2024-02-07 13:27:48:336
0.673,9.107,3.243,16.8569392,73.5483279,2024-02-07 13:27:48:351
0.534,9.277,2.39,16.8569392,73.5483279,2024-02-07 13:27:48:371
-0.169,9.878,2.385,16.8569392,73.5483279,2024-02-07 13:27:48:391
1.363,9.205,2.598,16.8569392,73.5483279,2024-02-07 13:27:48:411
-0.3,9.277,3.053,16.8569392,73.5483279,2024-02-07 13:27:48:433
0.987,9.222,2.476,16.8569392,73.5483279,2024-02-07 13:27:48:452
0.072,9.718,2.443,16.8569392,73.5483279,2024-02-07 13:27:48:471
0.652,9.48,2.493,16.8569392,73.5483279,2024-02-07 13:27:48:491
0.333,9.095,3.075,16.8569392,73.5483279,2024-02-07 13:27:48:511
0.733,9.262,2.63,16.8569392,73.5483279,2024-02-07 13:27:48:541
0.0,9.679,2.34,16.8569392,73.5483279,2024-02-07 13:27:48:561
0.757,9.605,2.507,16.8569392,73.5483279,2024-02-07 13:27:48:581
0.537,9.03,2.857,16.8569392,73.5483279,2024-02-07 13:27:48:601
0.075,9.224,2.974,16.8569392,73.5483279,2024-02-07 13:27:48:622
0.989,9.672,1.966,16.8569392,73.5483279,2024-02-07 13:27:48:641
-0.226,9.593,2.847,16.8569392,73.5483279,2024-02-07 13:27:48:661
1.203,9.042,2.68,16.8569392,73.5483279,2024-02-07 13:27:48:681
-0.044,9.334,2.919,16.8569392,73.5483279,2024-02-07 13:27:48:702
0.589,9.631,2.146,16.8569392,73.5483279,2024-02-07 13:27:48:721
0.463,9.586,2.644,16.8569392,73.5483279,2024-02-07 13:27:48:744
0.384,9.057,2.869,16.8569392,73.5483279,2024-02-07 13:27:48:768
0.589,9.279,2.824,16.8569392,73.5483279,2024-02-07 13:27:48:783
0.304,9.722,2.093,16.8569392,73.5483279,2024-02-07 13:27:48:806
0.381,9.466,2.845,16.8569392,73.5483279,2024-02-07 13:27:48:827
0.886,9.071,2.582,16.8569392,73.5483279,2024-02-07 13:27:48:844
