x_acc,y_acc,z_acc,Lat,Lng,Time
2.393,9.033,0.481,16.8588967,73.5244033,2024-02-07 13:40:02:216
5.035,8.463,-0.517,16.8588967,73.5244033,2024-02-07 13:40:02:216
5.195,8.762,0.258,16.8588967,73.5244033,2024-02-07 13:40:02:216
2.565,9.071,0.843,16.8588967,73.5244033,2024-02-07 13:40:02:220
-1.397,9.251,1.195,16.8588967,73.5244033,2024-02-07 13:40:02:225
-4.77,10.0,2.618,16.8588967,73.5244033,2024-02-07 13:40:02:234
-5.718,10.8,4.409,16.8588967,73.5244033,2024-02-07 13:40:02:236
-3.845,10.735,4.299,16.8588967,73.5244033,2024-02-07 13:40:02:240
-0.106,9.835,2.127,16.8588967,73.5244033,2024-02-07 13:40:02:244
3.691,8.724,-0.167,16.8588967,73.5244033,2024-02-07 13:40:02:249
5.698,8.463,-1.01,16.8588967,73.5244033,2024-02-07 13:40:02:254
4.819,8.762,-0.337,16.8588967,73.5244033,2024-02-07 13:40:02:259
1.49,9.243,0.766,16.8588967,73.5244033,2024-02-07 13:40:02:274
-2.77,9.909,2.012,16.8588967,73.5244033,2024-02-07 13:40:02:274
-5.644,10.75,3.667,16.8588967,73.5244033,2024-02-07 13:40:02:276
-5.809,11.167,4.342,16.8588967,73.5244033,2024-02-07 13:40:02:285
-3.134,10.52,2.809,16.8588967,73.5244033,2024-02-07 13:40:02:285
1.198,9.382,0.393,16.8588967,73.5244033,2024-02-07 13:40:02:289
4.934,8.769,-0.682,16.8588967,73.5244033,2024-02-07 13:40:02:294
6.213,8.939,-0.181,16.8588967,73.5244033,2024-02-07 13:40:02:304
4.244,9.124,0.23,16.8588967,73.5244033,2024-02-07 13:40:02:306
0.108,9.203,0.663,16.8588967,73.5244033,2024-02-07 13:40:02:316
-4.073,9.928,2.275,16.8588967,73.5244033,2024-02-07 13:40:02:317
-6.094,10.793,4.495,16.8588967,73.5244033,2024-02-07 13:40:02:324
-5.134,10.664,4.804,16.8588967,73.5244033,2024-02-07 13:40:02:324
-1.687,9.842,2.965,16.8588967,73.5244033,2024-02-07 13:40:02:332
2.505,8.661,0.613,16.8588967,73.5244033,2024-02-07 13:40:02:338
5.351,8.19,-0.804,16.8588967,73.5244033,2024-02-07 13:40:02:339
5.48,8.489,-0.629,16.8588967,73.5244033,2024-02-07 13:40:02:350
2.834,9.229,0.359,16.8588967,73.5244033,2024-02-07 13:40:02:350
-1.299,9.995,1.494,16.8588967,73.5244033,2024-02-07 13:40:02:354
-4.731,10.8,2.943,16.8588967,73.5244033,2024-02-07 13:40:02:359
-5.67,11.411,4.033,16.8588967,73.5244033,2024-02-07 13:40:02:369
-3.855,10.922,2.95,16.8588967,73.5244033,2024-02-07 13:40:02:369
-0.135,9.667,0.654,16.8588967,73.5244033,2024-02-07 13:40:02:374
3.607,8.805,-0.325,16.8588967,73.5244033,2024-02-07 13:40:02:383
5.463,8.853,0.311,16.8588967,73.5244033,2024-02-07 13:40:02:384
4.299,8.805,0.5,16.8588967,73.5244033,2024-02-07 13:40:02:389
1.004,8.774,0.742,16.8588967,73.5244033,2024-02-07 13:40:02:394
-2.755,9.564,2.239,16.8588967,73.5244033,2024-02-07 13:40:02:400
-5.002,10.515,4.273,16.8588967,73.5244033,2024-02-07 13:40:02:405
-4.669,10.642,4.462,16.8588967,73.5244033,2024-02-07 13:40:02:409
-1.96,10.149,2.893,16.8588967,73.5244033,2024-02-07 13:40:02:417
1.627,9.234,0.589,16.8588967,73.5244033,2024-02-07 13:40:02:419
4.354,8.664,-0.914,16.8588967,73.5244033,2024-02-07 13:40:02:424
4.73,8.776,-0.718,16.8588967,73.5244033,2024-02-07 13:40:02:429
2.618,9.267,0.364,16.8588967,73.5244033,2024-02-07 13:40:02:443
-0.95,9.833,1.554,16.8588967,73.5244033,2024-02-07 13:40:02:443
-4.089,10.489,2.924,16.8588967,73.5244033,2024-02-07 13:40:02:444
-5.067,11.004,4.112,16.8588967,73.5244033,2024-02-07 13:40:02:450
-3.479,10.582,3.326,16.8588967,73.5244033,2024-02-07 13:40:02:454
-0.042,9.478,1.075,16.8588967,73.5244033,2024-02-07 13:40:02:459
3.461,8.69,-0.169,16.8588967,73.5244033,2024-02-07 13:40:02:468
5.209,8.822,0.218,16.8588967,73.5244033,2024-02-07 13:40:02:469
4.134,9.035,0.491,16.8588967,73.5244033,2024-02-07 13:40:02:473
0.908,9.148,0.548,16.8588967,73.5244033,2024-02-07 13:40:02:479
-2.88,9.761,1.679,16.8588967,73.5244033,2024-02-07 13:40:02:485
-5.067,10.695,3.767,16.8588967,73.5244033,2024-02-07 13:40:02:488
-4.705,10.75,4.402,16.8588967,73.5244033,2024-02-07 13:40:02:494
-1.96,10.074,3.121,16.8588967,73.5244033,2024-02-07 13:40:02:501
1.725,9.145,1.197,16.8588967,73.5244033,2024-02-07 13:40:02:504
4.51,8.448,-0.481,16.8588967,73.5244033,2024-02-07 13:40:02:509
4.932,8.395,-0.852,16.8588967,73.5244033,2024-02-07 13:40:02:519
2.826,9.009,0.182,16.8588967,73.5244033,2024-02-07 13:40:02:520
-0.724,9.84,1.576,16.8588967,73.5244033,2024-02-07 13:40:02:523
-4.061,10.515,2.745,16.8588967,73.5244033,2024-02-07 13:40:02:529
-5.275,11.073,3.705,16.8588967,73.5244033,2024-02-07 13:40:02:534
-3.85,10.968,3.279,16.8588967,73.5244033,2024-02-07 13:40:02:539
-0.463,10.0,1.279,16.8588967,73.5244033,2024-02-07 13:40:02:544
3.164,8.932,-0.282,16.8588967,73.5244033,2024-02-07 13:40:02:551
5.174,8.8,-0.049,16.8588967,73.5244033,2024-02-07 13:40:02:554
4.469,8.903,0.515,16.8588967,73.5244033,2024-02-07 13:40:02:560
1.425,8.891,0.74,16.8588967,73.5244033,2024-02-07 13:40:02:568
-2.408,9.401,1.784,16.8588967,73.5244033,2024-02-07 13:40:02:569
-4.942,10.352,3.817,16.8588967,73.5244033,2024-02-07 13:40:02:574
-4.976,10.69,4.613,16.8588967,73.5244033,2024-02-07 13:40:02:579
-2.451,10.278,3.36,16.8588967,73.5244033,2024-02-07 13:40:02:585
1.239,9.519,1.387,16.8588967,73.5244033,2024-02-07 13:40:02:588
