x_acc,y_acc,z_acc,Lat,Lng,Time
-0.078,9.617,1.784,16.8557383,73.47911,2024-02-07 13:55:19:730
-0.171,9.641,1.789,16.8557383,73.47911,2024-02-07 13:55:19:730
-0.312,9.65,1.798,16.8557383,73.47911,2024-02-07 13:55:19:730
-0.389,9.631,1.873,16.8557383,73.47911,2024-02-07 13:55:19:730
-0.334,9.598,1.904,16.8557383,73.47911,2024-02-07 13:55:19:742
-0.205,9.55,1.875,16.8557383,73.47911,2024-02-07 13:55:19:742
-0.061,9.567,1.83,16.8557383,73.47911,2024-02-07 13:55:19:749
0.027,9.598,1.729,16.8557383,73.47911,2024-02-07 13:55:19:749
-0.013,9.665,1.676,16.8557383,73.47911,2024-02-07 13:55:19:755
-0.133,9.718,1.698,16.8557383,73.47911,2024-02-07 13:55:19:758
-0.25,9.689,1.674,16.8557383,73.47911,2024-02-07 13:55:19:763
-0.274,9.586,1.818,16.8557383,73.47911,2024-02-07 13:55:19:768
-0.291,9.526,1.985,16.8557383,73.47911,2024-02-07 13:55:19:778
-0.303,9.464,2.007,16.8557383,73.47911,2024-02-07 13:55:19:778
-0.272,9.485,1.942,16.8557383,73.47911,2024-02-07 13:55:19:783
-0.279,9.55,1.909,16.8557383,73.47911,2024-02-07 13:55:19:799
-0.241,9.634,1.801,16.8557383,73.47911,2024-02-07 13:55:19:800
-0.14,9.763,1.566,16.8557383,73.47911,2024-02-07 13:55:19:800
-0.047,9.847,1.535,16.8557383,73.47911,2024-02-07 13:55:19:815
-0.003,9.849,1.559,16.8557383,73.47911,2024-02-07 13:55:19:815
-0.154,9.835,1.528,16.8557383,73.47911,2024-02-07 13:55:19:815
-0.368,9.768,1.576,16.8557383,73.47911,2024-02-07 13:55:19:819
-0.48,9.689,1.784,16.8557383,73.47911,2024-02-07 13:55:19:829
-0.439,9.576,1.969,16.8557383,73.47911,2024-02-07 13:55:19:829
-0.277,9.411,2.021,16.8557383,73.47911,2024-02-07 13:55:19:833
-0.061,9.301,2.055,16.8557383,73.47911,2024-02-07 13:55:19:840
0.13,9.346,2.06,16.8557383,73.47911,2024-02-07 13:55:19:843
0.17,9.428,1.885,16.8557383,73.47911,2024-02-07 13:55:19:848
0.017,9.531,1.755,16.8557383,73.47911,2024-02-07 13:55:19:853
-0.257,9.744,1.765,16.8557383,73.47911,2024-02-07 13:55:19:858
-0.473,9.864,1.626,16.8557383,73.47911,2024-02-07 13:55:19:863
-0.566,9.852,1.497,16.8557383,73.47911,2024-02-07 13:55:19:868
-0.456,9.873,1.691,16.8557383,73.47911,2024-02-07 13:55:19:874
-0.269,9.773,1.798,16.8557383,73.47911,2024-02-07 13:55:19:878
-0.075,9.615,1.703,16.8557383,73.47911,2024-02-07 13:55:19:883
0.041,9.488,1.82,16.8557383,73.47911,2024-02-07 13:55:19:890
0.017,9.504,2.033,16.8557383,73.47911,2024-02-07 13:55:19:893
-0.111,9.447,1.969,16.8557383,73.47911,2024-02-07 13:55:19:898
-0.248,9.421,1.83,16.8557383,73.47911,2024-02-07 13:55:19:903
-0.341,9.545,1.971,16.8557383,73.47911,2024-02-07 13:55:19:908
-0.358,9.646,1.901,16.8557383,73.47911,2024-02-07 13:55:19:913
-0.305,9.679,1.645,16.8557383,73.47911,2024-02-07 13:55:19:918
-0.257,9.761,1.585,16.8557383,73.47911,2024-02-07 13:55:19:925
-0.178,9.825,1.65,16.8557383,73.47911,2024-02-07 13:55:19:928
-0.123,9.785,1.578,16.8557383,73.47911,2024-02-07 13:55:19:933
-0.104,9.677,1.576,16.8557383,73.47911,2024-02-07 13:55:19:942
-0.133,9.619,1.82,16.8557383,73.47911,2024-02-07 13:55:19:945
-0.224,9.543,1.978,16.8557383,73.47911,2024-02-07 13:55:19:948
-0.315,9.454,1.933,16.8557383,73.47911,2024-02-07 13:55:19:953
-0.358,9.464,1.976,16.8557383,73.47911,2024-02-07 13:55:19:958
-0.346,9.516,2.024,16.8557383,73.47911,2024-02-07 13:55:19:963
-0.221,9.571,1.901,16.8557383,73.47911,2024-02-07 13:55:19:968
-0.121,9.607,1.734,16.8557383,73.47911,2024-02-07 13:55:19:975
-0.056,9.679,1.727,16.8557383,73.47911,2024-02-07 13:55:19:978
-0.099,9.741,1.662,16.8557383,73.47911,2024-02-07 13:55:19:983
-0.205,9.744,1.633,16.8557383,73.47911,2024-02-07 13:55:19:992
-0.3,9.722,1.691,16.8557383,73.47911,2024-02-07 13:55:19:993
-0.351,9.677,1.777,16.8557383,73.47911,2024-02-07 13:55:19:998
-0.296,9.586,1.87,16.8557383,73.47911,2024-02-07 13:55:20:003
-0.214,9.507,1.909,16.8557383,73.47911,2024-02-07 13:55:20:009
-0.159,9.49,1.947,16.8557383,73.47911,2024-02-07 13:55:20:013
-0.102,9.485,1.913,16.8557383,73.47911,2024-02-07 13:55:20:018
-0.126,9.543,1.844,16.8557383,73.47911,2024-02-07 13:55:20:026
-0.195,9.615,1.813,16.8557383,73.47911,2024-02-07 13:55:20:028
-0.233,9.67,1.763,16.8557383,73.47911,2024-02-07 13:55:20:036
-0.238,9.701,1.712,16.8557383,73.47911,2024-02-07 13:55:20:042
-0.25,9.713,1.71,16.8557383,73.47911,2024-02-07 13:55:20:046
-0.277,9.701,1.712,16.8557383,73.47911,2024-02-07 13:55:20:048
-0.248,9.701,1.746,16.8557383,73.47911,2024-02-07 13:55:20:053
-0.217,9.653,1.782,16.8557383,73.47911,2024-02-07 13:55:20:060
-0.176,9.595,1.82,16.8557383,73.47911,2024-02-07 13:55:20:063
-0.147,9.576,1.863,16.8557383,73.47911,2024-02-07 13:55:20:068
-0.147,9.536,1.868,16.8557383,73.47911,2024-02-07 13:55:20:076
-0.154,9.536,1.866,16.8557383,73.47911,2024-02-07 13:55:20:078
-0.2,9.569,1.873,16.8557383,73.47911,2024-02-07 13:55:20:083
-0.255,9.622,1.825,16.8557383,73.47911,2024-02-07 13:55:20:088
-0.291,9.667,1.76,16.8557383,73.47911,2024-02-07 13:55:20:093
-0.25,9.701,1.722,16.8557383,73.47911,2024-02-07 13:55:20:098
-0.219,9.708,1.729,16.8557383,73.47911,2024-02-07 13:55:20:103
-0.15,9.689,1.731,16.8557383,73.47911,2024-02-07 13:55:20:110
-0.15,9.655,1.748,16.8557383,73.47911,2024-02-07 13:55:20:114
-0.15,9.634,1.784,16.8557383,73.47911,2024-02-07 13:55:20:119
-0.174,9.598,1.82,16.8557383,73.47911,2024-02-07 13:55:20:122
-0.229,9.555,1.87,16.8557383,73.47911,2024-02-07 13:55:20:128
-0.229,9.538,1.873,16.8557383,73.47911,2024-02-07 13:55:20:132
-0.212,9.567,1.889,16.8557383,73.47911,2024-02-07 13:55:20:137
-0.219,9.598,1.832,16.8557383,73.47911,2024-02-07 13:55:20:144
-0.193,9.617,1.777,16.8557383,73.47911,2024-02-07 13:55:20:148
-0.169,9.67,1.729,16.8557383,73.47911,2024-02-07 13:55:20:153
-0.152,9.686,1.722,16.8557383,73.47911,2024-02-07 13:55:20:165
-0.176,9.679,1.717,16.8557383,73.47911,2024-02-07 13:55:20:165
-0.174,9.65,1.729,16.8557383,73.47911,2024-02-07 13:55:20:168
-0.181,9.643,1.779,16.8557383,73.47911,2024-02-07 13:55:20:172
-0.226,9.622,1.801,16.8557383,73.47911,2024-02-07 13:55:20:177
-0.229,9.576,1.813,16.8557383,73.47911,2024-02-07 13:55:20:183
-0.233,9.571,1.849,16.8557383,73.47911,2024-02-07 13:55:20:188
-0.217,9.576,1.834,16.8557383,73.47911,2024-02-07 13:55:20:194
-0.202,9.593,1.818,16.8557383,73.47911,2024-02-07 13:55:20:197
-0.181,9.629,1.798,16.8557383,73.47911,2024-02-07 13:55:20:203
-0.176,9.655,1.76,16.8557383,73.47911,2024-02-07 13:55:20:211
-0.169,9.641,1.775,16.8557383,73.47911,2024-02-07 13:55:20:213
-0.202,9.66,1.765,16.8557383,73.47911,2024-02-07 13:55:20:217
-0.231,9.631,1.77,16.8557383,73.47911,2024-02-07 13:55:20:223
-0.236,9.629,1.753,16.8557383,73.47911,2024-02-07 13:55:20:228
-0.231,9.631,1.806,16.8557383,73.47911,2024-02-07 13:55:20:233
-0.224,9.629,1.808,16.8557383,73.47911,2024-02-07 13:55:20:237
-0.209,9.61,1.796,16.8557383,73.47911,2024-02-07 13:55:20:245
-0.193,9.579,1.827,16.8557383,73.47911,2024-02-07 13:55:20:248
-0.178,9.559,1.815,16.8557383,73.47911,2024-02-07 13:55:20:253
-0.193,9.598,1.825,16.8557383,73.47911,2024-02-07 13:55:20:262
-0.205,9.622,1.803,16.8557383,73.47911,2024-02-07 13:55:20:264
-0.205,9.615,1.772,16.8557383,73.47911,2024-02-07 13:55:20:268
-0.202,9.639,1.765,16.8557383,73.47911,2024-02-07 13:55:20:273
-0.233,9.641,1.777,16.8557383,73.47911,2024-02-07 13:55:20:279
-0.221,9.631,1.77,16.8557383,73.47911,2024-02-07 13:55:20:283
-0.214,9.66,1.784,16.8557383,73.47911,2024-02-07 13:55:20:288
-0.217,9.615,1.777,16.8557383,73.47911,2024-02-07 13:55:20:296
-0.209,9.6,1.825,16.8557383,73.47911,2024-02-07 13:55:20:298
-0.214,9.61,1.81,16.8557383,73.47911,2024-02-07 13:55:20:303
-0.183,9.595,1.798,16.8557383,73.47911,2024-02-07 13:55:20:307
-0.193,9.586,1.801,16.8557383,73.47911,2024-02-07 13:55:20:313
-0.221,9.627,1.782,16.8557383,73.47911,2024-02-07 13:55:20:317
-0.245,9.639,1.806,16.8557383,73.47911,2024-02-07 13:55:20:323
-0.233,9.643,1.782,16.8557383,73.47911,2024-02-07 13:55:20:329
-0.224,9.641,1.734,16.8557383,73.47911,2024-02-07 13:55:20:333
-0.202,9.653,1.758,16.8557383,73.47911,2024-02-07 13:55:20:337
-0.2,9.648,1.777,16.8557383,73.47911,2024-02-07 13:55:20:346
-0.207,9.605,1.77,16.8557383,73.47911,2024-02-07 13:55:20:348
-0.224,9.636,1.834,16.8557383,73.47911,2024-02-07 13:55:20:354
-0.243,9.622,1.827,16.8557383,73.47911,2024-02-07 13:55:20:359
-0.221,9.591,1.81,16.8557383,73.47911,2024-02-07 13:55:20:371
-0.209,9.603,1.82,16.8557383,73.47911,2024-02-07 13:55:20:371
-0.205,9.619,1.844,16.8557383,73.47911,2024-02-07 13:55:20:374
-0.171,9.629,1.808,16.8557383,73.47911,2024-02-07 13:55:20:389
-0.183,9.639,1.731,16.8557383,73.47911,2024-02-07 13:55:20:389
-0.205,9.634,1.772,16.8557383,73.47911,2024-02-07 13:55:20:393
-0.197,9.641,1.794,16.8557383,73.47911,2024-02-07 13:55:20:416
-0.209,9.65,1.784,16.8557383,73.47911,2024-02-07 13:55:20:416
-0.219,9.634,1.784,16.8557383,73.47911,2024-02-07 13:55:20:416
-0.217,9.639,1.789,16.8557383,73.47911,2024-02-07 13:55:20:416
-0.205,9.617,1.818,16.8557383,73.47911,2024-02-07 13:55:20:416
-0.19,9.598,1.796,16.8557383,73.47911,2024-02-07 13:55:20:427
-0.152,9.619,1.81,16.8557383,73.47911,2024-02-07 13:55:20:428
-0.174,9.607,1.789,16.8557383,73.47911,2024-02-07 13:55:20:428
-0.157,9.615,1.803,16.8557383,73.47911,2024-02-07 13:55:20:433
-0.152,9.615,1.779,16.8557383,73.47911,2024-02-07 13:55:20:438
-0.217,9.643,1.765,16.8557383,73.47911,2024-02-07 13:55:20:453
-0.248,9.631,1.803,16.8557383,73.47911,2024-02-07 13:55:20:461
-0.255,9.627,1.803,16.8557383,73.47911,2024-02-07 13:55:20:461
-0.229,9.629,1.794,16.8557383,73.47911,2024-02-07 13:55:20:461
-0.238,9.629,1.837,16.8557383,73.47911,2024-02-07 13:55:20:472
-0.212,9.603,1.803,16.8557383,73.47911,2024-02-07 13:55:20:472
-0.159,9.629,1.789,16.8557383,73.47911,2024-02-07 13:55:20:474
-0.186,9.612,1.808,16.8557383,73.47911,2024-02-07 13:55:20:489
-0.19,9.607,1.808,16.8557383,73.47911,2024-02-07 13:55:20:489
-0.193,9.595,1.798,16.8557383,73.47911,2024-02-07 13:55:20:489
-0.19,9.617,1.813,16.8557383,73.47911,2024-02-07 13:55:20:493
-0.226,9.636,1.806,16.8557383,73.47911,2024-02-07 13:55:20:499
-0.214,9.615,1.789,16.8557383,73.47911,2024-02-07 13:55:20:504
-0.205,9.634,1.789,16.8557383,73.47911,2024-02-07 13:55:20:508
-0.202,9.641,1.798,16.8557383,73.47911,2024-02-07 13:55:20:523
-0.188,9.636,1.789,16.8557383,73.47911,2024-02-07 13:55:20:523
-0.205,9.622,1.81,16.8557383,73.47911,2024-02-07 13:55:20:524
-0.202,9.612,1.798,16.8557383,73.47911,2024-02-07 13:55:20:540
-0.19,9.624,1.784,16.8557383,73.47911,2024-02-07 13:55:20:541
-0.174,9.627,1.796,16.8557383,73.47911,2024-02-07 13:55:20:541
-0.19,9.615,1.803,16.8557383,73.47911,2024-02-07 13:55:20:544
-0.209,9.612,1.818,16.8557383,73.47911,2024-02-07 13:55:20:562
-0.205,9.622,1.803,16.8557383,73.47911,2024-02-07 13:55:20:562
-0.217,9.629,1.791,16.8557383,73.47911,2024-02-07 13:55:20:563
-0.233,9.627,1.806,16.8557383,73.47911,2024-02-07 13:55:20:573
-0.217,9.646,1.801,16.8557383,73.47911,2024-02-07 13:55:20:573
-0.205,9.627,1.779,16.8557383,73.47911,2024-02-07 13:55:20:574
-0.188,9.627,1.772,16.8557383,73.47911,2024-02-07 13:55:20:579
-0.205,9.619,1.786,16.8557383,73.47911,2024-02-07 13:55:20:589
