x_acc,y_acc,z_acc,Lat,Lng,Time
-2.046,10.146,1.267,16.8539967,73.467195,2024-02-07 14:02:15:831
2.005,10.06,0.819,16.8539967,73.467195,2024-02-07 14:02:15:831
4.625,9.543,0.254,16.8539967,73.467195,2024-02-07 14:02:15:831
4.843,8.755,-0.073,16.8539967,73.467195,2024-02-07 14:02:15:831
2.901,8.52,1.284,16.8539967,73.467195,2024-02-07 14:02:15:831
-0.056,9.272,3.93,16.8539967,73.467195,2024-02-07 14:02:15:831
-2.7,9.794,5.044,16.8539967,73.467195,2024-02-07 14:02:15:831
-3.893,9.461,3.643,16.8539967,73.467195,2024-02-07 14:02:15:831
-3.134,9.267,1.777,16.8539967,73.467195,2024-02-07 14:02:15:832
-1.0,9.528,1.267,16.8539967,73.467195,2024-02-07 14:02:15:832
1.162,9.595,1.135,16.8539967,73.467195,2024-02-07 14:02:15:832
2.082,9.286,0.716,16.8539967,73.467195,2024-02-07 14:02:15:840
1.574,9.428,1.274,16.8539967,73.467195,2024-02-07 14:02:15:843
0.295,10.237,2.788,16.8539967,73.467195,2024-02-07 14:02:15:845
-0.961,10.608,3.056,16.8539967,73.467195,2024-02-07 14:02:15:855
-1.414,10.149,1.466,16.8539967,73.467195,2024-02-07 14:02:15:855
-0.767,9.926,0.929,16.8539967,73.467195,2024-02-07 14:02:15:859
0.321,10.038,1.705,16.8539967,73.467195,2024-02-07 14:02:15:865
0.81,9.536,1.777,16.8539967,73.467195,2024-02-07 14:02:15:877
0.285,8.712,1.307,16.8539967,73.467195,2024-02-07 14:02:15:877
-0.624,8.728,2.613,16.8539967,73.467195,2024-02-07 14:02:15:880
-1.223,9.538,4.783,16.8539967,73.467195,2024-02-07 14:02:15:885
-1.182,9.48,4.335,16.8539967,73.467195,2024-02-07 14:02:15:895
-0.32,8.635,1.722,16.8539967,73.467195,2024-02-07 14:02:15:896
1.023,8.733,0.857,16.8539967,73.467195,2024-02-07 14:02:15:900
1.919,9.555,1.648,16.8539967,73.467195,2024-02-07 14:02:15:909
1.533,9.672,0.948,16.8539967,73.467195,2024-02-07 14:02:15:910
-0.006,9.703,0.457,16.8539967,73.467195,2024-02-07 14:02:15:914
-1.651,10.582,2.117,16.8539967,73.467195,2024-02-07 14:02:15:922
-2.552,11.109,3.346,16.8539967,73.467195,2024-02-07 14:02:15:925
-2.293,10.391,2.433,16.8539967,73.467195,2024-02-07 14:02:15:930
-0.859,9.507,1.13,16.8539967,73.467195,2024-02-07 14:02:15:935
1.076,9.298,1.516,16.8539967,73.467195,2024-02-07 14:02:15:940
2.223,9.301,2.0,16.8539967,73.467195,2024-02-07 14:02:15:960
1.924,8.712,1.183,16.8539967,73.467195,2024-02-07 14:02:15:960
0.64,8.625,1.367,16.8539967,73.467195,2024-02-07 14:02:15:960
-0.772,9.598,3.499,16.8539967,73.467195,2024-02-07 14:02:15:963
-1.639,10.185,4.481,16.8539967,73.467195,2024-02-07 14:02:15:964
-1.706,9.471,2.766,16.8539967,73.467195,2024-02-07 14:02:15:976
-0.938,8.999,1.233,16.8539967,73.467195,2024-02-07 14:02:15:981
0.281,9.363,1.652,16.8539967,73.467195,2024-02-07 14:02:15:983
1.042,9.461,1.688,16.8539967,73.467195,2024-02-07 14:02:15:985
0.934,9.31,1.013,16.8539967,73.467195,2024-02-07 14:02:15:995
0.151,9.646,1.363,16.8539967,73.467195,2024-02-07 14:02:15:996
-0.693,10.331,2.62,16.8539967,73.467195,2024-02-07 14:02:16:000
-1.199,10.597,3.044,16.8539967,73.467195,2024-02-07 14:02:16:008
-1.103,10.029,1.758,16.8539967,73.467195,2024-02-07 14:02:16:009
-0.394,9.576,0.97,16.8539967,73.467195,2024-02-07 14:02:16:014
0.407,9.763,1.765,16.8539967,73.467195,2024-02-07 14:02:16:024
0.692,9.583,1.818,16.8539967,73.467195,2024-02-07 14:02:16:027
0.247,8.839,1.046,16.8539967,73.467195,2024-02-07 14:02:16:029
-0.387,8.925,2.265,16.8539967,73.467195,2024-02-07 14:02:16:035
-0.775,9.655,4.265,16.8539967,73.467195,2024-02-07 14:02:16:040
-0.756,9.643,3.961,16.8539967,73.467195,2024-02-07 14:02:16:044
-0.3,9.085,2.155,16.8539967,73.467195,2024-02-07 14:02:16:049
0.372,8.903,1.092,16.8539967,73.467195,2024-02-07 14:02:16:062
0.891,9.365,1.499,16.8539967,73.467195,2024-02-07 14:02:16:063
0.64,9.598,1.42,16.8539967,73.467195,2024-02-07 14:02:16:065
-0.248,9.524,0.939,16.8539967,73.467195,2024-02-07 14:02:16:069
-1.256,10.213,2.024,16.8539967,73.467195,2024-02-07 14:02:16:077
-1.685,10.937,3.144,16.8539967,73.467195,2024-02-07 14:02:16:079
-1.424,10.506,2.174,16.8539967,73.467195,2024-02-07 14:02:16:084
-0.48,9.84,1.061,16.8539967,73.467195,2024-02-07 14:02:16:092
0.834,9.595,1.324,16.8539967,73.467195,2024-02-07 14:02:16:095
1.579,9.327,1.693,16.8539967,73.467195,2024-02-07 14:02:16:099
1.248,8.951,1.688,16.8539967,73.467195,2024-02-07 14:02:16:109
0.079,8.712,1.897,16.8539967,73.467195,2024-02-07 14:02:16:109
-1.158,8.954,2.977,16.8539967,73.467195,2024-02-07 14:02:16:114
-1.749,9.639,4.237,16.8539967,73.467195,2024-02-07 14:02:16:120
-1.462,9.782,3.932,16.8539967,73.467195,2024-02-07 14:02:16:133
-0.468,9.219,1.899,16.8539967,73.467195,2024-02-07 14:02:16:133
0.819,9.009,0.584,16.8539967,73.467195,2024-02-07 14:02:16:134
1.612,9.543,0.967,16.8539967,73.467195,2024-02-07 14:02:16:145
1.274,9.727,0.948,16.8539967,73.467195,2024-02-07 14:02:16:145
-0.02,9.682,0.752,16.8539967,73.467195,2024-02-07 14:02:16:150
-1.421,10.211,2.11,16.8539967,73.467195,2024-02-07 14:02:16:158
-2.07,10.779,3.396,16.8539967,73.467195,2024-02-07 14:02:16:159
-1.831,10.271,2.627,16.8539967,73.467195,2024-02-07 14:02:16:165
-0.643,9.526,1.339,16.8539967,73.467195,2024-02-07 14:02:16:169
0.882,9.368,1.521,16.8539967,73.467195,2024-02-07 14:02:16:176
1.785,9.303,1.882,16.8539967,73.467195,2024-02-07 14:02:16:179
1.471,8.824,1.36,16.8539967,73.467195,2024-02-07 14:02:16:184
0.293,8.704,1.633,16.8539967,73.467195,2024-02-07 14:02:16:193
-0.978,9.296,3.149,16.8539967,73.467195,2024-02-07 14:02:16:194
-1.577,9.904,4.076,16.8539967,73.467195,2024-02-07 14:02:16:199
-1.357,9.84,3.475,16.8539967,73.467195,2024-02-07 14:02:16:204
-0.478,9.382,1.796,16.8539967,73.467195,2024-02-07 14:02:16:210
0.726,9.215,0.896,16.8539967,73.467195,2024-02-07 14:02:16:214
