x_acc,y_acc,z_acc,Lat,Lng,Time
-1.692,9.476,1.901,16.8605777,73.4602013,2024-02-07 14:14:00:517
0.7,9.243,0.417,16.8605777,73.4602013,2024-02-07 14:14:00:517
2.632,9.648,-0.44,16.8605777,73.4602013,2024-02-07 14:14:00:517
3.054,9.37,-2.145,16.8605777,73.4602013,2024-02-07 14:14:00:517
2.015,9.612,-2.272,16.8605777,73.4602013,2024-02-07 14:14:00:517
-0.126,10.467,-0.636,16.8605777,73.4602013,2024-02-07 14:14:00:517
-2.432,10.424,0.742,16.8605777,73.4602013,2024-02-07 14:14:00:517
-3.785,10.414,2.074,16.8605777,73.4602013,2024-02-07 14:14:00:517
-3.476,10.443,2.524,16.8605777,73.4602013,2024-02-07 14:14:00:517
-1.781,9.598,0.994,16.8605777,73.4602013,2024-02-07 14:14:00:517
0.611,9.145,-0.049,16.8605777,73.4602013,2024-02-07 14:14:00:518
2.8,9.279,-0.548,16.8605777,73.4602013,2024-02-07 14:14:00:518
3.492,8.975,-1.369,16.8605777,73.4602013,2024-02-07 14:14:00:518
2.589,9.358,-1.175,16.8605777,73.4602013,2024-02-07 14:14:00:519
0.35,10.165,-0.301,16.8605777,73.4602013,2024-02-07 14:14:00:535
-2.391,10.276,0.282,16.8605777,73.4602013,2024-02-07 14:14:00:535
-4.156,10.553,1.494,16.8605777,73.4602013,2024-02-07 14:14:00:535
-4.214,10.659,2.517,16.8605777,73.4602013,2024-02-07 14:14:00:542
-2.511,9.73,2.093,16.8605777,73.4602013,2024-02-07 14:14:00:546
0.35,9.504,1.796,16.8605777,73.4602013,2024-02-07 14:14:00:550
2.985,9.27,0.481,16.8605777,73.4602013,2024-02-07 14:14:00:553
4.026,7.943,-2.741,16.8605777,73.4602013,2024-02-07 14:14:00:563
3.274,8.427,-2.332,16.8605777,73.4602013,2024-02-07 14:14:00:563
0.812,10.101,0.158,16.8605777,73.4602013,2024-02-07 14:14:00:567
-2.293,10.055,0.108,16.8605777,73.4602013,2024-02-07 14:14:00:572
-4.552,10.525,1.08,16.8605777,73.4602013,2024-02-07 14:14:00:578
-4.794,11.722,2.898,16.8605777,73.4602013,2024-02-07 14:14:00:583
-2.973,10.98,1.07,16.8605777,73.4602013,2024-02-07 14:14:00:587
0.055,9.686,-1.039,16.8605777,73.4602013,2024-02-07 14:14:00:597
3.052,9.485,-0.655,16.8605777,73.4602013,2024-02-07 14:14:00:597
4.443,8.987,-0.337,16.8605777,73.4602013,2024-02-07 14:14:00:602
3.641,8.503,-0.794,16.8605777,73.4602013,2024-02-07 14:14:00:607
1.013,8.889,-0.296,16.8605777,73.4602013,2024-02-07 14:14:00:612
-2.238,9.571,0.967,16.8605777,73.4602013,2024-02-07 14:14:00:617
-4.494,10.218,1.758,16.8605777,73.4602013,2024-02-07 14:14:00:622
-4.834,10.472,1.916,16.8605777,73.4602013,2024-02-07 14:14:00:629
-3.083,10.371,1.818,16.8605777,73.4602013,2024-02-07 14:14:00:635
-0.027,10.561,1.612,16.8605777,73.4602013,2024-02-07 14:14:00:637
2.735,9.924,-0.299,16.8605777,73.4602013,2024-02-07 14:14:00:646
4.074,8.618,-2.67,16.8605777,73.4602013,2024-02-07 14:14:00:649
3.543,8.975,-1.503,16.8605777,73.4602013,2024-02-07 14:14:00:654
1.255,9.658,0.378,16.8605777,73.4602013,2024-02-07 14:14:00:666
-1.706,9.176,0.302,16.8605777,73.4602013,2024-02-07 14:14:00:666
-3.927,9.765,1.561,16.8605777,73.4602013,2024-02-07 14:14:00:694
-4.432,10.805,2.419,16.8605777,73.4602013,2024-02-07 14:14:00:694
-3.1,10.467,0.613,16.8605777,73.4602013,2024-02-07 14:14:00:694
-0.645,10.211,-0.869,16.8605777,73.4602013,2024-02-07 14:14:00:694
2.0,10.323,-0.631,16.8605777,73.4602013,2024-02-07 14:14:00:694
3.502,9.866,-0.469,16.8605777,73.4602013,2024-02-07 14:14:00:694
3.327,9.478,-0.675,16.8605777,73.4602013,2024-02-07 14:14:00:706
1.478,9.222,-0.222,16.8605777,73.4602013,2024-02-07 14:14:00:707
-1.103,9.157,0.852,16.8605777,73.4602013,2024-02-07 14:14:00:707
-3.167,9.468,1.753,16.8605777,73.4602013,2024-02-07 14:14:00:728
-3.879,9.531,1.954,16.8605777,73.4602013,2024-02-07 14:14:00:728
-2.928,9.794,1.954,16.8605777,73.4602013,2024-02-07 14:14:00:728
-0.736,10.434,1.461,16.8605777,73.4602013,2024-02-07 14:14:00:728
1.466,9.818,-1.103,16.8605777,73.4602013,2024-02-07 14:14:00:734
2.87,9.265,-2.394,16.8605777,73.4602013,2024-02-07 14:14:00:738
2.759,10.041,-0.83,16.8605777,73.4602013,2024-02-07 14:14:00:743
1.203,9.909,0.122,16.8605777,73.4602013,2024-02-07 14:14:00:751
-1.115,9.361,0.68,16.8605777,73.4602013,2024-02-07 14:14:00:753
-2.832,10.01,2.256,16.8605777,73.4602013,2024-02-07 14:14:00:757
-3.311,10.007,1.552,16.8605777,73.4602013,2024-02-07 14:14:00:764
-2.296,9.521,-0.203,16.8605777,73.4602013,2024-02-07 14:14:00:767
-0.291,9.909,-0.54,16.8605777,73.4602013,2024-02-07 14:14:00:772
1.672,9.945,-0.78,16.8605777,73.4602013,2024-02-07 14:14:00:781
2.573,9.684,-0.981,16.8605777,73.4602013,2024-02-07 14:14:00:782
2.079,10.072,-0.368,16.8605777,73.4602013,2024-02-07 14:14:00:787
0.352,9.962,0.249,16.8605777,73.4602013,2024-02-07 14:14:00:792
-1.661,9.718,1.044,16.8605777,73.4602013,2024-02-07 14:14:00:801
-2.83,9.844,2.189,16.8605777,73.4602013,2024-02-07 14:14:00:803
-2.741,9.351,2.026,16.8605777,73.4602013,2024-02-07 14:14:00:807
-1.328,9.15,1.506,16.8605777,73.4602013,2024-02-07 14:14:00:821
0.621,9.665,0.838,16.8605777,73.4602013,2024-02-07 14:14:00:821
1.94,9.138,-1.628,16.8605777,73.4602013,2024-02-07 14:14:00:822
2.216,9.217,-2.478,16.8605777,73.4602013,2024-02-07 14:14:00:832
1.246,10.438,-0.713,16.8605777,73.4602013,2024-02-07 14:14:00:833
-0.569,10.549,0.452,16.8605777,73.4602013,2024-02-07 14:14:00:838
-2.26,10.371,1.324,16.8605777,73.4602013,2024-02-07 14:14:00:842
-2.882,10.601,2.165,16.8605777,73.4602013,2024-02-07 14:14:00:849
-2.236,9.892,1.061,16.8605777,73.4602013,2024-02-07 14:14:00:852
-0.6,9.298,0.199,16.8605777,73.4602013,2024-02-07 14:14:00:857
1.277,9.32,-0.282,16.8605777,73.4602013,2024-02-07 14:14:00:865
2.383,8.836,-1.221,16.8605777,73.4602013,2024-02-07 14:14:00:867
2.232,9.064,-0.888,16.8605777,73.4602013,2024-02-07 14:14:00:872
0.913,10.118,0.103,16.8605777,73.4602013,2024-02-07 14:14:00:877
-1.155,10.149,-0.035,16.8605777,73.4602013,2024-02-07 14:14:00:887
-2.851,10.216,0.697,16.8605777,73.4602013,2024-02-07 14:14:00:887
-3.251,10.855,2.534,16.8605777,73.4602013,2024-02-07 14:14:00:892
-2.303,9.993,1.942,16.8605777,73.4602013,2024-02-07 14:14:00:904
-0.267,9.231,0.996,16.8605777,73.4602013,2024-02-07 14:14:00:904
1.895,9.619,1.102,16.8605777,73.4602013,2024-02-07 14:14:00:907
2.901,8.726,-1.209,16.8605777,73.4602013,2024-02-07 14:14:00:921
2.515,8.328,-2.737,16.8605777,73.4602013,2024-02-07 14:14:00:921
0.786,9.753,-0.78,16.8605777,73.4602013,2024-02-07 14:14:00:923
-1.543,10.386,0.781,16.8605777,73.4602013,2024-02-07 14:14:00:927
-3.395,10.597,1.243,16.8605777,73.4602013,2024-02-07 14:14:00:933
-3.718,11.111,1.913,16.8605777,73.4602013,2024-02-07 14:14:00:937
-2.49,10.649,0.934,16.8605777,73.4602013,2024-02-07 14:14:00:942
-0.181,9.952,0.122,16.8605777,73.4602013,2024-02-07 14:14:00:950
2.185,9.567,-0.306,16.8605777,73.4602013,2024-02-07 14:14:00:959
3.38,8.606,-1.218,16.8605777,73.4602013,2024-02-07 14:14:00:960
2.946,8.525,-0.694,16.8605777,73.4602013,2024-02-07 14:14:00:966
0.997,9.44,0.373,16.8605777,73.4602013,2024-02-07 14:14:00:967
-1.646,9.605,0.172,16.8605777,73.4602013,2024-02-07 14:14:00:972
-3.67,10.019,0.479,16.8605777,73.4602013,2024-02-07 14:14:00:977
-4.032,10.941,2.055,16.8605777,73.4602013,2024-02-07 14:14:00:983
-2.808,10.503,1.76,16.8605777,73.4602013,2024-02-07 14:14:00:987
-0.372,9.868,0.836,16.8605777,73.4602013,2024-02-07 14:14:00:992
2.156,10.139,1.092,16.8605777,73.4602013,2024-02-07 14:14:01:001
3.322,9.066,-0.905,16.8605777,73.4602013,2024-02-07 14:14:01:003
2.996,8.18,-2.61,16.8605777,73.4602013,2024-02-07 14:14:01:007
1.236,9.318,-0.596,16.8605777,73.4602013,2024-02-07 14:14:01:012
-1.249,9.804,0.91,16.8605777,73.4602013,2024-02-07 14:14:01:018
-3.388,9.761,1.078,16.8605777,73.4602013,2024-02-07 14:14:01:022
-3.984,10.743,2.177,16.8605777,73.4602013,2024-02-07 14:14:01:027
-2.985,10.759,1.128,16.8605777,73.4602013,2024-02-07 14:14:01:034
-0.703,10.149,-0.56,16.8605777,73.4602013,2024-02-07 14:14:01:037
1.741,10.129,-0.715,16.8605777,73.4602013,2024-02-07 14:14:01:042
