x_acc,y_acc,z_acc,Lat,Lng,Time
-2.298,10.249,1.818,16.867485,73.4667683,2024-02-07 14:21:17:645
4.884,9.725,1.054,16.867485,73.4667683,2024-02-07 14:21:17:645
9.655,9.155,-0.174,16.867485,73.4667683,2024-02-07 14:21:17:645
10.419,8.051,-2.258,16.867485,73.4667683,2024-02-07 14:21:17:645
6.496,7.811,-2.303,16.867485,73.4667683,2024-02-07 14:21:17:655
-0.401,9.011,0.455,16.867485,73.4667683,2024-02-07 14:21:17:655
-7.215,10.3,2.821,16.867485,73.4667683,2024-02-07 14:21:17:658
-10.827,10.922,3.88,16.867485,73.4667683,2024-02-07 14:21:17:661
-9.811,11.217,3.499,16.867485,73.4667683,2024-02-07 14:21:17:670
-4.183,11.133,2.567,16.867485,73.4667683,2024-02-07 14:21:17:671
3.384,10.228,0.718,16.867485,73.4667683,2024-02-07 14:21:17:676
9.396,8.937,-1.702,16.867485,73.4667683,2024-02-07 14:21:17:681
11.276,8.269,-2.567,16.867485,73.4667683,2024-02-07 14:21:17:687
8.155,8.506,-1.247,16.867485,73.4667683,2024-02-07 14:21:17:692
1.279,8.906,0.335,16.867485,73.4667683,2024-02-07 14:21:17:696
-6.223,9.624,1.842,16.867485,73.4667683,2024-02-07 14:21:17:705
-10.621,10.616,4.162,16.867485,73.4667683,2024-02-07 14:21:17:707
-10.501,11.052,4.639,16.867485,73.4667683,2024-02-07 14:21:17:712
-5.598,10.57,3.03,16.867485,73.4667683,2024-02-07 14:21:17:718
1.694,9.912,1.3,16.867485,73.4667683,2024-02-07 14:21:17:725
8.206,9.471,0.17,16.867485,73.4667683,2024-02-07 14:21:17:728
10.823,8.597,-2.315,16.867485,73.4667683,2024-02-07 14:21:17:731
8.998,8.041,-3.115,16.867485,73.4667683,2024-02-07 14:21:17:750
3.114,8.891,-0.849,16.867485,73.4667683,2024-02-07 14:21:17:751
-4.142,10.058,1.973,16.867485,73.4667683,2024-02-07 14:21:17:754
-9.428,10.525,3.703,16.867485,73.4667683,2024-02-07 14:21:17:754
-10.697,10.848,4.141,16.867485,73.4667683,2024-02-07 14:21:17:771
-7.03,10.987,3.691,16.867485,73.4667683,2024-02-07 14:21:17:776
-0.351,10.352,1.798,16.867485,73.4667683,2024-02-07 14:21:17:776
6.711,9.112,-0.651,16.867485,73.4667683,2024-02-07 14:21:17:786
10.385,8.4,-2.543,16.867485,73.4667683,2024-02-07 14:21:17:786
9.789,8.546,-1.688,16.867485,73.4667683,2024-02-07 14:21:17:786
4.56,8.954,-0.423,16.867485,73.4667683,2024-02-07 14:21:17:787
-2.818,9.413,0.644,16.867485,73.4667683,2024-02-07 14:21:17:791
-8.7,10.448,3.094,16.867485,73.4667683,2024-02-07 14:21:17:796
-10.467,11.392,4.965,16.867485,73.4667683,2024-02-07 14:21:17:807
-7.565,10.932,3.537,16.867485,73.4667683,2024-02-07 14:21:17:807
-1.239,10.012,1.545,16.867485,73.4667683,2024-02-07 14:21:17:811
5.691,9.483,0.879,16.867485,73.4667683,2024-02-07 14:21:17:816
9.633,8.568,-1.429,16.867485,73.4667683,2024-02-07 14:21:17:824
9.43,7.766,-2.964,16.867485,73.4667683,2024-02-07 14:21:17:828
4.774,8.441,-1.29,16.867485,73.4667683,2024-02-07 14:21:17:831
-1.996,9.763,1.664,16.867485,73.4667683,2024-02-07 14:21:17:840
-7.818,10.589,3.35,16.867485,73.4667683,2024-02-07 14:21:17:841
