x_acc,y_acc,z_acc,Lat,Lng,Time
6.673,8.331,-2.112,16.8777584,73.4859616,2024-02-07 14:36:26:243
1.502,8.29,-1.436,16.8777584,73.4859616,2024-02-07 14:36:26:243
-4.669,9.552,0.953,16.8777584,73.4859616,2024-02-07 14:36:26:243
-9.193,10.436,2.905,16.8777584,73.4859616,2024-02-07 14:36:26:253
-10.601,10.819,3.164,16.8777584,73.4859616,2024-02-07 14:36:26:257
-7.737,11.085,2.903,16.8777584,73.4859616,2024-02-07 14:36:26:257
-1.788,10.786,1.846,16.8777584,73.4859616,2024-02-07 14:36:26:262
4.872,9.962,0.34,16.8777584,73.4859616,2024-02-07 14:36:26:267
9.01,8.93,-1.669,16.8777584,73.4859616,2024-02-07 14:36:26:272
9.336,8.331,-2.162,16.8777584,73.4859616,2024-02-07 14:36:26:277
5.353,8.609,-0.931,16.8777584,73.4859616,2024-02-07 14:36:26:284
-1.385,8.989,0.215,16.8777584,73.4859616,2024-02-07 14:36:26:287
-7.67,9.567,1.408,16.8777584,73.4859616,2024-02-07 14:36:26:292
-10.793,10.683,3.413,16.8777584,73.4859616,2024-02-07 14:36:26:301
-9.79,11.143,3.923,16.8777584,73.4859616,2024-02-07 14:36:26:302
-4.997,10.661,2.431,16.8777584,73.4859616,2024-02-07 14:36:26:307
1.536,9.926,0.922,16.8777584,73.4859616,2024-02-07 14:36:26:312
7.001,9.488,0.11,16.8777584,73.4859616,2024-02-07 14:36:26:318
9.197,9.057,-0.758,16.8777584,73.4859616,2024-02-07 14:36:26:322
7.437,8.24,-2.1,16.8777584,73.4859616,2024-02-07 14:36:26:327
2.486,8.276,-1.568,16.8777584,73.4859616,2024-02-07 14:36:26:333
-3.824,9.54,0.769,16.8777584,73.4859616,2024-02-07 14:36:26:338
-8.666,10.441,2.831,16.8777584,73.4859616,2024-02-07 14:36:26:343
-10.532,10.862,3.226,16.8777584,73.4859616,2024-02-07 14:36:26:359
-8.276,11.099,3.027,16.8777584,73.4859616,2024-02-07 14:36:26:359
-2.784,10.858,1.882,16.8777584,73.4859616,2024-02-07 14:36:26:359
3.746,10.125,0.496,16.8777584,73.4859616,2024-02-07 14:36:26:363
8.237,9.066,-1.549,16.8777584,73.4859616,2024-02-07 14:36:26:368
9.276,8.372,-2.181,16.8777584,73.4859616,2024-02-07 14:36:26:372
6.043,8.51,-1.06,16.8777584,73.4859616,2024-02-07 14:36:26:377
-0.174,8.853,0.093,16.8777584,73.4859616,2024-02-07 14:36:26:383
-6.58,9.483,1.231,16.8777584,73.4859616,2024-02-07 14:36:26:387
-10.201,10.688,3.319,16.8777584,73.4859616,2024-02-07 14:36:26:392
-9.9,11.222,3.808,16.8777584,73.4859616,2024-02-07 14:36:26:400
-5.665,10.807,2.488,16.8777584,73.4859616,2024-02-07 14:36:26:402
0.582,10.012,1.025,16.8777584,73.4859616,2024-02-07 14:36:26:407
6.297,9.425,0.294,16.8777584,73.4859616,2024-02-07 14:36:26:412
8.874,9.107,-0.409,16.8777584,73.4859616,2024-02-07 14:36:26:420
7.521,8.276,-1.721,16.8777584,73.4859616,2024-02-07 14:36:26:422
2.891,8.096,-1.8,16.8777584,73.4859616,2024-02-07 14:36:26:427
-3.153,9.435,0.421,16.8777584,73.4859616,2024-02-07 14:36:26:434
-8.0,10.405,2.486,16.8777584,73.4859616,2024-02-07 14:36:26:437
-9.972,10.721,2.996,16.8777584,73.4859616,2024-02-07 14:36:26:442
-8.149,11.054,3.061,16.8777584,73.4859616,2024-02-07 14:36:26:451
-3.179,10.826,2.088,16.8777584,73.4859616,2024-02-07 14:36:26:452
2.989,10.173,0.793,16.8777584,73.4859616,2024-02-07 14:36:26:457
7.458,9.291,-1.034,16.8777584,73.4859616,2024-02-07 14:36:26:462
8.677,8.439,-2.133,16.8777584,73.4859616,2024-02-07 14:36:26:469
6.026,8.494,-1.309,16.8777584,73.4859616,2024-02-07 14:36:26:472
0.439,8.922,0.086,16.8777584,73.4859616,2024-02-07 14:36:26:477
-5.749,9.306,0.886,16.8777584,73.4859616,2024-02-07 14:36:26:483
-9.49,10.391,2.783,16.8777584,73.4859616,2024-02-07 14:36:26:487
-9.699,11.265,3.758,16.8777584,73.4859616,2024-02-07 14:36:26:492
-6.049,10.985,2.814,16.8777584,73.4859616,2024-02-07 14:36:26:500
-0.2,10.192,1.145,16.8777584,73.4859616,2024-02-07 14:36:26:502
5.552,9.514,0.33,16.8777584,73.4859616,2024-02-07 14:36:26:507
8.517,9.15,-0.162,16.8777584,73.4859616,2024-02-07 14:36:26:512
7.825,8.479,-1.182,16.8777584,73.4859616,2024-02-07 14:36:26:517
3.559,7.9,-1.858,16.8777584,73.4859616,2024-02-07 14:36:26:522
-2.396,8.901,-0.136,16.8777584,73.4859616,2024-02-07 14:36:26:527
-7.517,10.295,2.34,16.8777584,73.4859616,2024-02-07 14:36:26:533
