x_acc,y_acc,z_acc,Lat,Lng,Time
-2.525,11.064,1.011,16.8895225,73.5329022,2024-02-07 14:54:51:762
-1.39,11.064,0.975,16.8895225,73.5329022,2024-02-07 14:54:51:762
0.304,9.579,-1.264,16.8895225,73.5329022,2024-02-07 14:54:51:762
2.015,9.071,-1.055,16.8895225,73.5329022,2024-02-07 14:54:51:762
2.932,9.31,0.702,16.8895225,73.5329022,2024-02-07 14:54:51:762
2.565,8.64,-0.181,16.8895225,73.5329022,2024-02-07 14:54:51:762
1.181,9.04,0.072,16.8895225,73.5329022,2024-02-07 14:54:51:762
-0.674,10.51,1.41,16.8895225,73.5329022,2024-02-07 14:54:51:762
-2.137,9.828,-0.663,16.8895225,73.5329022,2024-02-07 14:54:51:762
-2.307,9.504,-1.609,16.8895225,73.5329022,2024-02-07 14:54:51:772
-1.388,10.826,0.965,16.8895225,73.5329022,2024-02-07 14:54:51:772
-0.36,10.177,0.601,16.8895225,73.5329022,2024-02-07 14:54:51:780
0.537,9.131,-0.66,16.8895225,73.5329022,2024-02-07 14:54:51:780
0.977,10.237,1.26,16.8895225,73.5329022,2024-02-07 14:54:51:788
0.932,9.986,0.754,16.8895225,73.5329022,2024-02-07 14:54:51:790
0.805,8.647,-1.712,16.8895225,73.5329022,2024-02-07 14:54:51:795
0.954,9.342,-0.828,16.8895225,73.5329022,2024-02-07 14:54:51:800
0.714,10.103,0.417,16.8895225,73.5329022,2024-02-07 14:54:51:805
-0.209,9.524,-0.567,16.8895225,73.5329022,2024-02-07 14:54:51:813
-1.232,9.871,-0.385,16.8895225,73.5329022,2024-02-07 14:54:51:825
-1.749,11.179,1.592,16.8895225,73.5329022,2024-02-07 14:54:51:825
-1.606,10.788,0.989,16.8895225,73.5329022,2024-02-07 14:54:51:825
-0.542,9.16,-1.381,16.8895225,73.5329022,2024-02-07 14:54:51:830
1.215,9.308,-0.27,16.8895225,73.5329022,2024-02-07 14:54:51:835
2.115,9.6,1.123,16.8895225,73.5329022,2024-02-07 14:54:51:840
1.701,8.338,-0.409,16.8895225,73.5329022,2024-02-07 14:54:51:853
0.554,8.76,-0.16,16.8895225,73.5329022,2024-02-07 14:54:51:853
-0.779,10.259,1.307,16.8895225,73.5329022,2024-02-07 14:54:51:855
-1.467,10.041,0.019,16.8895225,73.5329022,2024-02-07 14:54:51:860
-1.179,9.847,-1.36,16.8895225,73.5329022,2024-02-07 14:54:51:869
-0.245,10.64,-0.402,16.8895225,73.5329022,2024-02-07 14:54:51:870
0.348,10.826,0.177,16.8895225,73.5329022,2024-02-07 14:54:51:875
0.283,10.094,-0.792,16.8895225,73.5329022,2024-02-07 14:54:51:882
-0.042,9.61,-0.885,16.8895225,73.5329022,2024-02-07 14:54:51:885
-0.183,10.137,1.125,16.8895225,73.5329022,2024-02-07 14:54:51:900
0.024,9.892,1.576,16.8895225,73.5329022,2024-02-07 14:54:51:900
0.525,8.563,-0.282,16.8895225,73.5329022,2024-02-07 14:54:51:900
1.009,8.654,-0.282,16.8895225,73.5329022,2024-02-07 14:54:51:904
0.841,9.411,0.479,16.8895225,73.5329022,2024-02-07 14:54:51:911
0.06,9.291,-0.409,16.8895225,73.5329022,2024-02-07 14:54:51:918
-0.899,9.66,-0.562,16.8895225,73.5329022,2024-02-07 14:54:51:920
-1.407,10.529,0.551,16.8895225,73.5329022,2024-02-07 14:54:51:925
-1.153,10.676,0.869,16.8895225,73.5329022,2024-02-07 14:54:51:933
-0.3,10.34,0.172,16.8895225,73.5329022,2024-02-07 14:54:51:935
0.647,9.964,-0.54,16.8895225,73.5329022,2024-02-07 14:54:51:941
1.241,9.744,-0.833,16.8895225,73.5329022,2024-02-07 14:54:51:949
1.224,9.821,-0.811,16.8895225,73.5329022,2024-02-07 14:54:51:949
0.525,9.476,-0.979,16.8895225,73.5329022,2024-02-07 14:54:51:955
-0.32,9.212,-0.502,16.8895225,73.5329022,2024-02-07 14:54:51:960
-0.787,9.892,1.197,16.8895225,73.5329022,2024-02-07 14:54:51:965
-0.856,10.331,2.277,16.8895225,73.5329022,2024-02-07 14:54:51:970
-0.614,9.653,0.778,16.8895225,73.5329022,2024-02-07 14:54:51:975
-0.094,9.102,-0.967,16.8895225,73.5329022,2024-02-07 14:54:51:982
0.618,9.524,-0.426,16.8895225,73.5329022,2024-02-07 14:54:51:985
0.954,9.761,0.153,16.8895225,73.5329022,2024-02-07 14:54:51:990
0.618,9.138,-0.557,16.8895225,73.5329022,2024-02-07 14:54:52:000
0.0,9.222,-0.277,16.8895225,73.5329022,2024-02-07 14:54:52:000
-0.514,10.359,1.228,16.8895225,73.5329022,2024-02-07 14:54:52:008
-0.825,10.58,0.785,16.8895225,73.5329022,2024-02-07 14:54:52:010
-0.631,9.959,-1.451,16.8895225,73.5329022,2024-02-07 14:54:52:018
0.127,10.046,-1.908,16.8895225,73.5329022,2024-02-07 14:54:52:019
0.882,10.64,-0.466,16.8895225,73.5329022,2024-02-07 14:54:52:024
0.795,10.173,-0.186,16.8895225,73.5329022,2024-02-07 14:54:52:034
0.005,9.021,-0.761,16.8895225,73.5329022,2024-02-07 14:54:52:035
-0.775,9.26,0.967,16.8895225,73.5329022,2024-02-07 14:54:52:040
-1.079,10.228,3.245,16.8895225,73.5329022,2024-02-07 14:54:52:045
-0.758,9.639,1.777,16.8895225,73.5329022,2024-02-07 14:54:52:050
0.235,8.623,-0.897,16.8895225,73.5329022,2024-02-07 14:54:52:055
1.464,8.98,-1.072,16.8895225,73.5329022,2024-02-07 14:54:52:060
2.024,9.634,-0.279,16.8895225,73.5329022,2024-02-07 14:54:52:069
1.188,9.43,-0.768,16.8895225,73.5329022,2024-02-07 14:54:52:070
-0.451,9.471,-0.873,16.8895225,73.5329022,2024-02-07 14:54:52:076
-1.864,10.541,0.632,16.8895225,73.5329022,2024-02-07 14:54:52:084
-2.391,11.186,1.293,16.8895225,73.5329022,2024-02-07 14:54:52:090
-1.673,10.685,-0.198,16.8895225,73.5329022,2024-02-07 14:54:52:090
0.005,10.106,-1.41,16.8895225,73.5329022,2024-02-07 14:54:52:095
1.821,10.065,-0.991,16.8895225,73.5329022,2024-02-07 14:54:52:101
2.585,9.852,-0.466,16.8895225,73.5329022,2024-02-07 14:54:52:104
1.756,8.853,-0.89,16.8895225,73.5329022,2024-02-07 14:54:52:110
0.07,8.477,-0.325,16.8895225,73.5329022,2024-02-07 14:54:52:118
-1.438,9.66,2.347,16.8895225,73.5329022,2024-02-07 14:54:52:119
-2.135,10.371,3.178,16.8895225,73.5329022,2024-02-07 14:54:52:125
-1.785,9.428,0.603,16.8895225,73.5329022,2024-02-07 14:54:52:134
-0.327,9.138,-0.948,16.8895225,73.5329022,2024-02-07 14:54:52:136
1.413,9.856,-0.342,16.8895225,73.5329022,2024-02-07 14:54:52:140
2.244,9.648,-0.581,16.8895225,73.5329022,2024-02-07 14:54:52:145
1.756,9.092,-1.407,16.8895225,73.5329022,2024-02-07 14:54:52:150
0.419,9.727,-0.464,16.8895225,73.5329022,2024-02-07 14:54:52:155
-1.11,10.728,0.958,16.8895225,73.5329022,2024-02-07 14:54:52:160
-2.078,10.776,0.326,16.8895225,73.5329022,2024-02-07 14:54:52:167
-1.931,10.405,-0.979,16.8895225,73.5329022,2024-02-07 14:54:52:170
-0.77,10.364,-0.943,16.8895225,73.5329022,2024-02-07 14:54:52:175
0.772,10.357,-0.337,16.8895225,73.5329022,2024-02-07 14:54:52:179
1.627,9.382,-0.538,16.8895225,73.5329022,2024-02-07 14:54:52:197
1.555,8.566,-0.399,16.8895225,73.5329022,2024-02-07 14:54:52:197
0.879,9.315,1.684,16.8895225,73.5329022,2024-02-07 14:54:52:197
-0.205,9.993,2.886,16.8895225,73.5329022,2024-02-07 14:54:52:204
-1.096,9.107,0.627,16.8895225,73.5329022,2024-02-07 14:54:52:205
-1.057,8.779,-0.928,16.8895225,73.5329022,2024-02-07 14:54:52:209
-0.296,9.655,-0.033,16.8895225,73.5329022,2024-02-07 14:54:52:218
0.427,9.698,0.029,16.8895225,73.5329022,2024-02-07 14:54:52:220
0.544,9.272,-0.991,16.8895225,73.5329022,2024-02-07 14:54:52:226
0.257,10.06,-0.416,16.8895225,73.5329022,2024-02-07 14:54:52:230
-0.217,11.099,0.63,16.8895225,73.5329022,2024-02-07 14:54:52:235
-0.617,11.083,-0.253,16.8895225,73.5329022,2024-02-07 14:54:52:239
-0.516,10.467,-1.618,16.8895225,73.5329022,2024-02-07 14:54:52:245
0.134,10.312,-1.199,16.8895225,73.5329022,2024-02-07 14:54:52:252
0.688,10.067,-0.145,16.8895225,73.5329022,2024-02-07 14:54:52:255
0.613,8.863,-0.263,16.8895225,73.5329022,2024-02-07 14:54:52:260
0.13,8.422,0.335,16.8895225,73.5329022,2024-02-07 14:54:52:269
-0.399,9.547,2.574,16.8895225,73.5329022,2024-02-07 14:54:52:269
-0.76,9.89,2.627,16.8895225,73.5329022,2024-02-07 14:54:52:275
-0.624,8.879,-0.363,16.8895225,73.5329022,2024-02-07 14:54:52:279
0.321,9.109,-1.058,16.8895225,73.5329022,2024-02-07 14:54:52:286
1.167,9.897,0.129,16.8895225,73.5329022,2024-02-07 14:54:52:289
1.339,9.536,-0.236,16.8895225,73.5329022,2024-02-07 14:54:52:295
0.549,9.241,-0.909,16.8895225,73.5329022,2024-02-07 14:54:52:302
-0.6,10.242,0.182,16.8895225,73.5329022,2024-02-07 14:54:52:305
-1.496,11.035,0.704,16.8895225,73.5329022,2024-02-07 14:54:52:309
-1.666,10.879,-0.699,16.8895225,73.5329022,2024-02-07 14:54:52:315
-0.945,10.446,-1.824,16.8895225,73.5329022,2024-02-07 14:54:52:320
0.422,10.517,-1.13,16.8895225,73.5329022,2024-02-07 14:54:52:324
1.385,10.055,-0.327,16.8895225,73.5329022,2024-02-07 14:54:52:329
1.421,8.752,-0.505,16.8895225,73.5329022,2024-02-07 14:54:52:336
0.908,9.011,1.135,16.8895225,73.5329022,2024-02-07 14:54:52:341
-0.003,10.199,3.348,16.8895225,73.5329022,2024-02-07 14:54:52:344
-0.894,9.145,1.346,16.8895225,73.5329022,2024-02-07 14:54:52:353
-0.997,8.079,-1.355,16.8895225,73.5329022,2024-02-07 14:54:52:355
-0.305,9.224,0.347,16.8895225,73.5329022,2024-02-07 14:54:52:370
0.316,9.612,1.422,16.8895225,73.5329022,2024-02-07 14:54:52:370
0.52,8.76,-0.478,16.8895225,73.5329022,2024-02-07 14:54:52:370
0.348,9.54,-0.691,16.8895225,73.5329022,2024-02-07 14:54:52:374
0.022,11.04,0.055,16.8895225,73.5329022,2024-02-07 14:54:52:380
-0.221,11.339,-1.113,16.8895225,73.5329022,2024-02-07 14:54:52:385
-0.281,11.25,-2.464,16.8895225,73.5329022,2024-02-07 14:54:52:394
-0.154,11.109,-2.045,16.8895225,73.5329022,2024-02-07 14:54:52:395
-0.157,10.472,-0.861,16.8895225,73.5329022,2024-02-07 14:54:52:417
-0.217,9.785,0.852,16.8895225,73.5329022,2024-02-07 14:54:52:417
-0.324,9.739,2.78,16.8895225,73.5329022,2024-02-07 14:54:52:417
-0.502,8.692,1.875,16.8895225,73.5329022,2024-02-07 14:54:52:417
-0.157,7.217,-0.37,16.8895225,73.5329022,2024-02-07 14:54:52:430
0.882,8.419,1.276,16.8895225,73.5329022,2024-02-07 14:54:52:430
1.368,9.037,1.782,16.8895225,73.5329022,2024-02-07 14:54:52:430
1.265,7.984,-0.818,16.8895225,73.5329022,2024-02-07 14:54:52:443
0.874,9.809,0.328,16.8895225,73.5329022,2024-02-07 14:54:52:444
-0.071,11.497,0.963,16.8895225,73.5329022,2024-02-07 14:54:52:445
-1.182,10.489,-2.734,16.8895225,73.5329022,2024-02-07 14:54:52:450
-1.63,10.973,-2.95,16.8895225,73.5329022,2024-02-07 14:54:52:459
-1.558,12.204,-0.239,16.8895225,73.5329022,2024-02-07 14:54:52:460
-1.211,11.035,-0.584,16.8895225,73.5329022,2024-02-07 14:54:52:465
-0.327,10.374,-0.241,16.8895225,73.5329022,2024-02-07 14:54:52:476
0.606,10.618,1.858,16.8895225,73.5329022,2024-02-07 14:54:52:476
1.291,8.458,-0.382,16.8895225,73.5329022,2024-02-07 14:54:52:480
1.904,6.963,-1.647,16.8895225,73.5329022,2024-02-07 14:54:52:493
2.012,8.479,2.352,16.8895225,73.5329022,2024-02-07 14:54:52:494
1.157,8.57,2.79,16.8895225,73.5329022,2024-02-07 14:54:52:495
-0.243,8.043,0.196,16.8895225,73.5329022,2024-02-07 14:54:52:500
-1.316,9.715,0.735,16.8895225,73.5329022,2024-02-07 14:54:52:510
-1.728,10.867,0.304,16.8895225,73.5329022,2024-02-07 14:54:52:510
-1.553,10.637,-1.839,16.8895225,73.5329022,2024-02-07 14:54:52:515
-1.038,10.539,-2.255,16.8895225,73.5329022,2024-02-07 14:54:52:527
-0.08,11.361,-0.39,16.8895225,73.5329022,2024-02-07 14:54:52:527
0.582,12.386,1.856,16.8895225,73.5329022,2024-02-07 14:54:52:530
0.486,10.618,-0.524,16.8895225,73.5329022,2024-02-07 14:54:52:544
0.637,8.07,-4.219,16.8895225,73.5329022,2024-02-07 14:54:52:544
1.224,8.985,-0.397,16.8895225,73.5329022,2024-02-07 14:54:52:545
1.227,9.904,3.65,16.8895225,73.5329022,2024-02-07 14:54:52:550
0.757,8.06,1.157,16.8895225,73.5329022,2024-02-07 14:54:52:562
-0.164,8.139,0.256,16.8895225,73.5329022,2024-02-07 14:54:52:562
-0.933,9.66,1.351,16.8895225,73.5329022,2024-02-07 14:54:52:565
-1.177,9.727,-0.117,16.8895225,73.5329022,2024-02-07 14:54:52:579
-1.108,9.48,-1.64,16.8895225,73.5329022,2024-02-07 14:54:52:580
-0.499,10.199,-0.447,16.8895225,73.5329022,2024-02-07 14:54:52:581
0.099,11.65,2.182,16.8895225,73.5329022,2024-02-07 14:54:52:605
-0.032,11.073,0.946,16.8895225,73.5329022,2024-02-07 14:54:52:605
-0.231,9.119,-2.931,16.8895225,73.5329022,2024-02-07 14:54:52:605
0.187,9.509,-1.384,16.8895225,73.5329022,2024-02-07 14:54:52:605
0.934,10.498,1.394,16.8895225,73.5329022,2024-02-07 14:54:52:605
1.665,9.519,0.196,16.8895225,73.5329022,2024-02-07 14:54:52:617
1.643,8.81,-1.326,16.8895225,73.5329022,2024-02-07 14:54:52:617
0.867,9.368,-1.223,16.8895225,73.5329022,2024-02-07 14:54:52:627
-0.463,10.06,-0.016,16.8895225,73.5329022,2024-02-07 14:54:52:627
-2.075,10.376,0.613,16.8895225,73.5329022,2024-02-07 14:54:52:630
