x_acc,y_acc,z_acc,Lat,Lng,Time
5.609,9.155,-4.552,16.8682848,73.5599167,2024-02-07 15:44:06:226
5.911,8.762,-5.299,16.8682848,73.5599167,2024-02-07 15:44:06:226
3.255,9.124,-3.97,16.8682848,73.5599167,2024-02-07 15:44:06:226
-1.175,9.339,-2.586,16.8682848,73.5599167,2024-02-07 15:44:06:226
-5.32,8.954,-2.057,16.8682848,73.5599167,2024-02-07 15:44:06:226
-6.959,9.068,-0.871,16.8682848,73.5599167,2024-02-07 15:44:06:240
-5.239,9.749,0.155,16.8682848,73.5599167,2024-02-07 15:44:06:240
-0.739,10.072,-0.672,16.8682848,73.5599167,2024-02-07 15:44:06:241
4.192,9.5,-3.094,16.8682848,73.5599167,2024-02-07 15:44:06:246
7.018,8.221,-5.536,16.8682848,73.5599167,2024-02-07 15:44:06:253
6.845,8.721,-5.508,16.8682848,73.5599167,2024-02-07 15:44:06:255
3.04,9.183,-4.121,16.8682848,73.5599167,2024-02-07 15:44:06:260
-2.583,9.411,-3.314,16.8682848,73.5599167,2024-02-07 15:44:06:265
-7.275,9.365,-2.392,16.8682848,73.5599167,2024-02-07 15:44:06:270
-8.384,10.082,-0.586,16.8682848,73.5599167,2024-02-07 15:44:06:275
-5.459,10.266,-0.538,16.8682848,73.5599167,2024-02-07 15:44:06:280
0.506,9.734,-2.5,16.8682848,73.5599167,2024-02-07 15:44:06:288
5.926,8.673,-4.626,16.8682848,73.5599167,2024-02-07 15:44:06:290
8.61,8.915,-5.002,16.8682848,73.5599167,2024-02-07 15:44:06:295
7.121,9.073,-4.626,16.8682848,73.5599167,2024-02-07 15:44:06:306
1.629,8.642,-4.382,16.8682848,73.5599167,2024-02-07 15:44:06:306
-4.52,9.557,-2.368,16.8682848,73.5599167,2024-02-07 15:44:06:311
-8.444,10.757,0.191,16.8682848,73.5599167,2024-02-07 15:44:06:316
-8.084,10.376,-0.124,16.8682848,73.5599167,2024-02-07 15:44:06:330
-3.634,8.918,-2.433,16.8682848,73.5599167,2024-02-07 15:44:06:330
2.642,8.601,-2.909,16.8682848,73.5599167,2024-02-07 15:44:06:331
