x_acc,y_acc,z_acc,Lat,Lng,Time
-2.861,10.62,3.856,16.850125,73.6058533,2024-02-07 15:59:22:549
-1.558,9.483,1.128,16.850125,73.6058533,2024-02-07 15:59:22:549
0.546,9.33,0.651,16.850125,73.6058533,2024-02-07 15:59:22:554
2.673,9.667,1.408,16.850125,73.6058533,2024-02-07 15:59:22:557
3.27,9.183,0.45,16.850125,73.6058533,2024-02-07 15:59:22:563
1.993,8.496,-0.346,16.850125,73.6058533,2024-02-07 15:59:22:571
-0.281,9.066,1.509,16.850125,73.6058533,2024-02-07 15:59:22:572
-2.638,9.938,3.777,16.850125,73.6058533,2024-02-07 15:59:22:579
-3.728,10.199,4.086,16.850125,73.6058533,2024-02-07 15:59:22:587
-2.911,9.931,2.912,16.850125,73.6058533,2024-02-07 15:59:22:587
-0.497,9.65,1.729,16.850125,73.6058533,2024-02-07 15:59:22:593
2.108,9.186,0.352,16.850125,73.6058533,2024-02-07 15:59:22:598
3.595,8.985,-0.363,16.850125,73.6058533,2024-02-07 15:59:22:605
2.829,9.016,-0.028,16.850125,73.6058533,2024-02-07 15:59:22:608
0.51,9.497,1.224,16.850125,73.6058533,2024-02-07 15:59:22:612
-2.209,10.048,2.368,16.850125,73.6058533,2024-02-07 15:59:22:622
-3.61,10.496,3.276,16.850125,73.6058533,2024-02-07 15:59:22:623
-3.148,10.225,2.864,16.850125,73.6058533,2024-02-07 15:59:22:628
-0.897,9.804,1.542,16.850125,73.6058533,2024-02-07 15:59:22:632
1.564,9.497,0.761,16.850125,73.6058533,2024-02-07 15:59:22:638
3.14,9.454,0.766,16.850125,73.6058533,2024-02-07 15:59:22:644
2.709,9.114,0.464,16.850125,73.6058533,2024-02-07 15:59:22:648
0.841,8.827,0.51,16.850125,73.6058533,2024-02-07 15:59:22:663
-1.309,9.241,2.112,16.850125,73.6058533,2024-02-07 15:59:22:663
-2.559,9.971,4.112,16.850125,73.6058533,2024-02-07 15:59:22:663
-2.499,10.019,4.076,16.850125,73.6058533,2024-02-07 15:59:22:673
-1.129,9.464,2.062,16.850125,73.6058533,2024-02-07 15:59:22:673
0.731,9.325,0.611,16.850125,73.6058533,2024-02-07 15:59:22:688
2.247,9.545,0.373,16.850125,73.6058533,2024-02-07 15:59:22:688
2.407,9.5,0.153,16.850125,73.6058533,2024-02-07 15:59:22:690
1.231,9.327,0.199,16.850125,73.6058533,2024-02-07 15:59:22:693
-0.638,9.741,1.42,16.850125,73.6058533,2024-02-07 15:59:22:714
-2.178,10.206,3.171,16.850125,73.6058533,2024-02-07 15:59:22:714
-2.633,10.321,3.611,16.850125,73.6058533,2024-02-07 15:59:22:714
-1.637,9.904,2.016,16.850125,73.6058533,2024-02-07 15:59:22:714
0.269,9.634,0.634,16.850125,73.6058533,2024-02-07 15:59:22:718
2.149,9.698,0.714,16.850125,73.6058533,2024-02-07 15:59:22:724
2.927,9.737,0.879,16.850125,73.6058533,2024-02-07 15:59:22:733
1.914,9.052,0.11,16.850125,73.6058533,2024-02-07 15:59:22:733
0.051,9.121,0.845,16.850125,73.6058533,2024-02-07 15:59:22:737
-1.831,9.943,3.315,16.850125,73.6058533,2024-02-07 15:59:22:745
-2.648,10.35,4.474,16.850125,73.6058533,2024-02-07 15:59:22:749
-2.102,9.794,2.881,16.850125,73.6058533,2024-02-07 15:59:22:753
-0.257,9.368,1.166,16.850125,73.6058533,2024-02-07 15:59:22:757
1.713,9.342,0.723,16.850125,73.6058533,2024-02-07 15:59:22:764
2.795,9.478,0.591,16.850125,73.6058533,2024-02-07 15:59:22:767
2.074,9.136,-0.073,16.850125,73.6058533,2024-02-07 15:59:22:772
0.235,9.404,0.721,16.850125,73.6058533,2024-02-07 15:59:22:778
-1.843,10.149,2.747,16.850125,73.6058533,2024-02-07 15:59:22:782
-2.94,10.539,3.71,16.850125,73.6058533,2024-02-07 15:59:22:788
-2.549,9.938,2.402,16.850125,73.6058533,2024-02-07 15:59:22:793
-0.684,9.639,1.176,16.850125,73.6058533,2024-02-07 15:59:22:798
1.447,9.65,1.183,16.850125,73.6058533,2024-02-07 15:59:22:804
2.776,9.579,0.975,16.850125,73.6058533,2024-02-07 15:59:22:808
2.285,8.958,0.045,16.850125,73.6058533,2024-02-07 15:59:22:813
