x_acc,y_acc,z_acc,Lat,Lng,Time
-2.585,7.476,-5.604,16.8453401,73.6416683,2024-02-07 16:21:28:312
3.262,6.621,-6.528,16.8453401,73.6416683,2024-02-07 16:21:28:312
8.227,6.068,-7.407,16.8453401,73.6416683,2024-02-07 16:21:28:312
10.117,5.751,-8.391,16.8453401,73.6416683,2024-02-07 16:21:28:312
8.131,6.113,-8.415,16.8453401,73.6416683,2024-02-07 16:21:28:312
3.138,6.81,-7.788,16.8453401,73.6416683,2024-02-07 16:21:28:312
-2.53,7.406,-7.055,16.8453401,73.6416683,2024-02-07 16:21:28:312
-6.331,8.391,-5.057,16.8453401,73.6416683,2024-02-07 16:21:28:312
-6.791,8.855,-3.565,16.8453401,73.6416683,2024-02-07 16:21:28:312
-3.812,7.497,-5.331,16.8453401,73.6416683,2024-02-07 16:21:28:312
1.512,6.132,-7.218,16.8453401,73.6416683,2024-02-07 16:21:28:312
6.809,5.945,-7.191,16.8453401,73.6416683,2024-02-07 16:21:28:328
9.688,5.526,-7.706,16.8453401,73.6416683,2024-02-07 16:21:28:328
9.013,5.747,-7.706,16.8453401,73.6416683,2024-02-07 16:21:28:331
4.769,6.563,-6.914,16.8453401,73.6416683,2024-02-07 16:21:28:331
-1.134,7.375,-6.693,16.8453401,73.6416683,2024-02-07 16:21:28:341
-5.759,8.067,-6.372,16.8453401,73.6416683,2024-02-07 16:21:28:341
-7.064,8.46,-5.728,16.8453401,73.6416683,2024-02-07 16:21:28:344
-4.59,8.221,-5.517,16.8453401,73.6416683,2024-02-07 16:21:28:349
0.616,7.172,-6.322,16.8453401,73.6416683,2024-02-07 16:21:28:357
6.156,6.197,-7.124,16.8453401,73.6416683,2024-02-07 16:21:28:359
9.463,5.641,-7.699,16.8453401,73.6416683,2024-02-07 16:21:28:365
9.094,5.565,-7.958,16.8453401,73.6416683,2024-02-07 16:21:28:370
5.241,6.182,-7.498,16.8453401,73.6416683,2024-02-07 16:21:28:378
-0.312,6.786,-7.009,16.8453401,73.6416683,2024-02-07 16:21:28:379
-4.904,7.854,-5.627,16.8453401,73.6416683,2024-02-07 16:21:28:384
-6.647,8.772,-3.893,16.8453401,73.6416683,2024-02-07 16:21:28:390
-4.942,8.106,-4.916,16.8453401,73.6416683,2024-02-07 16:21:28:397
-0.468,6.69,-7.237,16.8453401,73.6416683,2024-02-07 16:21:28:400
4.908,6.439,-7.409,16.8453401,73.6416683,2024-02-07 16:21:28:406
8.642,6.084,-7.673,16.8453401,73.6416683,2024-02-07 16:21:28:410
9.247,5.692,-8.185,16.8453401,73.6416683,2024-02-07 16:21:28:417
6.239,6.317,-7.275,16.8453401,73.6416683,2024-02-07 16:21:28:420
0.865,7.057,-6.399,16.8453401,73.6416683,2024-02-07 16:21:28:425
-4.243,7.665,-6.102,16.8453401,73.6416683,2024-02-07 16:21:28:429
-6.662,8.091,-5.625,16.8453401,73.6416683,2024-02-07 16:21:28:435
-5.423,8.06,-5.34,16.8453401,73.6416683,2024-02-07 16:21:28:442
-1.1,7.323,-5.91,16.8453401,73.6416683,2024-02-07 16:21:28:444
4.383,6.458,-6.777,16.8453401,73.6416683,2024-02-07 16:21:28:450
8.436,5.876,-7.546,16.8453401,73.6416683,2024-02-07 16:21:28:457
9.188,5.579,-8.209,16.8453401,73.6416683,2024-02-07 16:21:28:459
6.402,6.178,-7.757,16.8453401,73.6416683,2024-02-07 16:21:28:464
1.298,6.827,-7.201,16.8453401,73.6416683,2024-02-07 16:21:28:469
-3.584,7.643,-6.265,16.8453401,73.6416683,2024-02-07 16:21:28:474
-6.125,8.702,-4.291,16.8453401,73.6416683,2024-02-07 16:21:28:479
-5.359,8.46,-4.411,16.8453401,73.6416683,2024-02-07 16:21:28:484
-1.68,6.824,-6.926,16.8453401,73.6416683,2024-02-07 16:21:28:491
3.42,6.307,-7.52,16.8453401,73.6416683,2024-02-07 16:21:28:495
7.561,6.175,-7.302,16.8453401,73.6416683,2024-02-07 16:21:28:499
9.003,5.699,-7.872,16.8453401,73.6416683,2024-02-07 16:21:28:508
7.003,6.115,-7.318,16.8453401,73.6416683,2024-02-07 16:21:28:509
2.292,6.817,-6.504,16.8453401,73.6416683,2024-02-07 16:21:28:514
-2.897,7.409,-6.427,16.8453401,73.6416683,2024-02-07 16:21:28:519
-6.025,7.945,-6.008,16.8453401,73.6416683,2024-02-07 16:21:28:525
-5.761,8.285,-5.275,16.8453401,73.6416683,2024-02-07 16:21:28:529
-2.183,7.761,-5.599,16.8453401,73.6416683,2024-02-07 16:21:28:534
3.006,6.63,-6.873,16.8453401,73.6416683,2024-02-07 16:21:28:541
7.485,6.08,-7.443,16.8453401,73.6416683,2024-02-07 16:21:28:544
9.101,5.766,-7.977,16.8453401,73.6416683,2024-02-07 16:21:28:549
7.164,5.955,-7.943,16.8453401,73.6416683,2024-02-07 16:21:28:554
2.525,6.554,-7.426,16.8453401,73.6416683,2024-02-07 16:21:28:561
-2.504,7.325,-6.463,16.8453401,73.6416683,2024-02-07 16:21:28:564
-5.617,8.372,-4.631,16.8453401,73.6416683,2024-02-07 16:21:28:570
-5.62,8.585,-3.893,16.8453401,73.6416683,2024-02-07 16:21:28:575
-2.59,7.222,-6.063,16.8453401,73.6416683,2024-02-07 16:21:28:579
2.228,6.264,-7.594,16.8453401,73.6416683,2024-02-07 16:21:28:584
6.73,6.252,-7.474,16.8453401,73.6416683,2024-02-07 16:21:28:592
8.836,5.847,-7.917,16.8453401,73.6416683,2024-02-07 16:21:28:595
7.65,6.068,-7.661,16.8453401,73.6416683,2024-02-07 16:21:28:599
3.485,6.776,-6.655,16.8453401,73.6416683,2024-02-07 16:21:28:604
-1.761,7.428,-6.289,16.8453401,73.6416683,2024-02-07 16:21:28:609
-5.505,7.861,-6.114,16.8453401,73.6416683,2024-02-07 16:21:28:614
-6.075,8.108,-5.627,16.8453401,73.6416683,2024-02-07 16:21:28:619
-3.208,7.878,-5.45,16.8453401,73.6416683,2024-02-07 16:21:28:626
1.799,6.863,-6.389,16.8453401,73.6416683,2024-02-07 16:21:28:629
6.637,6.06,-7.208,16.8453401,73.6416683,2024-02-07 16:21:28:634
9.073,5.701,-7.836,16.8453401,73.6416683,2024-02-07 16:21:28:643
7.976,5.852,-7.898,16.8453401,73.6416683,2024-02-07 16:21:28:644
3.82,6.508,-7.498,16.8453401,73.6416683,2024-02-07 16:21:28:649
-1.39,7.083,-6.966,16.8453401,73.6416683,2024-02-07 16:21:28:654
