x_acc,y_acc,z_acc,Lat,Lng,Time
-3.38,8.776,-4.607,16.846578,73.6467158,2024-02-07 16:25:45:041
-3.462,8.592,-4.737,16.846578,73.6467158,2024-02-07 16:25:45:041
-1.335,8.07,-5.498,16.846578,73.6467158,2024-02-07 16:25:45:041
1.986,7.538,-6.147,16.846578,73.6467158,2024-02-07 16:25:45:041
4.831,7.191,-6.48,16.846578,73.6467158,2024-02-07 16:25:45:042
5.688,6.86,-6.906,16.846578,73.6467158,2024-02-07 16:25:45:042
4.067,6.753,-7.007,16.846578,73.6467158,2024-02-07 16:25:45:042
0.831,7.564,-5.817,16.846578,73.6467158,2024-02-07 16:25:45:042
-2.497,8.326,-4.715,16.846578,73.6467158,2024-02-07 16:25:45:042
-4.255,8.542,-4.622,16.846578,73.6467158,2024-02-07 16:25:45:061
-3.505,8.4,-5.115,16.846578,73.6467158,2024-02-07 16:25:45:061
-0.578,7.938,-5.855,16.846578,73.6467158,2024-02-07 16:25:45:061
3.071,7.469,-6.346,16.846578,73.6467158,2024-02-07 16:25:45:061
5.65,7.129,-6.619,16.846578,73.6467158,2024-02-07 16:25:45:069
5.7,6.822,-6.947,16.846578,73.6467158,2024-02-07 16:25:45:071
3.317,6.894,-6.909,16.846578,73.6467158,2024-02-07 16:25:45:076
-0.339,7.576,-5.903,16.846578,73.6467158,2024-02-07 16:25:45:090
-3.347,8.542,-4.583,16.846578,73.6467158,2024-02-07 16:25:45:090
-4.324,8.695,-4.447,16.846578,73.6467158,2024-02-07 16:25:45:090
-2.739,8.321,-5.151,16.846578,73.6467158,2024-02-07 16:25:45:096
0.659,7.78,-6.049,16.846578,73.6467158,2024-02-07 16:25:45:100
4.125,7.339,-6.631,16.846578,73.6467158,2024-02-07 16:25:45:107
5.839,6.997,-7.017,16.846578,73.6467158,2024-02-07 16:25:45:111
5.027,6.743,-7.244,16.846578,73.6467158,2024-02-07 16:25:45:123
2.173,7.471,-6.138,16.846578,73.6467158,2024-02-07 16:25:45:124
-1.335,8.295,-4.878,16.846578,73.6467158,2024-02-07 16:25:45:126
-3.704,8.475,-4.753,16.846578,73.6467158,2024-02-07 16:25:45:137
-3.752,8.348,-5.225,16.846578,73.6467158,2024-02-07 16:25:45:137
-1.503,7.984,-5.75,16.846578,73.6467158,2024-02-07 16:25:45:141
1.892,7.61,-6.049,16.846578,73.6467158,2024-02-07 16:25:45:146
4.659,7.179,-6.375,16.846578,73.6467158,2024-02-07 16:25:45:152
5.353,6.776,-6.854,16.846578,73.6467158,2024-02-07 16:25:45:161
3.739,6.812,-6.832,16.846578,73.6467158,2024-02-07 16:25:45:161
0.613,7.536,-5.793,16.846578,73.6467158,2024-02-07 16:25:45:168
-2.298,8.417,-4.667,16.846578,73.6467158,2024-02-07 16:25:45:170
-3.685,8.53,-4.82,16.846578,73.6467158,2024-02-07 16:25:45:175
-2.667,8.36,-5.357,16.846578,73.6467158,2024-02-07 16:25:45:180
0.12,7.883,-6.068,16.846578,73.6467158,2024-02-07 16:25:45:186
3.296,7.435,-6.576,16.846578,73.6467158,2024-02-07 16:25:45:190
5.071,7.042,-6.894,16.846578,73.6467158,2024-02-07 16:25:45:195
4.63,6.784,-7.021,16.846578,73.6467158,2024-02-07 16:25:45:202
2.278,7.394,-5.98,16.846578,73.6467158,2024-02-07 16:25:45:206
