x_acc,y_acc,z_acc,Lat,Lng,Time
5.104,7.459,-6.494,16.8759467,73.64899,2024-02-07 16:32:38:428
3.04,7.528,-6.643,16.8759467,73.64899,2024-02-07 16:32:38:428
-0.437,8.381,-5.872,16.8759467,73.64899,2024-02-07 16:32:38:429
-3.785,8.956,-5.113,16.8759467,73.64899,2024-02-07 16:32:38:429
-5.184,9.066,-4.962,16.8759467,73.64899,2024-02-07 16:32:38:429
-3.982,8.333,-5.548,16.8759467,73.64899,2024-02-07 16:32:38:429
-0.794,8.019,-5.156,16.8759467,73.64899,2024-02-07 16:32:38:429
2.925,8.065,-4.437,16.8759467,73.64899,2024-02-07 16:32:38:429
5.344,7.176,-5.589,16.8759467,73.64899,2024-02-07 16:32:38:429
5.418,6.669,-7.05,16.8759467,73.64899,2024-02-07 16:32:38:429
2.819,6.877,-7.201,16.8759467,73.64899,2024-02-07 16:32:38:429
-0.933,8.003,-5.845,16.8759467,73.64899,2024-02-07 16:32:38:430
-4.209,9.15,-4.339,16.8759467,73.64899,2024-02-07 16:32:38:443
-5.44,9.425,-3.613,16.8759467,73.64899,2024-02-07 16:32:38:443
-4.161,8.831,-4.399,16.8759467,73.64899,2024-02-07 16:32:38:447
-0.732,7.691,-6.035,16.8759467,73.64899,2024-02-07 16:32:38:452
3.023,7.081,-6.722,16.8759467,73.64899,2024-02-07 16:32:38:452
5.494,7.509,-5.821,16.8759467,73.64899,2024-02-07 16:32:38:457
5.521,7.442,-5.884,16.8759467,73.64899,2024-02-07 16:32:38:463
3.064,7.38,-6.332,16.8759467,73.64899,2024-02-07 16:32:38:467
-0.832,7.888,-6.181,16.8759467,73.64899,2024-02-07 16:32:38:473
-4.264,8.659,-4.919,16.8759467,73.64899,2024-02-07 16:32:38:479
-5.656,9.2,-4.305,16.8759467,73.64899,2024-02-07 16:32:38:482
-4.379,8.29,-5.105,16.8759467,73.64899,2024-02-07 16:32:38:487
-1.055,8.156,-4.875,16.8759467,73.64899,2024-02-07 16:32:38:502
3.016,8.324,-4.428,16.8759467,73.64899,2024-02-07 16:32:38:503
5.76,7.418,-6.097,16.8759467,73.64899,2024-02-07 16:32:38:503
5.983,6.755,-7.781,16.8759467,73.64899,2024-02-07 16:32:38:508
3.435,7.14,-7.668,16.8759467,73.64899,2024-02-07 16:32:38:517
-0.674,8.352,-5.872,16.8759467,73.64899,2024-02-07 16:32:38:517
-4.353,9.586,-4.025,16.8759467,73.64899,2024-02-07 16:32:38:524
-6.051,9.437,-3.961,16.8759467,73.64899,2024-02-07 16:32:38:529
-4.899,8.599,-4.705,16.8759467,73.64899,2024-02-07 16:32:38:532
-1.333,7.739,-5.515,16.8759467,73.64899,2024-02-07 16:32:38:537
2.843,7.32,-5.556,16.8759467,73.64899,2024-02-07 16:32:38:542
5.756,7.126,-5.69,16.8759467,73.64899,2024-02-07 16:32:38:556
6.151,6.903,-6.344,16.8759467,73.64899,2024-02-07 16:32:38:556
3.679,7.229,-6.456,16.8759467,73.64899,2024-02-07 16:32:38:557
-0.535,8.048,-6.001,16.8759467,73.64899,2024-02-07 16:32:38:564
-4.432,8.709,-5.35,16.8759467,73.64899,2024-02-07 16:32:38:568
-6.219,8.91,-5.199,16.8759467,73.64899,2024-02-07 16:32:38:573
-5.184,8.712,-4.873,16.8759467,73.64899,2024-02-07 16:32:38:580
-1.666,8.673,-4.246,16.8759467,73.64899,2024-02-07 16:32:38:582
2.743,8.156,-4.811,16.8759467,73.64899,2024-02-07 16:32:38:588
5.906,6.963,-6.499,16.8759467,73.64899,2024-02-07 16:32:38:593
6.4,6.554,-7.625,16.8759467,73.64899,2024-02-07 16:32:38:597
3.931,7.069,-7.005,16.8759467,73.64899,2024-02-07 16:32:38:603
-0.327,8.161,-5.546,16.8759467,73.64899,2024-02-07 16:32:38:608
-4.415,9.09,-4.236,16.8759467,73.64899,2024-02-07 16:32:38:615
