x_acc,y_acc,z_acc,Lat,Lng,Time
-0.219,7.794,-6.411,16.8768713,73.6201917,2024-02-07 16:45:51:830
-2.3,8.63,-4.653,16.8768713,73.6201917,2024-02-07 16:45:51:830
-2.729,8.463,-4.442,16.8768713,73.6201917,2024-02-07 16:45:51:831
-1.206,7.684,-5.364,16.8768713,73.6201917,2024-02-07 16:45:51:844
1.55,7.251,-5.726,16.8768713,73.6201917,2024-02-07 16:45:51:845
4.057,7.445,-5.304,16.8768713,73.6201917,2024-02-07 16:45:51:846
5.085,7.445,-5.821,16.8768713,73.6201917,2024-02-07 16:45:51:851
4.089,6.903,-7.409,16.8768713,73.6201917,2024-02-07 16:45:51:858
1.593,7.284,-7.33,16.8768713,73.6201917,2024-02-07 16:45:51:861
-1.172,8.249,-5.754,16.8768713,73.6201917,2024-02-07 16:45:51:866
-2.7,8.539,-4.866,16.8768713,73.6201917,2024-02-07 16:45:51:878
-2.367,8.137,-4.959,16.8768713,73.6201917,2024-02-07 16:45:51:879
-0.305,7.763,-5.271,16.8768713,73.6201917,2024-02-07 16:45:51:882
2.503,7.689,-5.18,16.8768713,73.6201917,2024-02-07 16:45:51:887
4.582,7.552,-5.656,16.8768713,73.6201917,2024-02-07 16:45:51:893
4.901,6.923,-7.019,16.8768713,73.6201917,2024-02-07 16:45:51:896
3.293,6.844,-7.534,16.8768713,73.6201917,2024-02-07 16:45:51:910
0.534,7.37,-6.684,16.8768713,73.6201917,2024-02-07 16:45:51:910
-1.982,8.304,-4.954,16.8768713,73.6201917,2024-02-07 16:45:51:911
-2.947,8.618,-4.265,16.8768713,73.6201917,2024-02-07 16:45:51:918
-1.953,8.015,-5.101,16.8768713,73.6201917,2024-02-07 16:45:51:922
0.666,7.509,-5.817,16.8768713,73.6201917,2024-02-07 16:45:51:927
3.516,7.495,-5.747,16.8768713,73.6201917,2024-02-07 16:45:51:931
5.188,7.691,-5.771,16.8768713,73.6201917,2024-02-07 16:45:51:936
4.862,7.172,-7.117,16.8768713,73.6201917,2024-02-07 16:45:51:942
2.637,7.073,-7.682,16.8768713,73.6201917,2024-02-07 16:45:51:946
-0.341,7.96,-6.245,16.8768713,73.6201917,2024-02-07 16:45:51:951
-2.518,8.436,-4.978,16.8768713,73.6201917,2024-02-07 16:45:51:960
-2.923,8.139,-4.703,16.8768713,73.6201917,2024-02-07 16:45:51:962
-1.352,7.727,-4.928,16.8768713,73.6201917,2024-02-07 16:45:51:966
1.43,7.572,-4.962,16.8768713,73.6201917,2024-02-07 16:45:51:975
4.036,7.533,-5.285,16.8768713,73.6201917,2024-02-07 16:45:51:976
5.164,7.04,-6.607,16.8768713,73.6201917,2024-02-07 16:45:51:981
4.244,6.858,-7.517,16.8768713,73.6201917,2024-02-07 16:45:51:986
1.694,7.323,-7.179,16.8768713,73.6201917,2024-02-07 16:45:51:991
-1.165,8.077,-5.833,16.8768713,73.6201917,2024-02-07 16:45:51:996
-2.842,8.704,-4.622,16.8768713,73.6201917,2024-02-07 16:45:52:001
-2.573,8.4,-4.811,16.8768713,73.6201917,2024-02-07 16:45:52:008
-0.471,7.751,-5.616,16.8768713,73.6201917,2024-02-07 16:45:52:011
2.438,7.358,-5.891,16.8768713,73.6201917,2024-02-07 16:45:52:016
