x_acc,y_acc,z_acc,Lat,Lng,Time
-0.315,9.816,-0.414,16.8575339,73.5419281,2024-02-08 12:56:34:415
-0.296,9.773,-0.356,16.8575339,73.5419281,2024-02-08 12:56:34:416
-0.329,9.73,-0.375,16.8575339,73.5419281,2024-02-08 12:56:34:431
-0.284,9.746,-0.447,16.8575339,73.5419281,2024-02-08 12:56:34:447
-0.2,9.698,-0.339,16.8575339,73.5419281,2024-02-08 12:56:34:476
-0.236,9.785,-0.378,16.8575339,73.5419281,2024-02-08 12:56:34:490
-0.159,9.852,-0.385,16.8575339,73.5419281,2024-02-08 12:56:34:506
-0.279,9.809,-0.27,16.8575339,73.5419281,2024-02-08 12:56:34:527
-0.308,9.821,-0.334,16.8575339,73.5419281,2024-02-08 12:56:34:546
-0.255,9.782,-0.373,16.8575339,73.5419281,2024-02-08 12:56:34:566
-0.351,9.713,-0.361,16.8575339,73.5419281,2024-02-08 12:56:34:604
-0.288,9.727,-0.421,16.8575339,73.5419281,2024-02-08 12:56:34:610
-0.339,9.761,-0.368,16.8575339,73.5419281,2024-02-08 12:56:34:627
-0.334,9.782,-0.337,16.8575339,73.5419281,2024-02-08 12:56:34:647
-0.277,9.801,-0.38,16.8575339,73.5419281,2024-02-08 12:56:34:666
-0.336,9.789,-0.382,16.8575339,73.5419281,2024-02-08 12:56:34:686
-0.298,9.751,-0.421,16.8575339,73.5419281,2024-02-08 12:56:34:706
-0.322,9.741,-0.426,16.8575339,73.5419281,2024-02-08 12:56:34:726
-0.346,9.737,-0.418,16.8575339,73.5419281,2024-02-08 12:56:34:746
-0.253,9.758,-0.445,16.8575339,73.5419281,2024-02-08 12:56:34:769
-0.3,9.78,-0.414,16.8575339,73.5419281,2024-02-08 12:56:34:791
-0.26,9.773,-0.414,16.8575339,73.5419281,2024-02-08 12:56:34:813
-0.224,9.787,-0.459,16.8575339,73.5419281,2024-02-08 12:56:34:826
-0.253,9.761,-0.452,16.8575339,73.5419281,2024-02-08 12:56:34:846
-0.205,9.739,-0.471,16.8575339,73.5419281,2024-02-08 12:56:34:867
-0.226,9.744,-0.495,16.8575339,73.5419281,2024-02-08 12:56:34:890
-0.248,9.751,-0.476,16.8575339,73.5419281,2024-02-08 12:56:34:907
-0.181,9.758,-0.495,16.8575339,73.5419281,2024-02-08 12:56:34:927
-0.238,9.775,-0.49,16.8575339,73.5419281,2024-02-08 12:56:34:946
-0.224,9.773,-0.485,16.8575339,73.5419281,2024-02-08 12:56:34:966
-0.202,9.773,-0.483,16.8575339,73.5419281,2024-02-08 12:56:34:990
-0.269,9.753,-0.449,16.8575339,73.5419281,2024-02-08 12:56:35:006
-0.238,9.741,-0.426,16.8575339,73.5419281,2024-02-08 12:56:35:025
-0.277,9.773,-0.392,16.8575339,73.5419281,2024-02-08 12:56:35:046
-0.284,9.761,-0.387,16.8575339,73.5419281,2024-02-08 12:56:35:066
-0.274,9.782,-0.399,16.8575339,73.5419281,2024-02-08 12:56:35:088
-0.293,9.787,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:106
-0.253,9.77,-0.39,16.8575339,73.5419281,2024-02-08 12:56:35:126
-0.291,9.782,-0.411,16.8575339,73.5419281,2024-02-08 12:56:35:147
-0.308,9.768,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:166
-0.305,9.761,-0.392,16.8575339,73.5419281,2024-02-08 12:56:35:186
-0.327,9.78,-0.397,16.8575339,73.5419281,2024-02-08 12:56:35:211
-0.284,9.763,-0.373,16.8575339,73.5419281,2024-02-08 12:56:35:226
-0.312,9.77,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:245
-0.324,9.775,-0.385,16.8575339,73.5419281,2024-02-08 12:56:35:266
-0.279,9.727,-0.394,16.8575339,73.5419281,2024-02-08 12:56:35:285
-0.305,9.746,-0.421,16.8575339,73.5419281,2024-02-08 12:56:35:308
-0.281,9.77,-0.411,16.8575339,73.5419281,2024-02-08 12:56:35:329
-0.253,9.775,-0.39,16.8575339,73.5419281,2024-02-08 12:56:35:346
-0.272,9.801,-0.37,16.8575339,73.5419281,2024-02-08 12:56:35:365
-0.257,9.78,-0.43,16.8575339,73.5419281,2024-02-08 12:56:35:386
-0.25,9.765,-0.414,16.8575339,73.5419281,2024-02-08 12:56:35:406
-0.288,9.749,-0.361,16.8575339,73.5419281,2024-02-08 12:56:35:429
-0.248,9.741,-0.387,16.8575339,73.5419281,2024-02-08 12:56:35:448
-0.243,9.756,-0.404,16.8575339,73.5419281,2024-02-08 12:56:35:466
-0.305,9.765,-0.39,16.8575339,73.5419281,2024-02-08 12:56:35:488
-0.229,9.77,-0.409,16.8575339,73.5419281,2024-02-08 12:56:35:506
-0.279,9.777,-0.409,16.8575339,73.5419281,2024-02-08 12:56:35:527
-0.281,9.751,-0.406,16.8575339,73.5419281,2024-02-08 12:56:35:548
-0.26,9.751,-0.423,16.8575339,73.5419281,2024-02-08 12:56:35:566
-0.317,9.765,-0.426,16.8575339,73.5419281,2024-02-08 12:56:35:587
-0.274,9.708,-0.404,16.8575339,73.5419281,2024-02-08 12:56:35:649
-0.262,9.789,-0.409,16.8575339,73.5419281,2024-02-08 12:56:35:656
-0.272,9.768,-0.411,16.8575339,73.5419281,2024-02-08 12:56:35:669
-0.281,9.761,-0.397,16.8575339,73.5419281,2024-02-08 12:56:35:706
-0.255,9.763,-0.392,16.8575339,73.5419281,2024-02-08 12:56:35:712
-0.269,9.763,-0.418,16.8575339,73.5419281,2024-02-08 12:56:35:723
-0.3,9.768,-0.409,16.8575339,73.5419281,2024-02-08 12:56:35:723
-0.298,9.77,-0.387,16.8575339,73.5419281,2024-02-08 12:56:35:726
-0.32,9.753,-0.404,16.8575339,73.5419281,2024-02-08 12:56:35:732
-0.298,9.768,-0.421,16.8575339,73.5419281,2024-02-08 12:56:35:735
-0.281,9.751,-0.399,16.8575339,73.5419281,2024-02-08 12:56:35:741
-0.257,9.775,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:748
-0.241,9.751,-0.414,16.8575339,73.5419281,2024-02-08 12:56:35:751
-0.267,9.761,-0.421,16.8575339,73.5419281,2024-02-08 12:56:35:756
-0.25,9.758,-0.418,16.8575339,73.5419281,2024-02-08 12:56:35:760
-0.26,9.758,-0.418,16.8575339,73.5419281,2024-02-08 12:56:35:765
-0.279,9.753,-0.421,16.8575339,73.5419281,2024-02-08 12:56:35:773
-0.272,9.794,-0.402,16.8575339,73.5419281,2024-02-08 12:56:35:775
-0.286,9.782,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:784
-0.267,9.77,-0.426,16.8575339,73.5419281,2024-02-08 12:56:35:787
-0.25,9.77,-0.416,16.8575339,73.5419281,2024-02-08 12:56:35:791
-0.277,9.768,-0.399,16.8575339,73.5419281,2024-02-08 12:56:35:802
-0.296,9.777,-0.39,16.8575339,73.5419281,2024-02-08 12:56:35:808
-0.274,9.763,-0.414,16.8575339,73.5419281,2024-02-08 12:56:35:809
-0.274,9.756,-0.385,16.8575339,73.5419281,2024-02-08 12:56:35:811
-0.303,9.746,-0.37,16.8575339,73.5419281,2024-02-08 12:56:35:817
-0.293,9.763,-0.37,16.8575339,73.5419281,2024-02-08 12:56:35:820
-0.291,9.746,-0.368,16.8575339,73.5419281,2024-02-08 12:56:35:826
-0.279,9.756,-0.387,16.8575339,73.5419281,2024-02-08 12:56:35:834
-0.281,9.77,-0.39,16.8575339,73.5419281,2024-02-08 12:56:35:835
-0.284,9.78,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:840
-0.279,9.777,-0.38,16.8575339,73.5419281,2024-02-08 12:56:35:852
-0.262,9.775,-0.378,16.8575339,73.5419281,2024-02-08 12:56:35:852
-0.272,9.785,-0.392,16.8575339,73.5419281,2024-02-08 12:56:35:855
