x_acc,y_acc,z_acc,Lat,Lng,Time
-0.193,9.672,-1.142,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.178,9.701,-1.146,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.193,9.703,-1.144,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.224,9.706,-1.187,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.269,9.71,-1.211,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.291,9.725,-1.18,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.288,9.71,-1.154,16.8381122,73.5083215,2024-02-08 12:58:24:639
-0.293,9.677,-1.187,16.8381122,73.5083215,2024-02-08 12:58:24:646
-0.269,9.667,-1.132,16.8381122,73.5083215,2024-02-08 12:58:24:647
-0.224,9.701,-1.089,16.8381122,73.5083215,2024-02-08 12:58:24:664
-0.212,9.66,-1.158,16.8381122,73.5083215,2024-02-08 12:58:24:664
-0.226,9.66,-1.18,16.8381122,73.5083215,2024-02-08 12:58:24:664
-0.224,9.696,-1.132,16.8381122,73.5083215,2024-02-08 12:58:24:669
-0.243,9.677,-1.173,16.8381122,73.5083215,2024-02-08 12:58:24:672
-0.224,9.698,-1.201,16.8381122,73.5083215,2024-02-08 12:58:24:676
-0.241,9.722,-1.18,16.8381122,73.5083215,2024-02-08 12:58:24:681
-0.272,9.703,-1.237,16.8381122,73.5083215,2024-02-08 12:58:24:687
-0.288,9.696,-1.209,16.8381122,73.5083215,2024-02-08 12:58:24:692
-0.281,9.691,-1.187,16.8381122,73.5083215,2024-02-08 12:58:24:696
-0.269,9.701,-1.125,16.8381122,73.5083215,2024-02-08 12:58:24:702
-0.253,9.708,-1.158,16.8381122,73.5083215,2024-02-08 12:58:24:706
-0.245,9.689,-1.161,16.8381122,73.5083215,2024-02-08 12:58:24:712
-0.245,9.689,-1.113,16.8381122,73.5083215,2024-02-08 12:58:24:720
-0.229,9.696,-1.099,16.8381122,73.5083215,2024-02-08 12:58:24:721
-0.243,9.715,-1.154,16.8381122,73.5083215,2024-02-08 12:58:24:726
-0.272,9.727,-1.137,16.8381122,73.5083215,2024-02-08 12:58:24:732
-0.277,9.751,-1.197,16.8381122,73.5083215,2024-02-08 12:58:24:740
-0.241,9.737,-1.233,16.8381122,73.5083215,2024-02-08 12:58:24:742
-0.226,9.73,-1.204,16.8381122,73.5083215,2024-02-08 12:58:24:746
-0.245,9.718,-1.168,16.8381122,73.5083215,2024-02-08 12:58:24:756
-0.226,9.727,-1.161,16.8381122,73.5083215,2024-02-08 12:58:24:762
-0.248,9.722,-1.18,16.8381122,73.5083215,2024-02-08 12:58:24:762
-0.25,9.703,-1.137,16.8381122,73.5083215,2024-02-08 12:58:24:766
-0.262,9.694,-1.142,16.8381122,73.5083215,2024-02-08 12:58:24:778
-0.265,9.674,-1.163,16.8381122,73.5083215,2024-02-08 12:58:24:778
