x_acc,y_acc,z_acc,Lat,Lng,Time
-0.008,10.046,-2.265,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.027,10.17,-2.445,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.11,10.101,-2.392,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.221,9.926,-2.109,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.304,9.66,-1.757,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.321,9.406,-1.443,16.8233567,73.4741633,2024-02-08 13:14:58:344
0.199,9.282,-1.132,16.8233567,73.4741633,2024-02-08 13:14:58:345
-0.051,9.171,-0.79,16.8233567,73.4741633,2024-02-08 13:14:58:345
-0.636,8.918,-0.833,16.8233567,73.4741633,2024-02-08 13:14:58:345
-0.037,9.138,-0.572,16.8233567,73.4741633,2024-02-08 13:14:58:345
0.501,9.315,-1.099,16.8233567,73.4741633,2024-02-08 13:14:58:357
0.757,9.404,-1.839,16.8233567,73.4741633,2024-02-08 13:14:58:357
0.611,10.139,-2.291,16.8233567,73.4741633,2024-02-08 13:14:58:357
0.154,10.422,-2.67,16.8233567,73.4741633,2024-02-08 13:14:58:365
-0.245,10.568,-2.974,16.8233567,73.4741633,2024-02-08 13:14:58:368
-0.262,10.316,-2.684,16.8233567,73.4741633,2024-02-08 13:14:58:380
0.053,10.005,-1.903,16.8233567,73.4741633,2024-02-08 13:14:58:380
0.429,9.399,-1.309,16.8233567,73.4741633,2024-02-08 13:14:58:385
0.558,8.92,-0.921,16.8233567,73.4741633,2024-02-08 13:14:58:386
0.403,8.932,-0.517,16.8233567,73.4741633,2024-02-08 13:14:58:404
0.034,9.023,-0.572,16.8233567,73.4741633,2024-02-08 13:14:58:404
-0.219,9.2,-0.998,16.8233567,73.4741633,2024-02-08 13:14:58:404
-0.183,9.488,-1.448,16.8233567,73.4741633,2024-02-08 13:14:58:409
0.125,9.789,-1.714,16.8233567,73.4741633,2024-02-08 13:14:58:417
0.484,9.933,-2.119,16.8233567,73.4741633,2024-02-08 13:14:58:417
0.582,9.988,-2.445,16.8233567,73.4741633,2024-02-08 13:14:58:423
0.434,10.158,-2.418,16.8233567,73.4741633,2024-02-08 13:14:58:434
0.084,10.134,-2.318,16.8233567,73.4741633,2024-02-08 13:14:58:438
-0.15,9.904,-2.145,16.8233567,73.4741633,2024-02-08 13:14:58:441
-0.123,9.643,-1.673,16.8233567,73.4741633,2024-02-08 13:14:58:443
0.096,9.339,-1.142,16.8233567,73.4741633,2024-02-08 13:14:58:454
0.34,9.04,-0.897,16.8233567,73.4741633,2024-02-08 13:14:58:454
0.441,8.939,-0.806,16.8233567,73.4741633,2024-02-08 13:14:58:458
0.331,9.145,-0.948,16.8233567,73.4741633,2024-02-08 13:14:58:465
0.091,9.44,-1.312,16.8233567,73.4741633,2024-02-08 13:14:58:472
-0.08,9.706,-1.829,16.8233567,73.4741633,2024-02-08 13:14:58:472
