x_acc,y_acc,z_acc,Lat,Lng,Time
0.362,9.919,-0.54,16.81952,73.4478233,2024-02-08 13:28:36:627
0.791,9.627,-1.36,16.81952,73.4478233,2024-02-08 13:28:36:627
1.138,9.794,-1.532,16.81952,73.4478233,2024-02-08 13:28:36:627
1.112,9.926,-1.745,16.81952,73.4478233,2024-02-08 13:28:36:627
0.788,9.342,-2.641,16.81952,73.4478233,2024-02-08 13:28:36:628
0.34,9.205,-2.394,16.81952,73.4478233,2024-02-08 13:28:36:628
0.053,9.9,-0.521,16.81952,73.4478233,2024-02-08 13:28:36:628
0.122,10.072,0.081,16.81952,73.4478233,2024-02-08 13:28:36:631
0.525,9.507,-0.694,16.81952,73.4478233,2024-02-08 13:28:36:648
1.068,9.308,-1.376,16.81952,73.4478233,2024-02-08 13:28:36:648
1.416,9.562,-1.297,16.81952,73.4478233,2024-02-08 13:28:36:669
1.351,9.67,-1.412,16.81952,73.4478233,2024-02-08 13:28:36:669
0.882,9.65,-1.671,16.81952,73.4478233,2024-02-08 13:28:36:669
0.271,9.689,-1.798,16.81952,73.4478233,2024-02-08 13:28:36:669
-0.224,9.581,-1.898,16.81952,73.4478233,2024-02-08 13:28:36:669
-0.317,9.753,-1.252,16.81952,73.4478233,2024-02-08 13:28:36:670
-0.066,9.998,-0.368,16.81952,73.4478233,2024-02-08 13:28:36:674
0.575,9.876,-0.392,16.81952,73.4478233,2024-02-08 13:28:36:693
1.119,9.524,-0.845,16.81952,73.4478233,2024-02-08 13:28:36:693
1.409,9.509,-0.998,16.81952,73.4478233,2024-02-08 13:28:36:693
1.356,9.588,-1.213,16.81952,73.4478233,2024-02-08 13:28:36:699
0.963,9.251,-1.982,16.81952,73.4478233,2024-02-08 13:28:36:699
0.453,9.073,-2.406,16.81952,73.4478233,2024-02-08 13:28:36:703
0.027,9.543,-1.352,16.81952,73.4478233,2024-02-08 13:28:36:709
-0.078,10.106,-0.318,16.81952,73.4478233,2024-02-08 13:28:36:715
0.137,10.015,-0.555,16.81952,73.4478233,2024-02-08 13:28:36:719
0.563,9.696,-1.496,16.81952,73.4478233,2024-02-08 13:28:36:724
1.004,9.77,-1.585,16.81952,73.4478233,2024-02-08 13:28:36:731
1.183,9.89,-1.338,16.81952,73.4478233,2024-02-08 13:28:36:735
1.1,9.749,-1.338,16.81952,73.4478233,2024-02-08 13:28:36:739
0.803,9.49,-1.532,16.81952,73.4478233,2024-02-08 13:28:36:749
0.52,9.162,-1.752,16.81952,73.4478233,2024-02-08 13:28:36:749
0.293,9.248,-1.319,16.81952,73.4478233,2024-02-08 13:28:36:755
0.211,9.66,-0.411,16.81952,73.4478233,2024-02-08 13:28:36:768
0.309,9.727,-0.351,16.81952,73.4478233,2024-02-08 13:28:36:768
0.563,9.744,-0.754,16.81952,73.4478233,2024-02-08 13:28:36:768
0.702,9.825,-0.919,16.81952,73.4478233,2024-02-08 13:28:36:774
0.738,9.988,-1.142,16.81952,73.4478233,2024-02-08 13:28:36:783
0.659,9.792,-1.848,16.81952,73.4478233,2024-02-08 13:28:36:786
0.554,9.26,-2.634,16.81952,73.4478233,2024-02-08 13:28:36:790
0.51,9.27,-2.229,16.81952,73.4478233,2024-02-08 13:28:36:796
0.546,9.71,-0.734,16.81952,73.4478233,2024-02-08 13:28:36:799
0.736,9.921,-0.138,16.81952,73.4478233,2024-02-08 13:28:36:803
0.973,9.603,-0.737,16.81952,73.4478233,2024-02-08 13:28:36:808
1.1,9.437,-1.362,16.81952,73.4478233,2024-02-08 13:28:36:814
0.963,9.708,-1.218,16.81952,73.4478233,2024-02-08 13:28:36:819
0.637,9.859,-1.12,16.81952,73.4478233,2024-02-08 13:28:36:823
0.225,9.741,-1.52,16.81952,73.4478233,2024-02-08 13:28:36:830
-0.051,9.528,-1.918,16.81952,73.4478233,2024-02-08 13:28:36:833
-0.037,9.428,-1.949,16.81952,73.4478233,2024-02-08 13:28:36:838
0.285,9.698,-1.17,16.81952,73.4478233,2024-02-08 13:28:36:849
0.728,9.821,-0.536,16.81952,73.4478233,2024-02-08 13:28:36:849
1.205,9.744,-0.67,16.81952,73.4478233,2024-02-08 13:28:36:854
1.365,9.643,-0.809,16.81952,73.4478233,2024-02-08 13:28:36:865
1.188,9.694,-0.78,16.81952,73.4478233,2024-02-08 13:28:36:866
0.721,9.741,-1.158,16.81952,73.4478233,2024-02-08 13:28:36:868
0.187,9.373,-1.999,16.81952,73.4478233,2024-02-08 13:28:36:873
-0.138,9.08,-2.49,16.81952,73.4478233,2024-02-08 13:28:36:882
-0.123,9.48,-1.611,16.81952,73.4478233,2024-02-08 13:28:36:884
0.249,9.926,-0.526,16.81952,73.4478233,2024-02-08 13:28:36:889
0.81,9.947,-0.488,16.81952,73.4478233,2024-02-08 13:28:36:894
1.296,9.691,-1.185,16.81952,73.4478233,2024-02-08 13:28:36:899
1.488,9.605,-1.563,16.81952,73.4478233,2024-02-08 13:28:36:904
1.229,9.763,-1.293,16.81952,73.4478233,2024-02-08 13:28:36:909
0.678,9.768,-1.132,16.81952,73.4478233,2024-02-08 13:28:36:915
0.084,9.516,-1.534,16.81952,73.4478233,2024-02-08 13:28:36:919
-0.207,9.241,-1.827,16.81952,73.4478233,2024-02-08 13:28:36:923
-0.183,9.33,-1.486,16.81952,73.4478233,2024-02-08 13:28:36:932
0.237,9.741,-0.593,16.81952,73.4478233,2024-02-08 13:28:36:934
0.762,9.718,-0.536,16.81952,73.4478233,2024-02-08 13:28:36:939
1.224,9.722,-0.816,16.81952,73.4478233,2024-02-08 13:28:36:943
1.294,9.852,-0.806,16.81952,73.4478233,2024-02-08 13:28:36:950
1.04,9.921,-0.979,16.81952,73.4478233,2024-02-08 13:28:36:954
0.578,9.83,-1.616,16.81952,73.4478233,2024-02-08 13:28:36:958
0.19,9.358,-2.337,16.81952,73.4478233,2024-02-08 13:28:36:966
0.012,9.183,-2.495,16.81952,73.4478233,2024-02-08 13:28:36:969
0.17,9.485,-1.331,16.81952,73.4478233,2024-02-08 13:28:36:974
0.532,9.883,-0.267,16.81952,73.4478233,2024-02-08 13:28:36:982
1.011,9.9,-0.232,16.81952,73.4478233,2024-02-08 13:28:36:984
1.308,9.567,-1.089,16.81952,73.4478233,2024-02-08 13:28:36:988
1.27,9.576,-1.405,16.81952,73.4478233,2024-02-08 13:28:36:993
0.901,9.835,-1.094,16.81952,73.4478233,2024-02-08 13:28:36:999
0.362,9.856,-1.19,16.81952,73.4478233,2024-02-08 13:28:37:003
-0.051,9.543,-1.772,16.81952,73.4478233,2024-02-08 13:28:37:008
