x_acc,y_acc,z_acc,Lat,Lng,Time
0.182,9.823,-1.221,16.7974217,73.43179,2024-02-08 13:43:22:780
-0.631,10.204,-0.869,16.7974217,73.43179,2024-02-08 13:43:22:781
-1.496,10.182,-0.998,16.7974217,73.43179,2024-02-08 13:43:22:781
-1.91,9.955,-1.671,16.7974217,73.43179,2024-02-08 13:43:22:781
-1.658,9.399,-2.38,16.7974217,73.43179,2024-02-08 13:43:22:791
-0.914,9.358,-2.485,16.7974217,73.43179,2024-02-08 13:43:22:791
0.041,9.65,-1.489,16.7974217,73.43179,2024-02-08 13:43:22:792
0.772,9.804,-0.567,16.7974217,73.43179,2024-02-08 13:43:22:803
0.975,9.916,-0.217,16.7974217,73.43179,2024-02-08 13:43:22:803
0.472,9.536,-0.598,16.7974217,73.43179,2024-02-08 13:43:22:809
-0.377,9.593,-1.046,16.7974217,73.43179,2024-02-08 13:43:22:811
-1.378,9.722,-1.161,16.7974217,73.43179,2024-02-08 13:43:22:820
-2.056,9.662,-1.431,16.7974217,73.43179,2024-02-08 13:43:22:822
-2.238,9.581,-1.352,16.7974217,73.43179,2024-02-08 13:43:22:827
-1.714,9.49,-1.386,16.7974217,73.43179,2024-02-08 13:43:22:832
-0.732,9.296,-1.757,16.7974217,73.43179,2024-02-08 13:43:22:836
0.321,9.931,-0.95,16.7974217,73.43179,2024-02-08 13:43:22:842
1.037,10.522,-0.368,16.7974217,73.43179,2024-02-08 13:43:22:847
0.982,9.739,-1.498,16.7974217,73.43179,2024-02-08 13:43:22:855
0.278,9.464,-1.692,16.7974217,73.43179,2024-02-08 13:43:22:858
-0.741,9.976,-0.629,16.7974217,73.43179,2024-02-08 13:43:22:871
-1.754,9.878,-0.387,16.7974217,73.43179,2024-02-08 13:43:22:872
-2.221,9.624,-1.065,16.7974217,73.43179,2024-02-08 13:43:22:872
-2.087,8.992,-2.09,16.7974217,73.43179,2024-02-08 13:43:22:877
-1.196,8.918,-2.442,16.7974217,73.43179,2024-02-08 13:43:22:882
-0.08,9.435,-1.549,16.7974217,73.43179,2024-02-08 13:43:22:887
0.815,9.95,-0.579,16.7974217,73.43179,2024-02-08 13:43:22:892
1.14,10.352,-0.208,16.7974217,73.43179,2024-02-08 13:43:22:896
0.726,10.256,-0.643,16.7974217,73.43179,2024-02-08 13:43:22:910
-0.114,10.0,-1.623,16.7974217,73.43179,2024-02-08 13:43:22:910
-1.048,9.763,-2.068,16.7974217,73.43179,2024-02-08 13:43:22:920
