x_acc,y_acc,z_acc,Lat,Lng,Time
-0.859,9.183,0.165,16.7658217,73.431015,2024-02-08 13:57:59:348
-0.032,8.91,-0.536,16.7658217,73.431015,2024-02-08 13:57:59:349
0.803,8.769,-0.931,16.7658217,73.431015,2024-02-08 13:57:59:349
1.025,7.227,-3.158,16.7658217,73.431015,2024-02-08 13:57:59:349
0.678,8.819,-0.845,16.7658217,73.431015,2024-02-08 13:57:59:349
-0.011,11.856,3.154,16.7658217,73.431015,2024-02-08 13:57:59:349
-0.621,11.008,0.515,16.7658217,73.431015,2024-02-08 13:57:59:349
-0.6,10.086,-2.48,16.7658217,73.431015,2024-02-08 13:57:59:367
0.015,10.759,-2.502,16.7658217,73.431015,2024-02-08 13:57:59:367
0.618,9.562,-4.126,16.7658217,73.431015,2024-02-08 13:57:59:367
0.702,8.81,-3.735,16.7658217,73.431015,2024-02-08 13:57:59:368
0.348,10.927,1.2,16.7658217,73.431015,2024-02-08 13:57:59:374
-0.382,10.893,2.582,16.7658217,73.431015,2024-02-08 13:57:59:380
-0.947,8.752,-0.095,16.7658217,73.431015,2024-02-08 13:57:59:383
-0.806,8.949,0.038,16.7658217,73.431015,2024-02-08 13:57:59:389
-0.267,8.407,-0.727,16.7658217,73.431015,2024-02-08 13:57:59:398
0.324,7.354,-2.456,16.7658217,73.431015,2024-02-08 13:57:59:398
0.702,9.914,1.094,16.7658217,73.431015,2024-02-08 13:57:59:404
0.772,11.684,2.428,16.7658217,73.431015,2024-02-08 13:57:59:413
0.527,10.309,-1.712,16.7658217,73.431015,2024-02-08 13:57:59:414
0.405,10.335,-3.58,16.7658217,73.431015,2024-02-08 13:57:59:418
0.297,10.46,-3.702,16.7658217,73.431015,2024-02-08 13:57:59:423
0.082,9.77,-3.644,16.7658217,73.431015,2024-02-08 13:57:59:434
-0.248,10.455,-0.234,16.7658217,73.431015,2024-02-08 13:57:59:443
-0.686,10.977,2.22,16.7658217,73.431015,2024-02-08 13:57:59:444
-1.139,9.272,0.941,16.7658217,73.431015,2024-02-08 13:57:59:450
-1.1,8.537,-0.344,16.7658217,73.431015,2024-02-08 13:57:59:450
-0.593,7.912,-1.125,16.7658217,73.431015,2024-02-08 13:57:59:454
0.316,7.842,-1.762,16.7658217,73.431015,2024-02-08 13:57:59:459
1.183,9.718,1.133,16.7658217,73.431015,2024-02-08 13:57:59:467
1.763,11.066,1.798,16.7658217,73.431015,2024-02-08 13:57:59:470
1.583,10.242,-1.314,16.7658217,73.431015,2024-02-08 13:57:59:473
0.874,10.194,-3.134,16.7658217,73.431015,2024-02-08 13:57:59:485
-0.217,10.022,-3.999,16.7658217,73.431015,2024-02-08 13:57:59:485
-1.184,10.139,-3.199,16.7658217,73.431015,2024-02-08 13:57:59:489
-1.668,10.973,0.182,16.7658217,73.431015,2024-02-08 13:57:59:499
-1.529,10.812,1.71,16.7658217,73.431015,2024-02-08 13:57:59:499
-0.921,9.377,0.508,16.7658217,73.431015,2024-02-08 13:57:59:504
-0.044,8.422,-0.538,16.7658217,73.431015,2024-02-08 13:57:59:508
0.728,7.514,-1.807,16.7658217,73.431015,2024-02-08 13:57:59:514
1.279,8.166,-1.355,16.7658217,73.431015,2024-02-08 13:57:59:518
1.538,10.297,1.875,16.7658217,73.431015,2024-02-08 13:57:59:523
1.461,10.996,1.317,16.7658217,73.431015,2024-02-08 13:57:59:531
0.975,10.175,-1.491,16.7658217,73.431015,2024-02-08 13:57:59:534
0.23,9.935,-3.309,16.7658217,73.431015,2024-02-08 13:57:59:538
-0.811,9.536,-3.965,16.7658217,73.431015,2024-02-08 13:57:59:551
-1.57,10.45,-1.963,16.7658217,73.431015,2024-02-08 13:57:59:551
-1.917,11.128,0.905,16.7658217,73.431015,2024-02-08 13:57:59:553
-1.486,10.465,1.073,16.7658217,73.431015,2024-02-08 13:57:59:558
-0.526,9.619,0.141,16.7658217,73.431015,2024-02-08 13:57:59:566
0.609,8.19,-1.36,16.7658217,73.431015,2024-02-08 13:57:59:568
1.413,7.517,-2.394,16.7658217,73.431015,2024-02-08 13:57:59:573
1.773,9.26,0.179,16.7658217,73.431015,2024-02-08 13:57:59:583
1.437,10.575,2.033,16.7658217,73.431015,2024-02-08 13:57:59:583
0.944,10.405,0.036,16.7658217,73.431015,2024-02-08 13:57:59:589
0.166,10.065,-1.946,16.7658217,73.431015,2024-02-08 13:57:59:593
-0.451,9.48,-3.592,16.7658217,73.431015,2024-02-08 13:57:59:618
-1.153,9.452,-3.417,16.7658217,73.431015,2024-02-08 13:57:59:618
-1.457,10.831,-0.047,16.7658217,73.431015,2024-02-08 13:57:59:618
-1.529,10.908,1.535,16.7658217,73.431015,2024-02-08 13:57:59:618
-1.024,10.098,0.606,16.7658217,73.431015,2024-02-08 13:57:59:618
-0.159,9.212,-0.739,16.7658217,73.431015,2024-02-08 13:57:59:625
0.793,7.902,-2.361,16.7658217,73.431015,2024-02-08 13:57:59:634
