x_acc,y_acc,z_acc,Lat,Lng,Time
0.934,10.153,-1.099,16.8186667,73.40898,2024-02-08 14:20:16:935
1.318,10.376,-0.624,16.8186667,73.40898,2024-02-08 14:20:16:935
1.09,9.868,-1.288,16.8186667,73.40898,2024-02-08 14:20:16:935
0.448,9.579,-1.769,16.8186667,73.40898,2024-02-08 14:20:16:935
-0.358,9.751,-1.259,16.8186667,73.40898,2024-02-08 14:20:16:935
-1.098,9.48,-1.587,16.8186667,73.40898,2024-02-08 14:20:16:935
-1.34,9.059,-2.083,16.8186667,73.40898,2024-02-08 14:20:16:941
-0.933,9.188,-1.776,16.8186667,73.40898,2024-02-08 14:20:16:947
-0.061,9.339,-1.561,16.8186667,73.40898,2024-02-08 14:20:16:952
0.898,9.643,-1.051,16.8186667,73.40898,2024-02-08 14:20:16:952
1.397,9.938,-0.603,16.8186667,73.40898,2024-02-08 14:20:16:956
1.239,10.082,-0.715,16.8186667,73.40898,2024-02-08 14:20:16:961
0.467,10.05,-1.041,16.8186667,73.40898,2024-02-08 14:20:16:968
-0.504,9.919,-1.606,16.8186667,73.40898,2024-02-08 14:20:16:973
-1.251,9.756,-2.207,16.8186667,73.40898,2024-02-08 14:20:16:976
-1.378,9.212,-2.816,16.8186667,73.40898,2024-02-08 14:20:16:981
-0.823,9.133,-2.636,16.8186667,73.40898,2024-02-08 14:20:16:987
0.168,9.394,-1.422,16.8186667,73.40898,2024-02-08 14:20:16:991
1.085,9.718,-0.433,16.8186667,73.40898,2024-02-08 14:20:16:996
1.562,9.938,-0.164,16.8186667,73.40898,2024-02-08 14:20:17:001
1.32,9.725,-1.043,16.8186667,73.40898,2024-02-08 14:20:17:007
0.568,9.682,-1.798,16.8186667,73.40898,2024-02-08 14:20:17:012
-0.336,10.022,-1.695,16.8186667,73.40898,2024-02-08 14:20:17:018
-1.076,9.799,-2.162,16.8186667,73.40898,2024-02-08 14:20:17:021
-1.304,9.478,-2.512,16.8186667,73.40898,2024-02-08 14:20:17:028
-0.916,9.497,-2.167,16.8186667,73.40898,2024-02-08 14:20:17:041
-0.118,9.421,-1.762,16.8186667,73.40898,2024-02-08 14:20:17:042
0.695,9.571,-0.859,16.8186667,73.40898,2024-02-08 14:20:17:042
1.162,9.713,-0.258,16.8186667,73.40898,2024-02-08 14:20:17:047
1.035,9.718,-0.258,16.8186667,73.40898,2024-02-08 14:20:17:059
0.379,9.741,-0.428,16.8186667,73.40898,2024-02-08 14:20:17:059
-0.475,9.641,-1.285,16.8186667,73.40898,2024-02-08 14:20:17:061
-1.11,9.624,-2.21,16.8186667,73.40898,2024-02-08 14:20:17:071
-1.191,9.308,-3.05,16.8186667,73.40898,2024-02-08 14:20:17:072
-0.566,9.423,-3.019,16.8186667,73.40898,2024-02-08 14:20:17:090
0.331,9.648,-1.97,16.8186667,73.40898,2024-02-08 14:20:17:090
1.133,9.981,-0.835,16.8186667,73.40898,2024-02-08 14:20:17:090
1.435,10.17,-0.239,16.8186667,73.40898,2024-02-08 14:20:17:092
1.04,9.684,-0.976,16.8186667,73.40898,2024-02-08 14:20:17:096
0.266,9.538,-1.489,16.8186667,73.40898,2024-02-08 14:20:17:104
-0.6,9.782,-1.235,16.8186667,73.40898,2024-02-08 14:20:17:108
-1.194,9.524,-1.781,16.8186667,73.40898,2024-02-08 14:20:17:111
-1.213,9.231,-2.203,16.8186667,73.40898,2024-02-08 14:20:17:117
-0.621,9.445,-1.93,16.8186667,73.40898,2024-02-08 14:20:17:121
0.278,9.483,-1.836,16.8186667,73.40898,2024-02-08 14:20:17:127
1.03,9.763,-1.127,16.8186667,73.40898,2024-02-08 14:20:17:131
1.31,9.971,-0.603,16.8186667,73.40898,2024-02-08 14:20:17:139
0.951,9.979,-0.418,16.8186667,73.40898,2024-02-08 14:20:17:140
0.146,10.031,-0.495,16.8186667,73.40898,2024-02-08 14:20:17:154
-0.808,9.576,-1.439,16.8186667,73.40898,2024-02-08 14:20:17:154
-1.33,9.555,-2.045,16.8186667,73.40898,2024-02-08 14:20:17:156
-1.225,9.239,-2.521,16.8186667,73.40898,2024-02-08 14:20:17:161
-0.471,9.205,-2.696,16.8186667,73.40898,2024-02-08 14:20:17:171
0.527,9.382,-1.822,16.8186667,73.40898,2024-02-08 14:20:17:171
1.375,9.931,-0.658,16.8186667,73.40898,2024-02-08 14:20:17:176
1.595,10.175,-0.275,16.8186667,73.40898,2024-02-08 14:20:17:181
1.119,9.768,-1.161,16.8186667,73.40898,2024-02-08 14:20:17:187
0.237,9.78,-1.661,16.8186667,73.40898,2024-02-08 14:20:17:191
-0.77,9.995,-1.467,16.8186667,73.40898,2024-02-08 14:20:17:196
-1.338,9.567,-2.102,16.8186667,73.40898,2024-02-08 14:20:17:210
-1.328,9.277,-2.294,16.8186667,73.40898,2024-02-08 14:20:17:210
-0.645,9.461,-1.817,16.8186667,73.40898,2024-02-08 14:20:17:211
0.276,9.255,-1.769,16.8186667,73.40898,2024-02-08 14:20:17:216
1.08,9.567,-0.981,16.8186667,73.40898,2024-02-08 14:20:17:221
1.38,9.823,-0.327,16.8186667,73.40898,2024-02-08 14:20:17:227
0.949,9.947,-0.241,16.8186667,73.40898,2024-02-08 14:20:17:231
0.149,10.072,-0.418,16.8186667,73.40898,2024-02-08 14:20:17:237
-0.847,9.694,-1.506,16.8186667,73.40898,2024-02-08 14:20:17:241
-1.366,9.648,-2.349,16.8186667,73.40898,2024-02-08 14:20:17:246
-1.261,9.301,-2.866,16.8186667,73.40898,2024-02-08 14:20:17:254
-0.535,9.188,-3.043,16.8186667,73.40898,2024-02-08 14:20:17:256
0.486,9.392,-1.915,16.8186667,73.40898,2024-02-08 14:20:17:261
1.33,9.931,-0.437,16.8186667,73.40898,2024-02-08 14:20:17:266
1.571,10.127,0.029,16.8186667,73.40898,2024-02-08 14:20:17:271
1.128,9.715,-0.96,16.8186667,73.40898,2024-02-08 14:20:17:276
0.293,9.71,-1.539,16.8186667,73.40898,2024-02-08 14:20:17:281
-0.593,9.988,-1.501,16.8186667,73.40898,2024-02-08 14:20:17:288
-1.213,9.555,-2.32,16.8186667,73.40898,2024-02-08 14:20:17:291
-1.297,9.279,-2.54,16.8186667,73.40898,2024-02-08 14:20:17:296
-0.751,9.526,-1.913,16.8186667,73.40898,2024-02-08 14:20:17:304
0.094,9.294,-1.886,16.8186667,73.40898,2024-02-08 14:20:17:307
0.898,9.586,-1.034,16.8186667,73.40898,2024-02-08 14:20:17:311
1.284,9.967,-0.167,16.8186667,73.40898,2024-02-08 14:20:17:316
1.006,9.947,-0.14,16.8186667,73.40898,2024-02-08 14:20:17:321
0.293,9.921,-0.414,16.8186667,73.40898,2024-02-08 14:20:17:327
-0.629,9.641,-1.415,16.8186667,73.40898,2024-02-08 14:20:17:331
-1.244,9.428,-2.404,16.8186667,73.40898,2024-02-08 14:20:17:338
-1.299,9.176,-2.873,16.8186667,73.40898,2024-02-08 14:20:17:341
-0.674,9.365,-2.718,16.8186667,73.40898,2024-02-08 14:20:17:346
0.3,9.509,-1.769,16.8186667,73.40898,2024-02-08 14:20:17:350
1.215,10.065,-0.574,16.8186667,73.40898,2024-02-08 14:20:17:356
1.574,10.074,-0.382,16.8186667,73.40898,2024-02-08 14:20:17:361
1.217,9.605,-1.36,16.8186667,73.40898,2024-02-08 14:20:17:366
0.357,9.737,-1.441,16.8186667,73.40898,2024-02-08 14:20:17:372
-0.655,9.95,-1.288,16.8186667,73.40898,2024-02-08 14:20:17:376
-1.402,9.433,-2.176,16.8186667,73.40898,2024-02-08 14:20:17:381
-1.462,9.344,-2.167,16.8186667,73.40898,2024-02-08 14:20:17:389
-0.796,9.552,-1.688,16.8186667,73.40898,2024-02-08 14:20:17:390
0.245,9.248,-1.793,16.8186667,73.40898,2024-02-08 14:20:17:397
1.15,9.538,-1.077,16.8186667,73.40898,2024-02-08 14:20:17:401
1.497,9.854,-0.361,16.8186667,73.40898,2024-02-08 14:20:17:407
1.059,9.94,-0.301,16.8186667,73.40898,2024-02-08 14:20:17:411
0.144,9.959,-0.593,16.8186667,73.40898,2024-02-08 14:20:17:415
-0.966,9.789,-1.513,16.8186667,73.40898,2024-02-08 14:20:17:423
-1.555,9.495,-2.449,16.8186667,73.40898,2024-02-08 14:20:17:427
