x_acc,y_acc,z_acc,Lat,Lng,Time
-0.516,9.667,-1.537,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.466,9.789,-1.379,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.394,9.665,-1.606,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.229,9.591,-1.649,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.068,9.698,-1.501,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.015,9.627,-1.522,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.027,9.624,-1.597,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.071,9.636,-1.482,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.195,9.686,-1.424,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.255,9.586,-1.527,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.332,9.624,-1.53,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.38,9.708,-1.395,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.372,9.67,-1.439,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.305,9.643,-1.539,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.262,9.672,-1.558,16.8677281,73.4089695,2024-02-08 15:29:58:185
-0.159,9.684,-1.479,16.8677281,73.4089695,2024-02-08 15:29:58:186
-0.049,9.662,-1.518,16.8677281,73.4089695,2024-02-08 15:29:58:193
-0.03,9.643,-1.532,16.8677281,73.4089695,2024-02-08 15:29:58:196
-0.051,9.658,-1.484,16.8677281,73.4089695,2024-02-08 15:29:58:201
-0.157,9.67,-1.451,16.8677281,73.4089695,2024-02-08 15:29:58:206
-0.267,9.658,-1.475,16.8677281,73.4089695,2024-02-08 15:29:58:211
-0.324,9.634,-1.455,16.8677281,73.4089695,2024-02-08 15:29:58:219
-0.356,9.667,-1.403,16.8677281,73.4089695,2024-02-08 15:29:58:222
-0.351,9.648,-1.443,16.8677281,73.4089695,2024-02-08 15:29:58:226
-0.279,9.624,-1.52,16.8677281,73.4089695,2024-02-08 15:29:58:237
-0.202,9.653,-1.518,16.8677281,73.4089695,2024-02-08 15:29:58:243
-0.154,9.706,-1.491,16.8677281,73.4089695,2024-02-08 15:29:58:244
-0.106,9.677,-1.539,16.8677281,73.4089695,2024-02-08 15:29:58:246
-0.078,9.653,-1.558,16.8677281,73.4089695,2024-02-08 15:29:58:256
-0.085,9.684,-1.544,16.8677281,73.4089695,2024-02-08 15:29:58:258
-0.169,9.65,-1.489,16.8677281,73.4089695,2024-02-08 15:29:58:262
-0.233,9.631,-1.465,16.8677281,73.4089695,2024-02-08 15:29:58:275
-0.315,9.619,-1.424,16.8677281,73.4089695,2024-02-08 15:29:58:275
-0.322,9.629,-1.429,16.8677281,73.4089695,2024-02-08 15:29:58:276
-0.329,9.639,-1.443,16.8677281,73.4089695,2024-02-08 15:29:58:281
-0.274,9.662,-1.463,16.8677281,73.4089695,2024-02-08 15:29:58:288
-0.186,9.67,-1.491,16.8677281,73.4089695,2024-02-08 15:29:58:291
-0.126,9.689,-1.52,16.8677281,73.4089695,2024-02-08 15:29:58:296
-0.106,9.708,-1.566,16.8677281,73.4089695,2024-02-08 15:29:58:302
-0.104,9.732,-1.563,16.8677281,73.4089695,2024-02-08 15:29:58:306
-0.145,9.725,-1.534,16.8677281,73.4089695,2024-02-08 15:29:58:311
-0.209,9.698,-1.503,16.8677281,73.4089695,2024-02-08 15:29:58:322
-0.257,9.679,-1.489,16.8677281,73.4089695,2024-02-08 15:29:58:323
-0.298,9.665,-1.398,16.8677281,73.4089695,2024-02-08 15:29:58:326
-0.293,9.653,-1.374,16.8677281,73.4089695,2024-02-08 15:29:58:332
-0.269,9.646,-1.403,16.8677281,73.4089695,2024-02-08 15:29:58:336
-0.231,9.631,-1.479,16.8677281,73.4089695,2024-02-08 15:29:58:342
-0.193,9.67,-1.489,16.8677281,73.4089695,2024-02-08 15:29:58:346
-0.157,9.686,-1.501,16.8677281,73.4089695,2024-02-08 15:29:58:352
-0.102,9.684,-1.532,16.8677281,73.4089695,2024-02-08 15:29:58:368
-0.15,9.696,-1.546,16.8677281,73.4089695,2024-02-08 15:29:58:368
-0.188,9.686,-1.508,16.8677281,73.4089695,2024-02-08 15:29:58:368
-0.25,9.672,-1.482,16.8677281,73.4089695,2024-02-08 15:29:58:372
-0.3,9.653,-1.465,16.8677281,73.4089695,2024-02-08 15:29:58:376
