x_acc,y_acc,z_acc,Lat,Lng,Time
-1.0,9.483,-1.623,16.8311944,73.4337053,2024-02-08 15:51:59:452
-0.576,9.433,-1.587,16.8311944,73.4337053,2024-02-08 15:51:59:452
-0.114,8.97,-2.119,16.8311944,73.4337053,2024-02-08 15:51:59:452
0.199,9.504,-1.288,16.8311944,73.4337053,2024-02-08 15:51:59:452
0.199,9.674,-1.055,16.8311944,73.4337053,2024-02-08 15:51:59:452
-0.054,9.049,-2.303,16.8311944,73.4337053,2024-02-08 15:51:59:455
-0.482,8.934,-2.825,16.8311944,73.4337053,2024-02-08 15:51:59:459
-0.928,9.552,-2.188,16.8311944,73.4337053,2024-02-08 15:51:59:465
-1.167,9.749,-1.793,16.8311944,73.4337053,2024-02-08 15:51:59:470
-0.94,9.71,-1.666,16.8311944,73.4337053,2024-02-08 15:51:59:484
-0.439,9.816,-1.503,16.8311944,73.4337053,2024-02-08 15:51:59:484
0.115,9.488,-1.977,16.8311944,73.4337053,2024-02-08 15:51:59:487
0.384,9.157,-2.564,16.8311944,73.4337053,2024-02-08 15:51:59:490
0.343,9.727,-1.863,16.8311944,73.4337053,2024-02-08 15:51:59:495
-0.071,9.9,-1.74,16.8311944,73.4337053,2024-02-08 15:51:59:499
-0.643,9.363,-2.203,16.8311944,73.4337053,2024-02-08 15:51:59:505
-0.969,9.543,-1.757,16.8311944,73.4337053,2024-02-08 15:51:59:512
-1.0,9.519,-1.441,16.8311944,73.4337053,2024-02-08 15:51:59:514
-0.796,9.464,-1.125,16.8311944,73.4337053,2024-02-08 15:51:59:520
-0.547,9.763,-0.667,16.8311944,73.4337053,2024-02-08 15:51:59:529
-0.305,9.761,-1.168,16.8311944,73.4337053,2024-02-08 15:51:59:531
-0.221,9.447,-2.227,16.8311944,73.4337053,2024-02-08 15:51:59:535
-0.174,9.543,-2.718,16.8311944,73.4337053,2024-02-08 15:51:59:540
-0.09,9.811,-2.32,16.8311944,73.4337053,2024-02-08 15:51:59:552
0.024,10.108,-1.743,16.8311944,73.4337053,2024-02-08 15:51:59:552
0.182,9.928,-1.601,16.8311944,73.4337053,2024-02-08 15:51:59:555
0.168,9.409,-2.037,16.8311944,73.4337053,2024-02-08 15:51:59:567
-0.018,9.253,-2.004,16.8311944,73.4337053,2024-02-08 15:51:59:567
-0.442,9.622,-1.489,16.8311944,73.4337053,2024-02-08 15:51:59:572
-0.88,9.926,-1.204,16.8311944,73.4337053,2024-02-08 15:51:59:592
-1.206,9.715,-1.388,16.8311944,73.4337053,2024-02-08 15:51:59:592
-0.983,9.883,-1.223,16.8311944,73.4337053,2024-02-08 15:51:59:592
-0.442,9.454,-1.642,16.8311944,73.4337053,2024-02-08 15:51:59:592
0.108,9.112,-1.874,16.8311944,73.4337053,2024-02-08 15:51:59:598
0.515,9.375,-1.178,16.8311944,73.4337053,2024-02-08 15:51:59:599
0.47,9.524,-1.127,16.8311944,73.4337053,2024-02-08 15:51:59:605
0.247,9.662,-1.443,16.8311944,73.4337053,2024-02-08 15:51:59:615
-0.32,9.562,-1.999,16.8311944,73.4337053,2024-02-08 15:51:59:621
-0.636,9.916,-1.891,16.8311944,73.4337053,2024-02-08 15:51:59:625
