x_acc,y_acc,z_acc,Lat,Lng,Time
0.3,10.513,-2.346,16.8736646,73.4231128,2024-02-08 16:20:22:430
-0.49,10.702,-2.078,16.8736646,73.4231128,2024-02-08 16:20:22:430
-0.954,10.158,-1.966,16.8736646,73.4231128,2024-02-08 16:20:22:430
-0.859,9.387,-1.697,16.8736646,73.4231128,2024-02-08 16:20:22:430
-0.229,9.246,-0.691,16.8736646,73.4231128,2024-02-08 16:20:22:430
0.467,8.858,-0.215,16.8736646,73.4231128,2024-02-08 16:20:22:430
1.006,9.188,0.711,16.8736646,73.4231128,2024-02-08 16:20:22:430
1.059,9.569,1.092,16.8736646,73.4231128,2024-02-08 16:20:22:434
0.554,9.509,0.017,16.8736646,73.4231128,2024-02-08 16:20:22:446
-0.186,9.773,-0.631,16.8736646,73.4231128,2024-02-08 16:20:22:447
-0.832,10.086,-1.173,16.8736646,73.4231128,2024-02-08 16:20:22:447
-1.115,10.084,-2.095,16.8736646,73.4231128,2024-02-08 16:20:22:466
-0.796,9.794,-2.411,16.8736646,73.4231128,2024-02-08 16:20:22:466
0.053,9.741,-2.308,16.8736646,73.4231128,2024-02-08 16:20:22:466
0.898,9.471,-1.68,16.8736646,73.4231128,2024-02-08 16:20:22:467
1.413,9.526,-0.265,16.8736646,73.4231128,2024-02-08 16:20:22:471
1.318,9.974,1.056,16.8736646,73.4231128,2024-02-08 16:20:22:481
0.64,9.531,0.663,16.8736646,73.4231128,2024-02-08 16:20:22:483
-0.248,9.167,-0.56,16.8736646,73.4231128,2024-02-08 16:20:22:487
-0.875,9.72,-0.392,16.8736646,73.4231128,2024-02-08 16:20:22:492
-1.194,9.732,-1.113,16.8736646,73.4231128,2024-02-08 16:20:22:500
-1.005,9.239,-2.181,16.8736646,73.4231128,2024-02-08 16:20:22:503
-0.233,9.818,-1.613,16.8736646,73.4231128,2024-02-08 16:20:22:506
0.621,9.993,-1.369,16.8736646,73.4231128,2024-02-08 16:20:22:514
1.164,9.95,-1.168,16.8736646,73.4231128,2024-02-08 16:20:22:533
1.246,10.22,-0.203,16.8736646,73.4231128,2024-02-08 16:20:22:533
0.738,9.785,-0.222,16.8736646,73.4231128,2024-02-08 16:20:22:533
-0.063,9.507,-0.172,16.8736646,73.4231128,2024-02-08 16:20:22:533
-0.851,9.531,0.22,16.8736646,73.4231128,2024-02-08 16:20:22:537
-1.27,9.349,-0.493,16.8736646,73.4231128,2024-02-08 16:20:22:541
-1.134,9.231,-1.146,16.8736646,73.4231128,2024-02-08 16:20:22:548
-0.449,9.219,-1.882,16.8736646,73.4231128,2024-02-08 16:20:22:551
0.534,9.389,-2.121,16.8736646,73.4231128,2024-02-08 16:20:22:563
1.279,9.94,-1.285,16.8736646,73.4231128,2024-02-08 16:20:22:563
1.54,10.455,-0.358,16.8736646,73.4231128,2024-02-08 16:20:22:566
1.128,10.503,-0.248,16.8736646,73.4231128,2024-02-08 16:20:22:571
0.276,9.921,-0.921,16.8736646,73.4231128,2024-02-08 16:20:22:576
-0.593,9.715,-1.06,16.8736646,73.4231128,2024-02-08 16:20:22:581
-1.132,9.785,-0.5,16.8736646,73.4231128,2024-02-08 16:20:22:586
-1.16,9.104,-1.087,16.8736646,73.4231128,2024-02-08 16:20:22:591
-0.681,8.736,-1.209,16.8736646,73.4231128,2024-02-08 16:20:22:597
0.125,9.274,-0.521,16.8736646,73.4231128,2024-02-08 16:20:22:601
0.712,9.425,-0.624,16.8736646,73.4231128,2024-02-08 16:20:22:606
1.112,10.036,-0.416,16.8736646,73.4231128,2024-02-08 16:20:22:618
1.045,10.477,-0.361,16.8736646,73.4231128,2024-02-08 16:20:22:620
0.561,10.225,-1.091,16.8736646,73.4231128,2024-02-08 16:20:22:622
-0.114,10.192,-1.18,16.8736646,73.4231128,2024-02-08 16:20:22:626
-0.746,10.026,-0.972,16.8736646,73.4231128,2024-02-08 16:20:22:632
-1.048,9.825,-1.022,16.8736646,73.4231128,2024-02-08 16:20:22:636
-0.856,9.413,-1.137,16.8736646,73.4231128,2024-02-08 16:20:22:641
-0.195,8.997,-1.64,16.8736646,73.4231128,2024-02-08 16:20:22:649
0.613,9.207,-1.075,16.8736646,73.4231128,2024-02-08 16:20:22:652
1.212,9.78,0.112,16.8736646,73.4231128,2024-02-08 16:20:22:656
1.332,10.213,0.39,16.8736646,73.4231128,2024-02-08 16:20:22:665
0.898,10.252,-0.176,16.8736646,73.4231128,2024-02-08 16:20:22:666
0.173,10.165,-1.242,16.8736646,73.4231128,2024-02-08 16:20:22:671
-0.533,10.199,-1.783,16.8736646,73.4231128,2024-02-08 16:20:22:676
-0.988,10.175,-1.575,16.8736646,73.4231128,2024-02-08 16:20:22:681
-0.959,9.619,-1.628,16.8736646,73.4231128,2024-02-08 16:20:22:686
-0.487,9.31,-1.199,16.8736646,73.4231128,2024-02-08 16:20:22:691
0.23,9.44,-0.361,16.8736646,73.4231128,2024-02-08 16:20:22:698
0.774,9.473,-0.028,16.8736646,73.4231128,2024-02-08 16:20:22:701
1.009,9.725,0.347,16.8736646,73.4231128,2024-02-08 16:20:22:706
0.853,9.72,-0.119,16.8736646,73.4231128,2024-02-08 16:20:22:715
0.357,9.828,-0.524,16.8736646,73.4231128,2024-02-08 16:20:22:716
-0.277,10.108,-0.572,16.8736646,73.4231128,2024-02-08 16:20:22:721
-0.794,9.907,-1.307,16.8736646,73.4231128,2024-02-08 16:20:22:727
-0.94,9.753,-1.786,16.8736646,73.4231128,2024-02-08 16:20:22:738
-0.624,9.461,-1.915,16.8736646,73.4231128,2024-02-08 16:20:22:738
0.065,9.306,-1.903,16.8736646,73.4231128,2024-02-08 16:20:22:741
0.807,9.504,-0.732,16.8736646,73.4231128,2024-02-08 16:20:22:748
1.394,10.077,0.481,16.8736646,73.4231128,2024-02-08 16:20:22:751
1.358,10.017,0.354,16.8736646,73.4231128,2024-02-08 16:20:22:756
0.882,9.65,-0.672,16.8736646,73.4231128,2024-02-08 16:20:22:761
0.151,9.636,-1.338,16.8736646,73.4231128,2024-02-08 16:20:22:766
-0.533,9.926,-1.185,16.8736646,73.4231128,2024-02-08 16:20:22:771
-1.007,9.701,-1.393,16.8736646,73.4231128,2024-02-08 16:20:22:776
-0.952,9.464,-1.36,16.8736646,73.4231128,2024-02-08 16:20:22:782
-0.391,9.55,-0.962,16.8736646,73.4231128,2024-02-08 16:20:22:786
0.261,9.452,-0.749,16.8736646,73.4231128,2024-02-08 16:20:22:791
0.946,9.847,-0.076,16.8736646,73.4231128,2024-02-08 16:20:22:799
1.236,9.844,-0.217,16.8736646,73.4231128,2024-02-08 16:20:22:801
1.023,9.756,-0.497,16.8736646,73.4231128,2024-02-08 16:20:22:806
0.501,10.146,-0.227,16.8736646,73.4231128,2024-02-08 16:20:22:811
-0.238,9.689,-1.005,16.8736646,73.4231128,2024-02-08 16:20:22:817
-0.782,9.514,-1.697,16.8736646,73.4231128,2024-02-08 16:20:22:821
-0.873,9.634,-1.427,16.8736646,73.4231128,2024-02-08 16:20:22:826
-0.463,9.483,-1.786,16.8736646,73.4231128,2024-02-08 16:20:22:832
0.285,9.533,-1.261,16.8736646,73.4231128,2024-02-08 16:20:22:836
1.04,10.177,-0.09,16.8736646,73.4231128,2024-02-08 16:20:22:841
1.399,10.096,-0.243,16.8736646,73.4231128,2024-02-08 16:20:22:850
1.2,9.691,-0.873,16.8736646,73.4231128,2024-02-08 16:20:22:851
0.649,10.005,-0.806,16.8736646,73.4231128,2024-02-08 16:20:22:857
-0.092,9.897,-0.919,16.8736646,73.4231128,2024-02-08 16:20:22:861
-0.748,9.495,-1.441,16.8736646,73.4231128,2024-02-08 16:20:22:867
-1.0,9.418,-1.278,16.8736646,73.4231128,2024-02-08 16:20:22:871
-0.657,9.562,-0.905,16.8736646,73.4231128,2024-02-08 16:20:22:876
-0.003,9.478,-0.794,16.8736646,73.4231128,2024-02-08 16:20:22:883
0.692,9.768,-0.294,16.8736646,73.4231128,2024-02-08 16:20:22:886
1.049,9.792,-0.246,16.8736646,73.4231128,2024-02-08 16:20:22:891
0.937,9.646,-0.528,16.8736646,73.4231128,2024-02-08 16:20:22:896
0.441,9.971,-0.253,16.8736646,73.4231128,2024-02-08 16:20:22:901
-0.181,10.06,-0.421,16.8736646,73.4231128,2024-02-08 16:20:22:906
-0.727,9.785,-1.321,16.8736646,73.4231128,2024-02-08 16:20:22:911
-0.863,9.365,-1.951,16.8736646,73.4231128,2024-02-08 16:20:22:917
-0.463,9.31,-2.088,16.8736646,73.4231128,2024-02-08 16:20:22:921
0.209,9.682,-1.027,16.8736646,73.4231128,2024-02-08 16:20:22:926
0.884,10.089,-0.035,16.8736646,73.4231128,2024-02-08 16:20:22:934
1.277,10.048,-0.16,16.8736646,73.4231128,2024-02-08 16:20:22:936
1.171,9.77,-0.627,16.8736646,73.4231128,2024-02-08 16:20:22:941
0.709,9.861,-0.845,16.8736646,73.4231128,2024-02-08 16:20:22:946
0.0,9.876,-0.866,16.8736646,73.4231128,2024-02-08 16:20:22:951
-0.595,9.636,-1.3,16.8736646,73.4231128,2024-02-08 16:20:22:956
-0.933,9.365,-1.484,16.8736646,73.4231128,2024-02-08 16:20:22:961
-0.708,9.552,-1.12,16.8736646,73.4231128,2024-02-08 16:20:22:968
-0.209,9.524,-0.979,16.8736646,73.4231128,2024-02-08 16:20:22:971
0.451,9.789,-0.471,16.8736646,73.4231128,2024-02-08 16:20:22:976
0.989,10.086,0.098,16.8736646,73.4231128,2024-02-08 16:20:22:988
1.054,9.868,-0.363,16.8736646,73.4231128,2024-02-08 16:20:22:988
0.748,9.883,-0.521,16.8736646,73.4231128,2024-02-08 16:20:22:991
0.113,10.01,-0.44,16.8736646,73.4231128,2024-02-08 16:20:22:996
-0.482,9.765,-1.259,16.8736646,73.4231128,2024-02-08 16:20:23:001
-0.825,9.322,-1.956,16.8736646,73.4231128,2024-02-08 16:20:23:006
-0.71,9.174,-2.073,16.8736646,73.4231128,2024-02-08 16:20:23:011
-0.118,9.421,-1.23,16.8736646,73.4231128,2024-02-08 16:20:23:019
0.51,9.856,-0.059,16.8736646,73.4231128,2024-02-08 16:20:23:021
1.057,10.244,0.354,16.8736646,73.4231128,2024-02-08 16:20:23:026
1.155,10.055,-0.32,16.8736646,73.4231128,2024-02-08 16:20:23:036
0.908,9.833,-1.379,16.8736646,73.4231128,2024-02-08 16:20:23:036
0.343,9.914,-1.475,16.8736646,73.4231128,2024-02-08 16:20:23:042
-0.236,10.132,-1.158,16.8736646,73.4231128,2024-02-08 16:20:23:047
-0.71,9.437,-1.709,16.8736646,73.4231128,2024-02-08 16:20:23:060
-0.791,9.294,-1.518,16.8736646,73.4231128,2024-02-08 16:20:23:060
-0.38,9.468,-0.775,16.8736646,73.4231128,2024-02-08 16:20:23:065
0.134,9.361,-0.586,16.8736646,73.4231128,2024-02-08 16:20:23:067
0.635,9.739,0.199,16.8736646,73.4231128,2024-02-08 16:20:23:073
0.843,10.031,0.364,16.8736646,73.4231128,2024-02-08 16:20:23:077
0.664,9.902,-0.296,16.8736646,73.4231128,2024-02-08 16:20:23:081
0.168,9.928,-0.77,16.8736646,73.4231128,2024-02-08 16:20:23:094
-0.346,9.773,-1.582,16.8736646,73.4231128,2024-02-08 16:20:23:095
-0.657,9.286,-2.318,16.8736646,73.4231128,2024-02-08 16:20:23:096
-0.53,9.342,-2.078,16.8736646,73.4231128,2024-02-08 16:20:23:102
0.015,9.689,-1.003,16.8736646,73.4231128,2024-02-08 16:20:23:107
0.661,9.804,-0.251,16.8736646,73.4231128,2024-02-08 16:20:23:112
1.15,9.95,-0.114,16.8736646,73.4231128,2024-02-08 16:20:23:127
1.143,9.864,-0.378,16.8736646,73.4231128,2024-02-08 16:20:23:128
0.736,9.866,-0.873,16.8736646,73.4231128,2024-02-08 16:20:23:128
-0.006,9.861,-1.134,16.8736646,73.4231128,2024-02-08 16:20:23:145
-0.631,9.883,-1.137,16.8736646,73.4231128,2024-02-08 16:20:23:145
-0.995,9.636,-1.304,16.8736646,73.4231128,2024-02-08 16:20:23:146
-0.772,9.435,-1.36,16.8736646,73.4231128,2024-02-08 16:20:23:147
-0.106,9.303,-1.338,16.8736646,73.4231128,2024-02-08 16:20:23:161
0.645,9.476,-0.552,16.8736646,73.4231128,2024-02-08 16:20:23:161
1.186,9.883,0.117,16.8736646,73.4231128,2024-02-08 16:20:23:162
1.114,9.852,0.024,16.8736646,73.4231128,2024-02-08 16:20:23:167
0.611,10.055,-0.071,16.8736646,73.4231128,2024-02-08 16:20:23:181
-0.178,9.924,-0.758,16.8736646,73.4231128,2024-02-08 16:20:23:181
-0.887,9.567,-1.824,16.8736646,73.4231128,2024-02-08 16:20:23:182
-1.127,9.224,-2.358,16.8736646,73.4231128,2024-02-08 16:20:23:196
-0.751,9.445,-1.716,16.8736646,73.4231128,2024-02-08 16:20:23:196
0.065,9.907,-0.337,16.8736646,73.4231128,2024-02-08 16:20:23:197
0.997,10.074,0.057,16.8736646,73.4231128,2024-02-08 16:20:23:212
1.583,9.732,-0.701,16.8736646,73.4231128,2024-02-08 16:20:23:213
1.547,9.658,-1.012,16.8736646,73.4231128,2024-02-08 16:20:23:213
0.951,10.029,-0.732,16.8736646,73.4231128,2024-02-08 16:20:23:217
-0.08,9.871,-0.938,16.8736646,73.4231128,2024-02-08 16:20:23:229
-1.017,9.73,-1.075,16.8736646,73.4231128,2024-02-08 16:20:23:229
-1.39,9.658,-1.019,16.8736646,73.4231128,2024-02-08 16:20:23:232
-1.096,9.349,-1.417,16.8736646,73.4231128,2024-02-08 16:20:23:252
-0.19,9.241,-1.173,16.8736646,73.4231128,2024-02-08 16:20:23:252
0.831,9.777,-0.081,16.8736646,73.4231128,2024-02-08 16:20:23:252
1.485,9.916,0.179,16.8736646,73.4231128,2024-02-08 16:20:23:266
1.473,9.787,-0.172,16.8736646,73.4231128,2024-02-08 16:20:23:267
0.951,10.031,-0.49,16.8736646,73.4231128,2024-02-08 16:20:23:267
0.012,9.744,-1.525,16.8736646,73.4231128,2024-02-08 16:20:23:267
-0.777,9.445,-2.394,16.8736646,73.4231128,2024-02-08 16:20:23:271
-1.067,9.6,-1.922,16.8736646,73.4231128,2024-02-08 16:20:23:277
-0.662,10.084,-0.521,16.8736646,73.4231128,2024-02-08 16:20:23:282
0.149,10.156,-0.09,16.8736646,73.4231128,2024-02-08 16:20:23:299
0.927,9.684,-0.615,16.8736646,73.4231128,2024-02-08 16:20:23:299
1.385,9.524,-0.95,16.8736646,73.4231128,2024-02-08 16:20:23:300
1.26,9.83,-0.624,16.8736646,73.4231128,2024-02-08 16:20:23:315
0.575,9.971,-0.505,16.8736646,73.4231128,2024-02-08 16:20:23:315
-0.329,9.825,-0.818,16.8736646,73.4231128,2024-02-08 16:20:23:315
-0.916,9.888,-0.936,16.8736646,73.4231128,2024-02-08 16:20:23:317
-0.938,9.655,-1.475,16.8736646,73.4231128,2024-02-08 16:20:23:332
-0.305,9.531,-1.549,16.8736646,73.4231128,2024-02-08 16:20:23:332
0.475,9.777,-0.792,16.8736646,73.4231128,2024-02-08 16:20:23:333
1.107,9.888,-0.32,16.8736646,73.4231128,2024-02-08 16:20:23:350
1.219,9.835,-0.102,16.8736646,73.4231128,2024-02-08 16:20:23:350
0.829,10.062,0.043,16.8736646,73.4231128,2024-02-08 16:20:23:350
0.067,9.852,-0.758,16.8736646,73.4231128,2024-02-08 16:20:23:353
-0.612,9.277,-1.999,16.8736646,73.4231128,2024-02-08 16:20:23:363
-0.928,9.258,-2.183,16.8736646,73.4231128,2024-02-08 16:20:23:363
-0.559,9.844,-0.873,16.8736646,73.4231128,2024-02-08 16:20:23:367
0.237,10.242,-0.131,16.8736646,73.4231128,2024-02-08 16:20:23:382
1.083,10.017,-0.593,16.8736646,73.4231128,2024-02-08 16:20:23:382
1.603,9.706,-1.345,16.8736646,73.4231128,2024-02-08 16:20:23:382
1.567,9.758,-1.415,16.8736646,73.4231128,2024-02-08 16:20:23:393
0.877,9.967,-0.835,16.8736646,73.4231128,2024-02-08 16:20:23:393
-0.13,9.921,-0.631,16.8736646,73.4231128,2024-02-08 16:20:23:399
-1.041,9.598,-0.799,16.8736646,73.4231128,2024-02-08 16:20:23:401
-1.287,9.43,-0.916,16.8736646,73.4231128,2024-02-08 16:20:23:415
-0.842,9.279,-1.134,16.8736646,73.4231128,2024-02-08 16:20:23:415
0.082,9.387,-0.794,16.8736646,73.4231128,2024-02-08 16:20:23:417
1.102,9.78,-0.366,16.8736646,73.4231128,2024-02-08 16:20:23:431
1.617,9.837,-0.327,16.8736646,73.4231128,2024-02-08 16:20:23:431
1.447,9.871,-0.687,16.8736646,73.4231128,2024-02-08 16:20:23:433
0.659,9.804,-1.218,16.8736646,73.4231128,2024-02-08 16:20:23:448
-0.322,9.61,-1.728,16.8736646,73.4231128,2024-02-08 16:20:23:448
-1.041,9.476,-1.915,16.8736646,73.4231128,2024-02-08 16:20:23:448
-1.053,9.737,-0.952,16.8736646,73.4231128,2024-02-08 16:20:23:452
-0.391,10.007,-0.284,16.8736646,73.4231128,2024-02-08 16:20:23:465
0.582,9.672,-0.689,16.8736646,73.4231128,2024-02-08 16:20:23:465
1.416,9.49,-1.142,16.8736646,73.4231128,2024-02-08 16:20:23:466
1.67,9.694,-0.964,16.8736646,73.4231128,2024-02-08 16:20:23:477
1.174,9.904,-0.782,16.8736646,73.4231128,2024-02-08 16:20:23:477
0.235,9.876,-0.926,16.8736646,73.4231128,2024-02-08 16:20:23:482
-0.712,9.859,-0.952,16.8736646,73.4231128,2024-02-08 16:20:23:487
-1.177,9.722,-1.139,16.8736646,73.4231128,2024-02-08 16:20:23:493
-0.95,9.437,-1.498,16.8736646,73.4231128,2024-02-08 16:20:23:497
-0.118,9.531,-0.957,16.8736646,73.4231128,2024-02-08 16:20:23:502
0.772,9.682,-0.466,16.8736646,73.4231128,2024-02-08 16:20:23:512
1.32,9.653,-0.387,16.8736646,73.4231128,2024-02-08 16:20:23:512
1.246,9.88,-0.258,16.8736646,73.4231128,2024-02-08 16:20:23:517
0.649,9.852,-0.701,16.8736646,73.4231128,2024-02-08 16:20:23:527
-0.236,9.476,-1.661,16.8736646,73.4231128,2024-02-08 16:20:23:527
-0.966,9.222,-2.112,16.8736646,73.4231128,2024-02-08 16:20:23:532
-1.072,9.634,-1.185,16.8736646,73.4231128,2024-02-08 16:20:23:536
-0.473,10.199,-0.112,16.8736646,73.4231128,2024-02-08 16:20:23:544
0.451,9.933,-0.615,16.8736646,73.4231128,2024-02-08 16:20:23:548
1.31,9.615,-1.606,16.8736646,73.4231128,2024-02-08 16:20:23:551
1.741,9.741,-1.508,16.8736646,73.4231128,2024-02-08 16:20:23:561
1.401,10.024,-1.103,16.8736646,73.4231128,2024-02-08 16:20:23:561
0.477,9.943,-0.816,16.8736646,73.4231128,2024-02-08 16:20:23:566
-0.784,9.691,-0.885,16.8736646,73.4231128,2024-02-08 16:20:23:581
-1.536,9.413,-0.842,16.8736646,73.4231128,2024-02-08 16:20:23:581
-1.594,9.296,-0.823,16.8736646,73.4231128,2024-02-08 16:20:23:582
-0.873,9.387,-0.469,16.8736646,73.4231128,2024-02-08 16:20:23:586
