x_acc,y_acc,z_acc,Lat,Lng,Time
-1.778,9.464,-1.834,16.9088467,73.4846067,2024-02-08 16:41:28:035
-1.328,9.658,-1.041,16.9088467,73.4846067,2024-02-08 16:41:28:035
-0.32,9.682,-0.849,16.9088467,73.4846067,2024-02-08 16:41:28:035
0.702,9.509,-1.453,16.9088467,73.4846067,2024-02-08 16:41:28:036
1.258,9.461,-1.961,16.9088467,73.4846067,2024-02-08 16:41:28:040
0.975,9.823,-1.783,16.9088467,73.4846067,2024-02-08 16:41:28:047
0.099,9.935,-1.697,16.9088467,73.4846067,2024-02-08 16:41:28:049
-0.983,9.634,-2.066,16.9088467,73.4846067,2024-02-08 16:41:28:054
-1.56,9.38,-2.353,16.9088467,73.4846067,2024-02-08 16:41:28:060
-1.584,9.433,-2.138,16.9088467,73.4846067,2024-02-08 16:41:28:064
-0.995,9.871,-1.166,16.9088467,73.4846067,2024-02-08 16:41:28:069
-0.092,9.761,-1.221,16.9088467,73.4846067,2024-02-08 16:41:28:074
0.731,9.516,-1.554,16.9088467,73.4846067,2024-02-08 16:41:28:079
0.906,9.662,-1.328,16.9088467,73.4846067,2024-02-08 16:41:28:084
0.534,9.804,-1.278,16.9088467,73.4846067,2024-02-08 16:41:28:090
-0.288,9.512,-1.982,16.9088467,73.4846067,2024-02-08 16:41:28:099
-1.12,9.049,-2.631,16.9088467,73.4846067,2024-02-08 16:41:28:099
-1.553,9.1,-2.531,16.9088467,73.4846067,2024-02-08 16:41:28:104
-1.371,9.682,-1.498,16.9088467,73.4846067,2024-02-08 16:41:28:114
-0.626,9.921,-1.194,16.9088467,73.4846067,2024-02-08 16:41:28:115
0.333,10.031,-1.498,16.9088467,73.4846067,2024-02-08 16:41:28:119
1.119,9.924,-2.004,16.9088467,73.4846067,2024-02-08 16:41:28:124
1.195,9.71,-2.483,16.9088467,73.4846067,2024-02-08 16:41:28:131
0.63,9.864,-1.901,16.9088467,73.4846067,2024-02-08 16:41:28:134
-0.514,9.648,-1.582,16.9088467,73.4846067,2024-02-08 16:41:28:147
-1.517,9.186,-1.831,16.9088467,73.4846067,2024-02-08 16:41:28:148
-1.984,8.987,-1.867,16.9088467,73.4846067,2024-02-08 16:41:28:149
-1.661,9.5,-1.197,16.9088467,73.4846067,2024-02-08 16:41:28:154
-0.753,9.715,-0.955,16.9088467,73.4846067,2024-02-08 16:41:28:159
0.491,9.751,-1.384,16.9088467,73.4846067,2024-02-08 16:41:28:164
1.183,9.761,-1.659,16.9088467,73.4846067,2024-02-08 16:41:28:169
1.188,9.907,-1.843,16.9088467,73.4846067,2024-02-08 16:41:28:174
0.463,9.806,-2.267,16.9088467,73.4846067,2024-02-08 16:41:28:181
-0.559,9.545,-2.555,16.9088467,73.4846067,2024-02-08 16:41:28:184
-1.395,9.229,-2.741,16.9088467,73.4846067,2024-02-08 16:41:28:189
-1.611,9.404,-1.829,16.9088467,73.4846067,2024-02-08 16:41:28:195
