Label,Time,Latitude,Longitude
1,2024-04-17 12:03:23:920,16.9187417,73.5278714
1,2024-04-17 12:03:24:443,16.9187417,73.5278714
1,2024-04-17 12:03:25:444,16.9187417,73.5278714
1,2024-04-17 12:03:26:444,16.9187445,73.5278717
1,2024-04-17 12:03:26:670,16.9187445,73.5278717
1,2024-04-17 12:03:27:443,16.9187445,73.5278717
1,2024-04-17 12:03:28:444,16.9187442,73.5278697
1,2024-04-17 12:03:29:444,16.9187442,73.5278697
1,2024-04-17 12:03:30:444,16.9187442,73.5278697
1,2024-04-17 12:03:31:444,16.9187607,73.5278771
1,2024-04-17 12:03:32:443,16.9187607,73.5278771
8,2024-04-17 12:03:33:027,16.9187717,73.527881
8,2024-04-17 12:03:33:443,16.9187717,73.527881
1,2024-04-17 12:03:34:443,16.9187717,73.527881
1,2024-04-17 12:03:35:444,16.9187717,73.527881
1,2024-04-17 12:03:36:444,16.9187714,73.5278795
1,2024-04-17 12:03:36:616,16.9187714,73.5278795
1,2024-04-17 12:03:37:444,16.9187714,73.5278795
1,2024-04-17 12:03:38:142,16.9187837,73.5278776
1,2024-04-17 12:03:38:443,16.9187837,73.5278776
1,2024-04-17 12:03:39:444,16.9187837,73.5278776
1,2024-04-17 12:03:40:443,16.9187837,73.5278776
1,2024-04-17 12:03:41:444,16.9189553,73.5279506
1,2024-04-17 12:03:42:445,16.9189553,73.5279506
1,2024-04-17 12:03:43:444,16.9191779,73.528033
1,2024-04-17 12:03:44:445,16.9191779,73.528033
1,2024-04-17 12:03:45:444,16.9191779,73.528033
1,2024-04-17 12:03:46:443,16.9193107,73.5280537
1,2024-04-17 12:03:47:444,16.9193107,73.5280537
1,2024-04-17 12:03:48:444,16.9193107,73.5280537
1,2024-04-17 12:03:49:444,16.9194289,73.5280776
1,2024-04-17 12:03:50:445,16.9194289,73.5280776
1,2024-04-17 12:03:51:444,16.9194289,73.5280776
1,2024-04-17 12:03:52:444,16.9194289,73.5280776
1,2024-04-17 12:03:53:445,16.9194289,73.5280776
1,2024-04-17 12:03:54:444,16.9194289,73.5280776
1,2024-04-17 12:03:55:446,16.9194289,73.5280776
1,2024-04-17 12:03:56:446,16.9198441,73.5281091
1,2024-04-17 12:03:57:444,16.9198441,73.5281091
1,2024-04-17 12:03:58:444,16.9198441,73.5281091
1,2024-04-17 12:03:59:444,16.9198441,73.5281091
1,2024-04-17 12:04:00:443,16.9198441,73.5281091
1,2024-04-17 12:04:01:444,16.9201341,73.5281662
1,2024-04-17 12:04:02:447,16.9201341,73.5281662
1,2024-04-17 12:04:03:444,16.9201341,73.5281662
1,2024-04-17 12:04:04:445,16.9201341,73.5281662
1,2024-04-17 12:04:05:444,16.9201341,73.5281662
2,2024-04-17 12:04:05:946,16.920389,73.5283308
2,2024-04-17 12:04:06:445,16.920389,73.5283308
2,2024-04-17 12:04:07:444,16.920389,73.5283308
2,2024-04-17 12:04:08:447,16.920389,73.5283308
2,2024-04-17 12:04:09:444,16.920389,73.5283308
2,2024-04-17 12:04:10:444,16.920389,73.5283308
2,2024-04-17 12:04:11:443,16.9206409,73.5284274
2,2024-04-17 12:04:12:446,16.9206409,73.5284274
2,2024-04-17 12:04:13:444,16.9206409,73.5284274
2,2024-04-17 12:04:14:445,16.9206409,73.5284274
2,2024-04-17 12:04:15:444,16.9206409,73.5284274
2,2024-04-17 12:04:16:444,16.9208289,73.5284883
2,2024-04-17 12:04:17:445,16.9208289,73.5284883
2,2024-04-17 12:04:18:444,16.9208289,73.5284883
2,2024-04-17 12:04:19:445,16.9208289,73.5284883
2,2024-04-17 12:04:20:446,16.9208289,73.5284883
2,2024-04-17 12:04:21:445,16.9209894,73.5286696
2,2024-04-17 12:04:22:444,16.9209894,73.5286696
2,2024-04-17 12:04:23:445,16.9209894,73.5286696
2,2024-04-17 12:04:24:444,16.9209894,73.5286696
2,2024-04-17 12:04:25:444,16.9209894,73.5286696
2,2024-04-17 12:04:26:444,16.9212292,73.5288129
2,2024-04-17 12:04:27:445,16.9212292,73.5288129
2,2024-04-17 12:04:28:444,16.9212292,73.5288129
2,2024-04-17 12:04:29:443,16.9212292,73.5288129
2,2024-04-17 12:04:30:446,16.9212292,73.5288129
2,2024-04-17 12:04:31:444,16.9214898,73.529
2,2024-04-17 12:04:32:443,16.9214898,73.529
2,2024-04-17 12:04:33:444,16.9214898,73.529
2,2024-04-17 12:04:34:444,16.9214898,73.529
2,2024-04-17 12:04:35:176,16.9214898,73.529
2,2024-04-17 12:04:35:443,16.9214898,73.529
2,2024-04-17 12:04:36:444,16.921724,73.5292121
2,2024-04-17 12:04:37:445,16.921724,73.5292121
2,2024-04-17 12:04:38:445,16.921724,73.5292121
2,2024-04-17 12:04:39:444,16.921724,73.5292121
2,2024-04-17 12:04:40:444,16.921724,73.5292121
2,2024-04-17 12:04:41:446,16.9219705,73.529408
2,2024-04-17 12:04:42:446,16.9219705,73.529408
2,2024-04-17 12:04:43:443,16.9219705,73.529408
2,2024-04-17 12:04:44:444,16.9219705,73.529408
2,2024-04-17 12:04:45:443,16.9219705,73.529408
2,2024-04-17 12:04:46:443,16.9222284,73.5295899
2,2024-04-17 12:04:46:511,16.9222284,73.5295899
2,2024-04-17 12:04:46:661,16.9222284,73.5295899
2,2024-04-17 12:04:47:444,16.9222284,73.5295899
2,2024-04-17 12:04:48:444,16.9222284,73.5295899
2,2024-04-17 12:04:49:445,16.9222284,73.5295899
2,2024-04-17 12:04:50:445,16.9222284,73.5295899
2,2024-04-17 12:04:51:444,16.9224307,73.5297775
2,2024-04-17 12:04:52:444,16.9224307,73.5297775
2,2024-04-17 12:04:53:444,16.9224307,73.5297775
2,2024-04-17 12:04:54:444,16.9224307,73.5297775
2,2024-04-17 12:04:55:444,16.9224307,73.5297775
2,2024-04-17 12:04:56:446,16.9226425,73.5299143
2,2024-04-17 12:04:57:443,16.9226425,73.5299143
2,2024-04-17 12:04:58:444,16.9226425,73.5299143
2,2024-04-17 12:04:59:445,16.9226425,73.5299143
2,2024-04-17 12:05:00:209,16.9226425,73.5299143
2,2024-04-17 12:05:00:443,16.9226425,73.5299143
2,2024-04-17 12:05:01:444,16.9228134,73.5298864
2,2024-04-17 12:05:02:445,16.9228134,73.5298864
2,2024-04-17 12:05:03:444,16.9228134,73.5298864
2,2024-04-17 12:05:04:444,16.9228134,73.5298864
2,2024-04-17 12:05:05:444,16.9228134,73.5298864
2,2024-04-17 12:05:06:444,16.9230079,73.5298906
2,2024-04-17 12:05:07:444,16.9230079,73.5298906
2,2024-04-17 12:05:08:405,16.9230079,73.5298906
2,2024-04-17 12:05:08:444,16.9230079,73.5298906
2,2024-04-17 12:05:09:444,16.9230079,73.5298906
2,2024-04-17 12:05:10:443,16.9230079,73.5298906
2,2024-04-17 12:05:11:444,16.923226,73.5300168
2,2024-04-17 12:05:12:445,16.923226,73.5300168
2,2024-04-17 12:05:13:444,16.923226,73.5300168
2,2024-04-17 12:05:14:445,16.923226,73.5300168
2,2024-04-17 12:05:15:444,16.923226,73.5300168
2,2024-04-17 12:05:16:444,16.9234543,73.530078
2,2024-04-17 12:05:17:446,16.9234543,73.530078
2,2024-04-17 12:05:18:444,16.9234543,73.530078
2,2024-04-17 12:05:19:445,16.9234543,73.530078
2,2024-04-17 12:05:20:444,16.9234543,73.530078
2,2024-04-17 12:05:21:444,16.9236458,73.5300758
2,2024-04-17 12:05:22:445,16.9236458,73.5300758
2,2024-04-17 12:05:22:844,16.9236458,73.5300758
2,2024-04-17 12:05:23:443,16.9236458,73.5300758
2,2024-04-17 12:05:24:444,16.9236458,73.5300758
2,2024-04-17 12:05:25:444,16.9236458,73.5300758
2,2024-04-17 12:05:26:443,16.9238382,73.5300337
2,2024-04-17 12:05:27:443,16.9238382,73.5300337
2,2024-04-17 12:05:28:443,16.9238382,73.5300337
2,2024-04-17 12:05:29:443,16.9238446,73.5300339
2,2024-04-17 12:05:30:443,16.9238446,73.5300339
2,2024-04-17 12:05:31:444,16.9239858,73.5300056
2,2024-04-17 12:05:32:444,16.9239858,73.5300056
2,2024-04-17 12:05:33:443,16.9241145,73.5299616
