Label,Time,Latitude,Longitude
3,2024-04-17 12:26:53:649,16.9319267,73.5477283
3,2024-04-17 12:26:53:812,16.9319267,73.5477283
3,2024-04-17 12:26:54:811,16.9319267,73.5477283
3,2024-04-17 12:26:55:812,16.9319267,73.5477283
3,2024-04-17 12:26:56:812,16.9319267,73.5477283
3,2024-04-17 12:26:57:811,16.9319267,73.5477283
3,2024-04-17 12:26:58:812,16.9319267,73.5477283
4,2024-04-17 12:26:58:880,16.9319267,73.5477283
4,2024-04-17 12:26:59:812,16.9319267,73.5477283
4,2024-04-17 12:27:00:813,16.9319257,73.5477292
4,2024-04-17 12:27:01:811,16.9319257,73.5477292
4,2024-04-17 12:27:02:811,16.9319288,73.5477292
4,2024-04-17 12:27:03:812,16.9319288,73.5477292
4,2024-04-17 12:27:04:811,16.9319288,73.5477292
4,2024-04-17 12:27:05:812,16.9319277,73.547728
4,2024-04-17 12:27:06:812,16.9319277,73.547728
3,2024-04-17 12:27:07:668,16.9317104,73.5479674
3,2024-04-17 12:27:07:811,16.9317104,73.5479674
3,2024-04-17 12:27:08:812,16.9317104,73.5479674
3,2024-04-17 12:27:09:812,16.9317104,73.5479674
3,2024-04-17 12:27:10:811,16.9317009,73.5480234
3,2024-04-17 12:27:11:812,16.9317009,73.5480234
3,2024-04-17 12:27:12:811,16.9315519,73.5481529
3,2024-04-17 12:27:13:812,16.9315519,73.5481529
3,2024-04-17 12:27:14:813,16.9315519,73.5481529
3,2024-04-17 12:27:15:811,16.931493,73.5482125
3,2024-04-17 12:27:16:811,16.931493,73.5482125
3,2024-04-17 12:27:17:812,16.931493,73.5482125
3,2024-04-17 12:27:18:812,16.9314147,73.5483354
3,2024-04-17 12:27:19:812,16.9314147,73.5483354
3,2024-04-17 12:27:20:811,16.9313589,73.5484242
3,2024-04-17 12:27:21:813,16.9313589,73.5484242
3,2024-04-17 12:27:22:813,16.9313589,73.5484242
3,2024-04-17 12:27:23:812,16.9312884,73.5485445
3,2024-04-17 12:27:24:812,16.9312884,73.5485445
3,2024-04-17 12:27:25:812,16.9312884,73.5485445
3,2024-04-17 12:27:26:812,16.931251,73.5486034
3,2024-04-17 12:27:27:812,16.931251,73.5486034
3,2024-04-17 12:27:28:811,16.9311671,73.5487003
3,2024-04-17 12:27:29:812,16.9311671,73.5487003
3,2024-04-17 12:27:30:812,16.9311671,73.5487003
3,2024-04-17 12:27:31:812,16.9310963,73.5487275
3,2024-04-17 12:27:32:812,16.9310963,73.5487275
3,2024-04-17 12:27:33:811,16.9310963,73.5487275
3,2024-04-17 12:27:34:812,16.9309814,73.5488119
3,2024-04-17 12:27:35:812,16.9309814,73.5488119
3,2024-04-17 12:27:36:812,16.9308863,73.5489027
3,2024-04-17 12:27:37:812,16.9308863,73.5489027
3,2024-04-17 12:27:38:812,16.9308863,73.5489027
3,2024-04-17 12:27:39:811,16.9308186,73.5490119
3,2024-04-17 12:27:40:812,16.9308186,73.5490119
3,2024-04-17 12:27:41:812,16.9308186,73.5490119
3,2024-04-17 12:27:42:812,16.9308186,73.5490119
3,2024-04-17 12:27:43:811,16.9307963,73.5491926
3,2024-04-17 12:27:44:812,16.9307963,73.5491926
3,2024-04-17 12:27:45:811,16.9308223,73.5491281
3,2024-04-17 12:27:46:812,16.9308223,73.5491281
3,2024-04-17 12:27:47:813,16.9308223,73.5491281
3,2024-04-17 12:27:48:812,16.9308223,73.5491281
3,2024-04-17 12:27:49:812,16.9308223,73.5491281
3,2024-04-17 12:27:50:812,16.9308878,73.5497064
4,2024-04-17 12:27:51:488,16.9308878,73.5497064
4,2024-04-17 12:27:51:811,16.9308878,73.5497064
4,2024-04-17 12:27:52:814,16.9308878,73.5497064
4,2024-04-17 12:27:53:814,16.9308878,73.5497064
4,2024-04-17 12:27:54:811,16.9308878,73.5497064
3,2024-04-17 12:27:55:781,16.9308894,73.5499106
