Label,Time,Latitude,Longitude
2,2024-04-17 12:47:51:361,16.925165,73.5861767
2,2024-04-17 12:47:52:300,16.925165,73.5861767
2,2024-04-17 12:47:53:300,16.925165,73.5861767
2,2024-04-17 12:47:54:300,16.925165,73.5861767
2,2024-04-17 12:47:55:300,16.9251235,73.5861934
2,2024-04-17 12:47:56:300,16.9251235,73.5861934
1,2024-04-17 12:47:57:046,16.9251235,73.5861934
1,2024-04-17 12:47:57:299,16.9251235,73.5861934
1,2024-04-17 12:47:58:300,16.9251235,73.5861934
1,2024-04-17 12:47:59:300,16.9251235,73.5861934
1,2024-04-17 12:48:00:300,16.9251089,73.5863015
1,2024-04-17 12:48:01:300,16.9251089,73.5863015
1,2024-04-17 12:48:02:300,16.9251089,73.5863015
1,2024-04-17 12:48:02:613,16.9251089,73.5863015
1,2024-04-17 12:48:03:300,16.9251089,73.5863015
1,2024-04-17 12:48:04:300,16.9251089,73.5863015
1,2024-04-17 12:48:05:301,16.9252448,73.5865467
1,2024-04-17 12:48:06:300,16.9252448,73.5865467
1,2024-04-17 12:48:07:300,16.9252448,73.5865467
1,2024-04-17 12:48:08:300,16.9252448,73.5865467
1,2024-04-17 12:48:09:300,16.9252448,73.5865467
1,2024-04-17 12:48:10:300,16.9254013,73.586897
1,2024-04-17 12:48:11:300,16.9254013,73.586897
1,2024-04-17 12:48:12:300,16.9254013,73.586897
1,2024-04-17 12:48:13:301,16.9254013,73.586897
1,2024-04-17 12:48:14:300,16.9254013,73.586897
1,2024-04-17 12:48:15:300,16.9255595,73.5872907
1,2024-04-17 12:48:16:300,16.9255595,73.5872907
1,2024-04-17 12:48:17:301,16.9255595,73.5872907
1,2024-04-17 12:48:18:299,16.9255595,73.5872907
2,2024-04-17 12:48:18:327,16.9255595,73.5872907
2,2024-04-17 12:48:19:300,16.9255595,73.5872907
2,2024-04-17 12:48:20:302,16.9258252,73.5875925
2,2024-04-17 12:48:21:301,16.9258252,73.5875925
2,2024-04-17 12:48:22:300,16.9258252,73.5875925
1,2024-04-17 12:48:22:838,16.9258252,73.5875925
1,2024-04-17 12:48:23:299,16.9258252,73.5875925
1,2024-04-17 12:48:24:300,16.9258252,73.5875925
1,2024-04-17 12:48:25:300,16.9261292,73.5878334
1,2024-04-17 12:48:26:300,16.9261292,73.5878334
1,2024-04-17 12:48:27:300,16.9261292,73.5878334
1,2024-04-17 12:48:28:301,16.9261292,73.5878334
1,2024-04-17 12:48:29:301,16.9261292,73.5878334
1,2024-04-17 12:48:30:299,16.9264268,73.5881061
1,2024-04-17 12:48:31:299,16.9264268,73.5881061
1,2024-04-17 12:48:32:302,16.9264268,73.5881061
1,2024-04-17 12:48:33:299,16.9264268,73.5881061
1,2024-04-17 12:48:34:300,16.9264268,73.5881061
1,2024-04-17 12:48:35:299,16.9266738,73.5882472
1,2024-04-17 12:48:36:301,16.9266738,73.5882472
1,2024-04-17 12:48:37:301,16.9266738,73.5882472
1,2024-04-17 12:48:38:300,16.9266738,73.5882472
1,2024-04-17 12:48:39:301,16.9266738,73.5882472
1,2024-04-17 12:48:40:300,16.9269688,73.5883025
3,2024-04-17 12:48:41:033,16.9269688,73.5883025
3,2024-04-17 12:48:41:299,16.9269688,73.5883025
3,2024-04-17 12:48:42:300,16.9269688,73.5883025
3,2024-04-17 12:48:43:299,16.9269688,73.5883025
1,2024-04-17 12:48:43:364,16.9269688,73.5883025
1,2024-04-17 12:48:44:300,16.9269688,73.5883025
1,2024-04-17 12:48:45:300,16.9272848,73.5882618
1,2024-04-17 12:48:46:301,16.9272848,73.5882618
1,2024-04-17 12:48:47:301,16.9272848,73.5882618
1,2024-04-17 12:48:48:300,16.9272848,73.5882618
1,2024-04-17 12:48:49:300,16.9272848,73.5882618
1,2024-04-17 12:48:50:300,16.9276228,73.5881955
1,2024-04-17 12:48:51:300,16.9276228,73.5881955
1,2024-04-17 12:48:52:301,16.9276228,73.5881955
1,2024-04-17 12:48:53:300,16.9276228,73.5881955
2,2024-04-17 12:48:53:764,16.9276228,73.5881955
2,2024-04-17 12:48:54:299,16.9276228,73.5881955
