Label,Time,Latitude,Longitude
1,2024-04-17 13:29:36:579,16.8464461,73.6466105
1,2024-04-17 13:29:37:485,16.8464461,73.6466105
1,2024-04-17 13:29:38:484,16.8464439,73.6465455
1,2024-04-17 13:29:39:486,16.8464439,73.6465455
1,2024-04-17 13:29:40:484,16.8464439,73.6465455
3,2024-04-17 13:29:40:486,16.8464439,73.6465455
3,2024-04-17 13:29:41:485,16.8464403,73.6465334
3,2024-04-17 13:29:42:485,16.8464403,73.6465334
3,2024-04-17 13:29:43:485,16.8464423,73.6465322
3,2024-04-17 13:29:44:485,16.8464423,73.6465322
3,2024-04-17 13:29:45:485,16.846445,73.6465314
3,2024-04-17 13:29:46:485,16.846445,73.6465314
3,2024-04-17 13:29:47:484,16.846445,73.6465314
3,2024-04-17 13:29:48:484,16.8464202,73.6461185
3,2024-04-17 13:29:49:485,16.8464202,73.6461185
3,2024-04-17 13:29:50:484,16.8464326,73.6460833
3,2024-04-17 13:29:51:485,16.8464326,73.6460833
3,2024-04-17 13:29:52:485,16.8464326,73.6460833
3,2024-04-17 13:29:53:485,16.8463933,73.6458874
3,2024-04-17 13:29:54:485,16.8463933,73.6458874
3,2024-04-17 13:29:55:485,16.8463959,73.6458567
3,2024-04-17 13:29:56:485,16.8463959,73.6458567
3,2024-04-17 13:29:57:485,16.8463959,73.6458567
3,2024-04-17 13:29:58:485,16.846346,73.6457096
3,2024-04-17 13:29:59:485,16.846346,73.6457096
3,2024-04-17 13:30:00:484,16.8463474,73.6456857
3,2024-04-17 13:30:01:486,16.8463474,73.6456857
3,2024-04-17 13:30:02:484,16.8463474,73.6456857
3,2024-04-17 13:30:03:484,16.8463124,73.6454854
3,2024-04-17 13:30:04:485,16.8463124,73.6454854
3,2024-04-17 13:30:05:485,16.8462986,73.6454114
3,2024-04-17 13:30:06:485,16.8462986,73.6454114
3,2024-04-17 13:30:07:486,16.8462986,73.6454114
3,2024-04-17 13:30:08:484,16.8462587,73.6452019
3,2024-04-17 13:30:09:485,16.8462587,73.6452019
3,2024-04-17 13:30:10:486,16.8462587,73.6452019
3,2024-04-17 13:30:11:484,16.8462808,73.6453243
3,2024-04-17 13:30:12:486,16.8462808,73.6453243
3,2024-04-17 13:30:13:484,16.8462467,73.6449897
3,2024-04-17 13:30:14:485,16.8462467,73.6449897
3,2024-04-17 13:30:15:484,16.8462456,73.6450711
3,2024-04-17 13:30:16:485,16.8462456,73.6450711
3,2024-04-17 13:30:17:484,16.8462456,73.6450711
3,2024-04-17 13:30:18:485,16.8461624,73.6448221
3,2024-04-17 13:30:19:486,16.8461624,73.6448221
3,2024-04-17 13:30:20:485,16.8461624,73.6448221
3,2024-04-17 13:30:21:484,16.8461199,73.6448014
3,2024-04-17 13:30:22:485,16.8461199,73.6448014
3,2024-04-17 13:30:23:484,16.8460177,73.6445866
3,2024-04-17 13:30:24:485,16.8460177,73.6445866
3,2024-04-17 13:30:25:486,16.84602,73.6444951
3,2024-04-17 13:30:26:485,16.84602,73.6444951
3,2024-04-17 13:30:27:485,16.84602,73.6444951
3,2024-04-17 13:30:28:485,16.8459965,73.6442873
3,2024-04-17 13:30:29:486,16.8459965,73.6442873
3,2024-04-17 13:30:30:486,16.8459965,73.6442873
3,2024-04-17 13:30:31:484,16.8459394,73.644238
3,2024-04-17 13:30:32:484,16.8459394,73.644238
3,2024-04-17 13:30:33:485,16.8459394,73.644238
3,2024-04-17 13:30:34:486,16.8458754,73.6440313
3,2024-04-17 13:30:35:485,16.8458754,73.6440313
3,2024-04-17 13:30:36:485,16.8458754,73.6440313
3,2024-04-17 13:30:37:485,16.8458317,73.6439447
3,2024-04-17 13:30:38:484,16.8458317,73.6439447
3,2024-04-17 13:30:39:485,16.8458317,73.6439447
3,2024-04-17 13:30:40:485,16.8458295,73.6438873
3,2024-04-17 13:30:41:485,16.8458295,73.6438873
3,2024-04-17 13:30:42:485,16.8457496,73.6436913
3,2024-04-17 13:30:43:485,16.8457496,73.6436913
3,2024-04-17 13:30:44:485,16.8457496,73.6436913
3,2024-04-17 13:30:45:485,16.8457259,73.6436437
3,2024-04-17 13:30:46:485,16.8457259,73.6436437
3,2024-04-17 13:30:47:484,16.845671,73.6434835
3,2024-04-17 13:30:48:485,16.845671,73.6434835
3,2024-04-17 13:30:49:486,16.845671,73.6434835
3,2024-04-17 13:30:50:485,16.8456601,73.643458
3,2024-04-17 13:30:51:486,16.8456601,73.643458
3,2024-04-17 13:30:52:485,16.8456255,73.6433261
3,2024-04-17 13:30:53:486,16.8456255,73.6433261
3,2024-04-17 13:30:54:485,16.8456255,73.6433261
3,2024-04-17 13:30:55:485,16.8456298,73.6432886
3,2024-04-17 13:30:56:485,16.8456298,73.6432886
3,2024-04-17 13:30:57:485,16.8455951,73.6431491
3,2024-04-17 13:30:58:485,16.8455951,73.6431491
3,2024-04-17 13:30:59:485,16.8455951,73.6431491
3,2024-04-17 13:31:00:485,16.8455888,73.6430997
3,2024-04-17 13:31:01:485,16.8455888,73.6430997
3,2024-04-17 13:31:02:484,16.8455673,73.6429038
3,2024-04-17 13:31:03:485,16.8455673,73.6429038
3,2024-04-17 13:31:04:486,16.8455673,73.6429038
3,2024-04-17 13:31:05:485,16.8455603,73.6428061
3,2024-04-17 13:31:06:485,16.8455603,73.6428061
3,2024-04-17 13:31:07:484,16.8455495,73.6426699
3,2024-04-17 13:31:08:484,16.8455495,73.6426699
3,2024-04-17 13:31:09:484,16.8455495,73.6426699
3,2024-04-17 13:31:10:485,16.8455429,73.6426543
3,2024-04-17 13:31:11:486,16.8455429,73.6426543
3,2024-04-17 13:31:12:485,16.845504,73.6424653
3,2024-04-17 13:31:13:485,16.845504,73.6424653
3,2024-04-17 13:31:14:485,16.845504,73.6424653
3,2024-04-17 13:31:15:485,16.8454633,73.6423677
3,2024-04-17 13:31:16:485,16.8454633,73.6423677
3,2024-04-17 13:31:17:484,16.8454579,73.6422715
3,2024-04-17 13:31:18:485,16.8454579,73.6422715
3,2024-04-17 13:31:19:484,16.8454772,73.6422164
3,2024-04-17 13:31:20:486,16.8454772,73.6422164
3,2024-04-17 13:31:21:485,16.8454772,73.6422164
3,2024-04-17 13:31:22:485,16.8454039,73.6420364
3,2024-04-17 13:31:23:485,16.8454039,73.6420364
3,2024-04-17 13:31:24:485,16.8454039,73.6420364
3,2024-04-17 13:31:25:485,16.8454012,73.641975
3,2024-04-17 13:31:26:485,16.8454012,73.641975
3,2024-04-17 13:31:27:486,16.8454012,73.641975
3,2024-04-17 13:31:28:485,16.8454012,73.641975
3,2024-04-17 13:31:29:485,16.8454012,73.641975
3,2024-04-17 13:31:30:485,16.8454012,73.641975
3,2024-04-17 13:31:31:485,16.8453214,73.6415487
3,2024-04-17 13:31:32:485,16.8453214,73.6415487
3,2024-04-17 13:31:33:485,16.8453214,73.6415487
3,2024-04-17 13:31:34:485,16.8453214,73.6415487
3,2024-04-17 13:31:35:485,16.8453214,73.6415487
3,2024-04-17 13:31:36:485,16.8453106,73.6413022
2,2024-04-17 13:31:36:668,16.8453106,73.6413022
2,2024-04-17 13:31:37:485,16.8453106,73.6413022
2,2024-04-17 13:31:38:485,16.8453106,73.6413022
2,2024-04-17 13:31:39:485,16.8453106,73.6413022
2,2024-04-17 13:31:40:485,16.8453106,73.6413022
2,2024-04-17 13:31:41:485,16.8453089,73.6410232
2,2024-04-17 13:31:42:486,16.8453089,73.6410232
2,2024-04-17 13:31:43:485,16.8453089,73.6410232
2,2024-04-17 13:31:44:485,16.8453089,73.6410232
2,2024-04-17 13:31:45:485,16.8453089,73.6410232
2,2024-04-17 13:31:46:485,16.8452865,73.6407147
2,2024-04-17 13:31:47:486,16.8452865,73.6407147
2,2024-04-17 13:31:48:485,16.8452865,73.6407147
2,2024-04-17 13:31:49:485,16.8452865,73.6407147
2,2024-04-17 13:31:50:485,16.8452865,73.6407147
2,2024-04-17 13:31:51:484,16.8452658,73.6404508
2,2024-04-17 13:31:52:485,16.8452658,73.6404508
2,2024-04-17 13:31:53:485,16.8452658,73.6404508
2,2024-04-17 13:31:54:485,16.8452658,73.6404508
2,2024-04-17 13:31:55:486,16.8452658,73.6404508
3,2024-04-17 13:31:55:937,16.845228,73.6401767
3,2024-04-17 13:31:56:487,16.845228,73.6401767
3,2024-04-17 13:31:57:485,16.845228,73.6401767
3,2024-04-17 13:31:58:485,16.845228,73.6401767
3,2024-04-17 13:31:59:485,16.845228,73.6401767
3,2024-04-17 13:32:00:486,16.845228,73.6401767
3,2024-04-17 13:32:01:485,16.8451813,73.6399038
3,2024-04-17 13:32:02:485,16.8451813,73.6399038
3,2024-04-17 13:32:03:485,16.8451813,73.6399038
3,2024-04-17 13:32:04:485,16.8451813,73.6399038
3,2024-04-17 13:32:05:485,16.8451813,73.6399038
3,2024-04-17 13:32:06:485,16.8450911,73.6396491
3,2024-04-17 13:32:07:486,16.8450911,73.6396491
3,2024-04-17 13:32:08:485,16.8450911,73.6396491
3,2024-04-17 13:32:09:485,16.8450911,73.6396491
