Label,Time,Latitude,Longitude
2,2024-02-28 17:06:28:790,16.8692383,73.5605917
2,2024-02-28 17:06:28:958,16.8692383,73.5605917
2,2024-02-28 17:06:29:959,16.8692383,73.5605917
2,2024-02-28 17:06:30:959,16.8692383,73.5605917
2,2024-02-28 17:06:31:960,16.8692383,73.5605917
2,2024-02-28 17:06:32:959,16.8692383,73.5605917
2,2024-02-28 17:06:33:958,16.8692939,73.5607013
2,2024-02-28 17:06:34:959,16.8692939,73.5607013
2,2024-02-28 17:06:35:959,16.8692939,73.5607013
4,2024-02-28 17:06:36:437,16.8692939,73.5607013
4,2024-02-28 17:06:36:958,16.8692939,73.5607013
4,2024-02-28 17:06:37:959,16.8692939,73.5607013
4,2024-02-28 17:06:38:958,16.8693831,73.56086
4,2024-02-28 17:06:39:959,16.8693831,73.56086
4,2024-02-28 17:06:40:959,16.8693831,73.56086
4,2024-02-28 17:06:41:959,16.8693831,73.56086
4,2024-02-28 17:06:42:959,16.8693831,73.56086
3,2024-02-28 17:06:43:799,16.8694682,73.5609943
3,2024-02-28 17:06:43:958,16.8694682,73.5609943
3,2024-02-28 17:06:44:959,16.8694682,73.5609943
3,2024-02-28 17:06:45:959,16.8694682,73.5609943
3,2024-02-28 17:06:46:960,16.8694682,73.5609943
3,2024-02-28 17:06:47:958,16.869519,73.5610739
3,2024-02-28 17:06:48:959,16.869519,73.5610739
3,2024-02-28 17:06:49:199,16.869519,73.5610739
3,2024-02-28 17:06:49:959,16.869519,73.5610739
3,2024-02-28 17:06:50:958,16.869519,73.5610739
3,2024-02-28 17:06:51:959,16.869519,73.5610739
3,2024-02-28 17:06:52:959,16.869519,73.5610739
3,2024-02-28 17:06:53:307,16.869519,73.5610739
3,2024-02-28 17:06:53:959,16.8697032,73.5613548
3,2024-02-28 17:06:54:959,16.8697032,73.5613548
3,2024-02-28 17:06:55:959,16.8697032,73.5613548
3,2024-02-28 17:06:56:959,16.8697032,73.5613548
3,2024-02-28 17:06:57:654,16.8697032,73.5613548
3,2024-02-28 17:06:57:958,16.8697032,73.5613548
3,2024-02-28 17:06:58:958,16.8698178,73.5615264
3,2024-02-28 17:06:59:960,16.8698178,73.5615264
3,2024-02-28 17:07:00:959,16.8698178,73.5615264
3,2024-02-28 17:07:01:962,16.8698178,73.5615264
4,2024-02-28 17:07:01:981,16.8698178,73.5615264
4,2024-02-28 17:07:02:959,16.8698178,73.5615264
3,2024-02-28 17:07:03:352,16.8698178,73.5615264
3,2024-02-28 17:07:03:958,16.869933,73.5616808
3,2024-02-28 17:07:04:958,16.869933,73.5616808
3,2024-02-28 17:07:05:960,16.869933,73.5616808
3,2024-02-28 17:07:06:959,16.869933,73.5616808
3,2024-02-28 17:07:07:959,16.8699601,73.5617228
3,2024-02-28 17:07:08:112,16.8699601,73.5617228
3,2024-02-28 17:07:08:959,16.8699601,73.5617228
3,2024-02-28 17:07:09:959,16.8699601,73.5617228
3,2024-02-28 17:07:10:958,16.8699601,73.5617228
3,2024-02-28 17:07:11:959,16.8699601,73.5617228
3,2024-02-28 17:07:12:322,16.8699601,73.5617228
3,2024-02-28 17:07:12:959,16.8699601,73.5617228
