Label,Time,Latitude,Longitude
2,2024-02-07 13:40:19:076,0.0,0.0
2,2024-02-07 13:40:20:593,0.0,0.0
2,2024-02-07 13:40:23:310,0.0,0.0
3,2024-02-07 13:40:24:694,0.0,0.0
3,2024-02-07 13:40:26:245,0.0,0.0
3,2024-02-07 13:40:28:362,0.0,0.0
2,2024-02-07 13:40:30:013,0.0,0.0
2,2024-02-07 13:40:31:680,0.0,0.0
2,2024-02-07 13:40:33:263,0.0,0.0
2,2024-02-07 13:40:35:181,0.0,0.0
2,2024-02-07 13:40:36:997,0.0,0.0
2,2024-02-07 13:40:38:965,0.0,0.0
2,2024-02-07 13:40:40:765,0.0,0.0
2,2024-02-07 13:40:43:016,0.0,0.0
2,2024-02-07 13:40:44:633,0.0,0.0
2,2024-02-07 13:40:46:217,0.0,0.0
2,2024-02-07 13:40:47:901,0.0,0.0
2,2024-02-07 13:40:49:768,0.0,0.0
2,2024-02-07 13:40:51:685,0.0,0.0
2,2024-02-07 13:40:53:469,0.0,0.0
2,2024-02-07 13:40:54:939,0.0,0.0
2,2024-02-07 13:40:56:637,0.0,0.0
2,2024-02-07 13:40:58:037,0.0,0.0
2,2024-02-07 13:40:59:954,0.0,0.0
2,2024-02-07 13:41:01:521,0.0,0.0
2,2024-02-07 13:41:03:655,0.0,0.0
2,2024-02-07 13:41:05:289,0.0,0.0
2,2024-02-07 13:41:07:240,0.0,0.0
2,2024-02-07 13:41:09:007,0.0,0.0
2,2024-02-07 13:41:11:308,0.0,0.0
3,2024-02-07 13:41:12:558,0.0,0.0
3,2024-02-07 13:41:14:442,0.0,0.0
2,2024-02-07 13:41:16:359,0.0,0.0
2,2024-02-07 13:41:18:410,0.0,0.0
2,2024-02-07 13:41:21:227,0.0,0.0
2,2024-02-07 13:41:23:478,0.0,0.0
2,2024-02-07 13:41:25:796,0.0,0.0
2,2024-02-07 13:41:27:897,0.0,0.0
2,2024-02-07 13:41:30:530,0.0,0.0
2,2024-02-07 13:41:32:631,0.0,0.0
2,2024-02-07 13:41:34:214,0.0,0.0
1,2024-02-07 13:41:36:632,0.0,0.0
1,2024-02-07 13:41:39:149,0.0,0.0
1,2024-02-07 13:41:41:868,0.0,0.0
1,2024-02-07 13:41:44:135,0.0,0.0
1,2024-02-07 13:41:47:353,0.0,0.0
1,2024-02-07 13:41:50:353,0.0,0.0
1,2024-02-07 13:41:52:888,0.0,0.0
1,2024-02-07 13:41:54:788,0.0,0.0
1,2024-02-07 13:41:57:804,0.0,0.0
1,2024-02-07 13:42:01:205,0.0,0.0
1,2024-02-07 13:42:05:107,0.0,0.0
2,2024-02-07 13:42:06:743,0.0,0.0
2,2024-02-07 13:42:08:593,0.0,0.0
2,2024-02-07 13:42:11:244,0.0,0.0
2,2024-02-07 13:42:13:076,0.0,0.0
