Label,Time,Latitude,Longitude
2,2024-02-07 13:55:33:675,0.0,0.0
2,2024-02-07 13:55:35:242,0.0,0.0
2,2024-02-07 13:55:37:443,0.0,0.0
2,2024-02-07 13:55:39:276,0.0,0.0
2,2024-02-07 13:55:41:760,0.0,0.0
2,2024-02-07 13:55:44:144,0.0,0.0
2,2024-02-07 13:55:45:861,0.0,0.0
2,2024-02-07 13:55:47:979,0.0,0.0
2,2024-02-07 13:55:50:263,0.0,0.0
2,2024-02-07 13:55:52:730,0.0,0.0
2,2024-02-07 13:55:55:031,0.0,0.0
1,2024-02-07 13:55:57:615,0.0,0.0
1,2024-02-07 13:55:59:832,0.0,0.0
1,2024-02-07 13:56:01:899,0.0,0.0
1,2024-02-07 13:56:04:000,0.0,0.0
2,2024-02-07 13:56:05:651,0.0,0.0
2,2024-02-07 13:56:07:518,0.0,0.0
2,2024-02-07 13:56:09:602,0.0,0.0
2,2024-02-07 13:56:11:219,0.0,0.0
2,2024-02-07 13:56:13:053,0.0,0.0
2,2024-02-07 13:56:14:903,0.0,0.0
2,2024-02-07 13:56:16:337,0.0,0.0
2,2024-02-07 13:56:18:021,0.0,0.0
2,2024-02-07 13:56:19:955,0.0,0.0
2,2024-02-07 13:56:21:839,0.0,0.0
2,2024-02-07 13:56:23:489,0.0,0.0
2,2024-02-07 13:56:25:640,0.0,0.0
2,2024-02-07 13:56:27:290,0.0,0.0
2,2024-02-07 13:56:29:291,0.0,0.0
2,2024-02-07 13:56:30:875,0.0,0.0
2,2024-02-07 13:56:32:108,0.0,0.0
2,2024-02-07 13:56:33:842,0.0,0.0
2,2024-02-07 13:56:35:926,0.0,0.0
1,2024-02-07 13:56:38:060,0.0,0.0
2,2024-02-07 13:56:38:993,0.0,0.0
1,2024-02-07 13:56:43:211,0.0,0.0
1,2024-02-07 13:56:44:845,0.0,0.0
1,2024-02-07 13:56:47:129,0.0,0.0
1,2024-02-07 13:56:47:313,0.0,0.0
2,2024-02-07 13:56:49:297,0.0,0.0
2,2024-02-07 13:56:51:030,0.0,0.0
2,2024-02-07 13:56:52:698,0.0,0.0
2,2024-02-07 13:56:54:765,0.0,0.0
2,2024-02-07 13:56:58:749,0.0,0.0
2,2024-02-07 13:57:01:300,0.0,0.0
2,2024-02-07 13:57:03:384,0.0,0.0
2,2024-02-07 13:57:05:051,0.0,0.0
2,2024-02-07 13:57:07:185,0.0,0.0
2,2024-02-07 13:57:09:369,0.0,0.0
2,2024-02-07 13:57:11:220,0.0,0.0
2,2024-02-07 13:57:18:388,0.0,0.0
2,2024-02-07 13:57:20:806,0.0,0.0
2,2024-02-07 13:57:23:040,0.0,0.0
2,2024-02-07 13:57:30:192,0.0,0.0
2,2024-02-07 13:57:33:626,0.0,0.0
2,2024-02-07 13:57:34:043,0.0,0.0
2,2024-02-07 13:57:35:977,0.0,0.0
2,2024-02-07 13:57:43:829,0.0,0.0
2,2024-02-07 13:57:46:130,0.0,0.0
2,2024-02-07 13:57:48:281,0.0,0.0
2,2024-02-07 13:57:50:648,0.0,0.0
2,2024-02-07 13:57:52:582,0.0,0.0
2,2024-02-07 13:57:54:466,0.0,0.0
2,2024-02-07 13:57:56:533,0.0,0.0
2,2024-02-07 13:57:58:367,0.0,0.0
2,2024-02-07 13:58:00:718,0.0,0.0
2,2024-02-07 13:58:08:670,0.0,0.0
2,2024-02-07 13:58:10:487,0.0,0.0
2,2024-02-07 13:58:12:171,0.0,0.0
2,2024-02-07 13:58:14:121,0.0,0.0
2,2024-02-07 13:58:16:072,0.0,0.0
2,2024-02-07 13:58:18:556,0.0,0.0
2,2024-02-07 13:58:20:507,0.0,0.0
2,2024-02-07 13:58:23:691,0.0,0.0
2,2024-02-07 13:58:25:475,0.0,0.0
2,2024-02-07 13:58:27:458,0.0,0.0
2,2024-02-07 13:58:28:992,0.0,0.0
1,2024-02-07 13:58:30:276,0.0,0.0
2,2024-02-07 13:58:31:826,0.0,0.0
2,2024-02-07 13:58:33:643,0.0,0.0
2,2024-02-07 13:58:35:694,0.0,0.0
2,2024-02-07 13:58:37:211,0.0,0.0
2,2024-02-07 13:58:39:112,0.0,0.0
