Label,Time,Latitude,Longitude
2,2024-02-07 14:21:32:378,0.0,0.0
2,2024-02-07 14:21:34:228,0.0,0.0
2,2024-02-07 14:21:36:145,0.0,0.0
2,2024-02-07 14:21:38:046,0.0,0.0
2,2024-02-07 14:21:39:913,0.0,0.0
2,2024-02-07 14:21:41:530,0.0,0.0
2,2024-02-07 14:21:43:931,0.0,0.0
2,2024-02-07 14:21:45:931,0.0,0.0
3,2024-02-07 14:21:46:848,0.0,0.0
3,2024-02-07 14:21:48:115,0.0,0.0
3,2024-02-07 14:21:49:299,0.0,0.0
3,2024-02-07 14:21:50:616,0.0,0.0
3,2024-02-07 14:21:51:917,0.0,0.0
3,2024-02-07 14:21:53:117,0.0,0.0
2,2024-02-07 14:21:54:884,0.0,0.0
2,2024-02-07 14:21:56:584,0.0,0.0
2,2024-02-07 14:21:58:402,0.0,0.0
2,2024-02-07 14:22:00:285,0.0,0.0
2,2024-02-07 14:22:02:120,0.0,0.0
2,2024-02-07 14:22:03:620,0.0,0.0
2,2024-02-07 14:22:05:437,0.0,0.0
2,2024-02-07 14:22:07:171,0.0,0.0
2,2024-02-07 14:22:09:005,0.0,0.0
2,2024-02-07 14:22:10:772,0.0,0.0
2,2024-02-07 14:22:12:772,0.0,0.0
2,2024-02-07 14:22:14:040,0.0,0.0
2,2024-02-07 14:22:15:423,0.0,0.0
2,2024-02-07 14:22:17:107,0.0,0.0
2,2024-02-07 14:22:19:107,0.0,0.0
2,2024-02-07 14:22:20:825,0.0,0.0
2,2024-02-07 14:22:22:442,0.0,0.0
2,2024-02-07 14:22:24:009,0.0,0.0
2,2024-02-07 14:22:25:410,0.0,0.0
2,2024-02-07 14:22:26:993,0.0,0.0
2,2024-02-07 14:22:28:594,0.0,0.0
2,2024-02-07 14:22:30:961,0.0,0.0
2,2024-02-07 14:22:32:812,0.0,0.0
2,2024-02-07 14:22:34:979,0.0,0.0
2,2024-02-07 14:22:37:063,0.0,0.0
2,2024-02-07 14:22:39:330,0.0,0.0
2,2024-02-07 14:22:41:064,0.0,0.0
2,2024-02-07 14:22:42:965,0.0,0.0
2,2024-02-07 14:22:45:332,0.0,0.0
2,2024-02-07 14:22:46:549,0.0,0.0
2,2024-02-07 14:22:49:233,0.0,0.0
2,2024-02-07 14:22:51:317,0.0,0.0
2,2024-02-07 14:22:53:251,0.0,0.0
2,2024-02-07 14:22:55:018,0.0,0.0
2,2024-02-07 14:22:56:619,0.0,0.0
2,2024-02-07 14:22:58:136,0.0,0.0
2,2024-02-07 14:23:00:403,0.0,0.0
2,2024-02-07 14:23:02:303,0.0,0.0
2,2024-02-07 14:23:05:121,0.0,0.0
2,2024-02-07 14:23:06:838,0.0,0.0
2,2024-02-07 14:23:08:805,0.0,0.0
2,2024-02-07 14:23:10:522,0.0,0.0
2,2024-02-07 14:23:12:523,0.0,0.0
2,2024-02-07 14:23:14:424,0.0,0.0
2,2024-02-07 14:23:15:507,0.0,0.0
2,2024-02-07 14:23:16:424,0.0,0.0
2,2024-02-07 14:23:17:325,0.0,0.0
2,2024-02-07 14:23:18:158,0.0,0.0
2,2024-02-07 14:23:19:725,0.0,0.0
2,2024-02-07 14:23:21:175,0.0,0.0
2,2024-02-07 14:23:22:226,0.0,0.0
2,2024-02-07 14:23:23:876,0.0,0.0
2,2024-02-07 14:23:24:910,0.0,0.0
2,2024-02-07 14:23:26:060,0.0,0.0
2,2024-02-07 14:23:28:545,0.0,0.0
2,2024-02-07 14:23:32:095,0.0,0.0
2,2024-02-07 14:23:35:147,0.0,0.0
2,2024-02-07 14:23:37:580,0.0,0.0
2,2024-02-07 14:23:39:781,0.0,0.0
2,2024-02-07 14:23:42:015,0.0,0.0
2,2024-02-07 14:23:44:216,0.0,0.0
2,2024-02-07 14:23:46:633,0.0,0.0
2,2024-02-07 14:23:49:950,0.0,0.0
2,2024-02-07 14:23:52:551,0.0,0.0
2,2024-02-07 14:23:57:569,0.0,0.0
2,2024-02-07 14:24:00:020,0.0,0.0
2,2024-02-07 14:24:04:355,0.0,0.0
2,2024-02-07 14:24:06:656,0.0,0.0
2,2024-02-07 14:24:08:840,0.0,0.0
3,2024-02-07 14:24:12:124,0.0,0.0
3,2024-02-07 14:24:13:324,0.0,0.0
3,2024-02-07 14:24:15:925,0.0,0.0
3,2024-02-07 14:24:18:109,0.0,0.0
3,2024-02-07 14:24:20:009,0.0,0.0
3,2024-02-07 14:24:21:910,0.0,0.0
3,2024-02-07 14:24:24:711,0.0,0.0
2,2024-02-07 14:24:25:678,0.0,0.0
2,2024-02-07 14:24:27:845,0.0,0.0
2,2024-02-07 14:24:29:545,0.0,0.0
2,2024-02-07 14:24:31:546,0.0,0.0
2,2024-02-07 14:24:33:913,0.0,0.0
2,2024-02-07 14:24:35:847,0.0,0.0
2,2024-02-07 14:24:37:114,0.0,0.0
2,2024-02-07 14:24:38:581,0.0,0.0
2,2024-02-07 14:24:39:432,0.0,0.0
2,2024-02-07 14:24:41:166,0.0,0.0
2,2024-02-07 14:24:42:733,0.0,0.0
2,2024-02-07 14:24:43:799,0.0,0.0
2,2024-02-07 14:24:44:983,0.0,0.0
2,2024-02-07 14:24:46:300,0.0,0.0
2,2024-02-07 14:24:48:851,0.0,0.0
2,2024-02-07 14:24:50:135,0.0,0.0
3,2024-02-07 14:24:50:785,0.0,0.0
3,2024-02-07 14:24:51:885,0.0,0.0
3,2024-02-07 14:24:53:002,0.0,0.0
3,2024-02-07 14:24:54:402,0.0,0.0
3,2024-02-07 14:24:56:053,0.0,0.0
3,2024-02-07 14:24:57:220,0.0,0.0
3,2024-02-07 14:24:59:037,0.0,0.0
3,2024-02-07 14:25:01:271,0.0,0.0
2,2024-02-07 14:25:02:922,0.0,0.0
2,2024-02-07 14:25:04:606,0.0,0.0
2,2024-02-07 14:25:05:856,0.0,0.0
2,2024-02-07 14:25:08:273,0.0,0.0
2,2024-02-07 14:25:09:740,0.0,0.0
2,2024-02-07 14:25:12:141,0.0,0.0
2,2024-02-07 14:25:13:508,0.0,0.0
2,2024-02-07 14:25:14:709,0.0,0.0
2,2024-02-07 14:25:16:259,0.0,0.0
2,2024-02-07 14:25:18:193,0.0,0.0
2,2024-02-07 14:25:20:560,0.0,0.0
2,2024-02-07 14:25:23:145,0.0,0.0
2,2024-02-07 14:25:25:595,0.0,0.0
2,2024-02-07 14:25:27:262,0.0,0.0
2,2024-02-07 14:25:28:729,0.0,0.0
2,2024-02-07 14:25:30:263,0.0,0.0
2,2024-02-07 14:25:32:130,0.0,0.0
2,2024-02-07 14:25:33:998,0.0,0.0
2,2024-02-07 14:25:35:465,0.0,0.0
2,2024-02-07 14:25:37:182,0.0,0.0
2,2024-02-07 14:25:38:932,0.0,0.0
2,2024-02-07 14:25:40:749,0.0,0.0
2,2024-02-07 14:25:43:100,0.0,0.0
2,2024-02-07 14:25:45:535,0.0,0.0
2,2024-02-07 14:25:47:035,0.0,0.0
2,2024-02-07 14:25:48:419,0.0,0.0
2,2024-02-07 14:25:50:485,0.0,0.0
2,2024-02-07 14:25:52:086,0.0,0.0
2,2024-02-07 14:25:53:770,0.0,0.0
2,2024-02-07 14:25:55:921,0.0,0.0
2,2024-02-07 14:25:59:172,0.0,0.0
1,2024-02-07 14:26:02:356,0.0,0.0
1,2024-02-07 14:26:04:706,0.0,0.0
2,2024-02-07 14:26:07:174,0.0,0.0
2,2024-02-07 14:26:09:174,0.0,0.0
2,2024-02-07 14:26:11:425,0.0,0.0
1,2024-02-07 14:26:13:192,0.0,0.0
1,2024-02-07 14:26:14:443,0.0,0.0
1,2024-02-07 14:26:16:210,0.0,0.0
1,2024-02-07 14:26:18:444,0.0,0.0
3,2024-02-07 14:26:21:195,0.0,0.0
3,2024-02-07 14:26:22:662,0.0,0.0
3,2024-02-07 14:26:24:029,0.0,0.0
3,2024-02-07 14:26:25:646,0.0,0.0
3,2024-02-07 14:26:27:213,0.0,0.0
3,2024-02-07 14:26:28:847,0.0,0.0
3,2024-02-07 14:26:30:231,0.0,0.0
3,2024-02-07 14:26:31:331,0.0,0.0
3,2024-02-07 14:26:32:898,0.0,0.0
3,2024-02-07 14:26:34:548,0.0,0.0
3,2024-02-07 14:26:36:215,0.0,0.0
3,2024-02-07 14:26:38:033,0.0,0.0
3,2024-02-07 14:26:39:850,0.0,0.0
3,2024-02-07 14:26:41:267,0.0,0.0
3,2024-02-07 14:26:43:234,0.0,0.0
3,2024-02-07 14:26:44:201,0.0,0.0
3,2024-02-07 14:26:45:385,0.0,0.0
3,2024-02-07 14:26:46:535,0.0,0.0
3,2024-02-07 14:26:48:352,0.0,0.0
3,2024-02-07 14:26:49:970,0.0,0.0
3,2024-02-07 14:26:51:437,0.0,0.0
3,2024-02-07 14:26:53:838,0.0,0.0
3,2024-02-07 14:26:56:105,0.0,0.0
3,2024-02-07 14:26:57:772,0.0,0.0
3,2024-02-07 14:26:59:689,0.0,0.0
3,2024-02-07 14:27:01:356,0.0,0.0
3,2024-02-07 14:27:02:890,0.0,0.0
3,2024-02-07 14:27:07:158,0.0,0.0
3,2024-02-07 14:27:09:275,0.0,0.0
3,2024-02-07 14:27:11:326,0.0,0.0
3,2024-02-07 14:27:13:193,0.0,0.0
3,2024-02-07 14:27:15:378,0.0,0.0
3,2024-02-07 14:27:17:411,0.0,0.0
3,2024-02-07 14:27:19:695,0.0,0.0
3,2024-02-07 14:27:21:345,0.0,0.0
3,2024-02-07 14:27:26:163,0.0,0.0
3,2024-02-07 14:27:28:631,0.0,0.0
4,2024-02-07 14:27:31:666,0.0,0.0
4,2024-02-07 14:27:33:116,0.0,0.0
4,2024-02-07 14:27:34:749,0.0,0.0
4,2024-02-07 14:27:36:583,0.0,0.0
4,2024-02-07 14:27:38:101,0.0,0.0
3,2024-02-07 14:27:40:067,0.0,0.0
3,2024-02-07 14:27:41:835,0.0,0.0
3,2024-02-07 14:27:43:268,0.0,0.0
3,2024-02-07 14:27:44:753,0.0,0.0
3,2024-02-07 14:27:46:119,0.0,0.0
2,2024-02-07 14:27:48:937,0.0,0.0
2,2024-02-07 14:27:50:554,0.0,0.0
2,2024-02-07 14:27:51:887,0.0,0.0
2,2024-02-07 14:27:53:955,0.0,0.0
3,2024-02-07 14:27:55:788,0.0,0.0
3,2024-02-07 14:27:57:189,0.0,0.0
2,2024-02-07 14:27:59:506,0.0,0.0
3,2024-02-07 14:28:00:741,0.0,0.0
3,2024-02-07 14:28:01:824,0.0,0.0
3,2024-02-07 14:28:03:708,0.0,0.0
3,2024-02-07 14:28:06:075,0.0,0.0
2,2024-02-07 14:28:07:592,0.0,0.0
2,2024-02-07 14:28:09:609,0.0,0.0
2,2024-02-07 14:28:11:710,0.0,0.0
