Label,Time,Latitude,Longitude
3,2024-02-07 14:54:57:709,0.0,0.0
3,2024-02-07 14:54:59:110,0.0,0.0
3,2024-02-07 14:55:00:427,0.0,0.0
3,2024-02-07 14:55:02:044,0.0,0.0
3,2024-02-07 14:55:03:395,0.0,0.0
3,2024-02-07 14:55:04:495,0.0,0.0
3,2024-02-07 14:55:05:929,0.0,0.0
3,2024-02-07 14:55:07:663,0.0,0.0
3,2024-02-07 14:55:08:963,0.0,0.0
3,2024-02-07 14:55:10:363,0.0,0.0
3,2024-02-07 14:55:11:630,0.0,0.0
3,2024-02-07 14:55:13:831,0.0,0.0
3,2024-02-07 14:55:15:931,0.0,0.0
3,2024-02-07 14:55:17:315,0.0,0.0
3,2024-02-07 14:55:18:382,0.0,0.0
3,2024-02-07 14:55:21:000,0.0,0.0
3,2024-02-07 14:55:22:383,0.0,0.0
3,2024-02-07 14:55:23:917,0.0,0.0
3,2024-02-07 14:55:25:118,0.0,0.0
3,2024-02-07 14:55:26:201,0.0,0.0
3,2024-02-07 14:55:27:568,0.0,0.0
3,2024-02-07 14:55:29:686,0.0,0.0
3,2024-02-07 14:55:31:053,0.0,0.0
3,2024-02-07 14:55:32:670,0.0,0.0
3,2024-02-07 14:55:33:903,0.0,0.0
3,2024-02-07 14:55:35:187,0.0,0.0
3,2024-02-07 14:55:36:888,0.0,0.0
3,2024-02-07 14:55:38:389,0.0,0.0
3,2024-02-07 14:55:40:606,0.0,0.0
3,2024-02-07 14:55:42:623,0.0,0.0
3,2024-02-07 14:55:44:540,0.0,0.0
3,2024-02-07 14:55:46:807,0.0,0.0
3,2024-02-07 14:55:49:408,0.0,0.0
3,2024-02-07 14:55:51:726,0.0,0.0
3,2024-02-07 14:55:54:693,0.0,0.0
3,2024-02-07 14:55:56:377,0.0,0.0
3,2024-02-07 14:55:58:662,0.0,0.0
3,2024-02-07 14:55:59:828,0.0,0.0
2,2024-02-07 14:56:01:628,0.0,0.0
1,2024-02-07 14:56:04:379,0.0,0.0
1,2024-02-07 14:56:05:646,0.0,0.0
1,2024-02-07 14:56:06:596,0.0,0.0
1,2024-02-07 14:56:08:347,0.0,0.0
2,2024-02-07 14:56:11:531,0.0,0.0
2,2024-02-07 14:56:13:982,0.0,0.0
2,2024-02-07 14:56:15:699,0.0,0.0
3,2024-02-07 14:56:19:016,0.0,0.0
3,2024-02-07 14:56:20:767,0.0,0.0
3,2024-02-07 14:56:22:101,0.0,0.0
3,2024-02-07 14:56:23:884,0.0,0.0
3,2024-02-07 14:56:25:002,0.0,0.0
3,2024-02-07 14:56:26:419,0.0,0.0
3,2024-02-07 14:56:32:588,0.0,0.0
