Label,Time,Latitude,Longitude
1,2024-02-07 15:44:18:223,0.0,0.0
1,2024-02-07 15:44:25:671,0.0,0.0
1,2024-02-07 15:44:33:441,0.0,0.0
1,2024-02-07 15:44:37:442,0.0,0.0
1,2024-02-07 15:44:40:942,0.0,0.0
1,2024-02-07 15:44:44:310,0.0,0.0
1,2024-02-07 15:44:58:030,0.0,0.0
1,2024-02-07 15:45:09:384,0.0,0.0
1,2024-02-07 15:45:13:118,0.0,0.0
1,2024-02-07 15:45:19:070,0.0,0.0
1,2024-02-07 15:45:24:421,0.0,0.0
1,2024-02-07 15:45:31:840,0.0,0.0
1,2024-02-07 15:45:39:142,0.0,0.0
1,2024-02-07 15:45:43:961,0.0,0.0
1,2024-02-07 15:45:50:796,0.0,0.0
1,2024-02-07 15:46:01:649,0.0,0.0
1,2024-02-07 15:46:10:485,0.0,0.0
1,2024-02-07 15:46:15:803,0.0,0.0
1,2024-02-07 15:46:21:071,0.0,0.0
1,2024-02-07 15:46:26:106,0.0,0.0
1,2024-02-07 15:46:33:458,0.0,0.0
1,2024-02-07 15:46:39:110,0.0,0.0
1,2024-02-07 15:46:43:745,0.0,0.0
1,2024-02-07 15:46:49:296,0.0,0.0
1,2024-02-07 15:46:53:547,0.0,0.0
1,2024-02-07 15:46:57:132,0.0,0.0
1,2024-02-07 15:47:02:817,0.0,0.0
1,2024-02-07 15:47:08:102,0.0,0.0
1,2024-02-07 15:47:14:037,0.0,0.0
1,2024-02-07 15:47:26:274,0.0,0.0
1,2024-02-07 15:47:37:227,0.0,0.0
1,2024-02-07 15:47:42:512,0.0,0.0
1,2024-02-07 15:47:48:813,0.0,0.0
1,2024-02-07 15:47:52:948,0.0,0.0
1,2024-02-07 15:47:57:216,0.0,0.0
1,2024-02-07 15:48:00:983,0.0,0.0
1,2024-02-07 15:48:09:169,0.0,0.0
1,2024-02-07 15:48:14:904,0.0,0.0
1,2024-02-07 15:48:23:907,0.0,0.0
1,2024-02-07 15:48:40:645,0.0,0.0
1,2024-02-07 15:48:47:564,0.0,0.0
1,2024-02-07 15:48:54:032,0.0,0.0
1,2024-02-07 15:48:58:517,0.0,0.0
1,2024-02-07 15:49:04:335,0.0,0.0
2,2024-02-07 15:49:09:237,0.0,0.0
2,2024-02-07 15:49:11:187,0.0,0.0
2,2024-02-07 15:49:13:354,0.0,0.0
2,2024-02-07 15:49:15:389,0.0,0.0
2,2024-02-07 15:49:18:156,0.0,0.0
2,2024-02-07 15:49:18:340,0.0,0.0
2,2024-02-07 15:49:21:174,0.0,0.0
2,2024-02-07 15:49:23:124,0.0,0.0
2,2024-02-07 15:49:25:241,0.0,0.0
2,2024-02-07 15:49:27:826,0.0,0.0
3,2024-02-07 15:49:30:559,0.0,0.0
2,2024-02-07 15:49:34:728,0.0,0.0
3,2024-02-07 15:49:36:945,0.0,0.0
3,2024-02-07 15:49:38:595,0.0,0.0
3,2024-02-07 15:49:41:063,0.0,0.0
3,2024-02-07 15:49:44:014,0.0,0.0
3,2024-02-07 15:49:46:681,0.0,0.0
3,2024-02-07 15:49:49:065,0.0,0.0
3,2024-02-07 15:49:51:216,0.0,0.0
3,2024-02-07 15:49:53:850,0.0,0.0
2,2024-02-07 15:49:56:233,0.0,0.0
2,2024-02-07 15:49:59:585,0.0,0.0
2,2024-02-07 15:50:01:785,0.0,0.0
2,2024-02-07 15:50:04:219,0.0,0.0
2,2024-02-07 15:50:06:303,0.0,0.0
2,2024-02-07 15:50:08:488,0.0,0.0
2,2024-02-07 15:50:12:172,0.0,0.0
2,2024-02-07 15:50:15:272,0.0,0.0
3,2024-02-07 15:50:17:773,0.0,0.0
3,2024-02-07 15:50:19:790,0.0,0.0
3,2024-02-07 15:50:21:708,0.0,0.0
3,2024-02-07 15:50:24:059,0.0,0.0
2,2024-02-07 15:50:28:327,0.0,0.0
2,2024-02-07 15:50:31:144,0.0,0.0
2,2024-02-07 15:50:33:961,0.0,0.0
2,2024-02-07 15:50:37:379,0.0,0.0
2,2024-02-07 15:50:39:730,0.0,0.0
2,2024-02-07 15:50:42:164,0.0,0.0
2,2024-02-07 15:50:44:681,0.0,0.0
2,2024-02-07 15:50:46:815,0.0,0.0
3,2024-02-07 15:50:49:749,0.0,0.0
3,2024-02-07 15:50:52:250,0.0,0.0
3,2024-02-07 15:50:54:501,0.0,0.0
3,2024-02-07 15:50:57:569,0.0,0.0
3,2024-02-07 15:50:59:636,0.0,0.0
3,2024-02-07 15:51:02:236,0.0,0.0
2,2024-02-07 15:51:07:288,0.0,0.0
2,2024-02-07 15:51:09:488,0.0,0.0
2,2024-02-07 15:51:11:906,0.0,0.0
2,2024-02-07 15:51:14:673,0.0,0.0
2,2024-02-07 15:51:16:824,0.0,0.0
2,2024-02-07 15:51:19:191,0.0,0.0
2,2024-02-07 15:51:21:675,0.0,0.0
2,2024-02-07 15:51:23:776,0.0,0.0
2,2024-02-07 15:51:26:410,0.0,0.0
2,2024-02-07 15:51:28:911,0.0,0.0
2,2024-02-07 15:51:30:962,0.0,0.0
2,2024-02-07 15:51:34:146,0.0,0.0
2,2024-02-07 15:51:37:713,0.0,0.0
2,2024-02-07 15:51:41:164,0.0,0.0
2,2024-02-07 15:51:44:265,0.0,0.0
2,2024-02-07 15:51:47:200,0.0,0.0
3,2024-02-07 15:51:50:533,0.0,0.0
3,2024-02-07 15:51:53:301,0.0,0.0
3,2024-02-07 15:51:54:552,0.0,0.0
3,2024-02-07 15:51:57:569,0.0,0.0
3,2024-02-07 15:52:00:220,0.0,0.0
3,2024-02-07 15:52:02:537,0.0,0.0
3,2024-02-07 15:52:04:504,0.0,0.0
3,2024-02-07 15:52:07:205,0.0,0.0
3,2024-02-07 15:52:09:923,0.0,0.0
3,2024-02-07 15:52:12:123,0.0,0.0
3,2024-02-07 15:52:14:741,0.0,0.0
3,2024-02-07 15:52:16:608,0.0,0.0
2,2024-02-07 15:52:18:808,0.0,0.0
3,2024-02-07 15:52:20:859,0.0,0.0
3,2024-02-07 15:52:23:360,0.0,0.0
3,2024-02-07 15:52:25:260,0.0,0.0
3,2024-02-07 15:52:27:845,0.0,0.0
3,2024-02-07 15:52:30:045,0.0,0.0
3,2024-02-07 15:52:32:062,0.0,0.0
3,2024-02-07 15:52:34:229,0.0,0.0
3,2024-02-07 15:52:36:197,0.0,0.0
3,2024-02-07 15:52:37:914,0.0,0.0
3,2024-02-07 15:52:40:415,0.0,0.0
3,2024-02-07 15:52:42:449,0.0,0.0
3,2024-02-07 15:52:44:866,0.0,0.0
3,2024-02-07 15:52:46:750,0.0,0.0
3,2024-02-07 15:52:48:550,0.0,0.0
3,2024-02-07 15:52:50:618,0.0,0.0
3,2024-02-07 15:52:52:218,0.0,0.0
3,2024-02-07 15:52:54:369,0.0,0.0
3,2024-02-07 15:52:56:452,0.0,0.0
3,2024-02-07 15:52:59:337,0.0,0.0
3,2024-02-07 15:53:02:038,0.0,0.0
3,2024-02-07 15:53:04:305,0.0,0.0
3,2024-02-07 15:53:07:290,0.0,0.0
3,2024-02-07 15:53:09:823,0.0,0.0
3,2024-02-07 15:53:12:391,0.0,0.0
3,2024-02-07 15:53:13:975,0.0,0.0
3,2024-02-07 15:53:15:625,0.0,0.0
3,2024-02-07 15:53:17:292,0.0,0.0
3,2024-02-07 15:53:18:726,0.0,0.0
3,2024-02-07 15:53:20:577,0.0,0.0
