Label,Time,Latitude,Longitude
1,2024-02-07 16:46:01:311,0.0,0.0
2,2024-02-07 16:46:03:511,0.0,0.0
2,2024-02-07 16:46:05:428,0.0,0.0
2,2024-02-07 16:46:08:330,0.0,0.0
2,2024-02-07 16:46:12:481,0.0,0.0
1,2024-02-07 16:46:13:948,0.0,0.0
1,2024-02-07 16:46:15:515,0.0,0.0
1,2024-02-07 16:46:17:266,0.0,0.0
1,2024-02-07 16:46:18:866,0.0,0.0
1,2024-02-07 16:46:21:750,0.0,0.0
1,2024-02-07 16:46:23:434,0.0,0.0
1,2024-02-07 16:46:25:551,0.0,0.0
1,2024-02-07 16:46:27:552,0.0,0.0
1,2024-02-07 16:46:29:386,0.0,0.0
1,2024-02-07 16:46:30:686,0.0,0.0
2,2024-02-07 16:46:31:419,0.0,0.0
1,2024-02-07 16:46:38:221,0.0,0.0
1,2024-02-07 16:46:40:639,0.0,0.0
1,2024-02-07 16:46:42:207,0.0,0.0
1,2024-02-07 16:46:43:940,0.0,0.0
1,2024-02-07 16:46:45:357,0.0,0.0
1,2024-02-07 16:46:46:808,0.0,0.0
1,2024-02-07 16:46:48:008,0.0,0.0
1,2024-02-07 16:46:49:191,0.0,0.0
1,2024-02-07 16:46:50:826,0.0,0.0
1,2024-02-07 16:46:53:309,0.0,0.0
1,2024-02-07 16:46:55:227,0.0,0.0
1,2024-02-07 16:46:56:877,0.0,0.0
1,2024-02-07 16:46:58:194,0.0,0.0
1,2024-02-07 16:46:59:894,0.0,0.0
2,2024-02-07 16:47:03:462,0.0,0.0
2,2024-02-07 16:47:05:263,0.0,0.0
1,2024-02-07 16:47:11:181,0.0,0.0
1,2024-02-07 16:47:14:166,0.0,0.0
1,2024-02-07 16:47:16:633,0.0,0.0
1,2024-02-07 16:47:18:800,0.0,0.0
1,2024-02-07 16:47:21:234,0.0,0.0
1,2024-02-07 16:47:23:101,0.0,0.0
1,2024-02-07 16:47:25:152,0.0,0.0
1,2024-02-07 16:47:27:453,0.0,0.0
1,2024-02-07 16:47:29:386,0.0,0.0
1,2024-02-07 16:47:31:020,0.0,0.0
1,2024-02-07 16:47:33:971,0.0,0.0
1,2024-02-07 16:47:35:955,0.0,0.0
1,2024-02-07 16:47:38:139,0.0,0.0
1,2024-02-07 16:47:40:056,0.0,0.0
1,2024-02-07 16:47:41:607,0.0,0.0
1,2024-02-07 16:47:43:341,0.0,0.0
1,2024-02-07 16:47:44:875,0.0,0.0
1,2024-02-07 16:47:46:358,0.0,0.0
1,2024-02-07 16:47:48:192,0.0,0.0
1,2024-02-07 16:47:50:093,0.0,0.0
1,2024-02-07 16:47:52:243,0.0,0.0
2,2024-02-07 16:47:55:077,0.0,0.0
2,2024-02-07 16:47:56:878,0.0,0.0
2,2024-02-07 16:47:59:295,0.0,0.0
2,2024-02-07 16:48:01:179,0.0,0.0
2,2024-02-07 16:48:03:180,0.0,0.0
2,2024-02-07 16:48:05:064,0.0,0.0
1,2024-02-07 16:48:06:798,0.0,0.0
1,2024-02-07 16:48:08:731,0.0,0.0
1,2024-02-07 16:48:10:615,0.0,0.0
2,2024-02-07 16:48:15:500,0.0,0.0
2,2024-02-07 16:48:17:500,0.0,0.0
2,2024-02-07 16:48:19:868,0.0,0.0
2,2024-02-07 16:48:21:635,0.0,0.0
2,2024-02-07 16:48:23:169,0.0,0.0
2,2024-02-07 16:48:25:170,0.0,0.0
2,2024-02-07 16:48:27:470,0.0,0.0
2,2024-02-07 16:48:29:004,0.0,0.0
2,2024-02-07 16:48:30:871,0.0,0.0
2,2024-02-07 16:48:33:338,0.0,0.0
2,2024-02-07 16:48:35:289,0.0,0.0
2,2024-02-07 16:48:37:189,0.0,0.0
2,2024-02-07 16:48:38:924,0.0,0.0
2,2024-02-07 16:48:40:609,0.0,0.0
1,2024-02-07 16:48:42:841,0.0,0.0
1,2024-02-07 16:48:44:792,0.0,0.0
1,2024-02-07 16:48:46:859,0.0,0.0
