Label,Time,Latitude,Longitude
1,2024-02-08 12:39:13:357,16.8569679,73.5468474
2,2024-02-08 12:39:37:564,16.8564581,73.5460817
1,2024-02-08 12:40:03:555,16.8550818,73.5448742
1,2024-02-08 12:40:47:318,16.8531322,73.5429898
1,2024-02-08 12:41:00:238,16.8527721,73.5425245
1,2024-02-08 12:41:11:975,16.8525858,73.5423101
1,2024-02-08 12:41:19:127,16.8523314,73.5420329
2,2024-02-08 12:41:36:215,16.8513884,73.5409151
2,2024-02-08 12:41:50:220,16.8513658,73.5403341
3,2024-02-08 12:42:08:942,16.8519096,73.5392441
3,2024-02-08 12:42:39:401,16.8524605,73.538504
3,2024-02-08 12:43:22:712,16.8525021,73.5370791
3,2024-02-08 12:43:56:472,16.8519881,73.5358522
3,2024-02-08 12:44:19:045,16.8514775,73.5349853
3,2024-02-08 12:44:41:536,16.8509286,73.5341176
3,2024-02-08 12:45:06:276,16.850621,73.5328623
3,2024-02-08 12:45:22:330,16.8506856,73.5322565
2,2024-02-08 12:45:26:482,16.8507312,73.5321688
3,2024-02-08 12:45:35:918,16.8507632,73.531775
3,2024-02-08 12:46:04:843,16.85029,73.5307487
5,2024-02-08 12:46:31:318,16.8498098,73.5295895
3,2024-02-08 12:46:53:524,16.8494992,73.529204
2,2024-02-08 12:47:06:511,16.8494483,73.5286855
3,2024-02-08 12:47:39:570,16.8488854,73.5269317
2,2024-02-08 12:47:53:908,16.8485758,73.5260405
3,2024-02-08 12:48:20:049,16.8477367,73.5244305
3,2024-02-08 12:49:30:453,16.847146,73.5214025
3,2024-02-08 12:49:42:724,16.8469603,73.5209953
3,2024-02-08 12:50:03:896,16.8466473,73.5203425
2,2024-02-08 12:50:15:016,16.8464139,73.5197993
2,2024-02-08 12:50:23:735,16.8461135,73.5191706
3,2024-02-08 12:50:31:804,16.8458786,73.5186806
3,2024-02-08 12:50:44:491,16.8455502,73.5181407
3,2024-02-08 12:50:57:461,16.8454424,73.5179368
1,2024-02-08 12:51:17:634,16.8450443,73.5172547
2,2024-02-08 12:51:28:620,16.8444999,73.5165728
1,2024-02-08 12:51:36:189,16.8442183,73.5164614
1,2024-02-08 12:52:02:580,16.8435352,73.5146256
1,2024-02-08 12:52:25:454,16.8440735,73.513186
1,2024-02-08 12:52:58:780,16.8438645,73.5124734
1,2024-02-08 12:53:05:632,16.8437594,73.5126758
1,2024-02-08 12:53:16:185,16.8435741,73.5129277
1,2024-02-08 12:53:36:508,16.8431659,73.5130234
1,2024-02-08 12:53:45:344,16.8429454,73.5130458
1,2024-02-08 12:53:57:914,16.8426538,73.513233
1,2024-02-08 12:54:02:183,16.842591,73.5132694
1,2024-02-08 12:54:10:751,16.8424384,73.513287
1,2024-02-08 12:54:21:570,16.8418051,73.5130822
1,2024-02-08 12:54:28:006,16.8415464,73.5127062
1,2024-02-08 12:54:34:241,16.8413505,73.5121948
3,2024-02-08 12:54:36:708,16.84125,73.511964
3,2024-02-08 12:54:39:726,16.8411668,73.5118345
3,2024-02-08 12:54:43:810,16.8411118,73.5117752
3,2024-02-08 12:54:47:228,16.8410495,73.511709
3,2024-02-08 12:54:51:413,16.8408684,73.5115961
3,2024-02-08 12:54:56:581,16.8406435,73.5115151
3,2024-02-08 12:55:03:099,16.8404313,73.5114553
2,2024-02-08 12:55:05:750,16.8402688,73.5114225
3,2024-02-08 12:55:10:935,16.8400744,73.5113683
3,2024-02-08 12:55:29:874,16.8395239,73.5104545
3,2024-02-08 12:55:36:259,16.8394856,73.5100646
3,2024-02-08 12:55:43:444,16.8394475,73.5098325
3,2024-02-08 12:55:49:730,16.8393924,73.5096013
3,2024-02-08 12:55:53:964,16.8392516,73.5093998
3,2024-02-08 12:56:00:116,16.8389604,73.509202
3,2024-02-08 12:56:03:534,16.8388493,73.5091075
3,2024-02-08 12:56:07:485,16.8387322,73.508999
3,2024-02-08 12:56:13:387,16.838502,73.5087892
3,2024-02-08 12:56:19:055,16.8382982,73.5085773
3,2024-02-08 12:56:24:306,16.8381429,73.5084082
