Label,Time,Latitude,Longitude
3,2024-02-08 12:58:39:245,16.8380967,73.5083217
3,2024-02-08 12:59:06:570,16.8377419,73.5074117
3,2024-02-08 12:59:11:988,16.8376409,73.5071855
3,2024-02-08 12:59:15:089,16.8375717,73.5070534
3,2024-02-08 12:59:18:641,16.8375049,73.5069407
3,2024-02-08 12:59:20:758,16.8374189,73.506792
3,2024-02-08 12:59:23:775,16.8373512,73.5066825
3,2024-02-08 12:59:27:443,16.8373007,73.506599
3,2024-02-08 12:59:30:044,16.8372486,73.5065178
3,2024-02-08 12:59:52:666,16.8368422,73.5059804
3,2024-02-08 13:00:03:586,16.8366496,73.5056628
3,2024-02-08 13:00:13:140,16.836494,73.5053599
3,2024-02-08 13:00:19:025,16.836384,73.5051615
3,2024-02-08 13:00:24:960,16.8362768,73.5049019
3,2024-02-08 13:00:29:645,16.8361959,73.5046908
3,2024-02-08 13:00:37:730,16.8360638,73.504296
3,2024-02-08 13:00:51:817,16.8358715,73.5038233
3,2024-02-08 13:01:00:720,16.8355645,73.5033906
3,2024-02-08 13:01:10:489,16.8353771,73.5031746
3,2024-02-08 13:01:22:193,16.8351469,73.5028247
1,2024-02-08 13:01:27:894,16.8349861,73.5026543
2,2024-02-08 13:02:01:604,16.8328495,73.5014236
2,2024-02-08 13:02:12:291,16.8323527,73.5017991
2,2024-02-08 13:02:23:677,16.8319351,73.5019157
1,2024-02-08 13:02:31:863,16.8315389,73.5022991
1,2024-02-08 13:02:49:202,16.8302425,73.5025154
2,2024-02-08 13:03:12:125,16.8295019,73.5010669
1,2024-02-08 13:03:19:126,16.8291896,73.5002883
3,2024-02-08 13:03:27:146,16.8290472,73.499768
3,2024-02-08 13:03:39:616,16.829089,73.4992807
3,2024-02-08 13:03:53:386,16.8291387,73.4989946
3,2024-02-08 13:04:03:223,16.8291597,73.4987825
3,2024-02-08 13:04:11:643,16.8291015,73.4983576
3,2024-02-08 13:04:19:294,16.8289943,73.4980163
3,2024-02-08 13:04:28:430,16.8290475,73.4976415
3,2024-02-08 13:04:37:716,16.8291379,73.4972898
3,2024-02-08 13:04:45:152,16.8291768,73.4970974
3,2024-02-08 13:04:53:821,16.8291778,73.496716
3,2024-02-08 13:05:00:906,16.8292246,73.4963736
3,2024-02-08 13:05:07:792,16.8291778,73.4961555
3,2024-02-08 13:05:14:161,16.8291417,73.4958757
3,2024-02-08 13:05:20:679,16.8291247,73.4956687
3,2024-02-08 13:05:29:214,16.8291554,73.4953066
2,2024-02-08 13:05:34:050,16.8291599,73.495067
2,2024-02-08 13:06:02:557,16.8295599,73.4931786
2,2024-02-08 13:06:12:711,16.8298046,73.4923048
3,2024-02-08 13:06:17:562,16.8298109,73.4921016
3,2024-02-08 13:06:25:214,16.8297548,73.491858
3,2024-02-08 13:06:31:532,16.8297179,73.4917148
