Label,Time,Latitude,Longitude
3,2024-02-08 13:15:07:099,16.8233962,73.4741428
3,2024-02-08 13:15:15:951,16.823329,73.4739976
3,2024-02-08 13:15:18:936,16.8232436,73.4738685
2,2024-02-08 13:15:23:921,16.8231842,73.473662
2,2024-02-08 13:15:25:371,16.8231842,73.473662
2,2024-02-08 13:15:29:205,16.8232857,73.4733987
2,2024-02-08 13:15:32:256,16.823336,73.4732794
2,2024-02-08 13:15:35:158,16.8233932,73.4731757
2,2024-02-08 13:15:39:158,16.8234914,73.4730168
2,2024-02-08 13:15:41:559,16.8235648,73.4728636
2,2024-02-08 13:15:44:943,16.8236133,73.4726945
2,2024-02-08 13:15:47:244,16.8236713,73.4725147
2,2024-02-08 13:15:50:395,16.8237348,73.4723136
2,2024-02-08 13:15:54:080,16.8237854,73.4720577
2,2024-02-08 13:15:57:230,16.8238345,73.4718279
2,2024-02-08 13:16:01:332,16.8238359,73.4713951
2,2024-02-08 13:16:04:349,16.8238269,73.4711668
1,2024-02-08 13:16:13:651,16.8241544,73.4706539
1,2024-02-08 13:16:21:254,16.8243015,73.4702646
1,2024-02-08 13:16:30:356,16.8243012,73.4699071
3,2024-02-08 13:16:36:925,16.8241262,73.4696698
2,2024-02-08 13:16:41:710,16.8240927,73.4694362
3,2024-02-08 13:16:42:960,16.8240927,73.4694362
3,2024-02-08 13:16:44:911,16.824126,73.4693286
3,2024-02-08 13:16:52:963,16.8242345,73.469064
3,2024-02-08 13:16:59:198,16.8243052,73.4688637
3,2024-02-08 13:17:05:533,16.8243909,73.468698
3,2024-02-08 13:17:17:270,16.8245988,73.468472
5,2024-02-08 13:17:19:554,16.8246733,73.4683974
5,2024-02-08 13:17:33:708,16.8245933,73.4680241
5,2024-02-08 13:17:43:728,16.8243301,73.4679139
5,2024-02-08 13:17:53:047,16.8239723,73.4678782
2,2024-02-08 13:17:55:114,16.8238711,73.4678889
3,2024-02-08 13:18:03:100,16.8235144,73.4677324
3,2024-02-08 13:18:08:702,16.8234234,73.4675655
3,2024-02-08 13:18:12:786,16.8233943,73.4674874
3,2024-02-08 13:18:23:222,16.8231921,73.4671464
3,2024-02-08 13:18:26:157,16.8231432,73.4670657
3,2024-02-08 13:18:30:408,16.8231072,73.4669863
1,2024-02-08 13:18:34:844,16.8230535,73.4666991
2,2024-02-08 13:18:37:160,16.8230564,73.4665133
2,2024-02-08 13:18:39:460,16.8230564,73.4665133
2,2024-02-08 13:18:45:145,16.8231341,73.4660774
2,2024-02-08 13:18:49:998,16.8232528,73.4656269
2,2024-02-08 13:18:53:115,16.8232991,73.4653783
3,2024-02-08 13:18:57:449,16.8233865,73.4651397
2,2024-02-08 13:19:00:450,16.823487,73.4649524
2,2024-02-08 13:19:11:587,16.8237221,73.4642173
3,2024-02-08 13:19:14:021,16.8237509,73.4640517
3,2024-02-08 13:19:17:389,16.8237762,73.463923
3,2024-02-08 13:19:25:957,16.8238154,73.4633729
3,2024-02-08 13:19:35:661,16.8237702,73.4629834
3,2024-02-08 13:19:39:112,16.823767,73.4629049
3,2024-02-08 13:19:45:880,16.8238046,73.4625837
3,2024-02-08 13:19:49:881,16.823836,73.462455
3,2024-02-08 13:19:57:250,16.8241022,73.4621492
3,2024-02-08 13:20:00:918,16.8241301,73.4620275
3,2024-02-08 13:20:03:868,16.8241009,73.4619168
3,2024-02-08 13:20:07:686,16.8240371,73.4617276
