Label,Time,Latitude,Longitude
2,2024-02-08 13:28:43:786,16.819537,73.447811
2,2024-02-08 13:29:01:925,16.8189859,73.4477267
2,2024-02-08 13:29:05:659,16.8188209,73.4477397
2,2024-02-08 13:29:09:610,16.8186484,73.4477444
2,2024-02-08 13:29:13:045,16.8184694,73.4477479
2,2024-02-08 13:29:13:178,16.8184694,73.4477479
2,2024-02-08 13:29:16:029,16.8182778,73.4477756
2,2024-02-08 13:29:18:663,16.8180989,73.4478177
2,2024-02-08 13:29:22:231,16.8179257,73.4478515
2,2024-02-08 13:29:29:433,16.8173658,73.4478776
2,2024-02-08 13:29:33:034,16.8171624,73.4478952
2,2024-02-08 13:29:37:335,16.8169618,73.4479358
2,2024-02-08 13:29:40:503,16.8167571,73.4479898
2,2024-02-08 13:29:46:254,16.8163415,73.4481244
2,2024-02-08 13:29:49:005,16.8161223,73.4481935
2,2024-02-08 13:29:53:390,16.815674,73.4483129
2,2024-02-08 13:29:57:824,16.8154455,73.4483653
2,2024-02-08 13:30:00:809,16.8152308,73.4484072
2,2024-02-08 13:30:05:710,16.8148159,73.4484742
2,2024-02-08 13:30:10:811,16.8144115,73.4487336
2,2024-02-08 13:30:14:563,16.814266,73.4489333
2,2024-02-08 13:30:21:014,16.8138811,73.4492595
2,2024-02-08 13:30:24:799,16.8136625,73.4493691
2,2024-02-08 13:30:29:650,16.8132177,73.4495915
2,2024-02-08 13:30:34:469,16.8130238,73.4497431
2,2024-02-08 13:30:40:670,16.8125961,73.4499282
2,2024-02-08 13:30:49:606,16.8122124,73.4500269
2,2024-02-08 13:30:52:657,16.8118194,73.4501156
2,2024-02-08 13:30:57:175,16.8116032,73.4501243
2,2024-02-08 13:31:02:360,16.8112391,73.4500252
2,2024-02-08 13:31:05:861,16.8110959,73.4499122
2,2024-02-08 13:31:10:562,16.8109759,73.4497794
2,2024-02-08 13:31:23:816,16.810293,73.4490046
2,2024-02-08 13:31:32:669,16.8099705,73.4489639
2,2024-02-08 13:31:36:436,16.8098518,73.448884
2,2024-02-08 13:31:40:388,16.809773,73.4487446
2,2024-02-08 13:31:48:306,16.8099135,73.448218
2,2024-02-08 13:31:56:742,16.8100513,73.4477421
2,2024-02-08 13:32:03:911,16.8102653,73.4476708
2,2024-02-08 13:32:08:495,16.8104231,73.4475365
2,2024-02-08 13:32:15:448,16.8105044,73.447246
2,2024-02-08 13:32:23:233,16.8103639,73.4467202
2,2024-02-08 13:32:29:819,16.8104051,73.4463172
2,2024-02-08 13:32:35:137,16.8103865,73.4458587
2,2024-02-08 13:32:38:454,16.8103595,73.4456395
2,2024-02-08 13:32:40:988,16.8103338,73.4454271
2,2024-02-08 13:32:49:424,16.8102812,73.4447461
2,2024-02-08 13:32:54:909,16.8099799,73.4444844
2,2024-02-08 13:33:00:361,16.8098101,73.4443816
2,2024-02-08 13:33:05:479,16.8094172,73.4443304
2,2024-02-08 13:33:10:880,16.8091246,73.4440589
2,2024-02-08 13:33:15:783,16.8088621,73.443627
2,2024-02-08 13:33:18:099,16.8088621,73.443627
2,2024-02-08 13:33:21:217,16.8087821,73.4433746
5,2024-02-08 13:33:24:485,16.8087144,73.4431184
3,2024-02-08 13:33:25:237,16.8086467,73.4428991
3,2024-02-08 13:33:27:735,16.8086039,73.4427512
2,2024-02-08 13:33:31:954,16.8085574,73.4425997
2,2024-02-08 13:33:39:422,16.8083958,73.4422329
2,2024-02-08 13:33:47:558,16.8080858,73.4416986
2,2024-02-08 13:33:54:476,16.8079054,73.4413279
3,2024-02-08 13:33:59:665,16.8077027,73.4409214
3,2024-02-08 13:34:03:346,16.8075943,73.4407312
3,2024-02-08 13:34:08:497,16.8073952,73.4403736
3,2024-02-08 13:34:11:081,16.8072864,73.4401982
2,2024-02-08 13:34:15:682,16.8069696,73.4398848
2,2024-02-08 13:34:17:850,16.8069696,73.4398848
2,2024-02-08 13:34:22:418,16.8065152,73.4398455
2,2024-02-08 13:34:24:702,16.8063143,73.4399257
2,2024-02-08 13:34:27:486,16.8063143,73.4399257
2,2024-02-08 13:34:31:520,16.8059361,73.4401664
2,2024-02-08 13:34:34:088,16.8057404,73.4402514
2,2024-02-08 13:34:35:338,16.8057404,73.4402514
2,2024-02-08 13:34:38:089,16.8055307,73.4403268
2,2024-02-08 13:34:41:023,16.8053132,73.440378
2,2024-02-08 13:34:43:274,16.8050863,73.4404234
2,2024-02-08 13:34:45:825,16.8048534,73.4404541
2,2024-02-08 13:34:47:742,16.8048534,73.4404541
2,2024-02-08 13:34:52:427,16.8043544,73.4403423
2,2024-02-08 13:34:55:010,16.8041549,73.44026
2,2024-02-08 13:34:57:244,16.8041549,73.44026
2,2024-02-08 13:35:01:213,16.8038272,73.4398975
2,2024-02-08 13:35:05:530,16.8037918,73.4396685
2,2024-02-08 13:35:06:931,16.8037883,73.4394288
2,2024-02-08 13:35:09:315,16.8037883,73.4394288
2,2024-02-08 13:35:11:216,16.8038135,73.4391747
2,2024-02-08 13:35:13:383,16.8038423,73.4389137
2,2024-02-08 13:35:15:501,16.8038423,73.4389137
2,2024-02-08 13:35:17:517,16.803852,73.4386722
2,2024-02-08 13:35:20:801,16.8037671,73.438476
2,2024-02-08 13:35:23:252,16.8036337,73.4383569
2,2024-02-08 13:35:25:936,16.8035792,73.4382201
2,2024-02-08 13:35:30:338,16.803597,73.438035
2,2024-02-08 13:35:34:072,16.8035023,73.4377029
2,2024-02-08 13:35:37:306,16.8033489,73.4376057
2,2024-02-08 13:35:41:074,16.8031826,73.437506
2,2024-02-08 13:35:43:475,16.8030047,73.4374045
2,2024-02-08 13:35:47:093,16.8028195,73.4372978
2,2024-02-08 13:35:51:344,16.8026541,73.4371714
2,2024-02-08 13:35:54:261,16.802529,73.4370279
2,2024-02-08 13:35:58:362,16.8022773,73.4367215
2,2024-02-08 13:36:03:564,16.8021379,73.4365804
2,2024-02-08 13:36:07:515,16.8017532,73.4364956
2,2024-02-08 13:36:12:016,16.8015734,73.4364616
2,2024-02-08 13:36:16:684,16.8014438,73.4361789
2,2024-02-08 13:36:20:935,16.8014826,73.4360375
2,2024-02-08 13:36:23:553,16.8015322,73.4358945
2,2024-02-08 13:36:27:054,16.8015119,73.4357674
2,2024-02-08 13:36:29:588,16.8013892,73.4357107
2,2024-02-08 13:36:32:022,16.8012272,73.4356904
2,2024-02-08 13:36:35:106,16.8010559,73.4356546
2,2024-02-08 13:36:37:491,16.8008665,73.4355883
2,2024-02-08 13:36:40:241,16.8006741,73.4355281
2,2024-02-08 13:36:43:776,16.8004762,73.4355417
2,2024-02-08 13:36:46:126,16.800291,73.4356407
2,2024-02-08 13:36:48:360,16.800291,73.4356407
2,2024-02-08 13:36:51:544,16.8001006,73.4357558
2,2024-02-08 13:36:58:880,16.7994757,73.4360699
2,2024-02-08 13:37:05:715,16.7990214,73.4362162
2,2024-02-08 13:37:09:416,16.7987925,73.4362786
2,2024-02-08 13:37:11:950,16.7985819,73.4363248
2,2024-02-08 13:37:14:368,16.7983881,73.4362784
2,2024-02-08 13:37:16:752,16.7982385,73.4361064
2,2024-02-08 13:37:22:387,16.7981311,73.4356758
2,2024-02-08 13:37:27:705,16.798093,73.4352501
2,2024-02-08 13:37:31:873,16.7980697,73.4350435
2,2024-02-08 13:37:35:541,16.7980293,73.4348797
2,2024-02-08 13:37:40:842,16.7977086,73.4348051
2,2024-02-08 13:37:47:611,16.7974208,73.434968
2,2024-02-08 13:37:51:229,16.7973977,73.435133
2,2024-02-08 13:38:01:882,16.7970588,73.4353233
2,2024-02-08 13:38:10:151,16.7969811,73.4346817
2,2024-02-08 13:38:25:038,16.7972731,73.433551
2,2024-02-08 13:38:45:611,16.7974419,73.432332
