Label,Time,Latitude,Longitude
2,2024-02-08 13:43:31:310,16.7973903,73.431718
2,2024-02-08 13:43:39:296,16.7971861,73.4315908
2,2024-02-08 13:43:42:630,16.7970942,73.4315287
2,2024-02-08 13:43:47:782,16.7969198,73.4315158
2,2024-02-08 13:43:52:150,16.7968333,73.4315158
2,2024-02-08 13:43:54:734,16.7967549,73.4315347
2,2024-02-08 13:43:59:369,16.7966415,73.4316592
2,2024-02-08 13:44:01:403,16.7966415,73.4316592
2,2024-02-08 13:44:04:037,16.7966135,73.4317491
2,2024-02-08 13:44:07:404,16.7965951,73.4318278
2,2024-02-08 13:44:09:888,16.7965783,73.431927
2,2024-02-08 13:44:13:573,16.7965472,73.4320231
2,2024-02-08 13:44:16:440,16.7965152,73.4321264
2,2024-02-08 13:44:19:274,16.7964789,73.4322528
2,2024-02-08 13:44:22:542,16.7964433,73.4323607
2,2024-02-08 13:44:26:644,16.7963506,73.4325784
2,2024-02-08 13:44:29:794,16.7962471,73.4326165
2,2024-02-08 13:44:34:963,16.79616,73.4324612
2,2024-02-08 13:44:39:364,16.7961512,73.432364
2,2024-02-08 13:44:43:882,16.7961162,73.4321432
2,2024-02-08 13:44:49:717,16.7959941,73.4318912
2,2024-02-08 13:44:53:918,16.7958867,73.4318575
2,2024-02-08 13:44:58:069,16.7957806,73.4319204
2,2024-02-08 13:45:01:753,16.7956716,73.4321034
2,2024-02-08 13:45:03:887,16.7956716,73.4321034
2,2024-02-08 13:45:07:822,16.7954263,73.4322231
2,2024-02-08 13:45:12:707,16.795206,73.4322374
2,2024-02-08 13:45:19:092,16.7948213,73.4322773
2,2024-02-08 13:45:26:194,16.7942291,73.4324299
2,2024-02-08 13:45:35:313,16.7935605,73.4325834
2,2024-02-08 13:45:40:531,16.7933171,73.4326229
2,2024-02-08 13:45:49:751,16.7924996,73.4329538
2,2024-02-08 13:45:59:403,16.7919387,73.4333045
2,2024-02-08 13:46:09:723,16.7915387,73.4336151
2,2024-02-08 13:46:15:625,16.7915994,73.4339408
2,2024-02-08 13:46:22:944,16.7915765,73.4344277
2,2024-02-08 13:46:29:279,16.791504,73.4347698
2,2024-02-08 13:46:33:280,16.7914421,73.434944
2,2024-02-08 13:46:38:532,16.7912299,73.4352422
2,2024-02-08 13:46:44:150,16.7909259,73.4353124
2,2024-02-08 13:46:49:551,16.7907358,73.4353105
2,2024-02-08 13:46:58:588,16.7901247,73.4352816
2,2024-02-08 13:47:01:905,16.7897344,73.4352674
2,2024-02-08 13:47:06:990,16.7895367,73.4352711
2,2024-02-08 13:47:13:925,16.7890144,73.4355225
2,2024-02-08 13:47:18:993,16.7889356,73.4357387
2,2024-02-08 13:47:30:413,16.7887149,73.4365295
2,2024-02-08 13:47:37:299,16.788647,73.4369263
5,2024-02-08 13:47:41:516,16.7885205,73.4371936
2,2024-02-08 13:47:46:885,16.7884215,73.4372323
2,2024-02-08 13:47:53:587,16.7883305,73.4370836
2,2024-02-08 13:47:58:171,16.788334,73.4367841
2,2024-02-08 13:48:03:606,16.7883365,73.4366235
2,2024-02-08 13:48:10:275,16.7880231,73.4362335
2,2024-02-08 13:48:15:160,16.7879245,73.4360921
2,2024-02-08 13:48:20:128,16.7878686,73.4357373
2,2024-02-08 13:48:23:279,16.7878916,73.4355338
2,2024-02-08 13:48:28:631,16.7879131,73.4351304
2,2024-02-08 13:48:38:950,16.7878849,73.4345714
2,2024-02-08 13:48:45:619,16.7877531,73.4342406
2,2024-02-08 13:48:49:753,16.7874982,73.4339098
2,2024-02-08 13:48:55:772,16.7871509,73.4337126
2,2024-02-08 13:49:00:123,16.786969,73.4336755
2,2024-02-08 13:49:05:642,16.7866977,73.4336053
2,2024-02-08 13:49:11:776,16.7864577,73.4335339
2,2024-02-08 13:49:15:127,16.786266,73.4335451
2,2024-02-08 13:49:21:163,16.7858808,73.4335972
2,2024-02-08 13:49:29:598,16.785352,73.4336704
3,2024-02-08 13:49:34:833,16.7851087,73.433741
2,2024-02-08 13:49:47:404,16.7844693,73.433819
3,2024-02-08 13:49:57:708,16.7838763,73.433866
2,2024-02-08 13:50:03:941,16.7836106,73.433633
2,2024-02-08 13:50:17:896,16.7831348,73.4331902
2,2024-02-08 13:50:24:897,16.7827337,73.4327027
2,2024-02-08 13:50:27:565,16.7827337,73.4327027
2,2024-02-08 13:50:32:266,16.7824413,73.4326403
3,2024-02-08 13:50:36:501,16.782257,73.4325724
2,2024-02-08 13:50:55:806,16.7815536,73.4319666
2,2024-02-08 13:51:05:493,16.7808774,73.4316344
2,2024-02-08 13:51:10:410,16.7806534,73.4315123
2,2024-02-08 13:51:16:712,16.7800175,73.4312216
2,2024-02-08 13:51:20:113,16.7797866,73.4311776
2,2024-02-08 13:51:28:749,16.7792051,73.4310357
2,2024-02-08 13:51:41:153,16.7785017,73.4307756
2,2024-02-08 13:51:46:338,16.7783052,73.4307888
2,2024-02-08 13:51:52:757,16.7777723,73.4306594
2,2024-02-08 13:51:56:858,16.7776063,73.4305353
2,2024-02-08 13:52:00:725,16.777424,73.4304378
2,2024-02-08 13:52:06:927,16.7770137,73.4303328
2,2024-02-08 13:52:18:580,16.7764566,73.4301123
2,2024-02-08 13:52:25:332,16.7760869,73.4300797
2,2024-02-08 13:52:31:267,16.7756875,73.430239
2,2024-02-08 13:52:36:052,16.7752751,73.4303922
2,2024-02-08 13:52:46:605,16.7745584,73.4305147
2,2024-02-08 13:52:52:690,16.7738956,73.4307777
2,2024-02-08 13:52:55:891,16.77364,73.4308471
2,2024-02-08 13:52:59:843,16.7733702,73.430908
2,2024-02-08 13:53:03:643,16.7731306,73.431008
