Label,Time,Latitude,Longitude
1,2024-02-08 13:58:11:016,16.7658904,73.4309302
1,2024-02-08 13:58:18:685,16.7662026,73.4306043
1,2024-02-08 13:58:22:169,16.7663759,73.4305299
1,2024-02-08 13:58:26:987,16.7665784,73.4305205
1,2024-02-08 13:58:30:322,16.7668131,73.4305162
1,2024-02-08 13:58:32:739,16.7670568,73.4304781
1,2024-02-08 13:58:35:290,16.7672873,73.4304214
1,2024-02-08 13:58:38:357,16.7674814,73.4303735
1,2024-02-08 13:58:42:175,16.7676388,73.4303029
1,2024-02-08 13:58:44:477,16.7677127,73.4301518
1,2024-02-08 13:58:56:162,16.7675679,73.4290803
1,2024-02-08 13:59:06:332,16.7674219,73.4282119
1,2024-02-08 13:59:27:838,16.7672023,73.427022
1,2024-02-08 13:59:39:775,16.7674933,73.4267662
1,2024-02-08 13:59:42:776,16.7676138,73.4268056
1,2024-02-08 13:59:45:827,16.7677133,73.4267343
1,2024-02-08 13:59:50:195,16.7677307,73.426628
1,2024-02-08 13:59:53:930,16.7679854,73.426598
1,2024-02-08 13:59:58:081,16.7681388,73.4265779
1,2024-02-08 14:00:06:099,16.7685477,73.4263638
1,2024-02-08 14:00:09:717,16.7686734,73.4262644
1,2024-02-08 14:00:14:719,16.7688661,73.4260034
1,2024-02-08 14:00:18:687,16.7689606,73.4258747
1,2024-02-08 14:00:25:638,16.7691641,73.4256219
1,2024-02-08 14:00:33:057,16.7695187,73.4253183
1,2024-02-08 14:00:37:875,16.7695357,73.4251542
1,2024-02-08 14:00:40:926,16.7695514,73.4249738
1,2024-02-08 14:00:45:194,16.7697795,73.4246171
1,2024-02-08 14:00:47:795,16.7698965,73.4244214
1,2024-02-08 14:00:50:263,16.7698965,73.4244214
1,2024-02-08 14:00:53:580,16.7699758,73.4242368
1,2024-02-08 14:00:56:547,16.7700297,73.424104
1,2024-02-08 14:00:59:265,16.7701046,73.4239732
1,2024-02-08 14:01:02:733,16.7702621,73.4236942
1,2024-02-08 14:01:05:250,16.7702621,73.4236942
