Label,Time,Latitude,Longitude
1,2024-02-08 14:20:25:353,16.8186418,73.4089793
2,2024-02-08 14:20:38:157,16.8190207,73.4091543
2,2024-02-08 14:21:10:250,16.8213097,73.4097551
2,2024-02-08 14:21:28:855,16.8223486,73.4100292
2,2024-02-08 14:21:38:025,16.8225574,73.4100891
3,2024-02-08 14:21:40:992,16.8226378,73.4101053
3,2024-02-08 14:21:56:063,16.8231144,73.4101955
5,2024-02-08 14:22:13:502,16.8235296,73.4101116
5,2024-02-08 14:22:16:552,16.8235921,73.4100923
5,2024-02-08 14:22:29:139,16.8237283,73.4099459
5,2024-02-08 14:22:57:832,16.8241729,73.4097373
5,2024-02-08 14:23:13:969,16.8245736,73.4097487
4,2024-02-08 14:23:27:473,16.8248868,73.409806
3,2024-02-08 14:23:53:381,16.8254167,73.4097093
4,2024-02-08 14:24:17:955,16.8260306,73.4096087
2,2024-02-08 14:24:25:173,16.8261562,73.4095923
4,2024-02-08 14:24:32:575,16.8263779,73.4095561
3,2024-02-08 14:24:59:733,16.8269986,73.4094803
3,2024-02-08 14:25:33:826,16.8280203,73.4093591
3,2024-02-08 14:25:54:282,16.8286419,73.4093026
4,2024-02-08 14:26:31:993,16.8301504,73.4091734
5,2024-02-08 14:27:45:165,16.8321164,73.4085778
5,2024-02-08 14:27:58:035,16.8324186,73.4084814
5,2024-02-08 14:28:40:464,16.8333459,73.408125
2,2024-02-08 14:30:09:857,16.8356865,73.4070923
2,2024-02-08 14:30:17:009,16.8359897,73.406949
5,2024-02-08 14:30:49:951,16.8374017,73.4062744
2,2024-02-08 14:31:07:557,16.8378679,73.4060513
4,2024-02-08 14:31:32:214,16.8390873,73.4055255
4,2024-02-08 14:31:48:585,16.8394591,73.405361
4,2024-02-08 14:32:05:790,16.8398978,73.405186
2,2024-02-08 14:32:23:629,16.8403244,73.4050096
1,2024-02-08 14:33:11:610,16.8428981,73.4038949
2,2024-02-08 14:33:14:761,16.8430723,73.4037944
2,2024-02-08 14:33:26:347,16.8434647,73.403553
3,2024-02-08 14:33:48:587,16.8443737,73.4029806
3,2024-02-08 14:34:13:978,16.8450538,73.4023255
3,2024-02-08 14:34:23:030,16.8452254,73.4021656
3,2024-02-08 14:34:42:652,16.8457881,73.4016134
2,2024-02-08 14:34:46:737,16.8459263,73.4014763
3,2024-02-08 14:35:00:008,16.8462928,73.4011177
2,2024-02-08 14:35:31:400,16.8470684,73.4003268
2,2024-02-08 14:36:33:868,16.85024,73.3985253
3,2024-02-08 14:36:41:137,16.8506162,73.3984371
3,2024-02-08 14:36:58:692,16.8512728,73.3983747
4,2024-02-08 14:37:21:266,16.8519016,73.3984997
4,2024-02-08 14:38:12:997,16.8533454,73.3987959
3,2024-02-08 14:38:30:469,16.8538434,73.3988828
3,2024-02-08 14:38:49:474,16.8544383,73.3990146
4,2024-02-08 14:39:02:728,16.8548093,73.3990839
4,2024-02-08 14:39:20:200,16.8552365,73.3991707
3,2024-02-08 14:40:23:952,16.8568225,73.3994787
3,2024-02-08 14:40:50:993,16.8577254,73.3996238
4,2024-02-08 14:41:16:734,16.8586403,73.3997484
4,2024-02-08 14:41:28:154,16.8589023,73.3997853
3,2024-02-08 14:42:03:430,16.8601236,73.399613
3,2024-02-08 14:42:05:798,16.8602113,73.3996019
3,2024-02-08 14:42:24:636,16.8610247,73.3994764
2,2024-02-08 14:42:48:827,16.8616535,73.3997397
3,2024-02-08 14:43:02:248,16.8617666,73.4003439
4,2024-02-08 14:43:35:191,16.8621412,73.4016935
3,2024-02-08 14:44:17:136,16.8626678,73.4030773
2,2024-02-08 14:44:30:790,16.8629093,73.4036941
3,2024-02-08 14:45:01:232,16.8637748,73.4044961
2,2024-02-08 14:45:04:734,16.8639337,73.4045748
2,2024-02-08 14:45:16:337,16.8642764,73.4047303
3,2024-02-08 14:45:26:173,16.8645985,73.4048966
2,2024-02-08 14:45:30:474,16.8647615,73.4049587
2,2024-02-08 14:45:41:761,16.8650738,73.4051169
2,2024-02-08 14:45:56:131,16.8657332,73.4053663
4,2024-02-08 14:46:05:251,16.8660415,73.4054851
3,2024-02-08 14:46:06:168,16.866135,73.405511
2,2024-02-08 14:46:21:155,16.8666429,73.4056661
2,2024-02-08 14:46:31:959,16.867152,73.4058161
2,2024-02-08 14:46:45:979,16.867873,73.4060597
