Label,Time,Latitude,Longitude
1,2024-02-08 15:30:06:263,16.867808,73.4089289
1,2024-02-08 15:30:10:530,16.8677736,73.4089268
2,2024-02-08 15:30:33:137,16.8664316,73.4092162
2,2024-02-08 15:30:44:524,16.8655762,73.4093818
2,2024-02-08 15:31:37:006,16.8612345,73.4098168
1,2024-02-08 15:32:00:929,16.8591111,73.4102231
2,2024-02-08 15:32:21:135,16.8577417,73.4109909
2,2024-02-08 15:32:42:658,16.8562474,73.4120253
2,2024-02-08 15:33:09:382,16.8544743,73.4132157
1,2024-02-08 15:33:14:634,16.8541214,73.4134108
1,2024-02-08 15:33:41:258,16.8536112,73.4148608
2,2024-02-08 15:33:44:393,16.8534695,73.4149353
1,2024-02-08 15:34:49:695,16.8506532,73.416808
2,2024-02-08 15:35:25:455,16.8483942,73.4184807
2,2024-02-08 15:36:04:333,16.8473113,73.4208252
2,2024-02-08 15:36:44:678,16.846438,73.4226409
2,2024-02-08 15:37:06:318,16.8454794,73.4222169
2,2024-02-08 15:37:45:913,16.8424102,73.4229449
2,2024-02-08 15:38:23:407,16.840811,73.4248872
2,2024-02-08 15:39:03:519,16.8400416,73.4273254
2,2024-02-08 15:40:09:054,16.8370012,73.4293814
2,2024-02-08 15:41:37:113,16.8317221,73.4321144
2,2024-02-08 15:42:16:791,16.8311042,73.4334983
2,2024-02-08 15:43:46:634,16.82643,73.4355391
