Label,Time,Latitude,Longitude
2,2024-02-08 15:52:12:020,16.831525,73.4333083
2,2024-02-08 15:52:27:208,16.8314744,73.4341199
2,2024-02-08 15:52:57:117,16.8316863,73.4345381
2,2024-02-08 15:53:37:629,16.8318788,73.4356016
3,2024-02-08 15:54:37:830,16.8327873,73.4371247
2,2024-02-08 15:54:47:799,16.8329613,73.4372117
5,2024-02-08 15:55:54:235,16.8349191,73.4392151
5,2024-02-08 15:56:14:558,16.8356355,73.439173
4,2024-02-08 15:57:04:889,16.8369267,73.4389749
5,2024-02-08 15:57:09:940,16.8371108,73.4389396
2,2024-02-08 15:57:21:794,16.8375015,73.4388339
2,2024-02-08 15:57:42:366,16.8384753,73.4387575
3,2024-02-08 15:58:03:455,16.8398099,73.4386017
3,2024-02-08 15:58:20:327,16.8405684,73.4384912
3,2024-02-08 15:59:01:289,16.8418861,73.4385735
3,2024-02-08 15:59:16:260,16.8423995,73.4386507
3,2024-02-08 15:59:21:812,16.8425839,73.4386987
3,2024-02-08 15:59:31:514,16.843022,73.4388088
3,2024-02-08 16:00:03:307,16.844693,73.4390144
3,2024-02-08 16:00:25:880,16.8456904,73.4389949
3,2024-02-08 16:00:50:254,16.8467365,73.438798
3,2024-02-08 16:01:14:895,16.8477537,73.4385675
3,2024-02-08 16:01:53:756,16.8490257,73.4381119
3,2024-02-08 16:02:13:478,16.8495969,73.4378415
3,2024-02-08 16:02:54:540,16.8507102,73.4368992
4,2024-02-08 16:03:10:529,16.8508622,73.4363567
4,2024-02-08 16:03:10:862,16.8508622,73.4363567
5,2024-02-08 16:03:12:212,16.8508622,73.4363567
4,2024-02-08 16:03:12:962,16.8508842,73.4362504
3,2024-02-08 16:03:13:429,16.8508842,73.4362504
3,2024-02-08 16:03:21:815,16.8509601,73.4359815
3,2024-02-08 16:03:34:769,16.8511454,73.4355904
3,2024-02-08 16:03:36:252,16.8511454,73.4355904
2,2024-02-08 16:03:56:092,16.8515019,73.4351021
2,2024-02-08 16:04:03:994,16.8517482,73.4347553
2,2024-02-08 16:04:14:497,16.8520603,73.434307
2,2024-02-08 16:04:31:302,16.8527221,73.4334211
3,2024-02-08 16:04:40:938,16.8530833,73.4329611
3,2024-02-08 16:04:56:859,16.8537063,73.4323903
2,2024-02-08 16:05:10:496,16.8542234,73.4319247
3,2024-02-08 16:05:17:298,16.8544923,73.4317123
4,2024-02-08 16:05:26:618,16.8547706,73.4314927
3,2024-02-08 16:05:54:526,16.8554679,73.4309714
4,2024-02-08 16:06:01:378,16.8558983,73.430634
4,2024-02-08 16:06:10:914,16.8561012,73.4304147
3,2024-02-08 16:06:32:453,16.856615,73.429873
2,2024-02-08 16:06:50:075,16.8572364,73.4293829
2,2024-02-08 16:06:59:428,16.8577725,73.4291877
3,2024-02-08 16:07:09:264,16.8583345,73.4289769
3,2024-02-08 16:07:14:083,16.8586598,73.4288722
3,2024-02-08 16:07:30:338,16.8592035,73.4287528
4,2024-02-08 16:07:46:809,16.8599154,73.4286642
4,2024-02-08 16:07:58:379,16.8603839,73.4286534
4,2024-02-08 16:08:08:181,16.8605591,73.4286511
4,2024-02-08 16:08:43:358,16.8614215,73.4287506
4,2024-02-08 16:09:22:903,16.8622074,73.4290206
3,2024-02-08 16:10:13:051,16.8632727,73.4280362
4,2024-02-08 16:10:29:523,16.8638738,73.4276321
4,2024-02-08 16:10:45:510,16.8643629,73.4272609
4,2024-02-08 16:11:10:051,16.8648049,73.4268749
4,2024-02-08 16:11:35:825,16.8651188,73.4265776
4,2024-02-08 16:12:15:737,16.8656699,73.4260387
4,2024-02-08 16:13:06:168,16.866814,73.4254371
5,2024-02-08 16:13:25:023,16.8671124,73.425414
5,2024-02-08 16:14:19:756,16.8677904,73.4250025
3,2024-02-08 16:14:27:191,16.8678299,73.4249124
3,2024-02-08 16:14:30:192,16.8678576,73.4248597
3,2024-02-08 16:14:36:311,16.8679286,73.4247234
3,2024-02-08 16:14:44:580,16.8680901,73.4244472
4,2024-02-08 16:14:58:167,16.8684266,73.4239979
4,2024-02-08 16:15:13:321,16.8685786,73.4237937
4,2024-02-08 16:15:50:033,16.869237,73.4232236
4,2024-02-08 16:16:12:755,16.8697445,73.4232228
4,2024-02-08 16:16:51:617,16.8705465,73.4232728
4,2024-02-08 16:17:17:091,16.8710019,73.423303
4,2024-02-08 16:17:47:283,16.8716722,73.4233207
3,2024-02-08 16:17:56:252,16.8719834,73.4233401
4,2024-02-08 16:18:02:787,16.8723012,73.4233529
4,2024-02-08 16:18:06:722,16.8723795,73.4233515
4,2024-02-08 16:18:16:575,16.8726743,73.4233588
4,2024-02-08 16:18:33:763,16.8730056,73.4232346
4,2024-02-08 16:18:47:800,16.8733815,73.4229602
