Label,Time,Latitude,Longitude
1,2024-02-08 16:20:30:046,16.8736612,73.4231174
1,2024-02-08 16:20:44:968,16.8741788,73.4237943
1,2024-02-08 16:20:58:472,16.8748351,73.4244263
1,2024-02-08 16:21:34:432,16.8768276,73.4254811
2,2024-02-08 16:21:39:900,16.8769598,73.4255727
1,2024-02-08 16:21:43:785,16.8770972,73.4256727
1,2024-02-08 16:22:02:357,16.8781091,73.4262771
1,2024-02-08 16:22:41:669,16.8788334,73.4291214
1,2024-02-08 16:22:49:771,16.8793017,73.4296445
1,2024-02-08 16:23:04:825,16.8802825,73.4304534
2,2024-02-08 16:23:07:409,16.8804687,73.4306371
2,2024-02-08 16:23:12:410,16.8808099,73.4309972
2,2024-02-08 16:23:17:795,16.8811242,73.4314068
2,2024-02-08 16:23:30:882,16.8820231,73.4318608
2,2024-02-08 16:23:37:951,16.8825422,73.4319472
2,2024-02-08 16:24:11:161,16.884392,73.4331085
2,2024-02-08 16:24:24:165,16.884651,73.4341372
1,2024-02-08 16:24:56:224,16.8855644,73.4363806
2,2024-02-08 16:25:05:343,16.8856345,73.4366274
2,2024-02-08 16:25:11:362,16.8857352,73.436926
1,2024-02-08 16:25:15:763,16.8859176,73.4373113
1,2024-02-08 16:25:23:549,16.8861772,73.4376673
2,2024-02-08 16:25:34:502,16.8865849,73.4385337
2,2024-02-08 16:25:45:555,16.8864815,73.4395802
2,2024-02-08 16:25:47:406,16.8864815,73.4395802
2,2024-02-08 16:25:55:341,16.8863534,73.4402557
2,2024-02-08 16:26:01:693,16.8861307,73.4405901
2,2024-02-08 16:26:14:847,16.8859457,73.4413081
2,2024-02-08 16:26:33:219,16.8862953,73.4422045
2,2024-02-08 16:26:38:738,16.8862326,73.4425952
2,2024-02-08 16:26:59:360,16.8858023,73.4438993
2,2024-02-08 16:27:17:265,16.885467,73.4453955
2,2024-02-08 16:27:21:966,16.8854326,73.4458088
2,2024-02-08 16:28:19:883,16.8853948,73.4502295
2,2024-02-08 16:28:38:355,16.8857717,73.4515979
2,2024-02-08 16:29:02:080,16.887114,73.4523245
2,2024-02-08 16:29:22:651,16.8886569,73.452669
2,2024-02-08 16:29:57:395,16.8902542,73.4546689
2,2024-02-08 16:30:32:922,16.8932688,73.4542754
2,2024-02-08 16:31:08:082,16.8957013,73.455691
1,2024-02-08 16:31:18:885,16.8966007,73.4563107
1,2024-02-08 16:31:27:888,16.897233,73.4569124
1,2024-02-08 16:31:44:327,16.8983781,73.4571257
1,2024-02-08 16:32:28:389,16.9015457,73.4573373
1,2024-02-08 16:33:20:970,16.9029909,73.4607207
1,2024-02-08 16:33:42:361,16.9029624,73.4622263
1,2024-02-08 16:33:55:631,16.9035822,73.4630605
1,2024-02-08 16:34:08:168,16.9040805,73.4638782
1,2024-02-08 16:34:48:963,16.9060792,73.4665881
1,2024-02-08 16:35:26:474,16.9089262,73.4682654
1,2024-02-08 16:36:10:070,16.9112498,73.4688248
1,2024-02-08 16:36:48:431,16.9115661,73.4717624
1,2024-02-08 16:37:10:121,16.9111086,73.4731031
1,2024-02-08 16:37:43:814,16.9105744,73.4752426
1,2024-02-08 16:38:32:078,16.9099971,73.4788587
1,2024-02-08 16:39:48:766,16.9086299,73.4835875
