Label,Time,Latitude,Longitude
2,2024-02-08 16:41:36:131,16.9088277,73.4846457
2,2024-02-08 16:41:42:033,16.9088103,73.4847658
2,2024-02-08 16:41:48:051,16.9088083,73.4850131
2,2024-02-08 16:42:40:933,16.9083927,73.4886475
1,2024-02-08 16:43:03:890,16.9084009,73.4901816
1,2024-02-08 16:43:10:159,16.9081587,73.4906823
2,2024-02-08 16:43:27:747,16.9075572,73.4922403
2,2024-02-08 16:43:32:882,16.9075981,73.4927457
2,2024-02-08 16:43:43:768,16.9077704,73.4933245
2,2024-02-08 16:43:58:289,16.9078222,73.4938851
1,2024-02-08 16:44:05:008,16.9078734,73.4942855
1,2024-02-08 16:44:35:900,16.9084461,73.4966683
1,2024-02-08 16:44:44:253,16.9085036,73.4971865
2,2024-02-08 16:44:46:203,16.908535,73.49732
1,2024-02-08 16:44:55:922,16.908561,73.4977248
1,2024-02-08 16:45:02:491,16.90841,73.4981452
1,2024-02-08 16:45:08:243,16.9081662,73.4985802
1,2024-02-08 16:45:20:613,16.9075639,73.4993947
1,2024-02-08 16:45:53:039,16.9055348,73.5007176
2,2024-02-08 16:46:10:494,16.9044745,73.5016435
2,2024-02-08 16:46:19:213,16.9041182,73.502367
1,2024-02-08 16:46:27:683,16.903834,73.5030886
2,2024-02-08 16:46:33:584,16.9039161,73.5036397
2,2024-02-08 16:46:37:969,16.9039683,73.5038951
1,2024-02-08 16:46:48:189,16.9041046,73.5044339
1,2024-02-08 16:47:03:059,16.9043189,73.5057555
1,2024-02-08 16:47:10:712,16.9043924,73.5061224
2,2024-02-08 16:47:41:421,16.9047751,73.508329
2,2024-02-08 16:47:57:225,16.9049919,73.5099043
2,2024-02-08 16:47:59:709,16.9049904,73.5100046
1,2024-02-08 16:48:12:063,16.9049137,73.5106608
2,2024-02-08 16:48:34:636,16.905432,73.5122605
2,2024-02-08 16:48:40:321,16.9057695,73.5126732
2,2024-02-08 16:49:12:263,16.9071621,73.5153496
2,2024-02-08 16:49:43:589,16.907505,73.5181159
2,2024-02-08 16:50:15:432,16.9077895,73.5207428
2,2024-02-08 16:50:23:151,16.9078841,73.5211676
2,2024-02-08 16:52:15:250,16.9046818,73.5297447
2,2024-02-08 16:52:42:108,16.9039275,73.5316405
2,2024-02-08 16:53:09:199,16.9022422,73.5326277
